,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Patrick Dangerfield,MID,4,2,95,4,0,90,2012,Preliminary Finals
1,1,Brent Reilly,DEF,4,1,71,3,2,87,2012,Preliminary Finals
2,3,Jordan Lewis,FWD,3,0,111,0,7,88,2012,Preliminary Finals
3,3,Ben Stratton,KEYD,3,1,49,0,6,90,2012,Preliminary Finals
4,5,Luke Breust,FWD,2,2,92,0,4,80,2012,Preliminary Finals
5,5,Michael Doughty,DEF,2,2,63,0,4,88,2012,Preliminary Finals
6,5,Richard Douglas,MID,2,1,73,2,1,82,2012,Preliminary Finals
7,5,Lance Franklin,KEYF,2,5,89,2,2,89,2012,Preliminary Finals
8,5,David Hale,RUC,2,1,51,0,5,78,2012,Preliminary Finals
9,5,Josh P. Kennedy,MID,2,2,115,0,3,85,2012,Preliminary Finals
10,5,Andrew Krakouer,FWD,2,0,42,0,0,70,2012,Preliminary Finals
11,5,David Mackay,MID,2,0,90,0,4,84,2012,Preliminary Finals
12,5,Marty Mattner,DEF,2,0,41,0,6,91,2012,Preliminary Finals
13,5,Tom Murphy,DEF,2,0,57,0,3,88,2012,Preliminary Finals
14,5,Cyril Rioli,FWD,2,0,130,2,3,84,2012,Preliminary Finals
15,5,Brad Sewell,MID,2,0,96,0,0,84,2012,Preliminary Finals
16,5,Liam Shiels,MID,2,1,88,0,0,87,2012,Preliminary Finals
17,18,Craig Bird,FWD,1,0,88,0,2,85,2012,Preliminary Finals
18,18,Jarryd Blair,FWD,1,0,74,0,2,72,2012,Preliminary Finals
19,18,Jude Bolton,FWD,1,0,75,0,0,86,2012,Preliminary Finals
20,18,Shaun Burgoyne,DEF,1,0,60,2,0,77,2012,Preliminary Finals
21,18,Xavier Ellis,MID,1,3,10,0,0,75,2012,Preliminary Finals
22,18,Alex Fasolo,FWD,1,0,72,0,0,82,2012,Preliminary Finals
23,18,Adam Goodes,FWD,1,0,126,0,1,91,2012,Preliminary Finals
24,18,Alex Johnson,DEF,1,0,43,0,5,86,2012,Preliminary Finals
25,18,Darren Jolly,RUC,1,0,76,0,5,90,2012,Preliminary Finals
26,18,Mitch Morton,FWD,1,2,52,0,0,60,2012,Preliminary Finals
27,18,Ryan O'Keefe,MID,1,0,154,0,2,89,2012,Preliminary Finals
28,18,Scott Pendlebury,MID,1,2,125,0,2,86,2012,Preliminary Finals
29,18,Jason Porplyzia,FWD,1,1,106,0,0,85,2012,Preliminary Finals
30,18,Paul Puopolo,FWD,1,0,24,1,1,66,2012,Preliminary Finals
31,18,Mike Pyke,RUC,1,0,56,0,3,90,2012,Preliminary Finals
32,18,Ben Reid,KEYD,1,0,71,1,8,96,2012,Preliminary Finals
33,18,Lewis Roberts-Thomson,KEYF,1,0,72,0,2,89,2012,Preliminary Finals
34,18,Ben Rutten,KEYD,1,2,54,0,7,92,2012,Preliminary Finals
35,18,Rory Sloane,MID,1,1,75,0,1,89,2012,Preliminary Finals
36,18,Brodie Smith,DEF,1,2,61,1,3,80,2012,Preliminary Finals
37,18,Nick Smith,DEF,1,1,49,0,4,90,2012,Preliminary Finals
38,18,Matthew Suckling,DEF,1,1,56,1,4,83,2012,Preliminary Finals
39,18,Scott Thompson,MID,1,4,99,0,0,86,2012,Preliminary Finals
40,18,Alan Toovey,DEF,1,0,40,0,3,87,2012,Preliminary Finals
41,18,Nathan Van Berlo,MID,1,0,71,0,3,93,2012,Preliminary Finals
42,18,Bernie Vince,MID,1,0,82,1,0,85,2012,Preliminary Finals
43,18,Matthew Wright,FWD,1,1,72,3,1,86,2012,Preliminary Finals
44,45,Dayne Beams,MID,0,0,99,0,0,87,2012,Preliminary Finals
45,45,Grant Birchall,DEF,0,0,80,3,2,83,2012,Preliminary Finals
46,45,Nathan Brown,KEYD,0,1,43,0,18,98,2012,Preliminary Finals
47,45,Ian Callinan,FWD,0,1,31,0,1,78,2012,Preliminary Finals
48,45,Travis Cloke,KEYF,0,0,93,0,2,94,2012,Preliminary Finals
49,45,Chris Dawes,KEYF,0,0,54,0,4,73,2012,Preliminary Finals
50,45,Jamie Elliott,FWD,0,0,13,0,0,34,2012,Preliminary Finals
51,45,Josh Gibson,KEYD,0,0,60,0,6,100,2012,Preliminary Finals
52,45,Tyson Goldsack,FWD,0,1,52,0,0,85,2012,Preliminary Finals
53,45,Heath Grundy,KEYD,0,0,57,0,5,100,2012,Preliminary Finals
54,45,Jack Gunston,FWD,0,0,63,0,1,81,2012,Preliminary Finals
55,45,Dan Hannebery,MID,0,0,109,0,3,79,2012,Preliminary Finals
56,45,Ricky Henderson,DEF,0,0,76,0,2,73,2012,Preliminary Finals
57,45,Kieren Jack,MID,0,1,84,0,2,84,2012,Preliminary Finals
58,45,Sam Jacobs,RUC,0,0,67,0,6,88,2012,Preliminary Finals
59,45,Lewis Jetta,FWD,0,0,79,4,1,79,2012,Preliminary Finals
60,45,Graham Johncock,FWD,0,0,18,0,1,33,2012,Preliminary Finals
61,45,Ben Johnson,MID,0,0,91,0,1,85,2012,Preliminary Finals
62,45,Heritier Lumumba,DEF,0,1,94,6,4,91,2012,Preliminary Finals
63,45,Nick Malceski,DEF,0,0,59,0,6,73,2012,Preliminary Finals
64,45,Jarrad McVeigh,MID,0,0,104,0,1,86,2012,Preliminary Finals
65,45,Sam Mitchell,MID,0,3,91,1,2,85,2012,Preliminary Finals
66,45,Shane Mumford,RUC,0,1,91,0,7,95,2012,Preliminary Finals
67,45,Andy Otten,DEF,0,2,83,0,2,82,2012,Preliminary Finals
68,45,Luke Parker,MID,0,0,15,0,0,21,2012,Preliminary Finals
69,45,Jared Petrenko,FWD,0,3,17,0,1,47,2012,Preliminary Finals
70,45,Sam Reid,KEYF,0,0,23,0,5,84,2012,Preliminary Finals
71,45,Ted Richards,KEYD,0,0,39,0,10,79,2012,Preliminary Finals
72,45,Jarryd Roughead,KEYF,0,0,82,0,2,90,2012,Preliminary Finals
73,45,Shane Savage,FWD,0,0,16,0,0,24,2012,Preliminary Finals
74,45,Ryan Schoenmakers,KEYD,0,1,42,0,2,100,2012,Preliminary Finals
75,45,Heath Shaw,DEF,0,4,63,8,5,90,2012,Preliminary Finals
76,45,Rhyce Shaw,DEF,0,1,95,9,3,80,2012,Preliminary Finals
77,45,Steele Sidebottom,MID,0,1,89,1,3,86,2012,Preliminary Finals
78,45,Ben Sinclair,FWD,0,1,16,0,0,57,2012,Preliminary Finals
79,45,Isaac Smith,MID,0,1,90,0,1,84,2012,Preliminary Finals
80,45,Dane Swan,MID,0,0,109,0,1,88,2012,Preliminary Finals
81,45,Chris Tarrant,KEYF,0,0,93,0,5,91,2012,Preliminary Finals
82,45,Dale Thomas,FWD,0,1,80,1,3,85,2012,Preliminary Finals
83,45,Luke Thompson,DEF,0,0,46,3,5,89,2012,Preliminary Finals
84,45,Kurt Tippett,KEYF,0,1,108,0,3,85,2012,Preliminary Finals
85,45,Taylor Walker,KEYF,0,0,77,1,0,99,2012,Preliminary Finals
86,45,Sharrod Wellingham,FWD,0,1,78,0,0,73,2012,Preliminary Finals
87,45,Clinton Young,MID,0,2,85,0,1,83,2012,Preliminary Finals
