,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Stefan Martin,RUC,9,1,101,0,1,88,2018,Round 4
1,2,Ben Brown,KEYF,5,0,115,0,1,98,2018,Round 4
2,2,Dustin Martin,MID,5,0,111,2,0,76,2018,Round 4
3,2,Toby McLean,FWD,5,0,91,2,0,78,2018,Round 4
4,2,Daniel Menzel,FWD,5,2,85,0,1,83,2018,Round 4
5,6,Patrick Cripps,MID,4,1,76,1,2,85,2018,Round 4
6,6,Josh J. Kennedy,KEYF,4,0,81,0,1,75,2018,Round 4
7,6,Dean Kent,FWD,4,1,93,0,2,84,2018,Round 4
8,6,Jack Martin,FWD,4,2,77,0,0,82,2018,Round 4
9,6,Mitch McGovern,KEYF,4,1,70,0,2,81,2018,Round 4
10,6,Tom Mitchell,MID,4,0,83,0,0,89,2018,Round 4
11,12,Blake Acres,FWD,3,1,83,0,1,86,2018,Round 4
12,12,Marcus Bontempelli,MID,3,0,91,0,8,87,2018,Round 4
13,12,Tomas Bugg,FWD,3,2,85,0,2,78,2018,Round 4
14,12,Jeremy Cameron,KEYF,3,3,107,0,0,81,2018,Round 4
15,12,Jason Castagna,FWD,3,1,99,0,2,85,2018,Round 4
16,12,Jamie Cripps,FWD,3,1,96,0,2,85,2018,Round 4
17,12,Ben Crocker,FWD,3,0,65,0,1,88,2018,Round 4
18,12,Luke Dahlhaus,FWD,3,2,92,0,1,78,2018,Round 4
19,12,Patrick Dangerfield,FWD,3,1,97,1,3,76,2018,Round 4
20,12,Phil Davis,KEYD,3,0,64,0,6,79,2018,Round 4
21,12,Luke Dunstan,MID,3,0,129,0,4,81,2018,Round 4
22,12,Bryce Gibbs,MID,3,0,113,0,0,81,2018,Round 4
23,12,Dylan Grimes,DEF,3,0,50,0,4,87,2018,Round 4
24,12,Jesse Joyce,DEF,3,0,67,0,3,86,2018,Round 4
25,12,Jarryd Lyons,MID,3,3,76,0,0,84,2018,Round 4
26,12,Jack Macrae,MID,3,0,128,0,0,84,2018,Round 4
27,12,Lochie O'Brien,MID,3,1,49,0,0,75,2018,Round 4
28,12,Jaeger O'Meara,MID,3,1,126,0,1,81,2018,Round 4
29,12,Brandan Parfitt,FWD,3,0,138,0,1,80,2018,Round 4
30,12,Brad Sheppard,DEF,3,1,59,0,4,87,2018,Round 4
31,12,James Sicily,DEF,3,1,78,0,6,92,2018,Round 4
32,12,Steele Sidebottom,MID,3,2,137,0,2,82,2018,Round 4
33,12,Devon Smith,FWD,3,0,91,2,2,85,2018,Round 4
34,12,Jake Stringer,FWD,3,2,72,0,1,84,2018,Round 4
35,12,Justin Westhoff,KEYF,3,1,88,0,4,93,2018,Round 4
36,37,Hayden Ballantyne,FWD,2,1,33,0,1,87,2018,Round 4
37,37,Mark Blicavs,KEYD,2,1,47,0,12,95,2018,Round 4
38,37,Levi Casboult,KEYF,2,2,53,0,2,94,2018,Round 4
39,37,Reece Conca,MID,2,0,100,0,2,81,2018,Round 4
40,37,Ben Cunnington,MID,2,0,98,1,1,79,2018,Round 4
41,37,Lachie Fogarty,FWD,2,0,67,0,4,87,2018,Round 4
42,37,Lance Franklin,KEYF,2,1,100,0,1,95,2018,Round 4
43,37,Jarrod Garlett,FWD,2,0,67,0,1,69,2018,Round 4
44,37,Jarryn Geary,DEF,2,0,96,0,2,85,2018,Round 4
45,37,Toby Greene,FWD,2,4,90,2,2,83,2018,Round 4
46,37,Jade Gresham,FWD,2,1,58,0,0,82,2018,Round 4
47,37,Ryan Griffen,FWD,2,0,69,0,2,76,2018,Round 4
48,37,Brodie Grundy,RUC,2,3,126,1,3,91,2018,Round 4
49,37,Joel Hamling,KEYD,2,1,56,0,6,96,2018,Round 4
50,37,Luke Hodge,DEF,2,3,70,0,5,79,2018,Round 4
51,37,Bachar Houli,DEF,2,3,67,2,2,79,2018,Round 4
52,37,Josh Jenkins,KEYF,2,2,43,0,1,90,2018,Round 4
53,37,Lin Jong,FWD,2,1,79,0,1,79,2018,Round 4
54,37,Matthew Kreuzer,RUC,2,1,60,0,3,71,2018,Round 4
55,37,Rory Laird,DEF,2,2,115,0,1,89,2018,Round 4
