,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Levi Greenwood,DEF,6,0,84,0,2,87,2018,Round 21
1,2,Patrick Dangerfield,FWD,5,1,124,0,3,84,2018,Round 21
2,2,Kade Simpson,DEF,5,1,72,1,3,87,2018,Round 21
3,4,Max Gawn,RUC,4,0,78,0,9,80,2018,Round 21
4,4,Rory Sloane,MID,4,1,99,0,3,78,2018,Round 21
5,4,Mason Wood,FWD,4,0,100,1,0,80,2018,Round 21
6,7,Gary Ablett,MID,3,1,152,0,1,87,2018,Round 21
7,7,Jed Anderson,MID,3,2,79,0,1,79,2018,Round 21
8,7,Jarrod Berry,MID,3,2,80,0,2,86,2018,Round 21
9,7,Angus Brayshaw,MID,3,0,108,1,3,80,2018,Round 21
10,7,Jordan De Goey,FWD,3,0,79,0,2,81,2018,Round 21
11,7,Brad Ebert,MID,3,0,98,0,0,83,2018,Round 21
12,7,Orazio Fantasia,FWD,3,1,85,1,0,69,2018,Round 21
13,7,Shaun Grigg,MID,3,0,93,0,1,75,2018,Round 21
14,7,Dyson Heppell,MID,3,0,132,0,1,90,2018,Round 21
15,7,George Hewett,MID,3,2,100,0,0,92,2018,Round 21
16,7,Rory Laird,DEF,3,0,99,0,0,88,2018,Round 21
17,7,David Mackay,DEF,3,0,70,0,1,81,2018,Round 21
18,7,Jack Macrae,MID,3,2,118,0,2,90,2018,Round 21
19,7,Anthony McDonald-Tipungwuti,FWD,3,0,109,0,1,89,2018,Round 21
20,7,Tom Mitchell,MID,3,1,130,0,0,91,2018,Round 21
21,7,David Myers,MID,3,2,135,0,2,86,2018,Round 21
22,7,Paul Puopolo,FWD,3,0,97,1,0,79,2018,Round 21
23,7,Liam Ryan,FWD,3,0,54,4,3,77,2018,Round 21
24,7,David Swallow,MID,3,1,101,0,0,81,2018,Round 21
25,7,Matt Taberner,KEYF,3,0,82,0,1,91,2018,Round 21
26,7,Michael Walters,FWD,3,0,69,0,0,73,2018,Round 21
27,7,Jarrod Witts,RUC,3,3,80,0,5,87,2018,Round 21
28,29,Blake Acres,FWD,2,2,65,1,2,72,2018,Round 21
29,29,Taylor Adams,MID,2,2,93,0,0,72,2018,Round 21
30,29,Mark Baguley,FWD,2,2,61,0,2,91,2018,Round 21
31,29,Hayden Ballantyne,FWD,2,4,76,0,2,78,2018,Round 21
32,29,Mark Blicavs,KEYD,2,2,64,0,4,94,2018,Round 21
33,29,Jack Bowes,MID,2,1,116,0,2,82,2018,Round 21
34,29,Ben Brown,KEYF,2,1,71,0,2,100,2018,Round 21
35,29,Ciaran Byrne,DEF,2,1,52,0,1,81,2018,Round 21
36,29,Tom Cole,DEF,2,1,66,0,1,79,2018,Round 21
37,29,Ben Cunnington,MID,2,2,89,0,0,74,2018,Round 21
38,29,Phil Davis,KEYD,2,0,79,0,4,97,2018,Round 21
39,29,Jordan Dawson,FWD,2,0,93,0,0,81,2018,Round 21
40,29,Brayden Fiorini,MID,2,0,110,0,4,82,2018,Round 21
41,29,Aaron Francis,KEYD,2,0,68,0,6,93,2018,Round 21
42,29,Bryce Gibbs,MID,2,2,96,0,1,83,2018,Round 21
43,29,Nick Graham,FWD,2,0,69,0,0,68,2018,Round 21
44,29,Sam Gray,FWD,2,0,67,0,1,72,2018,Round 21
45,29,Brodie Grundy,RUC,2,0,89,0,1,84,2018,Round 21
46,29,Blake Hardwick,DEF,2,0,70,0,5,85,2018,Round 21
47,29,Nick Haynes,DEF,2,0,90,0,1,89,2018,Round 21
48,29,Isaac Heeney,FWD,2,0,101,0,2,87,2018,Round 21
49,29,Jack Henry,DEF,2,0,59,0,4,84,2018,Round 21
50,29,Harry Himmelberg,KEYF,2,0,101,0,3,85,2018,Round 21
51,29,Cale Hooker,KEYD,2,2,23,0,2,67,2018,Round 21
52,29,Lin Jong,FWD,2,2,52,0,5,79,2018,Round 21
53,29,Josh P. Kennedy,MID,2,1,113,0,3,84,2018,Round 21
