,Rank,Player,Position,FF,FA,AF    ,B,OP,ToG%,Season,Round
0,1,Callum Mills,MID,1,1,148,0,1,86,2022,Round 17
1,2,Luke Davies-Uniacke,MID,1,1,145,0,0,86,2022,Round 17
2,3,Andrew Brayshaw,MID,0,4,144,2,2,79,2022,Round 17
3,4,Jed Anderson,FWD,2,0,142,0,2,81,2022,Round 17
4,5,Noah Anderson,MID,0,0,141,2,0,86,2022,Round 17
5,6,Mitch Duncan,DEF,0,0,138,1,1,88,2022,Round 17
6,7,Rory Laird,MID,1,1,132,0,1,75,2022,Round 17
7,8,Ben Ainsworth,FWD,1,0,130,0,1,88,2022,Round 17
8,9,Dylan Moore,FWD,4,0,129,1,0,79,2022,Round 17
9,10,Zach Merrett,MID,1,0,127,1,0,85,2022,Round 17
10,10,Jack Viney,MID,3,1,127,0,4,82,2022,Round 17
11,12,Connor Rozee,FWD,3,0,125,0,0,86,2022,Round 17
12,13,Blake Hardwick,DEF,1,0,124,0,1,92,2022,Round 17
13,14,Jack Steele,MID,1,0,121,0,2,84,2022,Round 17
14,15,Shannon Hurn,DEF,1,1,119,0,1,84,2022,Round 17
15,16,Ben Keays,MID,2,1,118,0,0,85,2022,Round 17
16,17,Stephen Coniglio,FWD,1,0,116,1,3,84,2022,Round 17
17,17,Matthew Kennedy,MID,3,1,116,0,1,80,2022,Round 17
18,19,Sam Docherty,DEF,0,1,114,2,1,83,2022,Round 17
19,19,Cameron Guthrie,MID,1,4,114,0,0,75,2022,Round 17
20,21,Sam Reid,KEYF,1,1,113,0,3,83,2022,Round 17
21,22,Jye Caldwell,MID,3,1,112,1,0,87,2022,Round 17
22,23,Andrew Gaff,MID,1,0,109,0,1,86,2022,Round 17
23,23,Jack Sinclair,DEF,1,1,109,0,3,84,2022,Round 17
24,25,Tom Atkins,DEF,2,1,108,0,4,69,2022,Round 17
25,25,Shai Bolton,FWD,0,1,108,3,5,86,2022,Round 17
26,25,Kyle Langford,FWD,1,0,108,0,0,81,2022,Round 17
27,25,Daniel Rioli,DEF,3,0,108,4,2,83,2022,Round 17
28,25,James Sicily,KEYD,1,1,108,0,8,100,2022,Round 17
29,30,Josh Battle,KEYD,1,0,107,0,3,88,2022,Round 17
30,30,Brandon Starcevich,DEF,2,3,107,0,2,88,2022,Round 17
31,32,Adam Cerra,MID,1,0,106,1,4,81,2022,Round 17
32,32,Brad Crouch,MID,2,1,106,0,0,78,2022,Round 17
33,32,Jake Lloyd,DEF,0,0,106,0,1,85,2022,Round 17
34,32,Harry McKay,KEYF,3,2,106,0,1,93,2022,Round 17
35,32,Touk Miller,MID,0,0,106,0,2,89,2022,Round 17
36,32,Jordan Ridley,KEYD,2,0,106,0,1,91,2022,Round 17
37,38,Patrick Dangerfield,MID,1,1,105,0,2,79,2022,Round 17
38,38,Brandon Ellis,MID,1,0,105,0,2,95,2022,Round 17
39,40,Jamie Elliott,FWD,1,0,104,0,2,84,2022,Round 17
40,40,Jarrod Witts,RUC,2,1,104,0,4,87,2022,Round 17
41,42,Jack Bowes,DEF,2,2,103,1,2,78,2022,Round 17
42,42,Jordan Clark,DEF,1,0,103,0,0,85,2022,Round 17
43,42,Luke Parker,MID,0,0,103,0,1,87,2022,Round 17
44,45,Rowan Marshall,RUC,1,1,102,0,2,88,2022,Round 17
45,45,Paddy McCartin,KEYD,0,0,102,0,1,82,2022,Round 17
46,45,Adam Treloar,MID,1,0,102,0,1,83,2022,Round 17
47,48,Nick Hind,DEF,1,1,101,6,2,87,2022,Round 17
48,48,Harry Morrison,MID,0,1,101,0,2,86,2022,Round 17
49,48,Tim Taranto,FWD,1,0,101,0,0,88,2022,Round 17
50,51,Taylor Adams,MID,2,2,100,0,0,81,2022,Round 17
51,51,Kane Farrell,FWD,0,0,100,0,2,78,2022,Round 17
52,51,Tom Papley,FWD,1,3,100,1,1,83,2022,Round 17
53,51,Sam Powell-Pepper,FWD,1,5,100,0,1,88,2022,Round 17
54,51,Curtis Taylor,MID,1,1,100,0,1,87,2022,Round 17
55,51,Chad Warner,MID,2,3,100,0,0,83,2022,Round 17
56,57,Zak Butters,FWD,1,0,99,0,1,78,2022,Round 17
57,57,Matt Crouch,MID,0,1,99,0,0,68,2022,Round 17
58,57,Tim English,RUC,0,1,99,0,1,80,2022,Round 17
59,57,Nick Larkey,KEYF,2,2,99,0,0,94,2022,Round 17
60,57,Clayton Oliver,MID,3,2,99,0,2,88,2022,Round 17
61,57,Jack Ziebell,FWD,0,0,99,0,1,76,2022,Round 17
62,63,Liam Duggan,DEF,2,1,98,1,2,82,2022,Round 17
63,63,Hugh McCluggage,MID,3,2,98,0,1,83,2022,Round 17
64,63,Lachie Schultz,FWD,2,4,98,0,0,80,2022,Round 17
65,63,Dylan Shiel,MID,1,0,98,1,1,76,2022,Round 17
66,63,Brodie Smith,DEF,0,2,98,1,4,81,2022,Round 17
67,68,Todd Goldstein,RUC,3,2,97,0,5,86,2022,Round 17
68,68,Scott Pendlebury,MID,1,0,97,0,5,88,2022,Round 17
69,70,Charlie Curnow,KEYF,1,2,96,0,2,91,2022,Round 17
70,70,Christian Petracca,MID,2,1,96,0,0,88,2022,Round 17
71,70,David Swallow,MID,1,0,96,0,0,81,2022,Round 17
72,73,Jack Crisp,MID,0,0,95,1,1,87,2022,Round 17
73,73,Steven May,KEYD,0,1,95,1,3,100,2022,Round 17
74,73,Matt Rowell,MID,1,2,95,0,1,88,2022,Round 17
75,73,Callan Ward,MID,1,0,95,0,1,84,2022,Round 17
76,77,Jack Billings,MID,3,0,94,0,2,77,2022,Round 17
77,77,Marcus Bontempelli,MID,3,0,94,0,3,84,2022,Round 17
78,77,George Hewett,MID,0,0,94,0,1,75,2022,Round 17
79,80,Will Brodie,MID,1,2,93,0,0,72,2022,Round 17
80,80,Jesse Hogan,KEYF,0,0,93,0,0,87,2022,Round 17
81,80,Josh Kelly,MID,2,1,93,0,1,85,2022,Round 17
82,80,Oscar McInerney,RUC,2,0,93,0,1,81,2022,Round 17
83,80,Conor Nash,MID,2,0,93,2,1,87,2022,Round 17
84,80,Jack Scrimshaw,DEF,1,0,93,1,1,81,2022,Round 17
85,80,Sam Walsh,MID,1,2,93,0,0,85,2022,Round 17
86,80,Hayden Young,DEF,0,0,93,0,2,89,2022,Round 17
87,88,Angus Brayshaw,DEF,1,0,92,0,4,81,2022,Round 17
88,88,Changkuoth Jiath,DEF,2,0,92,5,1,82,2022,Round 17
89,88,Jayden Laverde,KEYD,0,0,92,0,7,87,2022,Round 17
90,88,Dion Prestia,MID,1,1,92,0,1,80,2022,Round 17
91,88,Jayden Short,MID,3,0,92,1,0,83,2022,Round 17
92,88,Jack Silvagni,KEYF,0,1,92,1,1,83,2022,Round 17
93,94,Isaac Heeney,FWD,1,0,91,0,1,85,2022,Round 17
94,95,Jeremy Finlayson,RUC,2,0,90,0,1,89,2022,Round 17
95,95,Matt Guelfi,FWD,2,1,90,0,0,75,2022,Round 17
96,95,Reilly O'Brien,RUC,2,0,90,0,3,88,2022,Round 17
97,95,Jaeger O'Meara,MID,3,1,90,1,1,73,2022,Round 17
98,95,Peter Wright,KEYF,1,0,90,0,6,100,2022,Round 17
99,100,Nat Fyfe,FWD,1,3,89,0,2,81,2022,Round 17
100,101,Nick Daicos,DEF,1,0,88,1,0,84,2022,Round 17
101,101,Charlie Dixon,KEYF,1,0,88,0,2,70,2022,Round 17
102,103,Darcy Cameron,RUC,4,1,87,0,1,77,2022,Round 17
103,103,Patrick Cripps,MID,2,2,87,0,4,78,2022,Round 17
104,103,Tom Doedee,KEYD,1,0,87,0,3,100,2022,Round 17
105,103,Robbie Fox,DEF,1,2,87,0,2,88,2022,Round 17
