,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Nat Fyfe,MID,4,0,50,0,3,83,2020,Round 14
1,2,Jeremy Cameron,KEYF,3,3,94,1,2,94,2020,Round 14
2,2,Brad Close,FWD,3,0,35,0,1,77,2020,Round 14
3,2,Jack Darling,KEYF,3,1,49,0,1,100,2020,Round 14
4,2,Sam Docherty,DEF,3,0,79,0,3,78,2020,Round 14
5,2,Hugh Greenwood,MID,3,0,89,0,2,72,2020,Round 14
6,2,Cameron Guthrie,MID,3,1,83,1,1,68,2020,Round 14
7,2,Cale Hooker,KEYD,3,2,65,0,2,88,2020,Round 14
8,2,Jack Macrae,MID,3,1,86,0,1,92,2020,Round 14
9,2,John Noble,DEF,3,0,75,0,0,87,2020,Round 14
10,2,Izak Rankine,FWD,3,1,55,0,1,82,2020,Round 14
11,2,Sam Wicks,FWD,3,0,56,0,2,70,2020,Round 14
12,2,Matt de Boer,MID,3,1,53,0,1,83,2020,Round 14
13,14,Brendon Ah Chee,FWD,2,1,31,0,2,85,2020,Round 14
14,14,Paul Ahern,FWD,2,0,52,0,1,70,2020,Round 14
15,14,Noah Anderson,MID,2,0,80,1,1,76,2020,Round 14
16,14,Shaun Atley,DEF,2,0,64,2,4,89,2020,Round 14
17,14,Liam Baker,DEF,2,1,64,1,1,79,2020,Round 14
18,14,Jed Bews,DEF,2,1,51,0,2,84,2020,Round 14
19,14,Marcus Bontempelli,MID,2,0,90,0,5,89,2020,Round 14
20,14,James Cousins,MID,2,1,71,0,2,78,2020,Round 14
21,14,Patrick Dangerfield,MID,2,2,101,1,2,82,2020,Round 14
22,14,Majak Daw,KEYF,2,1,32,0,1,71,2020,Round 14
23,14,Jordan Dawson,DEF,2,0,85,0,3,88,2020,Round 14
24,14,Will Day,DEF,2,0,59,0,5,89,2020,Round 14
25,14,Charlie Dixon,KEYF,2,0,88,0,2,94,2020,Round 14
26,14,Liam Duggan,DEF,2,0,96,0,6,92,2020,Round 14
27,14,Sam Frost,KEYD,2,0,45,0,3,94,2020,Round 14
28,14,Todd Goldstein,RUC,2,1,63,0,3,89,2020,Round 14
29,14,Jack Graham,MID,2,1,58,0,1,83,2020,Round 14
30,14,Bachar Houli,DEF,2,0,98,1,4,77,2020,Round 14
31,14,Dougal Howard,KEYD,2,1,57,0,6,92,2020,Round 14
32,14,Adam Kennedy,MID,2,0,54,0,2,88,2020,Round 14
33,14,Ben Long,DEF,2,0,57,0,1,80,2020,Round 14
34,14,Scott Lycett,RUC,2,2,54,0,4,87,2020,Round 14
35,14,Ben McEvoy,RUC,2,0,77,0,5,87,2020,Round 14
36,14,Touk Miller,MID,2,0,82,0,1,86,2020,Round 14
37,14,Darcy Moore,KEYD,2,1,71,1,9,93,2020,Round 14
38,14,Shane Mumford,RUC,2,1,62,0,4,84,2020,Round 14
39,14,Nic Naitanui,RUC,2,3,57,0,3,71,2020,Round 14
40,14,Toby Nankervis,RUC,2,1,73,0,3,66,2020,Round 14
41,14,Luke Ryan,KEYD,2,3,36,2,4,81,2020,Round 14
42,14,Paddy Ryder,RUC,2,1,53,0,1,74,2020,Round 14
43,14,Lachie Schultz,FWD,2,0,54,0,1,84,2020,Round 14
44,14,Will Setterfield,MID,2,0,89,0,0,74,2020,Round 14
45,14,Brad Sheppard,DEF,2,0,68,0,8,91,2020,Round 14
46,14,Luke Shuey,MID,2,0,100,0,1,81,2020,Round 14
47,14,Jack Steven,FWD,2,0,57,0,1,58,2020,Round 14
48,14,Jack Viney,MID,2,1,46,0,0,80,2020,Round 14
49,14,Michael Walters,FWD,2,0,64,0,3,89,2020,Round 14
50,14,Ollie Wines,MID,2,1,95,0,1,75,2020,Round 14
51,14,Jarrod Witts,RUC,2,1,75,0,2,85,2020,Round 14
52,14,Cameron Zurhaar,FWD,2,1,42,0,0,92,2020,Round 14
53,54,Taylor Adams,MID,1,1,76,0,0,67,2020,Round 14
54,54,Ben Ainsworth,FWD,1,0,107,0,1,79,2020,Round 14
55,54,James Aish,MID,1,0,33,0,0,80,2020,Round 14
56,54,Jed Anderson,MID,1,0,72,0,1,77,2020,Round 14
57,54,Tom Atkins,FWD,1,2,48,0,1,74,2020,Round 14
58,54,Noah Balta,KEYD,1,3,71,0,6,100,2020,Round 14
59,54,Tom Barrass,KEYD,1,3,27,0,11,90,2020,Round 14
60,54,James Bell,FWD,1,1,40,0,0,71,2020,Round 14
61,54,Eddie Betts,FWD,1,2,76,0,1,87,2020,Round 14
62,54,Brett Bewley,MID,1,0,49,0,0,74,2020,Round 14
63,54,Jack Billings,MID,1,0,64,0,2,82,2020,Round 14
64,54,Connor Blakely,MID,1,0,30,0,1,60,2020,Round 14
65,54,Travis Boak,MID,1,1,81,0,0,77,2020,Round 14
66,54,Jack Bowes,DEF,1,1,52,1,1,78,2020,Round 14
67,54,Andrew Brayshaw,MID,1,3,99,0,3,80,2020,Round 14
68,54,Darcy Byrne-Jones,DEF,1,0,48,0,3,84,2020,Round 14
