,Rank,Player,Position,FF,FA,AF    ,B,OP,ToG%,Season,Round
88,88,Kane Lambert,FWD,0,2,86,0,0,85,2021,Round 1
89,88,Dylan Moore,FWD,2,0,86,0,0,92,2021,Round 1
90,88,John Noble,DEF,4,1,86,0,0,84,2021,Round 1
91,88,Lachie Weller,FWD,1,2,86,0,0,86,2021,Round 1
92,93,Josh Bruce,KEYF,1,0,85,0,0,81,2021,Round 1
93,93,Stephen Coniglio,FWD,4,0,85,0,2,86,2021,Round 1
94,93,Brodie Grundy,RUC,1,2,85,0,4,84,2021,Round 1
95,93,Tom Lynch,FWD,1,0,85,0,2,83,2021,Round 1
96,93,Darcy Moore,KEYD,1,2,85,1,8,96,2021,Round 1
97,93,Harry Morrison,MID,0,1,85,0,0,82,2021,Round 1
98,93,Jack Riewoldt,KEYF,1,1,85,0,0,90,2021,Round 1
99,93,Caleb Serong,MID,1,0,85,0,0,73,2021,Round 1
100,93,Rory Sloane,MID,3,0,85,0,4,80,2021,Round 1
101,102,Shane Edwards,MID,1,0,84,0,3,81,2021,Round 1
102,102,Brandon Ellis,MID,0,1,84,4,1,87,2021,Round 1
103,102,James Jordon,MID,1,1,84,0,1,73,2021,Round 1
104,102,James Rowe,FWD,2,0,84,1,0,82,2021,Round 1
105,106,Patrick Cripps,MID,3,1,83,0,2,91,2021,Round 1
106,106,Billy Frampton,KEYF,0,0,83,0,2,90,2021,Round 1
107,106,Dyson Heppell,DEF,2,0,83,0,5,82,2021,Round 1
108,106,George Hewett,DEF,2,0,83,0,0,84,2021,Round 1
109,106,Luke Ryan,KEYD,0,2,83,0,2,88,2021,Round 1
110,106,Callan Ward,MID,3,2,83,0,1,79,2021,Round 1
111,106,Jarrod Witts,RUC,0,1,83,0,3,80,2021,Round 1
112,113,Zak Butters,FWD,1,3,82,1,1,82,2021,Round 1
113,113,Luke Davies-Uniacke,MID,1,3,82,0,0,79,2021,Round 1
114,113,Tim English,RUC,1,0,82,0,4,81,2021,Round 1
115,113,Cameron Guthrie,MID,1,4,82,0,3,71,2021,Round 1
116,113,Dan Houston,DEF,1,1,82,0,4,76,2021,Round 1
117,113,Patrick Lipinski,MID,1,0,82,0,1,82,2021,Round 1
118,119,Jonathon Ceglar,RUC,2,2,81,0,1,76,2021,Round 1
119,119,Orazio Fantasia,FWD,0,1,81,0,0,74,2021,Round 1
120,119,Darcy Parish,MID,1,0,81,0,1,82,2021,Round 1
121,119,Jack Redden,MID,0,1,81,0,3,85,2021,Round 1
122,119,Sebastian Ross,MID,0,0,81,0,1,79,2021,Round 1
123,124,Willem Drew,MID,2,3,80,0,0,74,2021,Round 1
124,124,Isaac Heeney,FWD,0,2,80,0,1,85,2021,Round 1
125,124,Josh Rotham,KEYD,1,0,80,0,4,85,2021,Round 1
126,124,Paul Seedsman,MID,1,2,80,0,1,81,2021,Round 1
127,124,Jack Steele,MID,2,4,80,1,5,87,2021,Round 1
128,129,Shaun Atley,DEF,3,0,79,2,3,89,2021,Round 1
129,129,Jack Bytel,MID,1,0,79,0,2,78,2021,Round 1
130,129,Jack Madgen,DEF,0,0,79,0,2,85,2021,Round 1
131,129,Tom Stewart,DEF,1,0,79,0,1,84,2021,Round 1
132,133,Isaac Cumming,DEF,0,0,78,0,4,83,2021,Round 1
133,133,Sam Draper,RUC,2,2,78,0,4,84,2021,Round 1
134,133,Hugh McCluggage,MID,1,2,78,0,0,86,2021,Round 1
135,133,Jeremy McGovern,KEYD,1,1,78,0,3,76,2021,Round 1
136,133,Dane Rampe,KEYD,3,4,78,0,3,95,2021,Round 1
137,138,Shai Bolton,MID,0,1,77,2,0,79,2021,Round 1
138,138,Mason Cox,KEYF,1,1,77,0,1,80,2021,Round 1
139,138,Aaron Naughton,KEYF,0,0,77,0,1,76,2021,Round 1
140,138,Brad Sheppard,DEF,0,0,77,0,1,95,2021,Round 1
141,142,Kyle Langford,MID,1,0,76,0,2,85,2021,Round 1
142,142,Jake Lloyd,DEF,0,2,76,3,7,82,2021,Round 1
143,142,Oscar McInerney,RUC,3,2,76,0,7,80,2021,Round 1
144,142,Dylan Shiel,MID,0,0,76,0,3,81,2021,Round 1
145,146,Michael Gibbons,FWD,0,0,75,0,1,69,2021,Round 1
146,146,Ben King,KEYF,2,0,75,0,0,89,2021,Round 1
147,148,Karl Amon,MID,0,0,74,1,2,78,2021,Round 1
148,148,Liam Duggan,DEF,0,2,74,0,2,88,2021,Round 1
149,148,Jarman Impey,DEF,0,0,74,1,1,82,2021,Round 1
150,151,Nick Blakey,DEF,1,0,73,2,1,87,2021,Round 1
151,151,Mark Blicavs,KEYD,2,2,73,0,5,88,2021,Round 1
152,151,Angus Brayshaw,MID,2,1,73,0,0,71,2021,Round 1
153,151,Ryan Burton,DEF,2,2,73,0,2,79,2021,Round 1
154,151,Josh Caddy,MID,0,0,73,0,2,79,2021,Round 1
155,151,Toby Greene,FWD,3,0,73,0,0,89,2021,Round 1
156,151,Nick Haynes,DEF,1,1,73,0,6,89,2021,Round 1
157,151,Joel Selwood,MID,1,3,73,0,2,71,2021,Round 1
158,151,Will Setterfield,MID,0,0,73,1,0,75,2021,Round 1
159,160,Luke Breust,FWD,1,0,72,0,0,83,2021,Round 1
160,160,Nick Coffield,DEF,1,0,72,1,1,93,2021,Round 1
161,160,Lachie Fogarty,FWD,2,1,72,0,2,75,2021,Round 1
162,160,Daniel Howe,MID,1,1,72,0,3,67,2021,Round 1
163,160,Lincoln McCarthy,FWD,2,1,72,0,0,82,2021,Round 1
164,160,David Mundy,MID,0,1,72,0,4,77,2021,Round 1
165,166,Jake Kolodjashnij,KEYD,0,0,71,0,7,91,2021,Round 1
166,166,Anthony McDonald-Tipungwuti,FWD,1,0,71,2,1,75,2021,Round 1
167,166,Jackson Nelson,DEF,0,0,71,0,3,85,2021,Round 1
168,166,Wil Powell,DEF,1,0,71,1,1,71,2021,Round 1
169,166,Sam Switkowski,FWD,0,0,71,0,1,75,2021,Round 1
170,171,Andrew Gaff,MID,0,1,70,1,2,90,2021,Round 1
171,171,Max Gawn,RUC,0,2,70,0,7,92,2021,Round 1
172,171,Harry Himmelberg,KEYF,3,1,70,2,4,89,2021,Round 1
173,171,Liam Shiels,MID,0,2,70,0,1,81,2021,Round 1
174,171,Tarryn Thomas,FWD,2,1,70,0,2,70,2021,Round 1
175,176,Jack Darling,KEYF,2,2,69,0,3,96,2021,Round 1
176,176,Brodie Smith,DEF,0,2,69,0,5,89,2021,Round 1
177,176,Adam Tomlinson,KEYD,0,1,69,0,7,96,2021,Round 1
178,176,Sam Wicks,FWD,1,0,69,1,1,85,2021,Round 1
179,180,Taylor Adams,MID,1,1,68,0,0,81,2021,Round 1
180,180,Jack Higgins,FWD,1,1,68,0,2,81,2021,Round 1
181,180,Jeremy Howe,DEF,1,0,68,0,1,91,2021,Round 1
182,180,Stefan Martin,RUC,3,1,68,0,2,84,2021,Round 1
183,180,Touk Miller,MID,2,1,68,0,0,83,2021,Round 1
184,180,Lachie Neale,MID,0,0,68,0,1,84,2021,Round 1
185,180,Tom Powell,FWD,1,1,68,0,0,74,2021,Round 1
186,180,Hayden Young,DEF,1,2,68,0,5,86,2021,Round 1
187,188,Shaun Higgins,FWD,1,2,67,1,0,80,2021,Round 1
188,188,Changkuoth Jiath,DEF,1,2,67,2,2,72,2021,Round 1
189,188,Charlie Spargo,FWD,2,1,67,0,1,69,2021,Round 1
190,188,Matt Taberner,KEYF,0,0,67,0,0,100,2021,Round 1
191,188,James Worpel,MID,0,1,67,0,0,73,2021,Round 1
192,193,Noah Anderson,MID,0,2,66,0,3,75,2021,Round 1
193,193,Bayley Fritsch,FWD,1,1,66,0,1,96,2021,Round 1
194,193,Sam Menegola,MID,1,1,66,0,1,73,2021,Round 1
195,193,Brody Mihocek,KEYF,0,1,66,0,1,81,2021,Round 1
196,193,Christian Salem,DEF,0,1,66,0,2,81,2021,Round 1
197,198,Lachie Ash,DEF,1,1,65,0,0,83,2021,Round 1
198,198,Darcy Byrne-Jones,DEF,1,2,65,2,3,81,2021,Round 1
199,198,Tom Clurey,KEYD,0,0,65,0,8,92,2021,Round 1
200,198,Tom Doedee,KEYD,2,0,65,0,7,84,2021,Round 1
201,198,Zac Fisher,FWD,0,0,65,0,1,79,2021,Round 1
202,198,Robbie Gray,FWD,2,0,65,1,3,74,2021,Round 1
203,198,Logan McDonald,KEYF,0,0,65,0,2,72,2021,Round 1
204,198,Tom Papley,FWD,1,1,65,0,0,83,2021,Round 1
205,198,Marc Pittonet,RUC,1,0,65,0,5,87,2021,Round 1
206,198,Harry Schoenberg,MID,2,1,65,0,1,78,2021,Round 1
207,198,Jy Simpkin,MID,1,2,65,0,0,82,2021,Round 1
208,198,Will Snelling,FWD,0,0,65,0,2,83,2021,Round 1
209,198,Rhys Stanley,RUC,0,1,65,0,4,72,2021,Round 1
210,198,Laitham Vandermeer,FWD,1,0,65,0,3,76,2021,Round 1
211,212,Paddy Dow,MID,2,1,64,0,1,69,2021,Round 1
212,212,Jack Mahony,FWD,3,2,64,0,2,89,2021,Round 1
213,212,Jared Polec,MID,2,3,64,0,1,85,2021,Round 1
214,212,Devon Smith,FWD,1,1,64,0,0,77,2021,Round 1
215,216,Brayden Ham,FWD,0,0,63,0,1,87,2021,Round 1
216,216,Harrison Jones,KEYF,2,0,63,0,3,68,2021,Round 1
217,216,Sean Lemmens,DEF,0,3,63,0,1,87,2021,Round 1
218,216,Ben Long,DEF,0,1,63,0,6,86,2021,Round 1
219,216,Darcy MacPherson,FWD,0,0,63,1,0,77,2021,Round 1
220,216,Gryan Miers,FWD,0,0,63,0,0,87,2021,Round 1
221,222,Oliver Hanrahan,FWD,3,0,62,0,0,66,2021,Round 1
222,222,Tom Highmore,DEF,1,3,62,0,4,70,2021,Round 1
223,222,Liam Ryan,FWD,2,0,62,3,2,87,2021,Round 1
224,222,Alex Sexton,FWD,0,0,62,3,1,83,2021,Round 1
225,226,Dan Butler,FWD,1,1,61,1,0,90,2021,Round 1
226,226,Jordan Dawson,DEF,3,0,61,0,4,87,2021,Round 1
227,226,Jordan De Goey,FWD,0,1,61,0,0,87,2021,Round 1
228,226,Oliver Florent,MID,1,3,61,0,4,79,2021,Round 1
229,226,Bradley Hill,DEF,0,1,61,0,1,80,2021,Round 1
230,226,Peter Ladhams,RUC,0,1,61,0,0,83,2021,Round 1
231,226,Connor Menadue,DEF,2,0,61,1,1,75,2021,Round 1
232,226,Peter Wright,RUC,2,1,61,0,4,88,2021,Round 1
233,234,James Aish,DEF,1,0,60,1,2,78,2021,Round 1
234,234,Jarrod Berry,MID,1,2,60,0,1,78,2021,Round 1
235,234,Jason Castagna,FWD,0,0,60,2,3,84,2021,Round 1
236,234,Ethan Hughes,DEF,2,1,60,0,3,82,2021,Round 1
237,234,Lachlan Keeffe,KEYD,1,0,60,0,0,86,2021,Round 1
238,234,Harry McKay,KEYF,0,0,60,0,0,90,2021,Round 1
239,234,Xavier O'Neill,FWD,1,0,60,0,1,72,2021,Round 1
240,241,Josh P. Kennedy,MID,0,1,59,0,0,72,2021,Round 1
241,241,Jack Sinclair,DEF,0,1,59,0,3,83,2021,Round 1
242,241,Tom Sparrow,FWD,0,0,59,0,2,65,2021,Round 1
243,241,Adam Treloar,FWD,1,1,59,1,1,77,2021,Round 1
244,245,Zac Bailey,FWD,2,5,58,0,0,76,2021,Round 1
245,245,Jamie Elliott,FWD,1,1,58,0,0,82,2021,Round 1
246,245,Nathan Jones,FWD,0,0,58,0,0,72,2021,Round 1
247,245,Jack Lonie,FWD,0,0,58,0,0,89,2021,Round 1
248,245,Dom Tyson,MID,0,1,58,0,1,61,2021,Round 1
249,250,Shaun Burgoyne,DEF,0,1,57,0,7,79,2021,Round 1
250,250,Sam Frost,KEYD,0,0,57,0,8,97,2021,Round 1
251,250,Nic Naitanui,RUC,1,1,57,0,0,66,2021,Round 1
252,250,Isaac Quaynor,DEF,0,0,57,0,7,85,2021,Round 1
253,250,Jordan Roughead,KEYD,1,1,57,0,7,96,2021,Round 1
254,250,Chad Warner,MID,0,2,57,0,1,76,2021,Round 1
255,256,Dougal Howard,KEYD,0,0,56,0,15,96,2021,Round 1
256,256,Josh J. Kennedy,KEYF,1,2,56,0,0,86,2021,Round 1
257,256,Oscar McDonald,KEYF,3,1,56,0,2,49,2021,Round 1
258,256,Toby Nankervis,RUC,0,1,56,0,7,75,2021,Round 1
259,256,Alex Neal-Bullen,FWD,2,0,56,2,2,74,2021,Round 1
260,256,Sam Petrevski-Seton,DEF,1,0,56,0,2,74,2021,Round 1
261,256,Daniel Rioli,FWD,1,0,56,0,2,72,2021,Round 1
262,256,Lachie Schultz,FWD,4,1,56,0,0,83,2021,Round 1
263,264,Tyler Brown,MID,0,0,55,0,3,75,2021,Round 1
264,264,Bailey Dale,DEF,1,1,55,0,2,71,2021,Round 1
265,264,Tom Hawkins,KEYF,0,2,55,0,2,97,2021,Round 1
266,264,Todd Marshall,KEYF,1,1,55,0,2,84,2021,Round 1
267,264,Sam Reid,KEYF,0,1,55,0,5,84,2021,Round 1
268,264,Mitch Robinson,MID,1,0,55,0,3,73,2021,Round 1
