,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Taylor Adams,MID,4,2,98,0,1,77,2020,Round 11
1,1,Eric Hipwood,KEYF,4,1,73,0,2,97,2020,Round 11
2,1,Nic Naitanui,RUC,4,1,77,0,2,73,2020,Round 11
3,1,Ollie Wines,MID,4,0,124,0,3,75,2020,Round 11
4,5,Aiden Bonar,DEF,3,0,34,0,4,49,2020,Round 11
5,5,Callum L. Brown,FWD,3,0,61,0,0,84,2020,Round 11
6,5,Charlie Dixon,KEYF,3,1,78,0,3,94,2020,Round 11
7,5,Trent Dumont,MID,3,1,109,0,1,81,2020,Round 11
8,5,Hamish Hartlett,DEF,3,0,67,0,0,85,2020,Round 11
9,5,Andrew McGrath,MID,3,0,78,0,1,79,2020,Round 11
10,5,Christian Petracca,MID,3,0,109,1,1,83,2020,Round 11
11,5,Sam Powell-Pepper,FWD,3,3,62,0,2,78,2020,Round 11
12,5,Tom Rockliff,MID,3,1,82,0,0,79,2020,Round 11
13,5,Will Setterfield,MID,3,0,77,0,3,85,2020,Round 11
14,5,Nathan Wilson,DEF,3,1,82,0,4,88,2020,Round 11
15,16,Tom Bellchambers,RUC,2,0,66,0,2,85,2020,Round 11
16,16,Luke Breust,FWD,2,2,65,0,1,76,2020,Round 11
17,16,Brad Close,FWD,2,1,50,0,1,75,2020,Round 11
18,16,Josh Corbett,FWD,2,1,48,0,0,86,2020,Round 11
19,16,Patrick Dangerfield,MID,2,0,89,0,1,84,2020,Round 11
20,16,Sean Darcy,RUC,2,0,78,0,3,78,2020,Round 11
21,16,Jack Darling,KEYF,2,0,61,0,2,89,2020,Round 11
22,16,Will Day,DEF,2,0,59,0,3,81,2020,Round 11
23,16,Taylin Duman,DEF,2,0,51,0,5,84,2020,Round 11
24,16,Bayley Fritsch,FWD,2,0,73,0,1,72,2020,Round 11
25,16,Andrew Gaff,MID,2,0,81,0,0,92,2020,Round 11
26,16,Brodie Grundy,RUC,2,1,72,0,1,76,2020,Round 11
27,16,Jack Gunston,KEYF,2,0,55,0,2,93,2020,Round 11
28,16,Stephen Hill,DEF,2,2,47,0,2,77,2020,Round 11
29,16,Jake Kolodjashnij,DEF,2,1,60,0,1,82,2020,Round 11
30,16,Nick Larkey,KEYF,2,0,63,0,1,95,2020,Round 11
31,16,Rory Lobb,RUC,2,0,52,0,1,100,2020,Round 11
32,16,Scott Lycett,RUC,2,0,52,0,2,69,2020,Round 11
33,16,Jack Macrae,MID,2,1,128,1,4,88,2020,Round 11
34,16,Tom McDonald,KEYF,2,0,82,0,3,84,2020,Round 11
35,16,Ben McEvoy,RUC,2,1,58,0,10,75,2020,Round 11
36,16,Tom Mitchell,MID,2,1,89,0,0,89,2020,Round 11
37,16,Reilly O'Brien,RUC,2,1,64,0,1,89,2020,Round 11
38,16,Tom Phillips,FWD,2,0,83,0,2,87,2020,Round 11
39,16,Jordan Ridley,DEF,2,1,95,1,3,78,2020,Round 11
40,16,Gary Rohan,FWD,2,0,90,0,2,83,2020,Round 11
41,16,Christian Salem,DEF,2,2,60,0,1,84,2020,Round 11
42,16,Jack Steven,FWD,2,1,79,0,0,69,2020,Round 11
43,16,Robbie Tarrant,KEYD,2,0,91,0,6,86,2020,Round 11
44,16,Bailey Williams,DEF,2,0,80,1,1,82,2020,Round 11
45,16,Rupert Wills,MID,2,2,61,0,2,75,2020,Round 11
46,16,Jarrod Witts,RUC,2,3,59,0,4,92,2020,Round 11
47,16,James Worpel,MID,2,0,97,0,2,87,2020,Round 11
48,16,Dayne Zorko,MID,2,1,115,0,5,87,2020,Round 11
49,16,Cameron Zurhaar,FWD,2,1,56,0,0,92,2020,Round 11
50,51,Brendon Ah Chee,FWD,1,0,31,0,2,71,2020,Round 11
51,51,Ben Ainsworth,FWD,1,0,36,0,1,82,2020,Round 11
52,51,James Aish,MID,1,0,69,0,2,85,2020,Round 11
53,51,Oscar Allen,KEYF,1,0,46,0,1,82,2020,Round 11
54,51,Charlie Ballard,KEYD,1,1,49,0,3,98,2020,Round 11
55,51,Tom Barrass,KEYD,1,0,48,0,12,97,2020,Round 11
56,51,Josh Battle,FWD,1,1,42,1,0,78,2020,Round 11
57,51,Jarrod Berry,MID,1,3,60,0,2,76,2020,Round 11
58,51,Eddie Betts,FWD,1,0,45,0,1,89,2020,Round 11
59,51,Mark Blicavs,KEYD,1,0,60,0,2,84,2020,Round 11
60,51,Shai Bolton,MID,1,1,64,0,0,84,2020,Round 11
61,51,Jack Bowes,DEF,1,0,68,0,2,83,2020,Round 11
62,51,Tim Broomhead,FWD,1,1,22,0,0,79,2020,Round 11
63,51,Luke Brown,DEF,1,0,47,0,3,92,2020,Round 11
64,51,Dan Butler,FWD,1,0,25,0,0,80,2020,Round 11
65,51,Jack Bytel,MID,1,2,52,0,0,73,2020,Round 11
66,51,Darcy Cameron,KEYF,1,1,87,0,1,80,2020,Round 11
67,51,Jake Carlisle,KEYD,1,0,46,0,6,95,2020,Round 11
68,51,Adam Cerra,MID,1,1,104,0,4,84,2020,Round 11
69,51,Mabior Chol,RUC,1,1,44,0,2,57,2020,Round 11
70,51,Hunter Clark,DEF,1,2,53,0,1,82,2020,Round 11
71,51,Dylan Clarke,FWD,1,1,51,0,1,64,2020,Round 11
72,51,Tom Clurey,KEYD,1,0,31,0,3,85,2020,Round 11
73,51,Zaine Cordy,KEYD,1,0,47,0,5,93,2020,Round 11
74,51,Matthew Cottrell,MID,1,0,33,0,0,75,2020,Round 11
75,51,Patrick Cripps,MID,1,2,79,0,1,91,2020,Round 11
76,51,Jamie Cripps,FWD,1,1,53,0,1,90,2020,Round 11
77,51,Ed Curnow,MID,1,1,52,0,1,89,2020,Round 11
78,51,Tom Cutler,MID,1,1,41,0,0,78,2020,Round 11
79,51,Sam Day,KEYF,1,1,60,0,2,80,2020,Round 11
80,51,Sam Docherty,DEF,1,0,60,1,4,86,2020,Round 11
81,51,Tom Doedee,KEYD,1,1,63,0,5,77,2020,Round 11
82,51,Lynden Dunn,KEYD,1,0,54,0,8,93,2020,Round 11
83,51,Brandon Ellis,MID,1,1,66,1,1,82,2020,Round 11
84,51,Brayden Fiorini,MID,1,0,62,0,0,80,2020,Round 11
85,51,Darcy Fogarty,KEYF,1,3,22,0,0,91,2020,Round 11
86,51,Mitch Georgiades,KEYF,1,1,34,0,0,75,2020,Round 11
87,51,Michael Gibbons,FWD,1,2,24,2,0,78,2020,Round 11
88,51,Martin Gleeson,DEF,1,1,53,0,0,85,2020,Round 11
89,51,Todd Goldstein,RUC,1,0,69,0,1,87,2020,Round 11
90,51,Aaron Hall,FWD,1,1,67,2,2,73,2020,Round 11
91,51,James Harmes,DEF,1,2,21,0,0,78,2020,Round 11
92,51,Nick Hind,FWD,1,0,27,0,2,69,2020,Round 11
93,51,Dougal Howard,KEYD,1,0,30,0,8,95,2020,Round 11
94,51,Ethan Hughes,DEF,1,1,68,0,3,88,2020,Round 11
95,51,Ben Keays,MID,1,3,41,0,0,85,2020,Round 11
96,51,Matthew Kennedy,FWD,1,0,77,0,0,81,2020,Round 11
97,51,Max King,KEYF,1,0,29,0,2,77,2020,Round 11
98,51,Peter Ladhams,RUC,1,1,90,0,2,74,2020,Round 11
99,51,Rory Laird,MID,1,2,139,0,4,80,2020,Round 11
100,51,Sean Lemmens,FWD,1,2,38,0,0,69,2020,Round 11
101,51,Jake Lever,KEYD,1,0,64,0,8,95,2020,Round 11
102,51,Patrick Lipinski,MID,1,0,72,0,1,77,2020,Round 11
103,51,Sam Lloyd,FWD,1,0,54,0,0,74,2020,Round 11
104,51,Ben Long,DEF,1,0,53,1,3,81,2020,Round 11
105,51,Jamie Macmillan,DEF,1,1,47,1,3,86,2020,Round 11
106,51,Jack Mahony,FWD,1,2,24,0,0,74,2020,Round 11
107,51,Rowan Marshall,RUC,1,1,78,0,1,94,2020,Round 11
108,51,Dustin Martin,FWD,1,1,75,0,2,89,2020,Round 11
109,51,Hugh McCluggage,MID,1,0,100,0,0,83,2020,Round 11
110,51,Anthony McDonald-Tipungwuti,FWD,1,0,39,0,2,81,2020,Round 11
111,51,Ned McHenry,FWD,1,0,38,0,0,81,2020,Round 11
112,51,Oscar McInerney,RUC,1,0,82,0,4,85,2020,Round 11
113,51,Kamdyn McIntosh,MID,1,1,69,0,1,87,2020,Round 11
114,51,Toby McLean,FWD,1,0,36,0,0,79,2020,Round 11
115,51,Andrew McPherson,DEF,1,0,54,0,2,80,2020,Round 11
116,51,Zach Merrett,MID,1,0,93,0,0,83,2020,Round 11
117,51,Brody Mihocek,KEYF,1,0,72,0,0,94,2020,Round 11
118,51,John Noble,DEF,1,0,65,1,0,82,2020,Round 11
