,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
69,41,Kane Lambert,FWD,1,2,79,0,2,83,2018,Finals Week 1
70,41,Tom Langdon,DEF,1,2,40,0,10,91,2018,Finals Week 1
71,41,Rory Lobb,RUC,1,1,74,0,9,91,2018,Finals Week 1
72,41,Scott Lycett,RUC,1,2,47,0,4,76,2018,Finals Week 1
73,41,Dustin Martin,MID,1,1,110,0,3,87,2018,Finals Week 1
74,41,Chris Masten,MID,1,0,41,0,1,85,2018,Finals Week 1
75,41,Brayden Maynard,DEF,1,2,53,0,7,87,2018,Finals Week 1
76,41,Tom McCartin,KEYF,1,1,21,0,0,73,2018,Finals Week 1
77,41,Kamdyn McIntosh,MID,1,1,70,0,4,81,2018,Finals Week 1
78,41,Jarrad McVeigh,DEF,1,0,63,0,3,87,2018,Finals Week 1
79,41,Jake Melksham,FWD,1,3,57,1,2,81,2018,Finals Week 1
80,41,Daniel Menzel,FWD,1,0,36,0,1,82,2018,Finals Week 1
81,41,Brody Mihocek,KEYF,1,1,76,0,3,83,2018,Finals Week 1
82,41,Jaeger O'Meara,MID,1,3,73,0,3,88,2018,Finals Week 1
83,41,Brandan Parfitt,FWD,1,1,56,0,2,74,2018,Finals Week 1
84,41,Harry Perryman,DEF,1,0,48,0,3,81,2018,Finals Week 1
85,41,Christian Petracca,FWD,1,0,72,0,3,92,2018,Finals Week 1
86,41,Tom Phillips,MID,1,2,100,0,0,91,2018,Finals Week 1
87,41,Dion Prestia,MID,1,0,97,0,1,76,2018,Finals Week 1
88,41,Paul Puopolo,FWD,1,3,53,0,0,81,2018,Finals Week 1
89,41,Dane Rampe,KEYD,1,4,59,0,6,94,2018,Finals Week 1
90,41,Jack Riewoldt,KEYF,1,0,66,0,2,94,2018,Finals Week 1
91,41,Jarryd Roughead,KEYF,1,0,61,0,1,93,2018,Finals Week 1
92,41,Christian Salem,DEF,1,0,102,0,3,76,2018,Finals Week 1
93,41,Scott Selwood,MID,1,1,60,0,1,89,2018,Finals Week 1
94,41,Dom Sheed,MID,1,0,97,0,2,76,2018,Finals Week 1
95,41,Liam Shiels,MID,1,0,131,0,0,79,2018,Finals Week 1
96,41,James Sicily,DEF,1,1,84,0,8,92,2018,Finals Week 1
97,41,Brayden Sier,MID,1,1,69,0,2,67,2018,Finals Week 1
98,41,Callum Sinclair,RUC,1,2,62,0,8,92,2018,Finals Week 1
99,41,Jaidyn Stephenson,FWD,1,1,67,0,3,70,2018,Finals Week 1
100,41,Ben Stratton,DEF,1,0,43,0,9,61,2018,Finals Week 1
101,41,Travis Varcoe,FWD,1,1,59,0,1,71,2018,Finals Week 1
102,41,Nathan Vardy,RUC,1,0,57,0,4,77,2018,Finals Week 1
103,41,Daniel Venables,FWD,1,3,41,0,0,73,2018,Finals Week 1
104,41,Zac Williams,DEF,1,1,107,0,3,74,2018,Finals Week 1
105,41,James Worpel,FWD,1,2,56,0,1,84,2018,Finals Week 1
106,41,Aaron vandenBerg,FWD,1,3,80,0,0,79,2018,Finals Week 1
107,108,Ryan Abbott,RUC,0,2,61,0,5,81,2018,Finals Week 1
108,108,Gary Ablett,MID,0,1,110,0,0,87,2018,Finals Week 1
109,108,David Astbury,KEYD,0,0,43,0,8,96,2018,Finals Week 1
110,108,Jed Bews,DEF,0,1,41,0,0,91,2018,Finals Week 1
111,108,Angus Brayshaw,MID,0,0,94,2,3,71,2018,Finals Week 1
112,108,Luke Breust,FWD,0,1,54,0,2,86,2018,Finals Week 1
113,108,Matt Buntine,DEF,0,0,58,0,5,81,2018,Finals Week 1
114,108,Ryan Burton,DEF,0,0,65,0,8,81,2018,Finals Week 1
115,108,Reece Conca,MID,0,0,75,0,1,70,2018,Finals Week 1
116,108,Mason Cox,KEYF,0,1,18,0,7,88,2018,Finals Week 1
117,108,Jamie Cripps,FWD,0,1,62,0,0,93,2018,Finals Week 1
118,108,Jack Crisp,DEF,0,1,76,0,4,90,2018,Finals Week 1
119,108,Liam Duggan,DEF,0,1,76,0,2,81,2018,Finals Week 1
120,108,Shane Edwards,FWD,0,0,58,0,2,86,2018,Finals Week 1
121,108,Lance Franklin,KEYF,0,2,22,0,0,87,2018,Finals Week 1
