,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Nick Blakey,KEYF,4,2,65,0,0,84,2019,Round 15
1,1,Marcus Bontempelli,MID,4,4,106,0,4,89,2019,Round 15
2,1,Charlie Dixon,KEYF,4,2,65,0,3,86,2019,Round 15
3,1,Levi Greenwood,DEF,4,1,81,0,2,80,2019,Round 15
4,1,Ivan Soldo,RUC,4,2,52,0,2,54,2019,Round 15
5,6,Blake Acres,FWD,3,2,86,1,1,78,2019,Round 15
6,6,Tom Bellchambers,RUC,3,1,77,0,1,56,2019,Round 15
7,6,Jarrod Berry,MID,3,0,55,1,0,73,2019,Round 15
8,6,Travis Boak,MID,3,1,107,0,2,83,2019,Round 15
9,6,Luke Brown,DEF,3,0,58,3,0,81,2019,Round 15
10,6,Jack Crisp,DEF,3,0,108,0,2,98,2019,Round 15
11,6,Patrick Dangerfield,MID,3,2,92,1,3,87,2019,Round 15
12,6,Phil Davis,KEYD,3,0,74,0,9,91,2019,Round 15
13,6,Sam Frost,KEYD,3,1,69,0,5,90,2019,Round 15
14,6,Isaac Heeney,FWD,3,2,114,0,0,90,2019,Round 15
15,6,Cale Hooker,KEYD,3,1,61,1,1,88,2019,Round 15
16,6,Jarman Impey,DEF,3,2,87,0,3,81,2019,Round 15
17,6,Ben King,KEYF,3,0,40,0,0,74,2019,Round 15
18,6,Scott Lycett,RUC,3,2,141,1,11,80,2019,Round 15
19,6,Hugh McCluggage,MID,3,0,94,0,3,86,2019,Round 15
20,6,Brody Mihocek,KEYF,3,0,70,0,1,97,2019,Round 15
21,6,Anthony Miles,MID,3,1,111,0,0,79,2019,Round 15
22,6,Shane Mumford,RUC,3,6,62,0,2,79,2019,Round 15
23,6,Marc Murphy,MID,3,1,114,0,3,88,2019,Round 15
24,6,Nic Naitanui,RUC,3,1,76,0,9,58,2019,Round 15
25,6,Lachie Neale,MID,3,0,122,0,0,89,2019,Round 15
26,6,Tim O'Brien,KEYD,3,0,46,0,14,87,2019,Round 15
27,6,Darcy Parish,FWD,3,0,83,0,0,78,2019,Round 15
28,6,Paul Puopolo,FWD,3,0,65,0,2,79,2019,Round 15
29,6,Sam Switkowski,FWD,3,2,60,0,1,73,2019,Round 15
30,6,Elliot Yeo,MID,3,1,91,0,1,88,2019,Round 15
31,32,Josh Battle,KEYD,2,2,106,1,1,85,2019,Round 15
32,32,Josh Begley,FWD,2,0,36,0,1,71,2019,Round 15
33,32,Luke Breust,FWD,2,0,73,0,1,76,2019,Round 15
34,32,Zak Butters,FWD,2,0,76,0,1,79,2019,Round 15
35,32,Josh Caddy,FWD,2,1,68,0,0,76,2019,Round 15
36,32,Levi Casboult,KEYF,2,0,87,0,5,87,2019,Round 15
37,32,Hunter Clark,DEF,2,1,91,0,2,85,2019,Round 15
38,32,Reece Conca,MID,2,1,93,0,2,73,2019,Round 15
39,32,Zaine Cordy,KEYD,2,1,43,0,10,97,2019,Round 15
40,32,Jordan De Goey,FWD,2,0,74,0,2,89,2019,Round 15
41,32,Sam Durdin,KEYD,2,1,66,0,7,90,2019,Round 15
42,32,Xavier Duursma,MID,2,0,53,0,2,78,2019,Round 15
43,32,Nat Fyfe,MID,2,0,133,0,4,90,2019,Round 15
44,32,Darcy Gardiner,DEF,2,0,58,0,2,94,2019,Round 15
45,32,Todd Goldstein,RUC,2,2,64,0,4,88,2019,Round 15
46,32,Hugh Greenwood,FWD,2,1,79,0,1,71,2019,Round 15
47,32,Brodie Grundy,RUC,2,2,112,0,2,95,2019,Round 15
48,32,Hamish Hartlett,DEF,2,0,112,0,6,87,2019,Round 15
49,32,Dyson Heppell,MID,2,0,95,0,1,83,2019,Round 15
50,32,Daniel Howe,MID,2,2,61,0,1,82,2019,Round 15
51,32,Liam Jones,KEYD,2,1,60,0,1,87,2019,Round 15
52,32,Josh J. Kennedy,KEYF,2,1,21,0,2,94,2019,Round 15
53,32,Matthew Kennedy,FWD,2,2,56,0,0,82,2019,Round 15
54,32,Nick Larkey,KEYF,2,2,29,0,2,84,2019,Round 15
55,32,Jayden Laverde,FWD,2,1,48,0,1,87,2019,Round 15
56,32,Jack Lukosius,DEF,2,2,70,0,6,81,2019,Round 15
57,32,Tom J. Lynch,KEYF,2,2,65,0,3,90,2019,Round 15
58,32,Stefan Martin,RUC,2,0,120,0,4,92,2019,Round 15
59,32,Chris Masten,MID,2,1,43,0,4,80,2019,Round 15
60,32,Chris Mayne,MID,2,0,82,0,3,87,2019,Round 15
61,32,Zach Merrett,MID,2,0,102,2,0,77,2019,Round 15
62,32,Conor Nash,KEYF,2,0,43,0,4,83,2019,Round 15
63,32,Alex Neal-Bullen,FWD,2,0,69,0,0,85,2019,Round 15
64,32,Reilly O'Brien,RUC,2,0,128,0,4,88,2019,Round 15
65,32,Jaeger O'Meara,MID,2,2,134,0,1,89,2019,Round 15
66,32,Luke Parker,MID,2,2,105,0,1,91,2019,Round 15
67,32,Matthew Parker,FWD,2,0,59,1,2,73,2019,Round 15
68,32,Ben Paton,DEF,2,0,61,0,1,76,2019,Round 15
69,32,Scott Pendlebury,MID,2,1,95,1,5,92,2019,Round 15
70,32,Jack Redden,MID,2,1,102,0,7,87,2019,Round 15
71,32,Daniel Rioli,FWD,2,0,58,0,2,81,2019,Round 15
72,32,Adam Saad,DEF,2,0,80,5,3,90,2019,Round 15
73,32,Brad Scheer,FWD,2,1,45,0,0,90,2019,Round 15
74,32,Joel Selwood,MID,2,0,115,0,2,80,2019,Round 15
75,32,Brad Sheppard,DEF,2,1,68,0,7,96,2019,Round 15
76,32,Jack Silvagni,FWD,2,2,84,0,3,91,2019,Round 15
77,32,Rory Sloane,MID,2,0,108,0,1,86,2019,Round 15
78,32,Josh Thomas,FWD,2,0,43,0,1,78,2019,Round 15
79,32,Travis Varcoe,FWD,2,1,62,0,0,83,2019,Round 15
80,32,Michael Walters,FWD,2,0,83,0,3,88,2019,Round 15
81,32,Jarrod Witts,RUC,2,1,115,0,3,80,2019,Round 15
82,83,Gary Ablett,FWD,1,3,51,0,1,87,2019,Round 15
83,83,Oscar Allen,KEYF,1,4,33,0,9,80,2019,Round 15
84,83,Noah Answerth,DEF,1,0,64,0,3,75,2019,Round 15
85,83,David Astbury,KEYD,1,0,88,0,4,97,2019,Round 15
86,83,Zac Bailey,DEF,1,1,45,0,0,83,2019,Round 15
87,83,Charlie Ballard,KEYD,1,1,75,0,4,88,2019,Round 15
88,83,Bailey Banfield,FWD,1,3,52,0,2,73,2019,Round 15
89,83,Eddie Betts,FWD,1,0,36,0,0,82,2019,Round 15
90,83,Brett Bewley,FWD,1,0,54,0,0,64,2019,Round 15
91,83,Mark Blicavs,KEYD,1,0,101,0,8,89,2019,Round 15
92,83,Riley Bonner,DEF,1,0,40,0,4,79,2019,Round 15
93,83,Nathan Broad,DEF,1,0,52,1,3,84,2019,Round 15
94,83,Ben Brown,KEYF,1,2,72,0,1,100,2019,Round 15
95,83,Mitch Brown,KEYF,1,2,39,1,1,97,2019,Round 15
96,83,Darcy Byrne-Jones,DEF,1,0,89,0,2,85,2019,Round 15
97,83,Charles Cameron,FWD,1,1,44,1,0,87,2019,Round 15
98,83,Jeremy Cameron,KEYF,1,2,81,0,1,86,2019,Round 15
99,83,Jake Carlisle,KEYD,1,1,54,0,4,90,2019,Round 15
100,83,Jonathon Ceglar,RUC,1,2,71,0,3,89,2019,Round 15
101,83,Mabior Chol,RUC,1,0,106,0,4,69,2019,Round 15
102,83,Jordan Clark,MID,1,0,96,0,2,76,2019,Round 15
103,83,Dylan Clarke,MID,1,1,69,0,1,83,2019,Round 15
104,83,Stephen Coniglio,MID,1,1,112,0,2,89,2019,Round 15
105,83,Trent Cotchin,MID,1,3,58,0,0,76,2019,Round 15
106,83,Mason Cox,KEYF,1,1,42,0,2,95,2019,Round 15
107,83,Brad Crouch,MID,1,1,104,0,1,76,2019,Round 15
108,83,Hayden Crozier,DEF,1,1,60,0,6,82,2019,Round 15
109,83,Ed Curnow,MID,1,3,101,0,2,90,2019,Round 15
110,83,Luke Dahlhaus,FWD,1,1,78,0,1,88,2019,Round 15
111,83,Josh Daicos,MID,1,0,83,0,1,78,2019,Round 15
112,83,Caleb Daniel,DEF,1,1,84,1,3,80,2019,Round 15
113,83,Jack Darling,KEYF,1,1,105,0,3,98,2019,Round 15
114,83,Jordan Dawson,DEF,1,1,96,1,2,86,2019,Round 15
115,83,Sam Day,KEYF,1,0,50,0,3,81,2019,Round 15
116,83,Josh Dunkley,MID,1,1,121,0,3,85,2019,Round 15
117,83,Luke Dunstan,MID,1,1,73,0,2,77,2019,Round 15
118,83,Taylor Duryea,DEF,1,1,45,0,6,75,2019,Round 15
119,83,Brad Ebert,FWD,1,0,46,0,1,88,2019,Round 15
120,83,Tim English,RUC,1,3,50,0,7,84,2019,Round 15
121,83,Orazio Fantasia,FWD,1,2,41,0,1,77,2019,Round 15
122,83,Kane Farrell,FWD,1,0,36,0,2,76,2019,Round 15
123,83,Lachie Fogarty,MID,1,0,55,0,1,56,2019,Round 15
124,83,Aaron Francis,KEYD,1,0,73,0,2,78,2019,Round 15
125,83,Bayley Fritsch,DEF,1,0,74,0,0,79,2019,Round 15
126,83,Andrew Gaff,MID,1,0,119,0,0,91,2019,Round 15
127,83,Jordan Gallucci,FWD,1,0,51,2,2,82,2019,Round 15
128,83,Martin Gleeson,DEF,1,1,41,0,6,87,2019,Round 15
129,83,Jack Graham,MID,1,3,89,0,2,70,2019,Round 15
130,83,Robbie Gray,FWD,1,3,72,0,0,83,2019,Round 15
131,83,Toby Greene,FWD,1,0,82,0,1,85,2019,Round 15
132,83,Jade Gresham,FWD,1,3,77,1,2,78,2019,Round 15
133,83,Jack Gunston,KEYF,1,0,66,0,2,91,2019,Round 15
134,83,Joel Hamling,KEYD,1,1,44,0,14,95,2019,Round 15
135,83,Mitch Hannan,FWD,1,0,77,0,2,83,2019,Round 15
136,83,Dan Hannebery,MID,1,1,82,0,0,68,2019,Round 15
137,83,Jarrod Harbrow,DEF,1,0,64,0,5,91,2019,Round 15
138,83,Kyron Hayden,MID,1,1,27,0,1,41,2019,Round 15
139,83,George Hewett,MID,1,0,110,0,0,93,2019,Round 15
140,83,Michael Hibberd,DEF,1,0,60,0,2,82,2019,Round 15
141,83,Nick Hind,FWD,1,1,64,0,1,83,2019,Round 15
142,83,Jacob Hopper,MID,1,3,77,0,2,74,2019,Round 15
143,83,Marty Hore,DEF,1,0,50,0,6,85,2019,Round 15
144,83,Lachie Hunter,MID,1,1,57,0,0,92,2019,Round 15
145,83,Michael Hurley,KEYD,1,0,56,0,5,99,2019,Round 15
146,83,Shannon Hurn,DEF,1,1,80,0,6,80,2019,Round 15
147,83,Mark Hutchings,MID,1,1,33,0,1,42,2019,Round 15
148,83,Tom Jonas,KEYD,1,1,64,0,10,94,2019,Round 15
149,83,Jesse Joyce,DEF,1,0,85,1,3,90,2019,Round 15
150,83,Alex Keath,KEYD,1,3,65,0,4,89,2019,Round 15
151,83,Tim Kelly,MID,1,1,121,2,1,87,2019,Round 15
152,83,Adam Kennedy,DEF,1,0,52,2,0,84,2019,Round 15
153,83,Kane Lambert,FWD,1,2,77,0,1,78,2019,Round 15
154,83,Zac Langdon,FWD,1,2,45,0,1,76,2019,Round 15
155,83,Kyle Langford,FWD,1,1,95,0,3,79,2019,Round 15
156,83,Ben Long,FWD,1,0,81,0,2,79,2019,Round 15
157,83,Jarryd Lyons,MID,1,0,135,0,2,79,2019,Round 15
158,83,Caleb Marchbank,DEF,1,0,92,0,9,93,2019,Round 15
159,83,Rowan Marshall,RUC,1,2,121,0,2,89,2019,Round 15
160,83,Jack Martin,FWD,1,1,55,0,1,72,2019,Round 15
161,83,Brayden Maynard,DEF,1,2,72,0,4,84,2019,Round 15
162,83,Cam McCarthy,KEYF,1,2,60,0,0,94,2019,Round 15
163,83,Lincoln McCarthy,FWD,1,2,80,1,1,79,2019,Round 15
164,83,Tom McDonald,KEYF,1,1,68,0,2,92,2019,Round 15
165,83,Mitch McGovern,KEYF,1,0,44,0,0,77,2019,Round 15
166,83,Oscar McInerney,RUC,1,0,23,0,0,34,2019,Round 15
167,83,Kamdyn McIntosh,MID,1,1,50,0,3,87,2019,Round 15
168,83,Shaun McKernan,KEYF,1,2,92,0,2,87,2019,Round 15
169,83,Lewis Melican,KEYD,1,0,43,0,10,92,2019,Round 15
170,83,Tim Membrey,KEYF,1,0,71,0,0,83,2019,Round 15
171,83,Touk Miller,MID,1,0,64,0,1,81,2019,Round 15
172,83,Callum Mills,DEF,1,0,87,0,3,83,2019,Round 15
173,83,Dylan Moore,FWD,1,2,32,0,0,62,2019,Round 15
174,83,Lachlan Murphy,FWD,1,0,68,0,0,80,2019,Round 15
175,83,Jackson Nelson,DEF,1,0,75,0,6,90,2019,Round 15
176,83,Nic Newman,DEF,1,0,104,0,0,78,2019,Round 15
177,83,Colin O'Riordan,DEF,1,1,45,0,3,75,2019,Round 15
178,83,Brandan Parfitt,FWD,1,1,63,0,1,61,2019,Round 15
179,83,Harry Perryman,MID,1,0,65,0,0,80,2019,Round 15
180,83,Christian Petracca,FWD,1,0,77,0,1,90,2019,Round 15
181,83,Harrison Petty,KEYF,1,2,54,0,4,83,2019,Round 15
182,83,Lachie Plowman,DEF,1,1,76,0,5,98,2019,Round 15
