,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Hayden Ballantyne,FWD,3,0,58,0,2,79,2013,Grand Final
1,1,Liam Shiels,MID,3,0,81,0,3,85,2013,Grand Final
2,3,Ryan Crowley,MID,2,1,44,0,0,88,2013,Grand Final
3,3,Sam Mitchell,MID,2,1,59,0,2,90,2013,Grand Final
4,3,Cyril Rioli,FWD,2,0,85,2,3,81,2013,Grand Final
5,3,Jarryd Roughead,KEYF,2,2,83,0,2,93,2013,Grand Final
6,3,Nicholas Suban,MID,2,0,57,1,1,74,2013,Grand Final
7,8,Luke Breust,FWD,1,0,77,0,1,79,2013,Grand Final
8,8,Lance Franklin,KEYF,1,1,84,0,0,93,2013,Grand Final
9,8,Nat Fyfe,MID,1,2,98,0,1,85,2013,Grand Final
10,8,Jack Gunston,FWD,1,1,94,0,1,92,2013,Grand Final
11,8,Luke Hodge,DEF,1,1,74,0,5,80,2013,Grand Final
12,8,Jordan Lewis,MID,1,0,111,0,2,88,2013,Grand Final
13,8,Chris Mayne,FWD,1,0,68,0,0,80,2013,Grand Final
14,8,David Mundy,MID,1,0,119,0,1,79,2013,Grand Final
15,8,Lachie Neale,MID,1,0,26,2,1,20,2013,Grand Final
16,8,Matthew Pavlich,KEYF,1,1,86,0,0,90,2013,Grand Final
17,8,Paul Puopolo,FWD,1,1,52,0,1,80,2013,Grand Final
18,8,Lee Spurr,DEF,1,1,54,0,3,95,2013,Grand Final
19,8,Cam Sutcliffe,DEF,1,0,27,0,3,97,2013,Grand Final
20,21,Max Bailey,RUC,0,0,40,0,2,60,2013,Grand Final
21,21,Michael Barlow,MID,0,2,96,0,0,82,2013,Grand Final
22,21,Grant Birchall,DEF,0,0,101,0,1,82,2013,Grand Final
23,21,Shaun Burgoyne,MID,0,0,55,0,3,90,2013,Grand Final
24,21,Zac Clarke,RUC,0,1,31,0,2,58,2013,Grand Final
25,21,Zac Dawson,KEYD,0,4,19,0,2,100,2013,Grand Final
26,21,Paul Duffield,DEF,0,0,76,3,3,97,2013,Grand Final
27,21,Josh Gibson,KEYD,0,1,78,0,6,100,2013,Grand Final
28,21,Brent Guerra,DEF,0,1,55,0,2,75,2013,Grand Final
29,21,David Hale,RUC,0,1,67,0,2,84,2013,Grand Final
30,21,Bradley Hill,MID,0,0,70,0,3,77,2013,Grand Final
31,21,Stephen Hill,MID,0,1,50,1,2,84,2013,Grand Final
32,21,Michael Johnson,KEYD,0,1,83,1,10,97,2013,Grand Final
33,21,Brian Lake,KEYD,0,2,88,0,9,98,2013,Grand Final
34,21,Luke McPharlin,KEYD,0,0,62,1,2,100,2013,Grand Final
35,21,Tendai Mzungu,MID,0,0,74,0,3,85,2013,Grand Final
36,21,Danyle Pearce,MID,0,0,76,1,0,76,2013,Grand Final
37,21,Aaron Sandilands,RUC,0,0,79,0,5,79,2013,Grand Final
38,21,Brad Sewell,MID,0,1,73,0,1,75,2013,Grand Final
39,21,Jonathan Simpkin,MID,0,1,19,0,0,25,2013,Grand Final
40,21,Isaac Smith,MID,0,0,86,0,2,80,2013,Grand Final
41,21,Ben Stratton,KEYD,0,0,68,0,6,93,2013,Grand Final
42,21,Michael Walters,FWD,0,0,64,0,1,80,2013,Grand Final
43,21,Matt de Boer,FWD,0,1,53,0,5,75,2013,Grand Final
