,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Luke Dahlhaus,FWD,6,2,74,2,1,80,2012,Round 3
1,2,Dom Cassisi,MID,4,0,108,0,1,84,2012,Round 3
2,2,Reece Conca,MID,4,0,134,0,0,84,2012,Round 3
3,2,Stewart Crameri,KEYF,4,1,106,0,1,93,2012,Round 3
4,2,Jonathan Giles,RUC,4,2,65,0,4,90,2012,Round 3
5,2,Michael Hurley,KEYF,4,1,61,0,1,98,2012,Round 3
6,2,Ashley McGrath,FWD,4,1,67,0,2,85,2012,Round 3
7,2,Shane Mumford,RUC,4,2,87,0,0,79,2012,Round 3
8,2,Shane Tuck,MID,4,1,146,0,0,79,2012,Round 3
9,10,Gary Ablett,MID,3,1,165,2,3,89,2012,Round 3
10,10,Liam Anthony,MID,3,0,106,0,0,78,2012,Round 3
11,10,Greg Broughton,DEF,3,2,109,1,2,77,2012,Round 3
12,10,Dean Cox,RUC,3,1,72,5,0,86,2012,Round 3
13,10,Nick Dal Santo,MID,3,0,83,6,1,85,2012,Round 3
14,10,Michael Firrito,DEF,3,0,69,1,5,100,2012,Round 3
15,10,Shaun Hampson,KEYF,3,1,102,0,1,80,2012,Round 3
16,10,Hamish Hartlett,MID,3,1,88,0,7,78,2012,Round 3
17,10,Michael Hibberd,DEF,3,0,94,0,1,96,2012,Round 3
18,10,Ivan Maric,RUC,3,2,88,0,3,81,2012,Round 3
19,10,Adam McPhee,DEF,3,0,95,0,4,96,2012,Round 3
20,10,Nic Naitanui,RUC,3,1,80,1,2,89,2012,Round 3
21,10,Joel Selwood,MID,3,0,106,2,3,90,2012,Round 3
22,10,Justin Westhoff,KEYF,3,1,98,0,5,94,2012,Round 3
23,24,Leigh Adams,FWD,2,1,69,0,2,83,2012,Round 3
24,24,Claye Beams,MID,2,1,50,0,0,76,2012,Round 3
25,24,Jarryd Blair,FWD,2,2,60,0,0,84,2012,Round 3
26,24,Jason Blake,DEF,2,1,85,0,4,89,2012,Round 3
27,24,Matthew Boyd,MID,2,1,146,0,3,90,2012,Round 3
28,24,Jared Brennan,DEF,2,4,58,0,10,97,2012,Round 3
29,24,Tomas Bugg,DEF,2,0,93,1,3,84,2012,Round 3
30,24,Jake Carlisle,KEYD,2,1,26,0,3,89,2012,Round 3
31,24,Mitch Clark,KEYF,2,3,51,1,1,93,2012,Round 3
32,24,Stephen Coniglio,MID,2,2,73,0,0,81,2012,Round 3
33,24,Trent Cotchin,MID,2,0,110,0,1,84,2012,Round 3
34,24,Alwyn Davey,FWD,2,3,52,3,1,69,2012,Round 3
35,24,Aaron Davey,FWD,2,2,46,0,0,79,2012,Round 3
36,24,Chris Dawes,KEYF,2,0,70,0,1,90,2012,Round 3
37,24,Josh Drummond,DEF,2,0,95,0,2,84,2012,Round 3
38,24,Brad Ebert,MID,2,1,123,1,1,82,2012,Round 3
39,24,James Frawley,KEYD,2,0,65,0,6,100,2012,Round 3
40,24,Sam Gilbert,DEF,2,1,25,0,2,45,2012,Round 3
41,24,Shaun Grigg,MID,2,1,142,0,0,84,2012,Round 3
42,24,Dylan Grimes,KEYD,2,1,79,1,1,98,2012,Round 3
43,24,David Hale,RUC,2,0,104,0,5,90,2012,Round 3
44,24,Shaun Higgins,FWD,2,2,82,0,1,82,2012,Round 3
45,24,Kieren Jack,MID,2,1,72,0,2,79,2012,Round 3
46,24,Leroy Jetta,FWD,2,2,92,0,1,80,2012,Round 3
47,24,Nathan Jones,MID,2,4,66,1,0,77,2012,Round 3
48,24,Chris Masten,MID,2,2,120,1,0,89,2012,Round 3
49,24,Brandon Matera,FWD,2,0,85,0,0,78,2012,Round 3
50,24,Chris Mayne,FWD,2,0,54,0,0,87,2012,Round 3
51,24,Daniel Merrett,KEYF,2,0,90,0,1,93,2012,Round 3
52,24,Brad J. Miller,KEYF,2,0,61,0,0,97,2012,Round 3
53,24,Will Minson,RUC,2,1,88,0,4,85,2012,Round 3
54,24,Angus Monfries,FWD,2,0,93,0,2,80,2012,Round 3
55,24,Tendai Mzungu,MID,2,2,96,0,0,84,2012,Round 3
56,24,Robin Nahas,FWD,2,0,102,0,1,94,2012,Round 3
57,24,Rhys Palmer,MID,2,0,90,0,1,85,2012,Round 3
58,24,Luke Parker,MID,2,2,92,0,4,73,2012,Round 3
59,24,Joel Patfull,KEYD,2,3,67,0,9,99,2012,Round 3
60,24,Dean Polo,MID,2,0,71,0,4,77,2012,Round 3
61,24,Dion Prestia,MID,2,1,73,1,2,73,2012,Round 3
62,24,Jack Redden,MID,2,1,77,0,0,84,2012,Round 3
63,24,Nick Riewoldt,KEYF,2,0,76,0,4,91,2012,Round 3
64,24,Mitch Robinson,FWD,2,0,127,0,2,88,2012,Round 3
65,24,Jarryd Roughead,KEYF,2,2,110,0,5,85,2012,Round 3
66,24,Luke Russell,DEF,2,0,49,0,2,77,2012,Round 3
67,24,Ben Rutten,KEYD,2,0,29,0,0,93,2012,Round 3
68,24,Will Schofield,DEF,2,1,81,2,5,88,2012,Round 3
69,24,Heath Scotland,MID,2,2,124,0,4,86,2012,Round 3
70,24,Scott Selwood,MID,2,1,156,1,2,85,2012,Round 3
71,24,Brad Sewell,MID,2,1,74,0,2,87,2012,Round 3
72,24,Luke Shuey,MID,2,0,120,0,1,82,2012,Round 3
73,24,Tom Simpkin,KEYD,2,0,106,1,8,97,2012,Round 3
74,24,Kade Simpson,MID,2,0,80,1,4,90,2012,Round 3
75,24,Rhys Stanley,KEYF,2,1,88,0,3,95,2012,Round 3
76,24,Koby Stevens,MID,2,0,83,1,1,80,2012,Round 3
77,24,Paul Stewart,FWD,2,1,84,0,2,79,2012,Round 3
78,24,Daniel Stewart,KEYF,2,1,81,0,2,72,2012,Round 3
79,24,Kurt Tippett,KEYF,2,3,99,0,2,93,2012,Round 3
80,24,Nathan Van Berlo,MID,2,1,88,0,1,86,2012,Round 3
81,24,Jarrad Waite,KEYF,2,0,108,0,1,82,2012,Round 3
82,24,Jobe Watson,MID,2,2,94,0,0,73,2012,Round 3
83,84,David Armitage,MID,1,1,87,2,0,78,2012,Round 3
84,84,Shaun Atley,DEF,1,1,55,1,2,94,2012,Round 3
85,84,Todd Banfield,FWD,1,1,44,0,0,79,2012,Round 3
86,84,Jimmy Bartel,MID,1,2,91,0,4,94,2012,Round 3
87,84,Clint Bartram,DEF,1,1,47,0,1,97,2012,Round 3
