,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Oscar McInerney,RUC,4,1,92,0,3,78,2020,Finals Week 1
1,1,Mitch Wallis,FWD,4,0,31,0,1,88,2020,Finals Week 1
2,3,Caleb Daniel,DEF,3,0,93,1,3,88,2020,Finals Week 1
3,3,Brodie Grundy,RUC,3,2,66,0,2,63,2020,Finals Week 1
4,3,Sam Powell-Pepper,FWD,3,1,59,0,1,78,2020,Finals Week 1
5,3,Joel Selwood,MID,3,1,65,0,2,67,2020,Finals Week 1
6,3,Rhys Stanley,RUC,3,2,68,0,2,82,2020,Finals Week 1
7,8,Callum Ah Chee,DEF,2,1,52,0,0,81,2020,Finals Week 1
8,8,Charlie Cameron,FWD,2,0,77,0,0,90,2020,Finals Week 1
9,8,Darcy Cameron,KEYF,2,1,43,0,1,46,2020,Finals Week 1
10,8,Jamie Cripps,FWD,2,1,79,1,0,84,2020,Finals Week 1
11,8,Hayden Crozier,DEF,2,0,80,0,2,76,2020,Finals Week 1
12,8,Shane Edwards,MID,2,1,36,2,2,69,2020,Finals Week 1
13,8,Jack Henry,DEF,2,1,52,0,5,82,2020,Finals Week 1
14,8,Josh J. Kennedy,KEYF,2,1,76,0,1,93,2020,Finals Week 1
15,8,Stefan Martin,RUC,2,1,65,0,5,62,2020,Finals Week 1
16,8,Jeremy McGovern,KEYD,2,2,58,0,10,86,2020,Finals Week 1
17,8,Trent McKenzie,KEYD,2,0,40,0,0,100,2020,Finals Week 1
18,8,Brody Mihocek,KEYF,2,1,61,0,3,95,2020,Finals Week 1
19,8,Nic Naitanui,RUC,2,0,91,0,1,79,2020,Finals Week 1
20,8,Toby Nankervis,RUC,2,4,54,0,1,91,2020,Finals Week 1
21,8,John Noble,DEF,2,1,56,0,1,78,2020,Finals Week 1
22,8,Tom Rockliff,MID,2,0,91,0,2,80,2020,Finals Week 1
23,8,Jordan Roughead,KEYD,2,0,17,0,4,100,2020,Finals Week 1
24,8,Harry Taylor,KEYD,2,1,23,0,7,94,2020,Finals Week 1
25,8,Dayne Zorko,MID,2,1,82,1,2,84,2020,Finals Week 1
26,27,Gary Ablett,FWD,1,0,40,0,0,79,2020,Finals Week 1
27,27,Brendon Ah Chee,FWD,1,0,40,0,1,73,2020,Finals Week 1
28,27,David Astbury,KEYD,1,1,67,0,4,94,2020,Finals Week 1
29,27,Zac Bailey,FWD,1,0,42,0,1,62,2020,Finals Week 1
30,27,Shai Bolton,MID,1,1,49,2,1,82,2020,Finals Week 1
31,27,Zak Butters,FWD,1,0,59,0,2,87,2020,Finals Week 1
32,27,Darcy Byrne-Jones,DEF,1,0,51,0,3,86,2020,Finals Week 1
33,27,Nick Coffield,DEF,1,1,65,0,1,82,2020,Finals Week 1
34,27,Tom Cole,DEF,1,0,28,0,1,78,2020,Finals Week 1
35,27,Keidean Coleman,FWD,1,2,12,0,0,62,2020,Finals Week 1
36,27,Trent Cotchin,MID,1,3,54,0,4,79,2020,Finals Week 1
37,27,Luke Dahlhaus,FWD,1,0,54,0,1,83,2020,Finals Week 1
38,27,Jack Darling,KEYF,1,1,81,0,2,100,2020,Finals Week 1
39,27,Charlie Dixon,KEYF,1,3,26,0,2,95,2020,Finals Week 1
