,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
67,43,Will Hoskin-Elliott,FWD,0,1,40,0,0,76,2023,Preliminary Finals
68,43,Jeremy Howe,KEYD,0,0,87,1,3,83,2023,Preliminary Finals
69,43,Josh Kelly,MID,0,0,106,0,2,85,2023,Preliminary Finals
70,43,Matthew Kennedy,MID,0,1,20,0,0,21,2023,Preliminary Finals
71,43,Daniel Lloyd,FWD,0,0,87,0,0,88,2023,Preliminary Finals
72,43,Jarryd Lyons,MID,0,0,3,0,0,6,2023,Preliminary Finals
73,43,Brayden Maynard,DEF,0,1,80,1,8,86,2023,Preliminary Finals
74,43,Lincoln McCarthy,FWD,0,0,95,0,1,70,2023,Preliminary Finals
75,43,Hugh McCluggage,MID,0,1,63,0,1,79,2023,Preliminary Finals
76,43,Beau McCreery,FWD,0,0,53,0,0,83,2023,Preliminary Finals
77,43,Daniel McStay,KEYF,0,1,40,0,2,66,2023,Preliminary Finals
78,43,Brody Mihocek,KEYF,0,1,44,0,0,94,2023,Preliminary Finals
79,43,Darcy Moore,KEYD,0,0,44,0,9,100,2023,Preliminary Finals
80,43,Jesse Motlop,FWD,0,0,23,0,0,72,2023,Preliminary Finals
81,43,Scott Pendlebury,MID,0,0,90,0,3,83,2023,Preliminary Finals
82,43,Harry Perryman,DEF,0,1,74,0,5,82,2023,Preliminary Finals
83,43,Cam Rayner,FWD,0,0,29,0,0,83,2023,Preliminary Finals
84,43,Jake Riccardi,KEYF,0,1,27,0,1,77,2023,Preliminary Finals
85,43,Adam Saad,DEF,0,0,48,3,3,88,2023,Preliminary Finals
86,43,Steele Sidebottom,MID,0,1,97,0,1,92,2023,Preliminary Finals
87,43,Brandon Starcevich,DEF,0,2,37,0,3,81,2023,Preliminary Finals
88,43,Sam Walsh,MID,0,3,105,0,0,82,2023,Preliminary Finals
89,43,Callan Ward,MID,0,1,50,0,0,69,2023,Preliminary Finals
90,43,Lachie Whitfield,DEF,0,2,86,0,0,72,2023,Preliminary Finals
91,43,Darcy Wilmot,DEF,0,0,85,0,3,81,2023,Preliminary Finals
