,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Jimmy Bartel,DEF,3,0,104,0,0,93,2013,Semi Finals
1,1,Allen Christensen,FWD,3,0,92,1,1,80,2013,Semi Finals
2,1,Joel Selwood,MID,3,1,99,0,1,83,2013,Semi Finals
3,1,Jackson Trengove,KEYD,3,0,44,0,1,94,2013,Semi Finals
4,1,Andrew Walker,DEF,3,1,111,2,4,96,2013,Semi Finals
5,6,Kane Cornes,MID,2,2,71,0,1,83,2013,Semi Finals
6,6,Mitch Duncan,MID,2,1,85,0,3,88,2013,Semi Finals
7,6,Robbie Gray,FWD,2,3,71,0,1,79,2013,Semi Finals
8,6,Dan Hannebery,MID,2,1,99,0,0,89,2013,Semi Finals
9,6,Tom Lonergan,KEYD,2,0,56,0,9,93,2013,Semi Finals
10,6,Steven Motlop,FWD,2,0,95,9,1,92,2013,Semi Finals
11,6,Ryan O'Keefe,MID,2,1,126,0,2,95,2013,Semi Finals
12,6,Jay Schulz,KEYF,2,3,47,1,1,95,2013,Semi Finals
13,6,Zach Tuohy,DEF,2,0,57,1,1,90,2013,Semi Finals
14,6,Justin Westhoff,KEYF,2,1,104,1,1,92,2013,Semi Finals
15,16,Eddie Betts,FWD,1,0,53,0,0,83,2013,Semi Finals
16,16,Shane Biggs,DEF,1,0,71,0,1,75,2013,Semi Finals
17,16,Craig Bird,FWD,1,0,97,0,0,90,2013,Semi Finals
18,16,Mark Blicavs,RUC,1,0,46,0,0,87,2013,Semi Finals
19,16,Travis Boak,MID,1,1,95,3,0,80,2013,Semi Finals
20,16,Levi Casboult,KEYF,1,0,36,0,2,86,2013,Semi Finals
21,16,Paul Chapman,FWD,1,1,113,1,1,82,2013,Semi Finals
22,16,Joel Corey,MID,1,2,69,0,5,82,2013,Semi Finals
23,16,Nick Duigan,DEF,1,1,41,0,1,82,2013,Semi Finals
24,16,Bryce Gibbs,MID,1,0,77,0,1,80,2013,Semi Finals
25,16,Tom Hawkins,KEYF,1,0,54,0,2,79,2013,Semi Finals
26,16,Chris Judd,MID,1,0,61,0,1,78,2013,Semi Finals
27,16,Matthew Lobbe,RUC,1,2,90,0,6,93,2013,Semi Finals
28,16,Andrew McInnes,DEF,1,0,54,0,8,94,2013,Semi Finals
29,16,Jarrad McVeigh,DEF,1,0,168,0,3,92,2013,Semi Finals
30,16,Dane Rampe,DEF,1,1,80,0,2,89,2013,Semi Finals
31,16,Ted Richards,KEYD,1,1,78,0,5,98,2013,Semi Finals
32,16,Kade Simpson,DEF,1,0,107,0,1,94,2013,Semi Finals
33,16,Mathew Stokes,MID,1,0,82,0,1,90,2013,Semi Finals
34,16,Travis Varcoe,FWD,1,0,76,0,2,82,2013,Semi Finals
35,16,Nathan Vardy,RUC,1,0,74,0,2,77,2013,Semi Finals
36,16,Jarrad Waite,KEYF,1,1,71,0,0,89,2013,Semi Finals
37,16,Robert Warnock,RUC,1,0,72,0,5,86,2013,Semi Finals
38,16,Chad Wingard,FWD,1,0,62,1,1,85,2013,Semi Finals
39,16,Chris Yarran,FWD,1,1,105,5,0,85,2013,Semi Finals
40,41,Dennis Armfield,FWD,0,1,28,0,1,81,2013,Semi Finals
41,41,Tom Bell,MID,0,0,58,0,0,52,2013,Semi Finals
42,41,Jude Bolton,FWD,0,2,70,0,1,89,2013,Semi Finals
43,41,Matthew Broadbent,DEF,0,1,72,1,2,84,2013,Semi Finals
44,41,Alipate Carlile,KEYD,0,2,42,0,7,91,2013,Semi Finals
45,41,Dom Cassisi,MID,0,0,61,0,2,84,2013,Semi Finals
46,41,Sam Colquhoun,MID,0,0,56,0,1,62,2013,Semi Finals
47,41,Harry Cunningham,DEF,0,0,81,0,0,85,2013,Semi Finals
48,41,Ed Curnow,MID,0,0,16,0,0,22,2013,Semi Finals
49,41,Brad Ebert,MID,0,1,94,0,2,89,2013,Semi Finals
50,41,Andrejs Everitt,DEF,0,0,77,4,5,77,2013,Semi Finals
51,41,Jeff Garlett,FWD,0,0,22,0,1,75,2013,Semi Finals
52,41,Heath Grundy,KEYD,0,0,95,0,5,100,2013,Semi Finals
53,41,Cameron Guthrie,DEF,0,0,54,2,2,83,2013,Semi Finals
54,41,Hamish Hartlett,MID,0,1,80,2,0,79,2013,Semi Finals
55,41,Lachie Henderson,KEYD,0,1,84,2,14,96,2013,Semi Finals
56,41,Taylor Hunt,DEF,0,0,30,0,0,21,2013,Semi Finals
57,41,Josh Hunt,DEF,0,3,42,0,3,79,2013,Semi Finals
58,41,Kieren Jack,MID,0,1,110,0,2,87,2013,Semi Finals
59,41,Michael Jamison,KEYD,0,1,26,0,16,91,2013,Semi Finals
60,41,Lewis Jetta,FWD,0,0,49,3,1,62,2013,Semi Finals
61,41,Steve Johnson,MID,0,1,100,0,3,91,2013,Semi Finals
62,41,Tom Jonas,DEF,0,0,49,0,1,91,2013,Semi Finals
63,41,James Kelly,MID,0,1,113,0,1,74,2013,Semi Finals
64,41,Josh P. Kennedy,MID,0,0,86,0,1,91,2013,Semi Finals
65,41,Tom Logan,DEF,0,0,70,0,0,91,2013,Semi Finals
66,41,Andrew Mackie,DEF,0,0,82,0,2,92,2013,Semi Finals
67,41,Nick Malceski,DEF,0,1,57,0,4,86,2013,Semi Finals
68,41,Brock McLean,MID,0,0,75,2,0,82,2013,Semi Finals
69,41,Tom Mitchell,FWD,0,0,7,0,0,13,2013,Semi Finals
70,41,Angus Monfries,FWD,0,1,66,0,0,84,2013,Semi Finals
71,41,Andrew Moore,MID,0,1,95,0,1,77,2013,Semi Finals
72,41,Shane Mumford,RUC,0,2,84,0,0,99,2013,Semi Finals
73,41,Marc Murphy,MID,0,1,86,1,1,86,2013,Semi Finals
74,41,Cameron O'Shea,DEF,0,0,75,0,4,95,2013,Semi Finals
75,41,Luke Parker,MID,0,2,96,0,2,96,2013,Semi Finals
76,41,Jasper Pittard,DEF,0,1,37,1,5,73,2013,Semi Finals
77,41,James Podsiadly,KEYF,0,3,20,0,1,94,2013,Semi Finals
78,41,Mike Pyke,RUC,0,1,62,0,3,94,2013,Semi Finals
79,41,Jared Rivers,KEYD,0,1,30,0,5,66,2013,Semi Finals
80,41,Mitch Robinson,FWD,0,0,92,2,1,83,2013,Semi Finals
81,41,Heath Scotland,DEF,0,0,73,0,2,88,2013,Semi Finals
82,41,Nick Smith,DEF,0,1,59,0,3,95,2013,Semi Finals
83,41,Harry Taylor,KEYD,0,0,53,1,7,93,2013,Semi Finals
84,41,Kurt Tippett,KEYF,0,0,7,0,0,5,2013,Semi Finals
85,41,Jesse White,KEYF,0,0,66,1,4,92,2013,Semi Finals
86,41,Ollie Wines,MID,0,1,40,0,2,72,2013,Semi Finals
87,41,Aaron Young,FWD,0,1,3,0,0,25,2013,Semi Finals
