,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Ben King,KEYF,6,0,72,0,0,83,2023,Round 12
1,2,Mason Cox,RUC,5,1,94,0,2,69,2023,Round 12
2,2,Matt Rowell,MID,5,3,73,0,1,81,2023,Round 12
3,4,Adam Cerra,MID,4,0,111,0,2,76,2023,Round 12
4,4,Bailey J. Williams,RUC,4,2,87,0,4,89,2023,Round 12
5,6,Oscar Allen,KEYF,3,0,69,0,4,97,2023,Round 12
6,6,Mark Blicavs,RUC,3,0,107,0,3,87,2023,Round 12
7,6,Darcy Cameron,RUC,3,3,109,0,2,79,2023,Round 12
8,6,Nick Daicos,MID,3,0,114,4,1,88,2023,Round 12
9,6,Dyson Heppell,DEF,3,1,87,0,3,87,2023,Round 12
10,6,Jason Horne-Francis,MID,3,1,77,0,1,76,2023,Round 12
11,6,Darcy Macpherson,DEF,3,3,42,0,0,83,2023,Round 12
12,6,Lachlan Murphy,FWD,3,0,73,0,1,81,2023,Round 12
13,6,Jai Newcombe,MID,3,1,58,1,0,76,2023,Round 12
14,6,Luke Pedlar,FWD,3,3,42,0,1,75,2023,Round 12
15,6,Josh Rachele,FWD,3,2,65,0,1,83,2023,Round 12
16,6,David Swallow,MID,3,2,72,0,1,79,2023,Round 12
17,6,Tarryn Thomas,MID,3,1,82,0,1,79,2023,Round 12
18,19,Taylor Adams,FWD,2,2,95,0,1,76,2023,Round 12
19,19,Tom Atkins,MID,2,1,88,0,1,74,2023,Round 12
20,19,Rory Atkins,DEF,2,0,66,0,0,77,2023,Round 12
21,19,Toby Bedford,FWD,2,0,92,0,1,90,2023,Round 12
22,19,Ryan Burton,DEF,2,3,57,0,2,81,2023,Round 12
23,19,Kade Chandler,FWD,2,0,80,0,0,77,2023,Round 12
24,19,Alex Cincotta,DEF,2,0,39,0,3,78,2023,Round 12
25,19,Matthew Cottrell,FWD,2,0,50,0,1,79,2023,Round 12
26,19,Noah Cumberland,FWD,2,0,9,0,0,23,2023,Round 12
27,19,Bailey Dale,DEF,2,0,118,1,5,80,2023,Round 12
28,19,Jordan Dawson,MID,2,2,128,0,0,84,2023,Round 12
29,19,Tom De Koning,RUC,2,1,61,0,2,83,2023,Round 12
30,19,Zac Fisher,FWD,2,0,47,0,0,77,2023,Round 12
31,19,Toby Greene,FWD,2,1,74,0,2,94,2023,Round 12
32,19,Elijah Hewett,FWD,2,0,11,0,0,14,2023,Round 12
33,19,Bobby Hill,FWD,2,0,65,4,0,71,2023,Round 12
34,19,Bailey Humphrey,FWD,2,1,68,0,2,72,2023,Round 12
35,19,Callum Jamieson,KEYF,2,2,64,0,2,86,2023,Round 12
36,19,Matthew Kennedy,MID,2,0,64,0,1,75,2023,Round 12
37,19,Mitch Knevitt,MID,2,0,91,0,0,71,2023,Round 12
38,19,Jacob Koschitzke,KEYF,2,0,33,0,0,87,2023,Round 12
39,19,Ed Langdon,MID,2,2,85,0,0,91,2023,Round 12
40,19,Tom Liberatore,MID,2,2,121,0,3,80,2023,Round 12
41,19,Daniel Lloyd,FWD,2,0,74,0,2,82,2023,Round 12
42,19,Noah Long,FWD,2,0,65,1,0,84,2023,Round 12
43,19,Nic Martin,MID,2,0,111,0,0,92,2023,Round 12
44,19,Ned McHenry,FWD,2,2,59,0,0,57,2023,Round 12
45,19,Harry McKay,KEYF,2,2,86,0,0,95,2023,Round 12
