,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Mark Blicavs,RUC,6,2,127,0,1,92,2015,Round 22
1,2,Brodie Grundy,RUC,5,0,122,0,1,79,2015,Round 22
2,2,Steven May,KEYD,5,4,43,0,12,83,2015,Round 22
3,4,Brett Deledio,FWD,4,1,96,5,3,86,2015,Round 22
4,4,Lachie Hunter,MID,4,0,124,0,0,84,2015,Round 22
5,4,Brandon Matera,FWD,4,2,129,0,1,88,2015,Round 22
6,4,Ben McEvoy,RUC,4,1,110,0,2,74,2015,Round 22
7,4,Jeremy McGovern,KEYD,4,0,37,0,5,61,2015,Round 22
8,9,Blaine Boekhorst,FWD,3,1,38,0,5,85,2015,Round 22
9,9,Jeremy Cameron,KEYF,3,2,143,0,1,92,2015,Round 22
10,9,Allen Christensen,FWD,3,0,85,1,1,80,2015,Round 22
11,9,Jack Crisp,MID,3,2,116,0,2,85,2015,Round 22
12,9,Daniel Cross,DEF,3,0,124,0,1,95,2015,Round 22
13,9,Matthew Dick,DEF,3,0,82,0,2,89,2015,Round 22
14,9,Charlie Dixon,KEYF,3,1,58,0,0,84,2015,Round 22
15,9,Richard Douglas,MID,3,0,102,0,1,87,2015,Round 22
16,9,Brad Ebert,MID,3,2,98,0,1,86,2015,Round 22
17,9,Robbie Gray,MID,3,3,82,0,0,91,2015,Round 22
18,9,Levi Greenwood,MID,3,3,107,0,1,78,2015,Round 22
19,9,David Hale,RUC,3,4,83,1,3,74,2015,Round 22
20,9,Kieren Jack,MID,3,0,125,0,1,85,2015,Round 22
21,9,Brian Lake,KEYD,3,2,66,0,7,100,2015,Round 22
22,9,Jordan Lewis,MID,3,1,106,0,0,82,2015,Round 22
23,9,Anthony Miles,MID,3,0,117,1,3,82,2015,Round 22
24,9,Nick O'Brien,MID,3,0,76,0,3,80,2015,Round 22
25,9,Matthew Pavlich,KEYF,3,0,81,0,1,63,2015,Round 22
26,9,Tom Rockliff,MID,3,6,159,0,2,84,2015,Round 22
27,9,Jarryd Roughead,KEYF,3,1,118,0,0,93,2015,Round 22
28,9,Robbie Tarrant,KEYD,3,0,120,0,4,95,2015,Round 22
29,9,Mitch Wallis,MID,3,1,88,0,1,84,2015,Round 22
30,31,David Armitage,MID,2,1,111,1,2,81,2015,Round 22
31,31,Mark Baguley,DEF,2,1,92,0,9,95,2015,Round 22
32,31,Tom Barrass,DEF,2,0,49,0,5,90,2015,Round 22
33,31,Marcus Bontempelli,MID,2,1,93,3,0,84,2015,Round 22
34,31,Nathan Brown,KEYD,2,2,21,0,4,98,2015,Round 22
35,31,Stewart Crameri,FWD,2,3,67,0,3,81,2015,Round 22
36,31,Patrick Cripps,MID,2,1,88,0,0,85,2015,Round 22
37,31,Harry Cunningham,FWD,2,0,80,0,0,82,2015,Round 22
38,31,Luke Dahlhaus,FWD,2,2,98,0,0,82,2015,Round 22
39,31,Nick Dal Santo,MID,2,0,66,0,0,81,2015,Round 22
40,31,Joe Daniher,KEYF,2,1,74,0,2,88,2015,Round 22
41,31,Jordan De Goey,FWD,2,1,102,0,0,79,2015,Round 22
42,31,Lynden Dunn,KEYD,2,2,103,0,1,92,2015,Round 22
43,31,Alex Fasolo,FWD,2,0,100,0,0,86,2015,Round 22
