,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Jai Culley,MID,71,8.9,0,12,1,10,3,7,5,0,2022,Round 23
1,1,Hugh Greenwood,MID,115,18.1,1,23,4,10,4,11,12,0,2022,Round 23
2,1,Rory Laird,MID,116,12.7,1,26,1,10,6,11,15,0,2022,Round 23
3,1,Matt Rowell,MID,85,14.9,0,15,2,10,3,8,7,0,2022,Round 23
4,1,Adam Treloar,MID,116,16.3,1,25,3,10,5,15,10,0,2022,Round 23
5,6,Sam Berry,MID,89,11.6,1,21,2,9,6,11,10,0,2022,Round 23
6,6,Josh Dunkley,FWD,132,15.2,0,29,9,9,8,13,16,0,2022,Round 23
7,6,Jack Steele,MID,139,15.6,1,27,10,9,6,12,15,0,2022,Round 23
8,9,Zak Butters,FWD,121,18.4,1,26,5,8,9,16,10,0,2022,Round 23
9,9,Connor Rozee,FWD,144,18.9,1,34,4,8,5,22,12,0,2022,Round 23
10,9,Luke Shuey,MID,98,10.2,0,20,4,8,6,12,8,0,2022,Round 23
11,12,Marcus Bontempelli,MID,103,19.3,1,20,5,7,7,11,9,0,2022,Round 23
12,12,Will Brodie,MID,117,17.4,1,30,3,7,5,12,18,0,2022,Round 23
13,12,Dan Butler,FWD,60,7.1,1,11,0,7,0,8,3,0,2022,Round 23
14,12,Adam Cerra,MID,129,23.5,2,27,6,7,6,15,12,0,2022,Round 23
15,12,Josh Daicos,MID,125,7.3,0,28,8,7,3,23,5,0,2022,Round 23
16,12,Sam Docherty,DEF,137,10.9,1,29,7,7,6,23,6,0,2022,Round 23
17,12,Willem Drew,MID,74,9.5,0,21,2,7,2,1,20,0,2022,Round 23
18,12,Touk Miller,MID,102,20.3,1,25,3,7,9,12,13,0,2022,Round 23
19,12,Tom Mitchell,MID,84,8.3,0,19,3,7,4,7,12,0,2022,Round 23
20,12,James Rowbottom,MID,104,17.5,1,24,3,7,7,13,11,0,2022,Round 23
21,22,Dan Hannebery,MID,107,15.4,0,30,2,6,7,18,12,0,2022,Round 23
22,22,Brayden Maynard,DEF,87,19.9,0,18,5,6,3,14,4,0,2022,Round 23
23,22,Zach Merrett,MID,125,26.2,0,37,3,6,8,19,18,0,2022,Round 23
24,22,Conor Nash,MID,80,8.4,0,16,5,6,1,9,7,0,2022,Round 23
25,22,Lachie Neale,MID,109,10.9,0,29,3,6,4,17,12,0,2022,Round 23
26,22,Matthew Owies,FWD,66,11.8,1,13,1,6,2,7,6,0,2022,Round 23
27,22,Scott Pendlebury,MID,89,14.9,0,26,2,6,7,7,19,0,2022,Round 23
28,22,Cam Rayner,FWD,79,12.3,1,17,3,6,4,9,8,0,2022,Round 23
29,22,Ollie Wines,MID,125,16.3,1,35,4,6,8,18,17,0,2022,Round 23
30,31,Tom Atkins,DEF,71,0.2,0,17,3,5,3,8,9,0,2022,Round 23
31,31,Jye Caldwell,MID,71,6.4,0,18,3,5,1,8,10,0,2022,Round 23
32,31,Ryan Clarke,FWD,44,5.3,0,10,1,5,1,4,6,0,2022,Round 23
33,31,Patrick Cripps,MID,95,20.3,0,35,0,5,12,12,23,0,2022,Round 23
34,31,Jamie Cripps,FWD,96,13.6,3,13,6,5,1,12,1,0,2022,Round 23
35,31,Jordan De Goey,MID,62,7.6,0,16,3,5,4,8,8,0,2022,Round 23
36,31,Brandon Ellis,MID,96,13.6,0,24,4,5,0,16,8,0,2022,Round 23
37,31,Tim English,RUC,114,15.8,0,17,8,5,4,11,6,28,2022,Round 23
38,31,Luke Jackson,RUC,84,20.7,1,13,3,5,4,6,7,17,2022,Round 23
39,31,Tom Liberatore,MID,65,12,0,18,1,5,8,8,10,0,2022,Round 23
40,31,Jarryd Lyons,MID,91,11.1,0,19,7,5,2,11,8,0,2022,Round 23
41,31,Beau McCreery,FWD,74,11.7,1,14,4,5,0,8,6,0,2022,Round 23
42,31,Jed McEntee,FWD,57,13.7,2,11,1,5,0,2,9,0,2022,Round 23
43,31,Mitch McGovern,KEYD,69,7.8,0,13,4,5,0,10,3,0,2022,Round 23
44,31,Andrew McGrath,MID,86,10.4,0,18,7,5,0,9,9,0,2022,Round 23
45,31,Jai Newcombe,MID,65,9,0,16,3,5,3,10,6,0,2022,Round 23
46,31,John Noble,DEF,89,16.9,0,16,8,5,1,12,4,0,2022,Round 23
47,31,Clayton Oliver,MID,106,17.7,0,30,3,5,13,18,12,0,2022,Round 23
48,31,Marlion Pickett,MID,68,13.5,1,12,6,5,1,6,6,0,2022,Round 23
49,31,Dion Prestia,MID,129,10.5,1,31,7,5,5,20,11,0,2022,Round 23
50,31,Isaac Quaynor,DEF,61,8.7,0,11,5,5,0,6,5,0,2022,Round 23
51,31,Sam Reid,KEYF,56,5.7,0,12,4,5,2,6,6,4,2022,Round 23
52,31,Jack Sinclair,DEF,99,19.5,0,27,2,5,1,20,7,0,2022,Round 23
53,31,Josh Ward,MID,97,11,0,24,7,5,0,17,7,0,2022,Round 23
54,31,Chad Warner,MID,78,15.8,1,20,0,5,2,10,10,0,2022,Round 23
55,31,Lachie Whitfield,MID,70,12.4,1,15,2,5,1,11,4,0,2022,Round 23
56,57,Leek Aleer,KEYD,64,4.3,0,12,5,4,0,7,5,0,2022,Round 23
57,57,Noah Anderson,MID,114,18.5,1,30,5,4,6,20,10,0,2022,Round 23
58,57,Mac Andrew,KEYD,39,10.7,0,7,1,4,1,4,3,0,2022,Round 23
59,57,Noah Answerth,DEF,79,6.4,0,16,6,4,0,13,3,0,2022,Round 23
60,57,James Blanck,KEYD,37,5.6,0,7,2,4,0,4,3,0,2022,Round 23
61,57,Mark Blicavs,RUC,100,19.4,0,25,5,4,3,7,18,16,2022,Round 23
62,57,Jake Bowey,DEF,55,7.1,0,11,4,4,0,4,7,0,2022,Round 23
63,57,Andrew Brayshaw,MID,89,19.1,2,25,2,4,2,10,15,0,2022,Round 23
64,57,Jase Burgoyne,DEF,60,5.5,0,13,3,4,1,8,5,0,2022,Round 23
65,57,Darcy Cameron,RUC,79,5.1,0,13,3,4,3,9,4,19,2022,Round 23
66,57,Tom Campbell,RUC,86,15.1,0,12,5,4,5,8,4,17,2022,Round 23
67,57,Stephen Coniglio,FWD,80,8.3,0,19,4,4,6,14,5,0,2022,Round 23
68,57,Matthew Cottrell,FWD,73,3.7,0,15,5,4,0,11,4,0,2022,Round 23
69,57,Massimo D'Ambrosio,DEF,51,6.7,2,9,1,4,0,4,5,0,2022,Round 23
70,57,Alex Davies,FWD,68,21.6,2,15,1,4,1,8,7,0,2022,Round 23
71,57,Tom Doedee,KEYD,38,10.1,0,10,0,4,0,4,6,0,2022,Round 23
72,57,Errol Gulden,FWD,93,6.1,1,20,5,4,1,15,5,0,2022,Round 23
73,57,Blake Hardwick,DEF,131,15.2,0,26,14,4,0,21,5,0,2022,Round 23
74,57,Dyson Heppell,DEF,77,9.6,1,17,4,4,1,9,8,0,2022,Round 23
75,57,Mitchell Hinge,DEF,63,6.3,0,14,4,4,1,9,5,0,2022,Round 23
76,57,Jacob Hopper,MID,82,8.3,2,18,4,4,2,7,11,0,2022,Round 23
77,57,Jeremy Howe,KEYD,75,13.2,0,16,5,4,0,11,5,0,2022,Round 23
78,57,Ash Johnson,KEYF,41,6.2,2,3,2,4,0,3,0,0,2022,Round 23
79,57,Tom Jonas,KEYD,51,5.9,0,8,4,4,0,6,2,0,2022,Round 23
80,57,Dean Kent,FWD,29,7.4,0,4,1,4,0,2,2,0,2022,Round 23
81,57,Zac Langdon,FWD,68,-2.2,0,13,7,4,0,7,6,0,2022,Round 23
82,57,Sean Lemmens,DEF,68,7.9,0,15,5,4,2,11,4,0,2022,Round 23
83,57,Daniel Lloyd,FWD,52,1.9,0,8,4,4,0,6,2,0,2022,Round 23
84,57,Jack Martin,FWD,53,7.5,0,11,3,4,0,5,6,0,2022,Round 23
85,57,Callum Mills,MID,81,9.6,0,18,6,4,1,11,7,0,2022,Round 23
86,57,Nathan Murphy,KEYD,41,5.7,0,7,2,4,0,5,2,0,2022,Round 23
87,57,Jackson Nelson,MID,47,6.6,0,12,2,4,3,4,8,0,2022,Round 23
88,57,Reilly O'Brien,RUC,128,27.1,1,18,3,4,7,9,9,50,2022,Round 23
89,57,Nathan O'Driscoll,MID,83,11.9,2,17,3,4,5,11,6,0,2022,Round 23
90,57,Jaeger O'Meara,MID,92,13.2,0,20,7,4,3,14,6,0,2022,Round 23
91,57,Xavier O'Neill,MID,54,2.8,0,11,3,4,1,7,4,0,2022,Round 23
92,57,Hewago Paul Oea,FWD,45,4,0,10,2,4,0,6,4,0,2022,Round 23
93,57,Luke Parker,MID,73,13.1,0,20,3,4,7,11,9,0,2022,Round 23
94,57,Patrick Parnell,DEF,37,3.3,0,7,1,4,0,4,3,0,2022,Round 23
95,57,Harry Perryman,MID,77,11.8,0,24,2,4,5,10,14,0,2022,Round 23
96,57,Christian Petracca,MID,107,20.2,2,23,6,4,3,14,9,0,2022,Round 23
97,57,Harrison Petty,KEYD,60,8.8,0,12,5,4,0,7,5,0,2022,Round 23
98,57,Maurice Rioli,FWD,64,6.1,1,11,4,4,0,8,3,0,2022,Round 23
99,57,Malcolm Rosas,FWD,81,9.1,2,14,4,4,2,9,5,0,2022,Round 23
100,57,Harry Schoenberg,MID,62,10.1,0,18,2,4,5,10,8,0,2022,Round 23
101,57,Will Setterfield,MID,89,5.2,0,24,2,4,5,19,5,0,2022,Round 23
102,57,Jack Silvagni,KEYF,27,5,0,9,0,4,2,2,7,5,2022,Round 23
103,57,Jake Soligo,MID,65,10.7,0,18,1,4,4,12,6,0,2022,Round 23
104,57,Tom Sparrow,FWD,56,6.5,0,14,4,4,4,9,5,0,2022,Round 23
105,57,Jake Stein,KEYD,47,11.1,0,9,2,4,1,4,5,0,2022,Round 23
106,57,David Swallow,MID,140,18.7,1,33,9,4,9,21,12,0,2022,Round 23
107,57,Tim Taranto,FWD,71,10.3,1,19,3,4,3,6,13,0,2022,Round 23
108,57,Sam Taylor,KEYD,109,20.1,0,20,12,4,0,16,4,0,2022,Round 23
109,57,Jamarra Ugle-Hagan,KEYF,49,2,0,10,1,4,0,7,3,0,2022,Round 23
110,57,Taylor Walker,KEYF,66,9.4,1,11,5,4,1,8,3,1,2022,Round 23
111,57,Sam Wicks,FWD,44,2.8,0,10,1,4,0,3,7,0,2022,Round 23
112,113,Karl Amon,MID,113,15.2,1,31,5,3,1,17,14,0,2022,Round 23
113,113,Zac Bailey,FWD,74,12.2,0,20,4,3,3,9,11,0,2022,Round 23
114,113,Josh Battle,KEYD,57,-0.8,0,13,3,3,0,11,2,0,2022,Round 23
115,113,Miles Bergman,MID,60,1.9,0,13,3,3,0,10,3,0,2022,Round 23
116,113,Angus Brayshaw,DEF,93,8.3,0,27,3,3,6,18,9,0,2022,Round 23
117,113,Kieren Briggs,RUC,54,11.1,0,13,1,3,7,9,4,14,2022,Round 23
118,113,Josh Bruce,KEYF,28,5.8,0,5,2,3,1,2,3,4,2022,Round 23
119,113,Charlie Cameron,FWD,49,4.5,0,10,3,3,0,5,5,0,2022,Round 23
120,113,Brad Close,FWD,92,14.9,1,22,6,3,3,11,11,0,2022,Round 23
121,113,Charlie Comben,KEYF,40,-1.9,0,6,3,3,1,4,2,5,2022,Round 23
122,113,Aidan Corr,KEYD,113,10.7,0,28,9,3,0,24,4,0,2022,Round 23
123,113,Jack Crisp,MID,72,11.2,1,19,3,3,1,7,12,0,2022,Round 23
124,113,Ben Cunnington,MID,43,8.7,0,14,2,3,2,3,11,0,2022,Round 23
125,113,Luke Davies-Uniacke,MID,90,16.6,1,26,5,3,7,10,16,0,2022,Round 23
126,113,Charlie Dixon,KEYF,68,14.9,0,16,4,3,5,5,11,9,2022,Round 23
127,113,Sam Draper,RUC,80,24.8,1,11,2,3,7,10,1,23,2022,Round 23
128,113,Liam Duggan,DEF,108,4.8,0,24,11,3,1,18,6,0,2022,Round 23
129,113,Corey Durdin,FWD,32,5.6,0,6,1,3,1,4,2,0,2022,Round 23
130,113,Sam Flanders,FWD,69,9.6,0,18,3,3,0,12,6,0,2022,Round 23
131,113,Nat Fyfe,FWD,49,3.9,0,9,5,3,1,6,3,0,2022,Round 23
132,113,Josh Goater,DEF,83,2,0,21,5,3,0,12,9,0,2022,Round 23
133,113,Isaac Heeney,FWD,100,21,2,23,6,3,2,16,7,0,2022,Round 23
134,113,Bradley Hill,DEF,81,8.2,0,18,8,3,0,12,6,0,2022,Round 23
135,113,Jesse Hogan,KEYF,87,12.9,3,14,7,3,0,7,7,1,2022,Round 23
136,113,Jason Horne-Francis,FWD,74,8.2,0,20,4,3,1,13,7,0,2022,Round 23
137,113,Daniel Howe,MID,90,10.5,0,24,7,3,1,14,10,0,2022,Round 23
138,113,Zak Jones,MID,59,5.6,0,14,4,3,0,7,7,0,2022,Round 23
139,113,Tim Kelly,MID,95,13.6,1,28,3,3,2,10,18,0,2022,Round 23
140,113,Charlie Lazzaro,FWD,31,5.3,0,8,1,3,2,3,5,0,2022,Round 23
141,113,Patrick Lipinski,FWD,76,11.6,0,19,6,3,2,9,10,0,2022,Round 23
142,113,Ben Long,FWD,138,17.9,1,27,17,3,0,17,10,0,2022,Round 23
143,113,Jack Macrae,MID,81,13.8,0,25,3,3,5,13,12,0,2022,Round 23
144,113,Finn Maginness,MID,37,4,0,9,1,3,1,4,5,0,2022,Round 23
145,113,Nic Martin,FWD,68,0.4,0,19,4,3,1,8,11,0,2022,Round 23
146,113,Rhys Mathieson,FWD,86,8.2,0,23,5,3,7,13,10,0,2022,Round 23
147,113,Steven May,KEYD,80,9.5,0,20,4,3,0,16,4,0,2022,Round 23
148,113,Lincoln McCarthy,FWD,54,0.5,1,8,4,3,0,6,2,0,2022,Round 23
149,113,Luke McDonald,DEF,89,8.5,0,23,5,3,0,16,7,0,2022,Round 23
150,113,Gryan Miers,FWD,65,15.2,1,16,2,3,0,8,8,0,2022,Round 23
151,113,Ben Miller,KEYD,50,11.6,1,8,2,3,1,2,6,6,2022,Round 23
152,113,Harry Morrison,MID,94,4.5,1,17,8,3,2,16,1,0,2022,Round 23
153,113,Lachlan Murphy,FWD,49,2.5,0,10,3,3,2,7,3,0,2022,Round 23
154,113,Toby Nankervis,RUC,91,9.5,0,21,4,3,4,10,11,23,2022,Round 23
155,113,Alex Neal-Bullen,FWD,74,8.1,1,14,7,3,0,9,5,0,2022,Round 23
156,113,Brandan Parfitt,MID,89,14.4,0,28,3,3,7,15,13,0,2022,Round 23
157,113,Ed Richards,DEF,92,12.4,0,23,7,3,1,16,7,0,2022,Round 23
158,113,Daniel Rioli,DEF,88,14.8,0,21,7,3,0,12,9,0,2022,Round 23
159,113,Sebastian Ross,MID,99,7.2,0,29,5,3,7,13,16,0,2022,Round 23
160,113,James Rowe,FWD,15,2.1,0,4,0,3,1,1,3,0,2022,Round 23
161,113,Luke Ryan,DEF,80,8.7,0,22,4,3,0,14,8,0,2022,Round 23
162,113,Dylan Shiel,MID,90,11.4,0,28,3,3,7,12,16,0,2022,Round 23
163,113,Jy Simpkin,MID,94,11.1,0,25,5,3,3,15,10,0,2022,Round 23
164,113,Curtis Taylor,MID,116,2.3,1,25,10,3,0,17,8,0,2022,Round 23
165,113,Jack Viney,MID,38,8,0,14,2,3,1,4,10,0,2022,Round 23
166,113,Nick Vlastuin,DEF,87,9.4,0,21,7,3,0,14,7,0,2022,Round 23
167,113,Cody Weightman,FWD,58,7,1,11,4,3,0,7,4,0,2022,Round 23
168,113,Bailey J. Williams,RUC,106,19.6,0,25,6,3,5,8,17,16,2022,Round 23
169,113,Hayden Young,DEF,88,6.5,0,25,5,3,0,13,12,0,2022,Round 23
170,113,Dayne Zorko,FWD,69,9.2,0,18,5,3,4,10,8,0,2022,Round 23
171,172,James Aish,MID,72,8.3,0,21,5,2,1,12,9,0,2022,Round 23
172,172,Harris Andrews,KEYD,54,12.5,0,13,5,2,0,8,5,0,2022,Round 23
173,172,Jarrod Berry,MID,46,2.7,0,11,3,2,1,7,4,0,2022,Round 23
174,172,Travis Boak,MID,71,13.8,0,24,3,2,6,9,15,0,2022,Round 23
175,172,Shai Bolton,FWD,40,8.6,1,12,2,2,1,8,4,0,2022,Round 23
176,172,Aiden Bonar,KEYD,47,7.7,0,14,3,2,0,4,10,0,2022,Round 23
177,172,Luke Breust,FWD,43,3.6,0,10,3,2,0,5,5,0,2022,Round 23
178,172,Nathan Broad,DEF,64,7.7,0,14,6,2,0,10,4,0,2022,Round 23
179,172,Ben Brown,KEYF,65,14.1,3,7,6,2,0,6,1,0,2022,Round 23
180,172,Jordon Butts,KEYD,46,3.7,0,11,3,2,0,6,5,0,2022,Round 23
181,172,Keidean Coleman,DEF,72,10.2,0,17,7,2,0,12,5,0,2022,Round 23
182,172,Trent Cotchin,MID,85,10.4,1,25,2,2,4,12,13,0,2022,Round 23
183,172,Mason Cox,RUC,62,9.3,1,9,1,2,6,8,1,24,2022,Round 23
184,172,Isaac Cumming,DEF,84,8.4,0,23,5,2,1,19,4,0,2022,Round 23
185,172,Caleb Daniel,DEF,99,6.3,0,25,7,2,1,20,5,0,2022,Round 23
186,172,Sean Darcy,RUC,61,7.2,0,9,2,2,4,5,4,28,2022,Round 23
187,172,Jack Darling,KEYF,60,8.2,2,9,5,2,0,6,3,0,2022,Round 23
188,172,Jordan Dawson,DEF,67,4.3,0,22,2,2,0,14,8,0,2022,Round 23
189,172,Will Day,DEF,83,5,0,25,5,2,1,13,12,0,2022,Round 23
190,172,Hugh Dixon,KEYF,26,1,0,4,2,2,0,2,2,2,2022,Round 23
191,172,Taylor Duryea,DEF,55,5.4,0,12,5,2,0,8,4,0,2022,Round 23
192,172,Xavier Duursma,MID,87,13.2,2,20,6,2,2,11,9,0,2022,Round 23
193,172,Jeremy Finlayson,RUC,63,-1.5,0,15,3,2,1,11,4,12,2022,Round 23
194,172,Mitch Georgiades,KEYF,36,6.7,1,6,3,2,0,4,2,0,2022,Round 23
195,172,Todd Goldstein,RUC,85,9.7,0,16,6,2,2,7,9,30,2022,Round 23
196,172,Matt Guelfi,FWD,38,1,0,10,2,2,1,6,4,0,2022,Round 23
197,172,James Harmes,FWD,78,6.3,0,20,6,2,3,12,8,0,2022,Round 23
198,172,Tom Hawkins,KEYF,107,16.2,4,17,9,2,0,13,4,3,2022,Round 23
199,172,Will Hayward,FWD,89,19,3,15,8,2,0,11,4,0,2022,Round 23
