,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Heath Hocking,MID,99,11.8,1,13,4,10,5,11,2,0,2013,Round 1
1,1,David Mundy,MID,117,13.6,0,27,4,10,7,15,12,0,2013,Round 1
2,1,Jack Redden,MID,80,5.2,1,15,1,10,3,5,10,0,2013,Round 1
3,4,Michael Barlow,MID,126,18.8,1,27,4,9,6,14,13,2,2013,Round 1
4,4,Kane Cornes,MID,119,19.6,1,29,1,9,7,15,14,0,2013,Round 1
5,4,Nick Dal Santo,MID,111,7.3,0,23,5,9,1,13,10,0,2013,Round 1
6,4,Tom Liberatore,MID,120,19.6,0,28,5,9,11,15,13,0,2013,Round 1
7,4,Andrew Swallow,MID,141,11.8,0,34,5,9,7,18,16,0,2013,Round 1
8,9,Tory Dickson,FWD,107,11,2,18,6,8,1,12,6,0,2013,Round 1
9,9,Mark LeCras,FWD,82,11.2,2,14,0,8,3,10,4,0,2013,Round 1
10,9,Ben Sinclair,DEF,60,7.5,0,7,2,8,0,6,1,0,2013,Round 1
11,12,Jarryd Blair,FWD,75,13.5,1,17,1,7,4,6,11,0,2013,Round 1
12,12,Kieran Harper,FWD,36,4.5,0,3,1,7,0,2,1,0,2013,Round 1
13,12,Lenny Hayes,MID,104,13.8,0,23,6,7,3,16,7,1,2013,Round 1
14,12,Matthew Priddis,MID,98,5.3,0,28,5,7,6,10,18,0,2013,Round 1
15,12,Will Schofield,DEF,58,4.5,0,9,2,7,2,5,4,2,2013,Round 1
16,17,Travis Boak,MID,102,15.4,0,26,3,6,11,19,7,0,2013,Round 1
17,17,Andrew Carrazzo,MID,81,4.7,0,24,2,6,3,6,18,0,2013,Round 1
18,17,Jamie Cripps,FWD,76,13.2,2,11,3,6,0,8,3,0,2013,Round 1
19,17,Jarryn Geary,DEF,117,16.9,0,28,7,6,1,15,13,0,2013,Round 1
20,17,Josh Green,FWD,64,7.2,0,15,0,6,4,9,6,0,2013,Round 1
21,17,Ryan Griffen,MID,126,20.7,2,27,7,6,3,18,9,0,2013,Round 1
22,17,Ben Howlett,MID,127,25.2,4,25,5,6,2,16,9,0,2013,Round 1
23,17,Shannon Hurn,DEF,82,12.9,0,18,1,6,1,18,0,0,2013,Round 1
24,17,Ben McGlynn,FWD,81,7.4,2,13,3,6,2,8,5,0,2013,Round 1
25,17,Jordan Murdoch,FWD,47,6.4,0,8,1,6,0,2,6,0,2013,Round 1
26,17,Ryan O'Keefe,MID,116,9.8,0,27,6,6,6,19,8,0,2013,Round 1
27,17,Jaeger O'Meara,MID,73,4.3,1,12,5,6,2,8,4,0,2013,Round 1
28,17,Luke Parker,MID,85,7.9,0,20,3,6,5,14,6,0,2013,Round 1
29,17,Jared Petrenko,FWD,46,4.7,1,5,0,6,0,4,1,0,2013,Round 1
30,17,Scott Selwood,MID,71,4,0,16,1,6,6,7,9,0,2013,Round 1
31,17,Joel Selwood,MID,122,17.3,1,33,8,6,3,13,20,2,2013,Round 1
32,17,Luke Shuey,MID,52,4.8,0,12,0,6,6,6,6,0,2013,Round 1
33,17,Rory Sloane,MID,88,8.1,0,23,1,6,4,12,11,0,2013,Round 1
34,17,Devon Smith,FWD,70,11,1,12,2,6,3,9,3,0,2013,Round 1
35,17,Brent Stanton,MID,115,15.6,1,26,5,6,6,17,9,0,2013,Round 1
36,37,Jed Adcock,DEF,57,6.4,0,12,2,5,0,8,4,0,2013,Round 1
37,37,David Armitage,MID,112,18.8,1,25,4,5,8,19,6,0,2013,Round 1
38,37,Paul Chapman,FWD,103,18.2,1,25,5,5,3,17,8,0,2013,Round 1
39,37,Stephen Coniglio,MID,84,11.5,0,22,2,5,4,14,8,0,2013,Round 1
40,37,Courtenay Dempsey,DEF,100,21.5,1,20,7,5,3,15,5,0,2013,Round 1
41,37,Charlie Dixon,KEYF,98,15,2,16,5,5,1,9,7,9,2013,Round 1
42,37,Jonathon Griffin,RUC,77,14.6,0,12,4,5,0,4,8,20,2013,Round 1
