,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Matthew Lobbe,RUC,71,1.8,0,6,2,9,1,3,3,22,2014,Preliminary Finals
1,2,Sam Mitchell,MID,108,8.8,0,26,4,8,4,16,10,0,2014,Preliminary Finals
2,2,Luke Parker,FWD,133,25,3,26,8,8,6,9,17,2,2014,Preliminary Finals
3,2,Liam Shiels,MID,84,10.1,0,18,3,8,7,12,6,0,2014,Preliminary Finals
4,5,Travis Boak,MID,119,22.9,1,33,2,7,6,16,17,0,2014,Preliminary Finals
5,5,Alipate Carlile,KEYD,90,11.9,0,22,4,7,0,6,16,0,2014,Preliminary Finals
6,5,Josh P. Kennedy,MID,103,19.8,0,27,2,7,8,12,15,0,2014,Preliminary Finals
7,5,Ollie Wines,MID,87,6.5,0,19,2,7,5,10,9,4,2014,Preliminary Finals
8,9,Brad Ebert,MID,105,8,0,25,7,6,2,14,11,0,2014,Preliminary Finals
9,9,David Hale,RUC,91,15.9,1,15,2,6,5,5,10,21,2014,Preliminary Finals
10,9,Brent Harvey,FWD,92,15.3,1,19,3,6,2,13,6,0,2014,Preliminary Finals
11,9,Will Langford,MID,106,14.9,1,29,2,6,10,9,20,0,2014,Preliminary Finals
12,9,Jared Polec,MID,94,9.4,1,19,3,6,1,11,8,0,2014,Preliminary Finals
13,9,Andrew Swallow,MID,76,8.4,0,18,4,6,5,10,8,0,2014,Preliminary Finals
14,15,Luke Breust,FWD,59,13.9,0,15,2,5,2,5,10,1,2014,Preliminary Finals
15,15,Luke Hodge,MID,134,13.2,1,27,10,5,2,19,8,7,2014,Preliminary Finals
16,15,Paul Puopolo,FWD,79,6,0,20,4,5,5,6,14,0,2014,Preliminary Finals
17,15,Jack Ziebell,MID,57,11.3,0,15,2,5,3,5,10,0,2014,Preliminary Finals
18,19,Kane Cornes,MID,75,4.4,0,21,3,4,2,8,13,0,2014,Preliminary Finals
19,19,Harry Cunningham,FWD,65,2.3,0,14,4,4,1,7,7,0,2014,Preliminary Finals
20,19,Ben Cunnington,MID,95,8.5,0,28,3,4,7,14,14,0,2014,Preliminary Finals
21,19,Michael Firrito,DEF,87,13.5,0,20,8,4,0,9,11,0,2014,Preliminary Finals
22,19,Dan Hannebery,MID,72,10,0,22,3,4,3,8,14,0,2014,Preliminary Finals
23,19,Hamish Hartlett,FWD,77,14,0,17,5,4,2,13,4,1,2014,Preliminary Finals
24,19,Bradley Hill,FWD,85,9.8,0,22,5,4,0,13,9,0,2014,Preliminary Finals
25,19,Kieren Jack,MID,88,20.1,1,23,3,4,5,13,10,0,2014,Preliminary Finals
26,19,Ben McGlynn,MID,80,16.9,1,19,3,4,2,12,7,0,2014,Preliminary Finals
27,19,Isaac Smith,FWD,100,17.1,2,19,7,4,1,12,7,1,2014,Preliminary Finals
28,29,Grant Birchall,DEF,63,4.4,0,16,3,3,1,9,7,0,2014,Preliminary Finals
29,29,Lance Franklin,KEYF,137,23.4,5,23,11,3,0,18,5,0,2014,Preliminary Finals
30,29,Nathan Grima,KEYD,57,8.3,0,11,5,3,0,8,3,0,2014,Preliminary Finals
31,29,Lewis Jetta,FWD,55,10.5,1,11,5,3,1,9,2,0,2014,Preliminary Finals
32,29,Jake Lloyd,FWD,58,6.8,0,14,4,3,0,6,8,0,2014,Preliminary Finals
33,29,Jarrad McVeigh,MID,63,11.5,0,14,4,3,1,11,3,0,2014,Preliminary Finals
34,29,Drew Petrie,KEYF,101,4.5,3,15,8,3,0,14,1,0,2014,Preliminary Finals
35,36,Aaron Black,KEYF,13,1.7,0,2,0,2,0,1,1,0,2014,Preliminary Finals
36,36,Ben Brown,KEYF,56,9.1,2,8,4,2,0,6,2,1,2014,Preliminary Finals
37,36,Shaun Burgoyne,DEF,47,3.7,0,12,4,2,1,8,4,0,2014,Preliminary Finals
38,36,Nick Dal Santo,FWD,75,11.8,0,24,3,2,5,7,17,2,2014,Preliminary Finals
39,36,Taylor Duryea,DEF,64,8.8,1,13,4,2,0,11,2,0,2014,Preliminary Finals
