,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Jarrad McVeigh,MID,127,13.3,1,23,5,11,2,15,8,0,2015,Finals Week 1
1,2,Jack Macrae,MID,89,10.4,0,19,1,9,6,11,8,0,2015,Finals Week 1
2,2,Liam Shiels,MID,75,7.5,0,16,0,9,3,11,5,0,2015,Finals Week 1
3,2,Andrew Swallow,MID,99,13.1,0,22,2,9,7,8,14,0,2015,Finals Week 1
4,5,Ben Jacobs,MID,60,4.1,0,9,3,8,1,4,5,0,2015,Finals Week 1
5,5,Josh P. Kennedy,MID,141,14.3,0,39,5,8,4,16,23,0,2015,Finals Week 1
6,5,Liam Picken,MID,115,14.1,0,24,7,8,5,15,9,0,2015,Finals Week 1
7,8,Marcus Bontempelli,MID,103,11.1,0,24,3,7,7,16,8,0,2015,Finals Week 1
8,8,James Frawley,KEYD,46,2.7,0,6,1,7,1,4,2,0,2015,Finals Week 1
9,8,Will Langford,MID,71,3.6,0,17,1,7,4,10,7,1,2015,Finals Week 1
10,8,Jarrad Waite,KEYF,123,12,4,16,8,7,1,12,4,0,2015,Finals Week 1
11,8,Mitch Wallis,MID,110,13.2,0,26,6,7,7,12,14,0,2015,Finals Week 1
12,8,Matt de Boer,FWD,82,4.8,0,22,3,7,2,6,16,0,2015,Finals Week 1
13,14,Jamie Cripps,FWD,84,7.6,2,13,4,6,1,9,4,0,2015,Finals Week 1
14,14,Brett Deledio,FWD,76,7.1,1,17,2,6,4,10,7,1,2015,Finals Week 1
15,14,Isaac Heeney,FWD,72,2.4,0,13,5,6,0,8,5,0,2015,Finals Week 1
16,14,Luke Hodge,MID,130,10.9,1,29,7,6,2,19,10,0,2015,Finals Week 1
17,14,Tendai Mzungu,MID,79,4.4,0,14,6,6,1,11,3,0,2015,Finals Week 1
18,14,Cyril Rioli,FWD,95,14.8,1,21,3,6,3,12,9,0,2015,Finals Week 1
19,14,Kurt Tippett,KEYF,115,12.7,3,15,6,6,3,12,3,12,2015,Finals Week 1
20,14,Sharrod Wellingham,DEF,70,10.5,0,15,4,6,0,8,7,0,2015,Finals Week 1
21,22,Shane Biggs,DEF,73,10.1,0,17,2,5,0,13,4,0,2015,Finals Week 1
22,22,Luke Breust,FWD,56,5.8,0,13,4,5,3,5,8,0,2015,Finals Week 1
23,22,Patrick Dangerfield,MID,110,20.5,0,26,6,5,4,17,9,1,2015,Finals Week 1
24,22,Jack Darling,KEYF,44,6.8,1,6,3,5,0,3,3,0,2015,Finals Week 1
25,22,Adam Goodes,FWD,108,7.5,0,25,7,5,0,15,10,0,2015,Finals Week 1
26,22,Dan Hannebery,MID,107,18.1,0,34,3,5,4,13,21,0,2015,Finals Week 1
27,22,Bradley Hill,MID,65,9.7,0,17,1,5,6,11,6,0,2015,Finals Week 1
28,22,Mark Hutchings,MID,96,15.8,1,24,3,5,6,14,10,0,2015,Finals Week 1
29,22,Brandon Jack,FWD,41,4.9,0,8,0,5,1,3,5,0,2015,Finals Week 1
30,22,Lin Jong,MID,95,11.7,1,23,4,5,2,9,14,3,2015,Finals Week 1
31,22,Jordan Lewis,MID,92,5.9,0,25,4,5,4,11,14,5,2015,Finals Week 1
32,22,Chris Mayne,FWD,63,5.9,1,11,4,5,1,4,7,0,2015,Finals Week 1
33,22,Ben McEvoy,RUC,78,9.4,0,8,5,5,2,5,3,25,2015,Finals Week 1
34,22,Tom Mitchell,MID,104,11.3,0,29,4,5,4,14,15,0,2015,Finals Week 1
35,22,Paul Puopolo,FWD,53,7.3,0,14,0,5,2,9,5,0,2015,Finals Week 1
36,22,Matt Rosa,MID,90,8.9,0,26,5,5,2,9,17,0,2015,Finals Week 1
37,22,Rory Sloane,MID,79,25.2,1,20,2,5,2,9,11,1,2015,Finals Week 1
38,22,Lee Spurr,DEF,76,4.7,0,14,6,5,1,9,5,0,2015,Finals Week 1
39,40,Michael Barlow,FWD,78,8.4,1,18,4,4,0,8,10,0,2015,Finals Week 1
40,40,Jake Batchelor,DEF,69,7.3,0,13,6,4,1,8,5,1,2015,Finals Week 1
41,40,Charles Cameron,FWD,74,11.7,2,12,3,4,1,11,1,0,2015,Finals Week 1
42,40,Harry Cunningham,FWD,67,11,0,18,3,4,0,8,10,0,2015,Finals Week 1
43,40,Nat Fyfe,MID,99,12.7,0,32,4,4,8,15,17,3,2015,Finals Week 1
44,40,Jarrad Grant,MID,77,3.9,1,15,6,4,1,8,7,2,2015,Finals Week 1
45,40,Shaun Grigg,MID,75,4.6,0,17,4,4,4,11,6,2,2015,Finals Week 1
46,40,Shaun Higgins,FWD,90,3.8,1,15,8,4,4,12,3,0,2015,Finals Week 1
47,40,Shannon Hurn,DEF,100,10.8,0,26,5,4,3,19,7,0,2015,Finals Week 1
48,40,Sam Jacobs,RUC,104,7.5,0,15,3,4,3,10,5,39,2015,Finals Week 1
49,40,Zak Jones,DEF,40,6.1,0,10,0,4,1,3,7,0,2015,Finals Week 1
50,40,Rory Laird,DEF,81,9.6,0,22,3,4,0,14,8,0,2015,Finals Week 1
51,40,Mark LeCras,FWD,110,15.7,2,20,9,4,1,16,4,0,2015,Finals Week 1
52,40,Kamdyn McIntosh,MID,75,9.4,1,15,4,4,0,10,5,0,2015,Finals Week 1
53,40,Will Minson,RUC,73,12.9,0,12,1,4,7,9,3,26,2015,Finals Week 1
54,40,Robin Nahas,FWD,54,12.3,1,9,2,4,0,7,2,0,2015,Finals Week 1
55,40,Jack Riewoldt,KEYF,97,22.7,4,14,7,4,0,10,4,3,2015,Finals Week 1
56,40,Jarryd Roughead,KEYF,100,14.3,2,20,7,4,1,9,11,0,2015,Finals Week 1
57,40,Scott Selwood,MID,70,10,0,19,1,4,5,13,6,0,2015,Finals Week 1
58,40,Isaac Smith,MID,76,5.7,1,16,4,4,0,9,7,1,2015,Finals Week 1
59,40,Brodie Smith,DEF,73,13.2,0,18,2,4,0,13,5,0,2015,Finals Week 1
60,40,Cam Sutcliffe,DEF,65,6.2,0,12,6,4,0,7,5,0,2015,Finals Week 1
61,40,Scott Thompson,MID,87,14.8,1,26,2,4,3,12,14,0,2015,Finals Week 1
62,63,Grant Birchall,DEF,64,9.4,0,19,1,3,1,11,8,0,2015,Finals Week 1
63,63,Luke Brown,DEF,57,8.2,0,14,2,3,0,9,5,0,2015,Finals Week 1
64,63,Troy Chaplin,KEYD,51,6.3,0,8,7,3,0,5,3,0,2015,Finals Week 1
65,63,Zac Clarke,RUC,48,6.9,1,8,3,3,2,3,5,11,2015,Finals Week 1
66,63,Trent Cotchin,MID,34,5.1,0,9,1,3,1,3,6,0,2015,Finals Week 1
67,63,Ben Cunnington,MID,60,5.5,0,21,1,3,7,10,11,0,2015,Finals Week 1
68,63,Luke Dahlhaus,FWD,86,22.6,1,27,2,3,4,11,16,0,2015,Finals Week 1
69,63,Nick Dal Santo,MID,52,5,0,15,2,3,3,9,6,1,2015,Finals Week 1
