,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
62,63,Callum Ah Chee,FWD,45,4.3,1,8,4,1,0,6,2,0,2023,Preliminary Finals
63,63,Lachie Ash,DEF,84,5,0,22,7,1,0,15,7,0,2023,Preliminary Finals
64,63,Jarrod Berry,MID,82,11.5,0,24,6,1,3,14,10,0,2023,Preliminary Finals
65,63,Josh Daicos,MID,62,8.2,0,18,3,1,2,12,6,0,2023,Preliminary Finals
66,63,Joe Daniher,KEYF,66,7.3,2,14,3,1,3,10,4,3,2023,Preliminary Finals
67,63,Tom Green,MID,94,8.3,1,31,2,1,6,19,12,0,2023,Preliminary Finals
68,63,Toby Greene,FWD,69,15,2,17,2,1,2,12,5,0,2023,Preliminary Finals
69,63,Eric Hipwood,KEYF,59,12.2,1,11,6,1,0,9,2,0,2023,Preliminary Finals
70,63,Jesse Hogan,KEYF,59,12.4,1,11,7,1,0,6,5,0,2023,Preliminary Finals
71,63,Will Hoskin-Elliott,FWD,40,5.4,0,10,4,1,0,7,3,0,2023,Preliminary Finals
72,63,Matthew Kennedy,MID,20,0.7,0,6,1,1,2,4,2,0,2023,Preliminary Finals
73,63,Daniel McStay,KEYF,40,4.4,2,5,4,1,0,4,1,0,2023,Preliminary Finals
74,63,Xavier O'Halloran,FWD,18,2,0,5,1,1,0,3,2,0,2023,Preliminary Finals
75,63,Adam Saad,DEF,48,8.6,0,12,4,1,1,8,4,0,2023,Preliminary Finals
76,63,Jacob Weitering,KEYD,76,11.4,0,17,8,1,1,13,4,0,2023,Preliminary Finals
77,78,Harris Andrews,KEYD,29,12.2,0,10,5,0,0,6,4,0,2023,Preliminary Finals
78,78,Charlie Curnow,KEYF,39,5.9,1,8,4,0,0,6,2,0,2023,Preliminary Finals
79,78,Darcy Gardiner,KEYD,39,11.2,0,11,5,0,0,7,4,0,2023,Preliminary Finals
80,78,Jack Ginnivan,FWD,15,1.9,0,7,0,0,0,3,4,0,2023,Preliminary Finals
81,78,Harry Himmelberg,KEYD,52,16.4,0,16,3,0,1,10,6,0,2023,Preliminary Finals
82,78,Lachlan Keeffe,KEYF,42,5.1,0,8,3,0,0,5,3,13,2023,Preliminary Finals
83,78,Jarryd Lyons,MID,3,1,0,1,0,0,1,1,0,0,2023,Preliminary Finals
84,78,Caleb Marchbank,KEYD,81,11.3,0,20,8,0,0,16,4,0,2023,Preliminary Finals
85,78,Harry McKay,KEYF,66,10.2,2,10,6,0,0,10,0,0,2023,Preliminary Finals
86,78,Darcy Moore,KEYD,44,12,0,12,4,0,0,8,4,0,2023,Preliminary Finals
87,78,Jesse Motlop,FWD,23,2,0,6,2,0,0,5,1,0,2023,Preliminary Finals
88,78,Scott Pendlebury,MID,90,15.8,0,25,8,0,2,16,9,0,2023,Preliminary Finals
89,78,Marc Pittonet,RUC,38,4.7,0,10,1,0,6,6,4,17,2023,Preliminary Finals
90,78,Jake Riccardi,KEYF,27,-2.6,1,6,2,0,0,5,1,0,2023,Preliminary Finals
91,78,Brandon Starcevich,DEF,37,2.6,0,10,5,0,0,8,2,0,2023,Preliminary Finals
