,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Josh Dunkley,FWD,133,8.9,1,23,2,14,7,16,7,0,2022,Finals Week 1
1,2,Callum Mills,MID,122,14.3,1,23,6,11,4,16,7,0,2022,Finals Week 1
2,2,Luke Parker,MID,120,16.1,1,25,3,11,9,13,12,0,2022,Finals Week 1
3,4,Tom Atkins,DEF,88,17.7,0,23,0,9,8,8,15,0,2022,Finals Week 1
4,4,Jordan De Goey,MID,124,28.7,2,26,4,9,8,15,11,0,2022,Finals Week 1
5,4,Isaac Heeney,FWD,73,1.3,1,8,2,9,1,6,2,0,2022,Finals Week 1
6,4,Toby McLean,MID,100,10,0,21,2,9,4,12,9,0,2022,Finals Week 1
7,8,Taylor Adams,MID,67,10.1,0,16,0,8,6,5,11,0,2022,Finals Week 1
8,8,Clayton Oliver,MID,126,24.2,2,29,4,8,8,14,15,0,2022,Finals Week 1
9,8,James Rowbottom,MID,110,19,1,24,1,8,6,19,5,0,2022,Finals Week 1
10,11,Marcus Bontempelli,MID,145,24.7,2,30,9,7,3,18,12,0,2022,Finals Week 1
11,11,Darcy Cameron,RUC,99,9.9,0,14,3,7,4,7,7,25,2022,Finals Week 1
12,11,Errol Gulden,FWD,82,12,0,16,5,7,2,14,2,0,2022,Finals Week 1
13,11,Cameron Guthrie,MID,98,8.4,0,23,3,7,2,13,10,0,2022,Finals Week 1
14,11,Luke Jackson,RUC,60,4.8,0,7,1,7,1,2,5,13,2022,Finals Week 1
15,16,Will Brodie,MID,75,7.9,0,19,2,6,5,9,10,0,2022,Finals Week 1
16,16,Brad Close,FWD,73,5.4,2,11,2,6,0,8,3,0,2022,Finals Week 1
17,16,Keidean Coleman,DEF,78,10.5,0,16,2,6,1,14,2,0,2022,Finals Week 1
18,16,Patrick Dangerfield,MID,93,8.8,0,22,4,6,8,14,8,0,2022,Finals Week 1
19,16,Hugh McCluggage,MID,120,17.6,1,26,6,6,6,17,9,0,2022,Finals Week 1
20,16,Daniel McStay,KEYF,111,16.4,1,23,5,6,2,10,13,10,2022,Finals Week 1
21,16,Caleb Serong,MID,122,14.6,1,33,3,6,10,16,17,0,2022,Finals Week 1
22,16,Steele Sidebottom,MID,95,16.5,0,23,4,6,3,13,10,0,2022,Finals Week 1
23,16,Bailey Smith,FWD,85,8.2,0,21,1,6,3,16,5,0,2022,Finals Week 1
24,16,Tyson Stengle,FWD,71,4.2,0,14,3,6,3,8,6,0,2022,Finals Week 1
25,16,Jack Viney,MID,81,11.4,0,23,1,6,7,7,16,0,2022,Finals Week 1
26,27,Ryan Clarke,FWD,47,10.9,0,10,1,5,2,3,7,0,2022,Finals Week 1
27,27,Zaine Cordy,KEYD,63,8.1,0,10,4,5,0,7,3,3,2022,Finals Week 1
28,27,Jack Crisp,MID,91,14,1,23,3,5,4,12,11,0,2022,Finals Week 1
29,27,Josh Daicos,MID,122,10.4,1,29,8,5,2,16,13,0,2022,Finals Week 1
30,27,Rory Lobb,KEYF,86,12.2,2,11,4,5,0,5,6,14,2022,Finals Week 1
31,27,Brayden Maynard,DEF,92,3.8,0,19,7,5,0,12,7,0,2022,Finals Week 1
32,27,Kamdyn McIntosh,MID,72,8.6,1,14,3,5,4,10,4,0,2022,Finals Week 1
33,27,Scott Pendlebury,MID,111,17.1,0,34,2,5,5,15,19,0,2022,Finals Week 1
34,27,Harrison Petty,KEYD,65,14.5,0,13,4,5,0,7,6,0,2022,Finals Week 1
35,27,Marlion Pickett,MID,97,8.5,0,23,6,5,3,15,8,0,2022,Finals Week 1
36,27,Tom Sparrow,FWD,73,8.2,1,14,5,5,2,9,5,0,2022,Finals Week 1
37,27,Sam Switkowski,FWD,60,15.4,0,14,2,5,0,5,9,0,2022,Finals Week 1
38,27,Zach Tuohy,DEF,63,8.9,0,15,1,5,0,10,5,0,2022,Finals Week 1
39,40,James Aish,MID,56,7.6,0,16,2,4,4,5,11,0,2022,Finals Week 1
40,40,Harris Andrews,KEYD,62,12.9,0,11,4,4,0,10,1,0,2022,Finals Week 1
41,40,Nick Blakey,DEF,47,8.8,0,10,1,4,1,7,3,0,2022,Finals Week 1
42,40,Angus Brayshaw,DEF,68,3.5,0,20,2,4,3,12,8,0,2022,Finals Week 1
43,40,Tim English,RUC,75,13.1,0,15,1,4,2,5,10,20,2022,Finals Week 1
44,40,Bayley Fritsch,FWD,86,14.9,3,13,6,4,0,9,4,0,2022,Finals Week 1
45,40,Will Hayward,FWD,62,9,2,9,3,4,0,5,4,0,2022,Finals Week 1
46,40,Max Holmes,MID,67,9.9,1,18,1,4,1,9,9,0,2022,Finals Week 1
47,40,Will Hoskin-Elliott,FWD,72,1.9,1,14,4,4,1,12,2,0,2022,Finals Week 1
48,40,Jeremy Howe,KEYD,74,7.8,0,16,6,4,1,10,6,0,2022,Finals Week 1
49,40,Jack Macrae,MID,123,17.8,0,34,6,4,5,19,15,0,2022,Finals Week 1
50,40,Lincoln McCarthy,FWD,65,6.9,1,10,6,4,1,10,0,0,2022,Finals Week 1
51,40,Ben Miller,KEYD,59,4.4,0,8,3,4,2,3,5,14,2022,Finals Week 1
52,40,Aaron Naughton,KEYF,61,3.2,0,11,5,4,1,7,4,0,2022,Finals Week 1
53,40,Alex Neal-Bullen,FWD,56,6.7,0,14,1,4,1,8,6,0,2022,Finals Week 1
54,40,John Noble,DEF,109,6.5,0,27,6,4,0,20,7,0,2022,Finals Week 1
55,40,Isaac Quaynor,DEF,54,8.2,0,11,4,4,1,7,4,0,2022,Finals Week 1
56,40,Jack Riewoldt,KEYF,69,16,3,8,5,4,0,6,2,0,2022,Finals Week 1
57,40,Maurice Rioli,FWD,67,12.6,1,12,4,4,0,7,5,0,2022,Finals Week 1
58,40,Daniel Rioli,DEF,77,7.7,1,17,3,4,0,11,6,0,2022,Finals Week 1
