,Rank,Player,Position,AF    ,R,G,D,M,T,C,K,H,HO,Season,Round
69,70,Charlie Ballard,KEYD,90,4.2,0,21,12,0,0,17,4,0,2021,Round 1
70,70,Todd Goldstein,RUC,90,18.5,1,19,1,3,5,4,15,25,2021,Round 1
71,70,Brayden Maynard,DEF,90,14.9,0,21,4,4,0,18,3,0,2021,Round 1
72,70,Christian Petracca,MID,90,10.8,2,24,2,3,1,13,11,0,2021,Round 1
73,70,Jordan Ridley,DEF,90,13.9,0,21,6,3,0,16,5,0,2021,Round 1
74,75,James Rowbottom,MID,89,18.4,0,22,0,8,3,9,13,0,2021,Round 1
75,76,Jamie Cripps,FWD,88,6.5,1,20,8,1,0,12,8,0,2021,Round 1
76,76,Nat Fyfe,MID,88,13.6,0,27,5,5,9,10,17,0,2021,Round 1
77,76,Jacob Hopper,MID,88,16,1,27,1,4,6,13,14,0,2021,Round 1
78,76,Ben Keays,MID,88,12.7,0,23,4,4,7,15,8,0,2021,Round 1
79,76,Scott Lycett,RUC,88,10.4,1,13,2,5,3,5,8,28,2021,Round 1
80,76,Ben McEvoy,RUC,88,9.6,1,14,7,4,4,8,6,14,2021,Round 1
81,76,Jaeger O'Meara,MID,88,13.2,0,30,2,4,9,11,19,0,2021,Round 1
82,83,Tom Cole,DEF,87,11.7,0,22,8,1,1,14,8,0,2021,Round 1
83,83,Taylor Duryea,DEF,87,11.9,0,22,9,1,0,15,7,0,2021,Round 1
84,83,Jake Lever,KEYD,87,14.1,0,18,7,3,0,15,3,0,2021,Round 1
85,83,Tom Phillips,MID,87,16.6,1,21,7,2,2,10,11,0,2021,Round 1
86,83,Dion Prestia,MID,87,13.2,0,25,3,4,9,12,13,0,2021,Round 1
87,88,James Harmes,MID,86,3,1,20,6,2,1,11,9,0,2021,Round 1
88,88,Kane Lambert,FWD,86,8.1,0,28,6,1,1,13,15,0,2021,Round 1
89,88,Dylan Moore,FWD,86,15.8,3,19,3,3,1,7,12,0,2021,Round 1
90,88,John Noble,DEF,86,10,0,22,5,2,2,18,4,0,2021,Round 1
91,88,Lachie Weller,FWD,86,9,1,21,6,3,3,13,8,0,2021,Round 1
92,93,Josh Bruce,KEYF,85,4.4,1,15,11,1,0,11,4,0,2021,Round 1
93,93,Stephen Coniglio,FWD,85,16.4,1,24,0,2,5,19,5,0,2021,Round 1
