,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Scott Pendlebury,MID,114,14.9,0,21,4,12,3,11,10,0,2018,Round 3
1,2,Mitch Robinson,FWD,110,12.7,0,22,4,11,6,11,11,0,2018,Round 3
2,3,Bryce Gibbs,MID,129,12.8,1,26,5,10,8,14,12,0,2018,Round 3
3,3,Ben Jacobs,MID,86,8.5,0,15,6,10,2,4,11,0,2018,Round 3
4,3,Jarryd Lyons,MID,151,17.7,2,30,6,10,7,18,12,0,2018,Round 3
5,3,Jonathon Patton,KEYF,123,23.8,1,19,5,10,7,9,10,14,2018,Round 3
6,7,Mark Blicavs,KEYD,81,8.6,0,12,2,8,3,5,7,17,2018,Round 3
7,7,Nat Fyfe,MID,144,22.1,1,38,5,8,14,20,18,0,2018,Round 3
8,7,Brodie Grundy,RUC,141,18.6,0,25,6,8,7,11,14,32,2018,Round 3
9,7,Tom Mitchell,MID,148,15.9,1,42,2,8,11,21,21,0,2018,Round 3
10,7,Marc Murphy,MID,139,14,0,29,9,8,3,19,10,0,2018,Round 3
11,7,Callan Ward,MID,108,19,0,24,5,8,4,12,12,0,2018,Round 3
12,13,Ed Curnow,MID,103,12.8,0,25,3,7,8,17,8,0,2018,Round 3
13,13,Majak Daw,KEYD,66,9.2,0,7,6,7,0,6,1,3,2018,Round 3
14,13,Nathan Jones,MID,106,16.1,1,25,4,7,5,14,11,0,2018,Round 3
15,13,Stefan Martin,RUC,177,9.3,0,30,7,7,4,16,14,49,2018,Round 3
16,13,Sam Menegola,FWD,120,23.8,1,29,6,7,4,12,17,0,2018,Round 3
17,13,Joel Selwood,MID,90,6,0,21,5,7,3,10,11,0,2018,Round 3
18,13,Josh Wagner,DEF,80,10,0,15,3,7,1,10,5,0,2018,Round 3
19,20,Mark Baguley,FWD,46,5.5,0,9,1,6,0,3,6,0,2018,Round 3
20,20,Jason Castagna,FWD,80,11.4,3,12,4,6,0,7,5,0,2018,Round 3
21,20,Trent Cotchin,MID,103,21.2,0,31,1,6,8,13,18,0,2018,Round 3
22,20,Zac Fisher,FWD,73,12.6,1,16,1,6,2,9,7,0,2018,Round 3
23,20,Hugh Greenwood,MID,75,11.8,0,17,3,6,1,7,10,0,2018,Round 3
24,20,James Harmes,MID,76,12.3,0,17,2,6,2,9,8,2,2018,Round 3
25,20,Nick Holman,FWD,67,16.2,0,14,5,6,1,6,8,0,2018,Round 3
26,20,Rory Laird,DEF,120,9.6,0,32,7,6,0,16,16,0,2018,Round 3
27,20,Daniel Lloyd,FWD,87,10.4,2,12,6,6,0,9,3,0,2018,Round 3
28,20,Touk Miller,MID,80,14.2,0,19,3,6,5,9,10,0,2018,Round 3
29,20,Lachlan Murphy,FWD,66,6.1,0,12,5,6,1,7,5,0,2018,Round 3
30,20,Nic Naitanui,RUC,81,18,1,9,0,6,5,4,5,39,2018,Round 3
31,20,Clayton Oliver,MID,88,12.8,2,20,2,6,5,7,13,0,2018,Round 3
32,20,Tom Phillips,MID,93,7.1,0,20,6,6,2,9,11,0,2018,Round 3
33,20,Sebastian Ross,MID,132,14.5,0,32,8,6,3,20,12,0,2018,Round 3
34,20,Christian Salem,DEF,88,10.9,0,20,4,6,8,15,5,0,2018,Round 3
35,20,Scott Selwood,MID,65,9.1,0,14,2,6,2,5,9,0,2018,Round 3
36,20,David Swallow,MID,84,3.4,0,21,4,6,2,14,7,0,2018,Round 3
37,20,Josh Thomas,FWD,107,24.3,5,15,5,6,1,11,4,0,2018,Round 3
38,20,Michael Walters,FWD,106,11.9,2,23,4,6,1,16,7,1,2018,Round 3
39,40,Jarrod Berry,MID,55,3.7,0,12,3,5,1,7,5,0,2018,Round 3
40,40,Callum L. Brown,FWD,72,6.1,0,20,2,5,1,8,12,0,2018,Round 3
41,40,Stephen Coniglio,MID,111,15.7,1,27,5,5,5,18,9,0,2018,Round 3
42,40,Jamie Cripps,FWD,74,9.2,0,13,6,5,1,9,4,0,2018,Round 3
43,40,Luke Dahlhaus,FWD,105,9.5,0,31,6,5,4,7,24,0,2018,Round 3
44,40,Richard Douglas,FWD,93,17.9,1,22,4,5,4,11,11,0,2018,Round 3
45,40,Jarrod Garlett,FWD,69,6.8,1,12,4,5,2,9,3,0,2018,Round 3
46,40,Dylan Grimes,DEF,57,5.7,0,13,2,5,0,8,5,0,2018,Round 3
47,40,Isaac Heeney,FWD,97,13.1,1,23,6,5,4,9,14,0,2018,Round 3
