,Rank,Player,Position,AF    ,R,G,D,M,T,C,K,H,HO,Season,Round
0,1,Callum Mills,MID,148,16.1,1,23,7,16,5,13,10,0,2022,Round 17
1,2,Luke Davies-Uniacke,MID,145,19.8,0,33,5,11,12,22,11,0,2022,Round 17
2,3,Andrew Brayshaw,MID,144,11.9,1,36,6,10,1,20,16,0,2022,Round 17
3,4,Jed Anderson,FWD,142,12.7,0,33,9,7,6,19,14,0,2022,Round 17
4,5,Noah Anderson,MID,141,26.6,2,26,9,7,6,22,4,0,2022,Round 17
5,6,Mitch Duncan,DEF,138,12.2,2,32,11,0,0,28,4,0,2022,Round 17
6,7,Rory Laird,MID,132,11.9,0,42,3,7,4,13,29,0,2022,Round 17
7,8,Ben Ainsworth,FWD,130,12.4,2,26,14,1,0,18,8,0,2022,Round 17
8,9,Dylan Moore,FWD,129,19,0,29,7,7,5,18,11,0,2022,Round 17
9,10,Zach Merrett,MID,127,18.6,0,31,5,8,6,16,15,0,2022,Round 17
10,10,Jack Viney,MID,127,8,0,35,4,7,5,17,18,0,2022,Round 17
11,12,Connor Rozee,FWD,125,21.7,4,24,6,5,4,10,14,0,2022,Round 17
12,13,Blake Hardwick,DEF,124,13.6,0,32,8,4,0,19,13,0,2022,Round 17
13,14,Jack Steele,MID,121,13,0,28,8,7,4,12,16,0,2022,Round 17
14,15,Shannon Hurn,DEF,119,10.6,0,28,10,2,0,27,1,0,2022,Round 17
15,16,Ben Keays,MID,118,13.2,1,30,6,5,6,14,16,0,2022,Round 17
16,17,Stephen Coniglio,FWD,116,10.7,0,32,4,5,7,18,14,0,2022,Round 17
17,17,Matthew Kennedy,MID,116,13.5,0,27,7,7,5,13,14,0,2022,Round 17
18,19,Sam Docherty,DEF,114,19,0,28,8,4,2,21,7,0,2022,Round 17
19,19,Cameron Guthrie,MID,114,19.7,2,28,5,7,6,14,14,0,2022,Round 17
20,21,Sam Reid,KEYF,113,17.6,0,15,0,13,7,7,8,25,2022,Round 17
21,22,Jye Caldwell,MID,112,13,1,26,4,7,2,14,12,0,2022,Round 17
22,23,Andrew Gaff,MID,109,8.2,0,30,8,1,5,20,10,0,2022,Round 17
23,23,Jack Sinclair,DEF,109,14.4,1,27,7,2,0,22,5,0,2022,Round 17
24,25,Tom Atkins,DEF,108,14.2,1,21,3,9,9,16,5,0,2022,Round 17
25,25,Shai Bolton,FWD,108,32.9,3,29,3,1,8,19,10,0,2022,Round 17
26,25,Kyle Langford,FWD,108,12.6,4,18,7,3,0,13,5,0,2022,Round 17
27,25,Daniel Rioli,DEF,108,13.1,0,31,5,4,1,12,19,0,2022,Round 17
28,25,James Sicily,KEYD,108,9.8,0,23,13,1,0,21,2,0,2022,Round 17
29,30,Josh Battle,KEYD,107,14.2,0,27,11,1,0,15,12,0,2022,Round 17
30,30,Brandon Starcevich,DEF,107,7.6,0,26,7,5,0,21,5,0,2022,Round 17
31,32,Adam Cerra,MID,106,11.4,0,27,7,3,2,18,9,0,2022,Round 17
32,32,Brad Crouch,MID,106,12.6,0,30,3,6,7,14,16,0,2022,Round 17
33,32,Jake Lloyd,DEF,106,9.2,0,27,7,4,1,15,12,0,2022,Round 17
34,32,Harry McKay,KEYF,106,12.5,5,13,7,4,1,13,0,0,2022,Round 17
35,32,Touk Miller,MID,106,24.2,1,27,4,4,13,18,9,0,2022,Round 17
36,32,Jordan Ridley,KEYD,106,11.7,0,26,10,0,0,22,4,0,2022,Round 17
37,38,Patrick Dangerfield,MID,105,14,0,31,5,2,9,18,13,0,2022,Round 17
38,38,Brandon Ellis,MID,105,10.8,0,26,8,2,0,20,6,0,2022,Round 17
39,40,Jamie Elliott,FWD,104,13.2,2,20,7,4,3,14,6,0,2022,Round 17
40,40,Jarrod Witts,RUC,104,15.7,0,17,5,2,4,9,8,39,2022,Round 17
41,42,Jack Bowes,DEF,103,8.1,0,24,8,4,3,19,5,0,2022,Round 17
42,42,Jordan Clark,DEF,103,12.1,0,30,4,4,0,13,17,0,2022,Round 17
43,42,Luke Parker,MID,103,19.9,0,28,3,7,8,10,18,0,2022,Round 17
44,45,Rowan Marshall,RUC,102,14.7,0,23,8,2,1,11,12,14,2022,Round 17
45,45,Paddy McCartin,KEYD,102,12.9,0,22,14,0,0,16,6,0,2022,Round 17
46,45,Adam Treloar,MID,102,7.3,0,32,5,2,1,13,19,0,2022,Round 17
47,48,Nick Hind,DEF,101,16.2,0,27,3,5,1,20,7,0,2022,Round 17
48,48,Harry Morrison,MID,101,10.3,1,21,7,5,2,15,6,0,2022,Round 17
49,48,Tim Taranto,FWD,101,12.1,0,23,4,7,2,13,10,0,2022,Round 17
50,51,Taylor Adams,MID,100,9.8,0,28,5,5,6,13,15,0,2022,Round 17
51,51,Kane Farrell,FWD,100,9.1,2,16,8,5,0,12,4,0,2022,Round 17
52,51,Tom Papley,FWD,100,13.1,2,24,5,3,2,16,8,0,2022,Round 17
53,51,Sam Powell-Pepper,FWD,100,5.5,1,25,10,3,1,14,11,0,2022,Round 17
54,51,Curtis Taylor,MID,100,11.3,1,23,10,0,0,20,3,0,2022,Round 17
55,51,Chad Warner,MID,100,16.9,2,25,3,4,4,18,7,0,2022,Round 17
56,57,Zak Butters,FWD,99,4.3,0,26,5,4,1,14,12,0,2022,Round 17
57,57,Matt Crouch,MID,99,10.2,0,28,4,6,7,10,18,0,2022,Round 17
58,57,Tim English,RUC,99,11.2,1,13,6,4,2,8,5,27,2022,Round 17
