,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Brad Crouch,MID,133,11.7,0,29,5,10,8,17,12,0,2017,Preliminary Finals
1,2,Trent Cotchin,MID,106,13.7,0,26,1,9,7,16,10,0,2017,Preliminary Finals
2,2,Patrick Dangerfield,MID,121,14.4,2,24,3,9,5,13,11,0,2017,Preliminary Finals
3,2,Joel Selwood,MID,133,16.9,1,34,2,9,7,13,21,0,2017,Preliminary Finals
4,5,Mark Blicavs,MID,75,9.1,0,12,5,8,3,3,9,0,2017,Preliminary Finals
5,5,Josh Kelly,MID,117,10.4,1,28,4,8,6,15,13,0,2017,Preliminary Finals
6,5,Darcy Lang,FWD,72,10.5,1,11,1,8,3,7,4,0,2017,Preliminary Finals
7,8,Matt de Boer,FWD,67,10.4,0,17,1,7,2,4,13,0,2017,Preliminary Finals
8,9,Dan Butler,FWD,54,14.9,2,7,0,6,0,6,1,0,2017,Preliminary Finals
9,9,Mitch Duncan,MID,110,6.7,1,25,6,6,4,14,11,0,2017,Preliminary Finals
10,9,Sam Menegola,FWD,105,11.4,1,23,6,6,2,13,10,0,2017,Preliminary Finals
11,9,Dion Prestia,MID,83,8.3,0,22,2,6,5,12,10,0,2017,Preliminary Finals
12,9,Daniel Rioli,FWD,101,23.2,4,14,5,6,0,9,5,0,2017,Preliminary Finals
13,9,Tim Taranto,FWD,70,6.5,0,15,2,6,1,10,5,0,2017,Preliminary Finals
14,9,Callan Ward,MID,118,22.3,3,25,3,6,7,18,7,0,2017,Preliminary Finals
15,16,Nakia Cockatoo,FWD,63,8.2,1,9,5,5,1,6,3,0,2017,Preliminary Finals
16,16,Matt Crouch,MID,122,20.1,1,31,7,5,6,15,16,0,2017,Preliminary Finals
17,16,Jack Graham,MID,65,6,0,14,4,5,3,8,6,0,2017,Preliminary Finals
18,16,Kyle Hartigan,KEYD,77,0.9,0,13,6,5,1,11,2,0,2017,Preliminary Finals
19,16,David Mackay,MID,75,11,0,18,6,5,0,10,8,0,2017,Preliminary Finals
20,16,Kamdyn McIntosh,MID,65,11.8,0,15,2,5,0,8,7,0,2017,Preliminary Finals
21,16,Toby Nankervis,RUC,97,12.9,0,13,5,5,1,11,2,27,2017,Preliminary Finals
22,16,Adam Tomlinson,KEYD,110,6.7,0,26,7,5,0,16,10,0,2017,Preliminary Finals
23,16,Jacob Townsend,FWD,56,8.9,1,10,1,5,1,7,3,0,2017,Preliminary Finals
24,25,Stephen Coniglio,MID,90,-1,0,24,8,4,1,8,16,0,2017,Preliminary Finals
25,25,Brett Deledio,FWD,57,2.9,0,11,5,4,2,8,3,0,2017,Preliminary Finals
26,25,Richard Douglas,MID,82,10.5,0,19,5,4,4,14,5,0,2017,Preliminary Finals
27,25,Dylan Grimes,DEF,47,9,0,11,2,4,0,5,6,0,2017,Preliminary Finals
28,25,Jacob Hopper,MID,78,7.4,0,27,4,4,5,7,20,0,2017,Preliminary Finals
29,25,Jake Kelly,DEF,63,0.7,0,11,6,4,0,10,1,0,2017,Preliminary Finals
30,25,Riley Knight,FWD,75,7.2,1,14,6,4,1,7,7,0,2017,Preliminary Finals
31,25,Andy Otten,KEYF,63,7.7,1,13,4,4,0,7,6,0,2017,Preliminary Finals
32,25,Brandan Parfitt,FWD,49,9.7,0,11,1,4,1,7,4,0,2017,Preliminary Finals
33,25,Tom Scully,MID,94,9.4,0,25,5,4,3,14,11,0,2017,Preliminary Finals
34,25,Scott Selwood,MID,54,5.2,0,13,4,4,2,4,9,0,2017,Preliminary Finals
35,25,Rory Sloane,MID,76,13.2,0,20,5,4,8,13,7,0,2017,Preliminary Finals
36,37,David Astbury,KEYD,48,4.2,0,13,4,3,0,9,4,0,2017,Preliminary Finals
37,37,Nathan Broad,DEF,28,0.4,0,6,1,3,0,6,0,0,2017,Preliminary Finals
38,37,Charles Cameron,FWD,113,26.3,5,19,6,3,1,14,5,0,2017,Preliminary Finals
39,37,Nick Haynes,DEF,66,10.8,0,20,3,3,1,9,11,0,2017,Preliminary Finals
40,37,Jake Kolodjashnij,DEF,72,2.3,0,16,6,3,2,9,7,0,2017,Preliminary Finals
41,37,Daniel Menzel,FWD,51,7,0,9,5,3,0,5,4,0,2017,Preliminary Finals
42,37,Steven Motlop,FWD,93,21.5,1,26,3,3,1,17,9,0,2017,Preliminary Finals
43,37,Paul Seedsman,MID,94,18.1,2,19,7,3,1,13,6,0,2017,Preliminary Finals
