,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Clayton Oliver,MID,108,15,0,21,2,12,9,10,11,0,2022,Semi Finals
1,2,Will Brodie,MID,87,14.4,0,17,1,11,6,5,12,0,2022,Semi Finals
2,3,Jack Viney,MID,98,8,0,20,1,9,7,14,6,0,2022,Semi Finals
3,4,Andrew Brayshaw,MID,127,2.7,0,32,4,8,3,17,15,0,2022,Semi Finals
4,5,Jamie Elliott,FWD,78,11.4,2,15,1,7,0,8,7,0,2022,Semi Finals
5,5,Lachie Neale,MID,101,15.2,0,27,2,7,10,11,16,0,2022,Semi Finals
6,5,Deven Robertson,FWD,70,6.1,0,14,3,7,2,8,6,0,2022,Semi Finals
7,8,Harris Andrews,KEYD,73,8.8,0,12,7,6,0,10,2,0,2022,Semi Finals
8,8,Luke Jackson,RUC,62,7.3,0,9,1,6,4,6,3,9,2022,Semi Finals
9,8,Alex Neal-Bullen,FWD,89,11.7,2,13,6,6,0,11,2,0,2022,Semi Finals
10,11,James Aish,MID,59,2.7,0,14,2,5,3,8,6,0,2022,Semi Finals
11,11,Jack Crisp,MID,101,20.2,2,24,3,5,6,14,10,0,2022,Semi Finals
12,11,Darcy Fort,RUC,79,5.3,1,12,0,5,4,12,0,29,2022,Semi Finals
13,11,James Harmes,FWD,85,8.2,0,20,4,5,5,12,8,0,2022,Semi Finals
14,11,Patrick Lipinski,FWD,76,13.2,0,21,3,5,2,11,10,0,2022,Semi Finals
15,11,Hugh McCluggage,MID,105,11,1,25,5,5,1,15,10,0,2022,Semi Finals
16,11,Beau McCreery,FWD,28,8.5,0,6,0,5,1,2,4,0,2022,Semi Finals
17,11,Alex Pearce,KEYD,63,3,0,10,5,5,0,8,2,0,2022,Semi Finals
18,11,Kysaiah Pickett,FWD,55,6.5,2,10,0,5,0,7,3,0,2022,Semi Finals
19,11,Cam Rayner,FWD,56,1.9,0,12,1,5,1,6,6,0,2022,Semi Finals
20,11,Sam Switkowski,FWD,41,6.4,0,9,1,5,1,2,7,0,2022,Semi Finals
21,22,Angus Brayshaw,DEF,88,12.2,1,18,5,4,6,14,4,0,2022,Semi Finals
22,22,Keidean Coleman,DEF,99,10.8,0,19,9,4,0,18,1,0,2022,Semi Finals
23,22,Sean Darcy,RUC,83,15.6,0,13,0,4,5,9,4,40,2022,Semi Finals
24,22,Jordan De Goey,MID,87,23.6,1,24,1,4,6,18,6,0,2022,Semi Finals
25,22,Jake Lever,KEYD,58,3.4,0,9,6,4,0,8,1,0,2022,Semi Finals
26,22,Scott Pendlebury,MID,79,12.8,0,24,2,4,5,8,16,0,2022,Semi Finals
27,22,Daniel Rich,DEF,108,17.1,0,30,3,4,5,25,5,0,2022,Semi Finals
28,22,Caleb Serong,MID,118,9.5,0,34,4,4,5,19,15,0,2022,Semi Finals
29,22,Darcy Wilmot,DEF,61,7.2,0,15,1,4,1,10,5,0,2022,Semi Finals
30,31,Blake Acres,MID,110,15.3,0,27,9,3,2,17,10,0,2022,Semi Finals
31,31,Zac Bailey,FWD,81,15.2,2,16,5,3,1,10,6,0,2022,Semi Finals
32,31,Ben Brown,KEYF,56,11.1,0,10,5,3,0,7,3,3,2022,Semi Finals
33,31,Darcy Gardiner,KEYD,62,7,0,11,7,3,0,7,4,0,2022,Semi Finals
34,31,Max Gawn,RUC,98,9.9,0,15,4,3,5,12,3,36,2022,Semi Finals
35,31,Jeremy Howe,KEYD,88,17.6,0,17,8,3,0,15,2,0,2022,Semi Finals
36,31,Brayden Maynard,DEF,53,7.9,0,10,5,3,1,8,2,0,2022,Semi Finals
37,31,Daniel McStay,KEYF,80,11,2,12,6,3,0,10,2,0,2022,Semi Finals
38,31,David Mundy,MID,72,18.2,1,18,4,3,3,11,7,0,2022,Semi Finals
39,31,John Noble,DEF,78,7.7,0,21,6,3,0,14,7,0,2022,Semi Finals
40,31,Harrison Petty,KEYD,85,20.2,1,18,8,3,0,9,9,0,2022,Semi Finals
41,31,Isaac Quaynor,DEF,40,1.2,0,9,3,3,0,6,3,0,2022,Semi Finals
42,31,Steele Sidebottom,MID,77,3.3,0,19,7,3,2,9,10,0,2022,Semi Finals
43,31,Brandon Starcevich,DEF,44,0.1,0,12,1,3,0,8,4,0,2022,Semi Finals
44,31,Michael Walters,FWD,65,15.4,2,11,3,3,0,8,3,0,2022,Semi Finals
45,31,Dayne Zorko,FWD,89,18,0,22,6,3,4,14,8,0,2022,Semi Finals
46,47,Callum Ah Chee,MID,47,8.5,1,10,2,2,1,7,3,0,2022,Semi Finals
47,47,Jye Amiss,KEYF,48,9.2,0,12,2,2,0,7,5,0,2022,Semi Finals
48,47,Noah Answerth,DEF,34,2.9,0,9,3,2,1,5,4,0,2022,Semi Finals
49,47,Jarrod Berry,MID,98,10.4,0,26,8,2,4,13,13,0,2022,Semi Finals
50,47,Charlie Cameron,FWD,51,10.7,3,5,3,2,0,4,1,0,2022,Semi Finals
51,47,Mason Cox,RUC,70,12.7,1,10,5,2,2,7,3,19,2022,Semi Finals
52,47,Brennan Cox,KEYD,52,6.9,0,13,5,2,0,10,3,0,2022,Semi Finals
53,47,Nick Daicos,DEF,96,5.4,0,25,7,2,1,16,9,0,2022,Semi Finals
54,47,Josh Daicos,MID,64,4.5,0,17,4,2,2,10,7,0,2022,Semi Finals
55,47,Jack Ginnivan,FWD,74,7.3,3,11,5,2,0,9,2,0,2022,Semi Finals
56,47,Michael Hibberd,DEF,49,12.2,0,14,2,2,0,7,7,0,2022,Semi Finals
57,47,Jayden Hunt,DEF,36,5.9,0,9,2,2,0,7,2,0,2022,Semi Finals
58,47,Lincoln McCarthy,FWD,38,3.9,0,11,2,2,0,5,6,0,2022,Semi Finals
59,47,Trent Rivers,DEF,37,3.9,0,7,5,2,0,6,1,0,2022,Semi Finals
60,47,Christian Salem,DEF,41,1.8,0,11,2,2,0,8,3,0,2022,Semi Finals
61,47,Brandon Walker,DEF,52,2.3,0,19,0,2,1,9,10,0,2022,Semi Finals
62,47,Hayden Young,DEF,98,6.9,0,21,11,2,0,15,6,0,2022,Semi Finals
63,64,Trent Bianco,FWD,56,7.2,0,16,5,1,1,11,5,0,2022,Semi Finals
64,64,Darcy Cameron,RUC,52,10.2,0,10,2,1,3,5,5,14,2022,Semi Finals
65,64,Heath Chapman,DEF,69,2.3,0,17,7,1,0,8,9,0,2022,Semi Finals
66,64,Jordan Clark,DEF,58,6.7,0,18,4,1,2,8,10,0,2022,Semi Finals
67,64,Michael Frederick,FWD,37,8.3,2,8,0,1,0,5,3,0,2022,Semi Finals
68,64,Bayley Fritsch,FWD,52,7.2,2,7,5,1,0,7,0,0,2022,Semi Finals
69,64,Tom Fullarton,KEYF,43,3.4,0,10,2,1,2,8,2,4,2022,Semi Finals
70,64,Will Hoskin-Elliott,FWD,54,0.8,0,12,5,1,1,8,4,0,2022,Semi Finals
71,64,Ash Johnson,KEYF,38,1.6,0,8,3,1,0,7,1,0,2022,Semi Finals
72,64,Steven May,KEYD,60,10.5,0,17,5,1,0,15,2,0,2022,Semi Finals
73,64,Jake Melksham,FWD,54,6.6,1,10,6,1,0,6,4,0,2022,Semi Finals
74,64,Darcy Moore,KEYD,48,13.9,0,15,2,1,0,7,8,0,2022,Semi Finals
75,64,Jack Payne,KEYD,72,5.1,0,13,10,1,0,12,1,0,2022,Semi Finals
76,64,Christian Petracca,MID,81,3.1,0,27,3,1,5,13,14,0,2022,Semi Finals
77,64,Luke Ryan,DEF,89,7.6,0,23,6,1,0,20,3,0,2022,Semi Finals
78,64,Lachie Schultz,FWD,62,14,2,15,4,1,1,10,5,0,2022,Semi Finals
79,64,Charlie Spargo,FWD,23,1.9,0,10,1,1,1,6,4,0,2022,Semi Finals
80,81,Bailey Banfield,FWD,0,0,0,0,0,0,0,0,0,0,2022,Semi Finals
81,81,Josh Carmichael,FWD,0,0,0,0,0,0,0,0,0,0,2022,Semi Finals
82,81,Eric Hipwood,KEYF,79,15.7,4,17,6,0,0,11,6,0,2022,Semi Finals
83,81,Ed Langdon,MID,84,12.4,2,24,2,0,6,16,8,0,2022,Semi Finals
84,81,Rory Lobb,KEYF,45,8.3,0,12,4,0,0,10,2,2,2022,Semi Finals
85,81,Griffin Logue,KEYD,38,4,2,8,3,0,0,4,4,0,2022,Semi Finals
