,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Clayton Oliver,MID,114,10,0,27,3,9,6,14,13,0,2023,Semi Finals
1,2,Isaac Cumming,DEF,82,7.3,1,11,4,8,2,9,2,0,2023,Semi Finals
2,2,Sam Walsh,MID,140,14.8,2,34,6,8,3,17,17,0,2023,Semi Finals
3,4,Dan Houston,DEF,108,20.4,0,22,6,7,6,16,6,0,2023,Semi Finals
4,4,Jed McEntee,FWD,63,5.5,0,12,3,7,1,2,10,0,2023,Semi Finals
5,6,Patrick Cripps,MID,93,12.9,0,27,1,6,9,13,14,0,2023,Semi Finals
6,6,Christian Salem,DEF,87,7.1,0,22,3,6,0,12,10,0,2023,Semi Finals
7,8,Adam Cerra,MID,75,10.8,0,20,0,5,4,12,8,0,2023,Semi Finals
8,8,Willie Rioli,FWD,79,17.4,3,12,3,5,0,8,4,0,2023,Semi Finals
9,8,Charlie Spargo,FWD,76,4.5,0,14,6,5,0,11,3,0,2023,Semi Finals
10,8,Lachie Whitfield,DEF,125,12.8,0,33,6,5,0,19,14,0,2023,Semi Finals
11,12,Travis Boak,MID,81,14.8,0,21,3,4,4,15,6,0,2023,Semi Finals
12,12,Callum M. Brown,FWD,60,4.7,0,10,5,4,0,7,3,0,2023,Semi Finals
13,12,Zak Butters,MID,88,6.9,0,25,4,4,2,12,13,0,2023,Semi Finals
14,12,David Cuningham,FWD,48,4.7,0,9,3,4,0,4,5,0,2023,Semi Finals
15,12,Lachie Fogarty,FWD,61,2.1,0,14,4,4,1,6,8,0,2023,Semi Finals
16,12,Tom Green,MID,84,16.8,0,29,0,4,8,16,13,0,2023,Semi Finals
17,12,Jesse Motlop,FWD,61,12.2,2,11,3,4,0,5,6,0,2023,Semi Finals
18,12,Alex Neal-Bullen,FWD,68,11.9,0,18,4,4,2,9,9,0,2023,Semi Finals
19,12,Nic Newman,DEF,123,8.6,0,30,11,4,3,19,11,0,2023,Semi Finals
20,12,Tom Sparrow,MID,88,3.5,0,21,6,4,3,15,6,0,2023,Semi Finals
21,12,Jack Viney,MID,98,9,0,31,4,4,7,15,16,0,2023,Semi Finals
22,23,Blake Acres,MID,76,9,2,17,3,3,3,8,9,0,2023,Semi Finals
23,23,Lachie Ash,DEF,68,7.2,0,20,3,3,0,7,13,0,2023,Semi Finals
24,23,Kade Chandler,FWD,51,2.8,0,9,4,3,0,6,3,0,2023,Semi Finals
25,23,Stephen Coniglio,MID,119,23.9,2,30,4,3,7,20,10,0,2023,Semi Finals
26,23,Brent Daniels,FWD,75,10.7,1,17,4,3,4,11,6,0,2023,Semi Finals
27,23,Sam Docherty,MID,79,10,0,19,6,3,1,13,6,0,2023,Semi Finals
28,23,Willem Drew,MID,70,15,1,18,3,3,3,7,11,0,2023,Semi Finals
29,23,Xavier Duursma,MID,36,3.7,0,7,2,3,0,3,4,0,2023,Semi Finals
30,23,George Hewett,MID,58,7.1,0,18,1,3,2,8,10,0,2023,Semi Finals
31,23,Matthew Kennedy,MID,56,7.2,1,13,1,3,0,6,7,0,2023,Semi Finals
32,23,Daniel Lloyd,FWD,42,6.5,0,10,1,3,0,7,3,0,2023,Semi Finals
33,23,Ollie Lord,KEYF,33,5.3,1,5,2,3,0,2,3,1,2023,Semi Finals
34,23,Todd Marshall,KEYF,50,6.4,2,7,3,3,0,4,3,0,2023,Semi Finals
