,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Brad Ebert,MID,149,11.6,0,31,3,14,4,19,12,0,2017,Round 5
1,2,Rory Sloane,MID,132,24.2,1,30,1,13,9,13,17,0,2017,Round 5
2,3,Matthew Priddis,MID,92,13.7,0,22,0,11,2,4,18,0,2017,Round 5
3,3,Adam Treloar,MID,144,23.8,1,39,2,11,9,13,26,0,2017,Round 5
4,5,Curtly Hampton,MID,119,16.8,2,21,6,10,2,7,14,0,2017,Round 5
5,5,Jack Steele,MID,101,8.8,0,21,4,10,3,6,15,0,2017,Round 5
6,5,Chad Wingard,FWD,122,8.1,1,25,4,10,5,16,9,0,2017,Round 5
7,8,Daniel Howe,MID,66,5.6,0,13,0,9,4,6,7,0,2017,Round 5
8,8,Alex Neal-Bullen,FWD,91,9.9,0,21,1,9,4,10,11,0,2017,Round 5
9,8,Joel Selwood,MID,175,25.1,1,43,8,9,10,21,22,0,2017,Round 5
10,11,Mark Blicavs,MID,115,9.4,0,21,6,8,2,8,13,12,2017,Round 5
11,11,Brad Crouch,MID,119,15.3,0,33,1,8,3,13,20,0,2017,Round 5
12,11,Harry Cunningham,FWD,79,9.6,0,15,2,8,1,9,6,0,2017,Round 5
13,11,Luke Dahlhaus,FWD,130,11.7,1,28,8,8,1,10,18,0,2017,Round 5
14,11,Dan Hannebery,MID,84,8.3,0,23,0,8,3,8,15,0,2017,Round 5
15,11,James Harmes,FWD,80,10.5,0,18,2,8,2,10,8,0,2017,Round 5
16,11,Jacob Hopper,MID,71,9.5,0,16,2,8,3,7,9,0,2017,Round 5
17,11,Matthew Kennedy,MID,89,5.1,0,17,5,8,3,9,8,0,2017,Round 5
18,11,Luke McDonald,MID,96,10.9,0,19,4,8,2,11,8,0,2017,Round 5
19,11,Paul Puopolo,FWD,92,7.5,1,17,1,8,2,13,4,0,2017,Round 5
20,11,Mitch Robinson,FWD,89,20.8,1,21,3,8,5,7,14,0,2017,Round 5
21,11,Dayne Zorko,MID,157,20,2,32,6,8,8,26,6,0,2017,Round 5
22,23,Ryan Bastinac,MID,67,4.1,0,16,3,7,2,7,9,0,2017,Round 5
23,23,Marcus Bontempelli,MID,105,9.7,1,22,6,7,2,12,10,0,2017,Round 5
24,23,Trent Cotchin,MID,90,12.7,0,19,3,7,4,15,4,0,2017,Round 5
25,23,Jamie Cripps,FWD,94,7.2,1,18,4,7,3,10,8,0,2017,Round 5
26,23,Jack Crisp,DEF,113,17,1,27,3,7,3,15,12,0,2017,Round 5
27,23,Mitch Duncan,MID,134,18.4,1,32,9,7,4,16,16,0,2017,Round 5
28,23,Sam Frost,KEYD,67,13.1,0,12,1,7,0,8,4,3,2017,Round 5
29,23,Shaun Grigg,MID,100,10.7,1,20,5,7,6,14,6,1,2017,Round 5
30,23,Dylan Grimes,DEF,40,10.8,0,6,0,7,0,3,3,0,2017,Round 5
31,23,Ryan Harwood,DEF,69,8.2,0,13,3,7,0,6,7,0,2017,Round 5
32,23,Stephen Hill,MID,95,11.4,0,25,1,7,2,13,12,0,2017,Round 5
33,23,Jay Kennedy Harris,FWD,70,-1,0,11,5,7,0,7,4,0,2017,Round 5
34,23,Kane Lambert,FWD,88,12.8,0,20,2,7,4,10,10,0,2017,Round 5
35,23,Anthony McDonald-Tipungwuti,FWD,75,16.4,0,14,1,7,2,11,3,0,2017,Round 5
36,23,Leigh Montagna,DEF,107,5.1,0,27,5,7,0,15,12,0,2017,Round 5
37,23,Toby Nankervis,RUC,131,17.6,0,16,1,7,4,13,3,56,2017,Round 5
38,23,Lachie Neale,MID,86,15.1,0,22,3,7,7,13,9,0,2017,Round 5
39,23,Clayton Oliver,MID,95,11.5,0,32,3,7,9,8,24,0,2017,Round 5
40,23,Liam Shiels,MID,121,17.3,1,26,6,7,5,17,9,0,2017,Round 5
41,42,Karl Amon,MID,101,12.9,0,24,6,6,1,11,13,0,2017,Round 5
42,42,Tim Broomhead,FWD,65,13.9,0,14,2,6,2,5,9,0,2017,Round 5
43,42,Dan Butler,FWD,62,7.7,1,12,2,6,2,8,4,0,2017,Round 5
44,42,Nakia Cockatoo,FWD,70,11.6,2,10,2,6,0,6,4,0,2017,Round 5
45,42,Hayden Crozier,FWD,61,8.7,1,9,1,6,1,8,1,0,2017,Round 5
46,42,Bryce Gibbs,MID,101,12.2,1,24,3,6,5,13,11,0,2017,Round 5
47,42,Brady Grey,FWD,64,6.9,1,10,3,6,0,6,4,0,2017,Round 5
48,42,Bachar Houli,DEF,89,8.9,0,24,3,6,3,14,10,0,2017,Round 5
49,42,Zak Jones,MID,91,11.2,0,19,5,6,3,14,5,0,2017,Round 5
50,42,Josh Kelly,MID,82,2.2,0,21,2,6,5,12,9,0,2017,Round 5
51,42,Matthew Leuenberger,RUC,86,12.2,0,11,2,6,2,2,9,32,2017,Round 5
52,42,Dustin Martin,MID,125,12.4,1,32,2,6,9,22,10,0,2017,Round 5
53,42,Chris Masten,MID,91,11.4,0,26,3,6,2,9,17,0,2017,Round 5
54,42,Sam Mayes,DEF,105,9.6,0,23,7,6,1,13,10,0,2017,Round 5
55,42,Toby McLean,FWD,111,19.9,2,24,5,6,2,13,11,0,2017,Round 5
56,42,Tom Mitchell,MID,122,16.1,0,37,5,6,6,12,25,0,2017,Round 5
57,42,Jack Newnes,MID,91,7.4,1,20,4,6,3,11,9,0,2017,Round 5
58,42,Cyril Rioli,FWD,76,15.4,1,15,3,6,2,7,8,0,2017,Round 5
59,42,Tom Scully,MID,91,6.9,0,23,3,6,4,11,12,0,2017,Round 5
60,42,Andrew Swallow,MID,67,5.6,0,15,3,6,3,8,7,0,2017,Round 5
61,42,Jack Viney,MID,78,14.4,0,23,2,6,6,7,16,0,2017,Round 5
62,42,Elliot Yeo,DEF,73,7.4,0,16,6,6,2,11,5,0,2017,Round 5
63,64,Gary Ablett,MID,118,11.6,0,33,5,5,5,15,18,0,2017,Round 5
64,64,Taylor Adams,MID,88,6.3,0,20,5,5,1,11,9,0,2017,Round 5
65,64,Dayne Beams,MID,126,12.7,0,36,5,5,9,21,15,0,2017,Round 5
66,64,Aaron Black,KEYF,100,13.3,2,21,7,5,0,10,11,0,2017,Round 5
67,64,Shaun Burgoyne,MID,94,20.8,1,24,3,5,3,10,14,0,2017,Round 5
68,64,Josh Caddy,FWD,84,12.7,1,21,2,5,8,11,10,0,2017,Round 5
69,64,Patrick Cripps,MID,121,12.5,0,37,3,5,7,14,23,0,2017,Round 5
70,64,Ben Cunnington,MID,91,14.2,1,29,3,5,10,9,20,0,2017,Round 5
71,64,Ed Curnow,MID,65,7.9,0,17,2,5,1,8,9,0,2017,Round 5
72,64,Trent Dumont,MID,96,19.8,1,24,3,5,8,11,13,0,2017,Round 5
73,64,Jordan Foote,FWD,35,0.7,0,7,0,5,0,1,6,0,2017,Round 5
74,64,Brendon Goddard,MID,89,16.5,0,22,6,5,9,10,12,0,2017,Round 5
75,64,Josh Green,FWD,66,18.2,3,10,1,5,1,8,2,0,2017,Round 5
76,64,Joel Hamling,KEYD,50,11.8,0,11,3,5,0,4,7,0,2017,Round 5
77,64,Dyson Heppell,MID,93,22,1,26,2,5,7,11,15,0,2017,Round 5
78,64,Nathan Jones,MID,74,11.4,0,24,1,5,4,7,17,0,2017,Round 5
79,64,Ben Keays,FWD,59,16.1,2,12,1,5,1,6,6,0,2017,Round 5
80,64,Mark LeCras,FWD,49,7.4,0,11,1,5,0,4,7,0,2017,Round 5
81,64,Billy Longer,RUC,70,6.2,0,8,1,5,2,1,7,29,2017,Round 5
82,64,Jarryd Lyons,MID,100,11.2,0,26,4,5,10,14,12,0,2017,Round 5
83,64,Ben McEvoy,RUC,129,19.5,1,17,7,5,0,8,9,43,2017,Round 5
84,64,Zach Merrett,MID,137,2.1,0,33,10,5,7,20,13,0,2017,Round 5
85,64,Aaron Mullett,DEF,87,5.8,0,19,6,5,0,11,8,0,2017,Round 5
86,64,Jackson Nelson,DEF,77,16.2,0,17,3,5,1,12,5,0,2017,Round 5
87,64,Sam Petrevski-Seton,FWD,73,3.1,0,16,4,5,2,11,5,0,2017,Round 5
88,64,Sam Powell-Pepper,MID,60,9.9,0,17,2,5,8,6,11,0,2017,Round 5
89,64,Paddy Ryder,RUC,87,16.3,0,9,1,5,4,6,3,41,2017,Round 5
90,64,Luke Shuey,MID,119,21.1,2,33,4,5,7,20,13,0,2017,Round 5
91,64,Kade Simpson,DEF,102,13.1,0,21,9,5,2,13,8,0,2017,Round 5
92,64,David Swallow,MID,60,6.8,1,11,2,5,2,11,0,0,2017,Round 5
93,64,Zach Tuohy,DEF,131,12.2,0,32,9,5,0,18,14,0,2017,Round 5
94,95,Michael Barlow,FWD,127,11.3,0,36,9,4,4,13,23,0,2017,Round 5
95,95,Josh Bruce,KEYF,53,4.7,1,11,3,4,1,7,4,1,2017,Round 5
96,95,Charles Cameron,FWD,68,8.9,2,13,2,4,0,8,5,0,2017,Round 5
97,95,Jason Castagna,FWD,63,2,1,11,5,4,0,6,5,0,2017,Round 5
98,95,Zaine Cordy,KEYD,74,12.9,0,13,7,4,0,9,4,0,2017,Round 5
99,95,Patrick Dangerfield,MID,117,18.6,2,31,6,4,5,12,19,0,2017,Round 5
100,95,Charlie Dixon,KEYF,47,12.3,2,5,2,4,0,3,2,0,2017,Round 5
101,95,Josh Dunkley,FWD,85,18.3,3,15,4,4,2,8,7,0,2017,Round 5
102,95,Nat Fyfe,MID,87,20.6,0,26,3,4,8,11,15,0,2017,Round 5
103,95,Sam Gray,FWD,107,8,1,22,11,4,0,7,15,0,2017,Round 5
104,95,Toby Greene,FWD,77,23.6,4,16,2,4,3,12,4,0,2017,Round 5
105,95,Levi Greenwood,FWD,59,4.1,0,11,5,4,0,6,5,0,2017,Round 5
106,95,Eric Hipwood,KEYF,83,15.8,3,12,5,4,0,8,4,0,2017,Round 5
107,95,Will Hoskin-Elliott,MID,52,9.1,0,12,2,4,3,9,3,0,2017,Round 5
108,95,Dan Houston,DEF,75,8.5,0,17,5,4,1,10,7,0,2017,Round 5
109,95,Nathan Hrovat,FWD,78,12.6,1,21,2,4,1,8,13,0,2017,Round 5
110,95,Jayden Hunt,DEF,102,17.2,1,24,4,4,2,17,7,0,2017,Round 5
111,95,Jesse Joyce,DEF,86,9.4,0,18,8,4,0,9,9,0,2017,Round 5
112,95,Shane Kersten,KEYF,63,11.3,1,10,5,4,1,8,2,0,2017,Round 5
113,95,Darcy Lang,FWD,97,14.4,2,25,3,4,1,14,11,0,2017,Round 5
114,95,Caleb Marchbank,KEYD,73,5.1,0,13,7,4,0,10,3,0,2017,Round 5
115,95,Stefan Martin,RUC,121,11.7,0,18,6,4,5,5,13,49,2017,Round 5
116,95,Kamdyn McIntosh,MID,50,7.3,0,9,3,4,0,7,2,0,2017,Round 5
117,95,Daniel McStay,KEYD,61,12.4,0,12,5,4,1,5,7,0,2017,Round 5
118,95,Tim Membrey,KEYF,63,9.1,2,7,5,4,0,6,1,0,2017,Round 5
119,95,Connor Menadue,MID,49,10.5,0,11,1,4,2,6,5,0,2017,Round 5
120,95,Shane Mumford,RUC,102,16,0,11,1,4,2,3,8,62,2017,Round 5
121,95,Brandan Parfitt,FWD,59,4.6,0,17,1,4,1,9,8,0,2017,Round 5
122,95,Luke Parker,MID,86,8.7,1,17,5,4,1,12,5,0,2017,Round 5
123,95,Scott Pendlebury,MID,70,11.5,0,20,1,4,3,10,10,0,2017,Round 5
124,95,Liam Picken,FWD,100,10.7,1,26,4,4,1,13,13,0,2017,Round 5
125,95,Jack Redden,MID,70,10.4,1,17,3,4,3,7,10,0,2017,Round 5
126,95,Sam J. Reid,FWD,67,9.5,1,15,5,4,0,6,9,0,2017,Round 5
127,95,Daniel Rioli,FWD,60,13.4,1,11,3,4,2,7,4,0,2017,Round 5
128,95,Nick Robertson,DEF,34,7.6,0,7,1,4,0,6,1,0,2017,Round 5
129,95,Tom Rockliff,MID,124,10.6,1,30,10,4,5,15,15,0,2017,Round 5
130,95,Christian Salem,DEF,74,9.8,1,17,3,4,2,9,8,0,2017,Round 5
131,95,Will Schofield,KEYD,42,7.5,0,10,0,4,1,6,4,0,2017,Round 5
132,95,Callum Sinclair,RUC,68,8.1,1,10,1,4,3,8,2,14,2017,Round 5
133,95,Zac Smith,RUC,90,14.3,0,15,1,4,1,8,7,31,2017,Round 5
134,95,Ben Stratton,DEF,78,5,0,22,3,4,0,8,14,0,2017,Round 5
135,95,Travis Varcoe,DEF,63,7.2,0,13,5,4,1,6,7,0,2017,Round 5
136,95,Jobe Watson,MID,95,11.8,0,28,3,4,4,14,14,0,2017,Round 5
137,95,Maverick Weller,FWD,80,11.9,1,19,2,4,2,13,6,0,2017,Round 5
138,95,Zac Williams,DEF,92,11.6,1,23,4,4,1,11,12,0,2017,Round 5
139,140,Blake Acres,FWD,92,14.3,1,18,10,3,1,10,8,0,2017,Round 5
140,140,Patrick Ambrose,KEYD,42,5.7,0,8,3,3,0,5,3,0,2017,Round 5
141,140,Shaun Atley,FWD,83,6,1,20,5,3,0,10,10,0,2017,Round 5
142,140,Tom Barrass,KEYD,66,12.1,0,12,8,3,1,9,3,0,2017,Round 5
143,140,Claye Beams,MID,77,6.1,1,15,6,3,1,11,4,0,2017,Round 5
144,140,Eddie Betts,FWD,74,15.3,3,12,3,3,1,10,2,0,2017,Round 5
145,140,Connor Blakely,MID,74,3.5,0,24,2,3,4,7,17,0,2017,Round 5
146,140,Luke Breust,FWD,96,15.1,3,20,4,3,3,12,8,0,2017,Round 5
147,140,Ryan Burton,DEF,93,12.9,0,24,6,3,0,15,9,0,2017,Round 5
148,140,Jeremy Cameron,KEYF,123,13.5,2,24,9,3,1,17,7,0,2017,Round 5
149,140,Tom Campbell,RUC,63,7.4,0,9,2,3,1,3,6,26,2017,Round 5
150,140,Reece Conca,DEF,56,2.4,0,15,1,3,0,10,5,0,2017,Round 5
151,140,Matt Crouch,MID,118,16.1,1,35,4,3,9,17,18,0,2017,Round 5
152,140,Charlie Curnow,KEYF,92,8.3,0,19,8,3,1,16,3,0,2017,Round 5
153,140,Phil Davis,KEYD,49,7.5,0,10,5,3,0,4,6,0,2017,Round 5
154,140,Jeff Garlett,FWD,56,11.5,2,10,2,3,1,9,1,0,2017,Round 5
155,140,Taylor Garner,FWD,68,10.5,0,17,4,3,1,8,9,0,2017,Round 5
156,140,Sam Gilbert,KEYD,55,7.9,0,15,2,3,2,9,6,0,2017,Round 5
157,140,Todd Goldstein,RUC,77,11.4,1,13,2,3,2,6,7,21,2017,Round 5
158,140,Brodie Grundy,RUC,86,7.3,0,12,2,3,2,8,4,35,2017,Round 5
159,140,Heath Grundy,KEYD,56,4.2,0,13,3,3,0,8,5,0,2017,Round 5
160,140,Tom Hawkins,KEYF,54,8.9,2,10,2,3,0,6,4,0,2017,Round 5
161,140,Will Hayward,FWD,24,2.2,0,5,1,3,0,1,4,0,2017,Round 5
162,140,Lachie Henderson,KEYD,75,11,0,17,7,3,0,10,7,0,2017,Round 5
163,140,Lachie Hunter,MID,67,2.7,0,18,2,3,5,11,7,0,2017,Round 5
164,140,Kieren Jack,FWD,49,3.7,0,12,2,3,0,9,3,0,2017,Round 5
165,140,Lin Jong,FWD,68,6.8,0,20,2,3,4,7,13,0,2017,Round 5
