,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Tom Mitchell,MID,141,13.1,2,26,4,13,2,13,13,0,2016,Grand Final
1,2,Clay Smith,FWD,85,13,1,13,1,11,3,8,5,0,2016,Grand Final
2,3,Luke Parker,MID,88,12.8,1,19,1,9,5,9,10,4,2016,Grand Final
3,4,Luke Dahlhaus,FWD,100,12.3,0,23,3,8,1,10,13,0,2016,Grand Final
4,4,Tom Liberatore,MID,90,7.5,0,22,2,8,8,8,14,0,2016,Grand Final
5,6,Marcus Bontempelli,MID,99,28,0,22,1,7,6,14,8,9,2016,Grand Final
6,6,Josh Dunkley,FWD,74,11.3,0,15,3,7,2,9,6,0,2016,Grand Final
7,6,Lance Franklin,KEYF,101,14.3,1,16,8,7,0,12,4,0,2016,Grand Final
8,9,Dan Hannebery,MID,78,8.5,0,22,2,6,1,7,15,0,2016,Grand Final
9,9,Josh P. Kennedy,MID,139,23.8,3,34,5,6,6,14,20,0,2016,Grand Final
10,9,Jeremy Laidler,DEF,55,5.3,0,9,3,6,0,4,5,0,2016,Grand Final
11,9,Gary Rohan,FWD,40,4.5,1,5,2,6,0,3,2,0,2016,Grand Final
12,13,Caleb Daniel,FWD,69,5.8,0,14,3,5,1,11,3,0,2016,Grand Final
13,13,Tory Dickson,FWD,76,12.3,3,11,3,5,0,7,4,0,2016,Grand Final
14,13,Ben McGlynn,FWD,61,0,0,9,5,5,2,7,2,0,2016,Grand Final
15,13,Toby McLean,FWD,81,5.5,1,18,2,5,2,8,10,0,2016,Grand Final
16,13,Callum Mills,DEF,62,10.4,0,15,3,5,0,6,9,0,2016,Grand Final
17,13,Tom Papley,FWD,66,5.2,0,15,2,5,0,8,7,0,2016,Grand Final
18,19,Matthew Boyd,DEF,94,8.5,0,27,4,4,1,16,11,0,2016,Grand Final
19,19,Zaine Cordy,KEYF,55,4.1,1,11,1,4,0,7,4,0,2016,Grand Final
20,19,Heath Grundy,KEYD,100,13.8,0,21,9,4,0,15,6,0,2016,Grand Final
21,19,Isaac Heeney,FWD,89,9.2,0,22,6,4,3,13,9,0,2016,Grand Final
22,19,George Hewett,FWD,53,6.8,1,11,0,4,1,7,4,0,2016,Grand Final
23,19,Lachie Hunter,MID,67,7.9,0,19,1,4,2,8,11,0,2016,Grand Final
24,19,Dale Morris,KEYD,56,15.9,0,15,3,4,1,2,13,0,2016,Grand Final
25,19,Liam Picken,MID,106,16,3,25,3,4,1,12,13,0,2016,Grand Final
26,19,Dane Rampe,KEYD,108,12.7,0,24,11,4,0,17,7,0,2016,Grand Final
27,19,Jordan Roughead,RUC,82,10.7,0,13,5,4,2,8,5,17,2016,Grand Final
28,29,Shane Biggs,DEF,66,10.2,0,15,4,3,1,12,3,0,2016,Grand Final
29,29,Kieren Jack,MID,81,8.1,0,22,5,3,4,10,12,0,2016,Grand Final
30,29,Zak Jones,DEF,68,15.8,0,21,4,3,3,11,10,0,2016,Grand Final
31,29,Jack Macrae,FWD,107,9,0,33,5,3,4,13,20,0,2016,Grand Final
32,29,Jarrad McVeigh,DEF,51,3.8,0,14,2,3,0,8,6,0,2016,Grand Final
33,34,Jake Lloyd,MID,74,12.5,0,21,5,2,0,12,9,0,2016,Grand Final
34,34,Sam Naismith,RUC,64,11.7,0,13,3,2,2,5,8,21,2016,Grand Final
35,34,Nick Smith,DEF,62,7.7,1,13,4,2,0,10,3,0,2016,Grand Final
36,34,Jake Stringer,FWD,50,5.2,1,12,1,2,1,8,4,0,2016,Grand Final
37,34,Kurt Tippett,RUC,59,5.5,0,10,3,2,2,4,6,17,2016,Grand Final
38,34,Easton Wood,DEF,60,6,0,13,7,2,0,7,6,0,2016,Grand Final
39,40,Joel Hamling,KEYD,40,13,0,9,4,1,0,5,4,0,2016,Grand Final
40,40,Jason Johannisen,DEF,115,10.4,0,33,7,1,0,25,8,0,2016,Grand Final
41,42,Tom Boyd,KEYF,96,13,3,14,8,0,0,10,4,14,2016,Grand Final
42,42,Xavier Richards,KEYF,38,1.9,0,10,4,0,0,6,4,0,2016,Grand Final
43,42,Fletcher Roberts,KEYD,15,3.9,0,5,2,0,0,2,3,0,2016,Grand Final
