,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Richard Douglas,MID,91,5.4,0,20,2,8,4,14,6,0,2017,Grand Final
1,2,Jack Riewoldt,KEYF,95,15.2,2,14,6,7,0,11,3,0,2017,Grand Final
2,3,Brad Crouch,MID,106,11.9,1,29,4,6,7,9,20,0,2017,Grand Final
3,3,Rory Sloane,MID,97,13.1,2,21,4,6,5,11,10,0,2017,Grand Final
4,5,Charles Cameron,FWD,70,13.3,1,16,2,5,1,10,6,0,2017,Grand Final
5,5,Matt Crouch,MID,124,9.7,0,37,3,5,5,20,17,0,2017,Grand Final
6,5,Bachar Houli,DEF,131,7.5,1,25,11,5,1,20,5,0,2017,Grand Final
7,5,David Mackay,MID,62,5.4,0,15,2,5,0,8,7,0,2017,Grand Final
8,5,Daniel Rioli,FWD,59,11,0,11,2,5,1,9,2,0,2017,Grand Final
9,5,Jacob Townsend,FWD,52,11.6,2,8,2,5,0,4,4,0,2017,Grand Final
10,11,Dan Butler,FWD,46,7.2,1,9,0,4,1,5,4,0,2017,Grand Final
11,11,Trent Cotchin,MID,85,3.7,0,21,4,4,6,14,7,0,2017,Grand Final
12,11,Hugh Greenwood,MID,61,9.4,1,13,1,4,3,9,4,0,2017,Grand Final
13,11,Tom Lynch,FWD,80,9.8,0,18,5,4,1,12,6,0,2017,Grand Final
14,11,Paul Seedsman,MID,69,5.6,0,15,5,4,0,8,7,0,2017,Grand Final
15,16,Rory Atkins,MID,57,3.6,0,17,4,3,2,8,9,0,2017,Grand Final
16,16,Josh Caddy,FWD,69,8.8,1,12,5,3,1,9,3,0,2017,Grand Final
17,16,Jason Castagna,FWD,42,0.9,1,10,0,3,0,4,6,0,2017,Grand Final
18,16,Brandon Ellis,DEF,60,4.3,0,14,3,3,0,10,4,0,2017,Grand Final
19,16,Jack Graham,MID,69,18.2,3,16,2,3,5,6,10,0,2017,Grand Final
20,16,Shaun Grigg,MID,64,10.1,1,17,1,3,5,10,7,0,2017,Grand Final
21,16,Riley Knight,FWD,49,1.5,0,9,5,3,1,5,4,0,2017,Grand Final
22,16,Kane Lambert,FWD,89,10.6,1,22,4,3,2,13,9,0,2017,Grand Final
23,16,Toby Nankervis,RUC,92,8.6,0,18,4,3,3,10,8,28,2017,Grand Final
24,16,Dion Prestia,MID,99,13.6,1,27,4,3,5,16,11,0,2017,Grand Final
25,16,Alex Rance,KEYD,62,13.5,0,11,6,3,0,9,2,0,2017,Grand Final
26,16,Daniel Talia,KEYD,27,10.9,0,3,2,3,0,3,0,0,2017,Grand Final
27,28,Eddie Betts,FWD,38,9,1,7,2,2,1,4,3,0,2017,Grand Final
28,28,Nathan Broad,DEF,50,13.6,0,13,2,2,2,10,3,0,2017,Grand Final
29,28,Shane Edwards,FWD,74,22.8,0,25,2,2,7,12,13,0,2017,Grand Final
30,28,Dylan Grimes,DEF,30,-0.3,0,6,2,2,0,4,2,0,2017,Grand Final
31,28,Kyle Hartigan,KEYD,58,7.2,0,15,6,2,0,11,4,0,2017,Grand Final
32,28,Jake Kelly,DEF,76,10,0,20,6,2,2,9,11,0,2017,Grand Final
33,28,Jake Lever,KEYD,69,15.9,0,15,8,2,0,12,3,0,2017,Grand Final
34,28,Kamdyn McIntosh,MID,37,4.7,0,9,2,2,0,5,4,0,2017,Grand Final
35,28,Andy Otten,KEYF,28,-1.8,0,5,4,2,0,4,1,0,2017,Grand Final
36,37,Luke Brown,DEF,51,7.6,0,13,4,1,1,9,4,0,2017,Grand Final
37,37,Josh Jenkins,KEYF,42,0.2,0,7,5,1,1,3,4,6,2017,Grand Final
38,37,Rory Laird,DEF,91,13.1,0,27,9,1,1,11,16,0,2017,Grand Final
39,37,Dustin Martin,MID,90,30.9,2,29,1,1,6,14,15,0,2017,Grand Final
40,37,Nick Vlastuin,DEF,61,10.2,0,16,6,1,0,13,3,0,2017,Grand Final
41,37,Taylor Walker,KEYF,62,13,2,10,6,1,0,9,1,0,2017,Grand Final
42,43,David Astbury,KEYD,15,2.6,0,7,1,0,0,4,3,0,2017,Grand Final
43,43,Sam Jacobs,RUC,96,14.8,0,15,3,0,4,8,7,49,2017,Grand Final
