,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Tom Liberatore,MID,133,25.4,0,31,1,12,10,17,14,0,2023,Round 21
1,2,Hunter Clark,MID,108,5.1,0,20,6,10,1,13,7,0,2023,Round 21
2,2,Tom Green,MID,141,17.7,0,38,4,10,7,16,22,0,2023,Round 21
3,2,Rory Laird,MID,102,9.7,0,24,1,10,7,14,10,0,2023,Round 21
4,2,Jack Steele,MID,59,9.1,0,11,1,10,1,6,5,0,2023,Round 21
5,2,Hayden Young,DEF,119,16.7,0,29,3,10,7,17,12,0,2023,Round 21
6,7,Marcus Bontempelli,MID,151,21,3,32,6,9,10,21,11,0,2023,Round 21
7,7,Brad Crouch,MID,126,15.3,1,31,2,9,7,15,16,0,2023,Round 21
8,9,Toby Bedford,FWD,81,13.4,1,14,2,8,1,5,9,0,2023,Round 21
9,9,Jordan Dawson,MID,98,15.9,1,23,3,8,6,14,9,0,2023,Round 21
10,9,Josh Dunkley,MID,81,6.3,0,17,5,8,2,6,11,0,2023,Round 21
11,9,Jy Farrar,DEF,65,4.6,0,6,5,8,0,5,1,0,2023,Round 21
12,9,Darcy Fogarty,KEYF,121,15,3,19,10,8,0,10,9,0,2023,Round 21
13,9,George Hewett,MID,105,12.4,0,23,6,8,3,9,14,0,2023,Round 21
14,9,Rowan Marshall,RUC,116,19.5,1,13,4,8,3,11,2,30,2023,Round 21
15,9,Lincoln McCarthy,FWD,102,13.9,1,17,7,8,1,11,6,0,2023,Round 21
16,9,Zach Merrett,MID,128,20.8,0,29,7,8,4,14,15,0,2023,Round 21
17,9,Connor Rozee,MID,109,10,0,27,4,8,3,14,13,0,2023,Round 21
18,9,Sam Switkowski,FWD,78,9.8,0,19,1,8,5,6,13,0,2023,Round 21
19,9,Tarryn Thomas,MID,82,20.2,0,23,0,8,10,7,16,0,2023,Round 21
20,21,Tom Atkins,MID,80,10.1,0,21,1,7,5,8,13,0,2023,Round 21
21,21,Tanner Bruhn,MID,66,9.6,0,17,1,7,0,6,11,0,2023,Round 21
22,21,Matt Crouch,MID,120,13.8,1,31,4,7,4,13,18,0,2023,Round 21
23,21,Xavier Duursma,MID,70,6,0,13,3,7,1,7,6,0,2023,Round 21
24,21,Tim English,RUC,131,12.7,1,19,8,7,0,10,9,29,2023,Round 21
25,21,Errol Gulden,MID,132,11.7,2,32,5,7,1,25,7,0,2023,Round 21
26,21,Bailey Humphrey,FWD,57,7.7,0,11,1,7,2,6,5,0,2023,Round 21
27,21,Shane McAdam,FWD,72,12.6,3,8,3,7,0,4,4,0,2023,Round 21
28,21,Luke Nankervis,DEF,58,5,0,9,2,7,0,6,3,0,2023,Round 21
29,21,Scott Pendlebury,MID,106,15.9,1,23,4,7,6,14,9,0,2023,Round 21
30,21,Will Phillips,MID,83,3.7,0,17,3,7,1,11,6,0,2023,Round 21
31,21,James Rowbottom,MID,98,20.7,0,24,2,7,7,15,9,0,2023,Round 21
32,21,Matt Rowell,MID,73,14.8,1,16,1,7,4,8,8,0,2023,Round 21
33,21,Caleb Serong,MID,125,16.8,0,35,4,7,9,17,18,0,2023,Round 21
34,21,David Swallow,MID,46,7.1,0,11,1,7,4,2,9,0,2023,Round 21
35,21,Tim Taranto,MID,99,11.7,0,25,3,7,6,13,12,0,2023,Round 21
36,21,Lachie Whitfield,DEF,77,10.9,0,19,1,7,1,9,10,0,2023,Round 21
37,38,Andrew Brayshaw,MID,106,14,0,29,4,6,2,11,18,0,2023,Round 21
38,38,Zak Butters,MID,130,19.9,1,30,8,6,3,21,9,0,2023,Round 21
39,38,Brent Daniels,FWD,74,1.8,0,18,1,6,1,11,7,0,2023,Round 21
40,38,Sam Docherty,MID,112,5.6,0,26,7,6,2,14,12,0,2023,Round 21
41,38,Willem Drew,MID,67,12.9,0,12,5,6,3,4,8,0,2023,Round 21
42,38,Toby Greene,FWD,78,6.4,3,14,3,6,3,8,6,0,2023,Round 21
43,38,James Harmes,FWD,74,5.9,0,20,2,6,3,9,11,0,2023,Round 21
44,38,Dyson Heppell,DEF,103,4.2,0,23,7,6,1,14,9,0,2023,Round 21
45,38,Oliver Hollands,MID,87,9.8,0,20,4,6,0,9,11,0,2023,Round 21
46,38,Luke Jackson,RUC,149,26.5,1,24,5,6,5,13,11,44,2023,Round 21
47,38,Lachlan Murphy,FWD,91,12.8,1,17,5,6,3,12,5,0,2023,Round 21
48,38,Conor Nash,MID,125,6.7,0,31,9,6,6,16,15,0,2023,Round 21
49,38,Lachie Neale,MID,104,7.1,0,25,6,6,8,15,10,0,2023,Round 21
50,38,Jake Soligo,MID,90,16.5,1,16,6,6,5,10,6,0,2023,Round 21
51,38,Kayne Turner,FWD,64,17.4,0,15,1,6,4,6,9,0,2023,Round 21
52,38,James Worpel,MID,89,16.3,0,23,3,6,7,12,11,0,2023,Round 21
53,54,Callum Ah Chee,FWD,65,7.5,1,13,4,5,3,11,2,0,2023,Round 21
54,54,Noah Anderson,MID,84,9.9,0,22,5,5,4,12,10,0,2023,Round 21
55,54,Kieren Briggs,RUC,114,12.4,0,20,6,5,8,16,4,28,2023,Round 21
56,54,Nathan Broad,DEF,64,8.9,0,13,4,5,0,6,7,0,2023,Round 21
57,54,Dan Butler,FWD,64,11.3,2,12,3,5,0,7,5,0,2023,Round 21
58,54,Charlie Cameron,FWD,81,12.6,2,11,6,5,0,9,2,0,2023,Round 21
59,54,Darcy Cameron,RUC,80,9.4,0,11,1,5,2,5,6,31,2023,Round 21
60,54,Luke Davies-Uniacke,MID,82,18.2,0,27,2,5,8,9,18,0,2023,Round 21
61,54,Jordan De Goey,MID,67,15.7,2,17,0,5,4,7,10,0,2023,Round 21
62,54,Luke Edwards,MID,80,11.4,0,20,5,5,1,10,10,0,2023,Round 21
63,54,Oliver Florent,DEF,55,7.6,1,12,2,5,2,10,2,0,2023,Round 21
64,54,Jack Graham,FWD,49,12.9,0,11,2,5,0,7,4,0,2023,Round 21
65,54,Nick Holman,FWD,41,4.7,0,9,1,5,0,2,7,0,2023,Round 21
66,54,Dan Houston,DEF,46,7.9,0,9,4,5,1,5,4,0,2023,Round 21
67,54,Ryan Lester,KEYD,80,5.3,0,16,5,5,0,12,4,0,2023,Round 21
68,54,Jake Melksham,FWD,50,5.1,0,8,3,5,0,6,2,0,2023,Round 21
69,54,Callum Mills,MID,117,9.9,0,28,9,5,1,12,16,0,2023,Round 21
70,54,Tom Mitchell,MID,41,-0.3,0,11,0,5,2,3,8,0,2023,Round 21
