,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
64,61,Allen Christensen,FWD,85,7.8,2,16,7,3,0,13,3,0,2019,Finals Week 1
65,61,Jamie Cripps,FWD,110,21.5,4,22,4,3,2,13,9,0,2019,Finals Week 1
66,61,Brent Daniels,FWD,73,13.5,0,21,3,3,3,12,9,0,2019,Finals Week 1
67,61,Brandon Ellis,MID,66,7.3,0,17,4,3,2,11,6,0,2019,Finals Week 1
68,61,Orazio Fantasia,FWD,63,8.2,1,13,3,3,2,7,6,0,2019,Finals Week 1
69,61,Toby Greene,FWD,84,6.1,3,20,5,3,1,14,6,0,2019,Finals Week 1
70,61,Will Hayes,MID,30,5.8,0,7,1,3,0,1,6,0,2019,Finals Week 1
71,61,Tom Hickey,RUC,40,6.7,0,6,2,3,0,4,2,13,2019,Finals Week 1
72,61,Harry Himmelberg,KEYF,58,11,2,12,2,3,1,6,6,0,2019,Finals Week 1
73,61,Jason Johannisen,DEF,59,4.6,0,17,1,3,1,10,7,0,2019,Finals Week 1
74,61,Jake Kolodjashnij,DEF,42,6,0,7,4,3,0,4,3,0,2019,Finals Week 1
75,61,Dustin Martin,FWD,69,21.5,6,14,1,3,3,9,5,0,2019,Finals Week 1
76,61,Aaron Naughton,KEYF,43,4,2,5,3,3,0,4,1,0,2019,Finals Week 1
77,61,Mark O'Connor,DEF,59,5.4,0,13,5,3,0,9,4,0,2019,Finals Week 1
78,61,Darcy Parish,FWD,81,2.6,0,18,7,3,0,11,7,0,2019,Finals Week 1
79,61,Cam Rayner,FWD,72,2.5,1,15,5,3,1,8,7,0,2019,Finals Week 1
80,61,Jordan Roughead,KEYD,41,5.1,0,7,3,3,0,5,2,1,2019,Finals Week 1
81,61,Josh Schache,KEYF,41,5.7,1,7,2,3,0,5,2,0,2019,Finals Week 1
82,61,Dom Sheed,MID,92,6.8,1,22,4,3,3,16,6,0,2019,Finals Week 1
83,61,Dylan Shiel,MID,95,14.7,0,28,4,3,6,14,14,0,2019,Finals Week 1
84,61,Jayden Short,DEF,61,7.3,0,15,3,3,0,13,2,0,2019,Finals Week 1
85,61,Bailey Smith,FWD,60,3.1,0,16,4,3,2,7,9,0,2019,Finals Week 1
86,61,Zac Williams,DEF,70,12.8,0,20,2,3,3,11,9,0,2019,Finals Week 1
87,88,Noah Answerth,DEF,42,3.1,0,8,4,2,0,6,2,0,2019,Finals Week 1
88,88,David Astbury,KEYD,63,8.9,0,14,7,2,0,8,6,0,2019,Finals Week 1
89,88,Josh Caddy,FWD,64,19,2,14,2,2,2,9,5,0,2019,Finals Week 1
90,88,Trent Cotchin,MID,64,9.3,0,19,2,2,5,12,7,0,2019,Finals Week 1
91,88,Hayden Crozier,DEF,61,9.2,0,15,5,2,0,12,3,0,2019,Finals Week 1
92,88,Patrick Dangerfield,MID,106,27.4,1,32,7,2,7,17,15,0,2019,Finals Week 1
93,88,Jordan De Goey,FWD,11,2.6,0,2,0,2,0,2,0,0,2019,Finals Week 1
94,88,Jamie Elliott,FWD,92,12.1,2,18,7,2,0,13,5,0,2019,Finals Week 1
95,88,Brayden Ham,FWD,53,7.3,0,11,5,2,2,8,3,0,2019,Finals Week 1
96,88,Eric Hipwood,KEYF,35,0.6,0,7,4,2,0,4,3,0,2019,Finals Week 1
97,88,Michael Hurley,KEYD,77,2.7,0,18,6,2,1,13,5,0,2019,Finals Week 1
98,88,Josh Kelly,MID,91,16.7,3,22,1,2,3,13,9,0,2019,Finals Week 1
99,88,Chris Mayne,MID,72,11.2,0,19,6,2,1,8,11,0,2019,Finals Week 1
100,88,Hugh McCluggage,MID,86,13.3,1,23,5,2,6,11,12,0,2019,Finals Week 1
101,88,Jeremy McGovern,KEYD,53,13.9,0,10,5,2,0,9,1,0,2019,Finals Week 1
102,88,Daniel McStay,KEYF,47,7.5,1,6,5,2,1,5,1,0,2019,Finals Week 1
103,88,Darcy Moore,KEYD,81,18.4,0,17,9,2,0,12,5,0,2019,Finals Week 1
104,88,Esava Ratugolea,KEYF,49,7,0,10,2,2,3,5,5,10,2019,Finals Week 1
105,88,Mitch Robinson,MID,97,12.5,0,22,7,2,1,19,3,0,2019,Finals Week 1
106,88,Adam Saad,DEF,74,18.9,2,18,2,2,0,12,6,0,2019,Finals Week 1
107,88,Will Schofield,KEYD,51,10.8,0,10,5,2,0,7,3,0,2019,Finals Week 1
108,88,Heath Shaw,DEF,104,17.6,0,25,9,2,0,21,4,0,2019,Finals Week 1
109,88,Jake Stringer,FWD,50,6.3,0,13,3,2,1,10,3,0,2019,Finals Week 1
110,88,Sam Taylor,KEYD,47,5.9,0,11,4,2,0,7,4,0,2019,Finals Week 1
111,88,Easton Wood,DEF,55,7.1,0,14,6,2,0,9,5,0,2019,Finals Week 1
112,88,Lewis Young,KEYD,40,3.9,0,11,1,2,1,9,2,0,2019,Finals Week 1
113,114,Marcus Adams,KEYD,25,4.3,0,7,2,1,0,6,1,0,2019,Finals Week 1
114,114,Patrick Ambrose,KEYD,79,8.8,0,17,10,1,0,14,3,0,2019,Finals Week 1
115,114,Zac Bailey,DEF,37,6.7,0,13,1,1,1,7,6,0,2019,Finals Week 1
116,114,Liam Baker,DEF,49,4.6,0,16,2,1,0,6,10,0,2019,Finals Week 1
117,114,Tom Barrass,KEYD,69,11,0,15,8,1,1,11,4,0,2019,Finals Week 1
118,114,Tom Bellchambers,RUC,64,10.4,0,13,3,1,6,9,4,16,2019,Finals Week 1
119,114,Zaine Cordy,KEYD,32,5.8,0,10,3,1,0,7,3,0,2019,Finals Week 1
120,114,Aidan Corr,KEYD,44,4.2,0,12,3,1,0,9,3,0,2019,Finals Week 1
121,114,Bailey Dale,FWD,30,2,0,7,2,1,1,4,3,0,2019,Finals Week 1
122,114,Jack Darling,KEYF,59,16.2,2,11,4,1,0,7,4,1,2019,Finals Week 1
123,114,Andrew Gaff,MID,121,11.9,0,34,9,1,2,22,12,0,2019,Finals Week 1
124,114,Dylan Grimes,KEYD,51,9,0,12,6,1,1,7,5,0,2019,Finals Week 1
125,114,Tom Hawkins,KEYF,44,3.5,0,10,4,1,1,7,3,3,2019,Finals Week 1
126,114,Nick Haynes,DEF,56,10.8,0,18,2,1,0,10,8,0,2019,Finals Week 1
127,114,Jack Henry,DEF,65,13.3,0,15,8,1,1,12,3,0,2019,Finals Week 1
128,114,Luke Hodge,DEF,105,15.4,0,27,9,1,1,22,5,0,2019,Finals Week 1
129,114,Will Hoskin-Elliott,FWD,63,10.4,1,12,7,1,0,8,4,0,2019,Finals Week 1
130,114,Bachar Houli,DEF,48,8.5,0,15,3,1,1,8,7,0,2019,Finals Week 1
