,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Tom Liberatore,MID,111,24.7,0,27,1,12,8,10,17,0,2014,Round 10
1,2,Tyson Goldsack,DEF,86,0,1,10,5,11,0,4,6,0,2014,Round 10
2,3,Matt Thomas,MID,102,17.3,0,28,3,10,6,7,21,0,2014,Round 10
3,4,Liam Shiels,MID,104,11.3,0,23,4,9,4,12,11,0,2014,Round 10
4,4,Alan Toovey,DEF,49,0,0,6,2,9,0,1,5,0,2014,Round 10
5,6,Levi Greenwood,MID,146,17.1,0,33,8,8,9,22,11,0,2014,Round 10
6,6,Ryan Griffen,MID,115,24.7,1,28,1,8,6,15,13,0,2014,Round 10
7,6,Cameron Guthrie,MID,90,16.8,0,22,2,8,4,9,13,0,2014,Round 10
8,6,Jarrod Harbrow,DEF,119,16.8,0,26,6,8,4,16,10,0,2014,Round 10
9,6,Kane Mitchell,FWD,89,10.5,1,15,5,8,0,9,6,0,2014,Round 10
10,6,Jaeger O'Meara,MID,82,11.8,0,17,3,8,5,12,5,0,2014,Round 10
11,6,Matthew Priddis,MID,137,0,2,35,3,8,7,15,20,0,2014,Round 10
12,6,Dylan Shiel,MID,126,10.2,0,34,3,8,7,15,19,0,2014,Round 10
13,6,Jacob Townsend,MID,73,5.3,0,15,3,8,3,7,8,0,2014,Round 10
14,6,Clinton Young,MID,82,0,0,15,4,8,1,8,7,0,2014,Round 10
15,16,Jimmy Bartel,FWD,155,21.4,2,32,9,7,3,23,9,0,2014,Round 10
16,16,Travis Boak,MID,128,21.3,1,34,4,7,10,16,18,0,2014,Round 10
17,16,Andrejs Everitt,MID,85,15.1,1,21,1,7,3,7,14,0,2014,Round 10
18,16,Mitch Hallahan,MID,95,7.9,1,20,4,7,4,9,11,0,2014,Round 10
19,16,Sam Kerridge,FWD,58,3.5,1,9,2,7,1,3,6,0,2014,Round 10
20,16,Brent Macaffer,MID,105,0,1,19,5,7,1,18,1,0,2014,Round 10
21,16,Hamish McIntosh,RUC,92,7.6,0,16,5,7,1,7,9,7,2014,Round 10
22,16,Rory Sloane,MID,74,8.2,0,18,2,7,0,8,10,1,2014,Round 10
23,16,Andrew Swallow,MID,72,9.1,0,15,4,7,1,7,8,0,2014,Round 10
24,16,Ollie Wines,MID,92,4.6,0,22,3,7,3,12,10,4,2014,Round 10
25,26,Dennis Armfield,FWD,55,9.8,0,12,1,6,1,3,9,0,2014,Round 10
26,26,Luke Ball,FWD,81,0,1,19,3,6,2,9,10,0,2014,Round 10
27,26,Dayne Beams,MID,113,0,2,31,1,6,4,10,21,0,2014,Round 10
28,26,Jack Darling,KEYF,90,0,1,18,4,6,0,9,9,0,2014,Round 10
29,26,Brad Ebert,MID,115,17.8,0,28,7,6,4,15,13,1,2014,Round 10
30,26,Bryce Gibbs,MID,113,10.5,0,31,4,6,5,14,17,2,2014,Round 10
31,26,James Kelly,DEF,131,9,0,33,10,6,3,16,17,0,2014,Round 10
32,26,Tom Langdon,DEF,67,0,0,12,4,6,0,7,5,0,2014,Round 10
33,26,David Mackay,MID,73,13.1,1,15,2,6,3,9,6,0,2014,Round 10
34,26,Nick Maxwell,DEF,85,0,0,20,3,6,0,9,11,0,2014,Round 10
35,26,Liam Picken,DEF,69,1.8,0,15,4,6,1,10,5,0,2014,Round 10
36,26,Dane Swan,MID,101,0,0,26,5,6,4,15,11,0,2014,Round 10
37,26,Sharrod Wellingham,FWD,93,0,1,21,3,6,5,10,11,0,2014,Round 10
38,39,Marcus Bontempelli,FWD,49,5.8,0,13,1,5,1,2,11,0,2014,Round 10
39,39,Matthew Boyd,MID,112,11.1,0,30,6,5,5,14,16,1,2014,Round 10
40,39,Shaun Burgoyne,DEF,98,20,2,24,1,5,3,14,10,1,2014,Round 10
41,39,Reece Conca,MID,95,8.2,0,23,6,5,3,15,8,0,2014,Round 10
42,39,Stephen Coniglio,MID,92,11.4,1,19,7,5,1,7,12,0,2014,Round 10
43,39,Luke Dahlhaus,FWD,107,11,1,27,5,5,3,11,16,0,2014,Round 10
44,39,Corey Enright,DEF,80,12.4,1,19,2,5,2,9,10,0,2014,Round 10
45,39,Nathan Foley,FWD,93,11.3,1,21,3,5,3,13,8,0,2014,Round 10
46,39,Shaun Higgins,DEF,83,6.4,0,20,3,5,0,14,6,0,2014,Round 10
47,39,Josh Hill,FWD,74,0,2,9,5,5,1,9,0,0,2014,Round 10
48,39,Matthew Lobbe,RUC,83,6.1,0,13,2,5,2,3,10,34,2014,Round 10
49,39,Andrew Mackie,DEF,115,1.9,0,27,9,5,0,17,10,0,2014,Round 10
50,39,Brodie Martin,MID,80,10.4,0,20,4,5,1,9,11,0,2014,Round 10
51,39,Will Minson,RUC,99,6,0,14,2,5,3,5,9,42,2014,Round 10
52,39,Scott Pendlebury,MID,119,0,1,32,5,5,9,17,15,0,2014,Round 10
53,39,Dion Prestia,MID,116,12.9,0,35,6,5,3,15,20,0,2014,Round 10
54,39,Paul Puopolo,FWD,81,12.1,0,22,3,5,3,8,14,0,2014,Round 10
55,39,Scott Selwood,MID,106,0,0,26,7,5,5,15,11,0,2014,Round 10
56,39,Jackson Sheringham,DEF,53,1.7,0,11,3,5,0,6,5,0,2014,Round 10
57,39,Luke Shuey,MID,75,0,0,15,6,5,1,8,7,0,2014,Round 10
58,39,Steele Sidebottom,MID,115,0,1,29,4,5,5,20,9,0,2014,Round 10
59,39,Isaac Smith,FWD,108,19.3,0,27,5,5,3,16,11,3,2014,Round 10
60,39,Ben Stratton,KEYD,77,6,0,18,6,5,0,8,10,0,2014,Round 10
61,39,David Swallow,MID,72,12,1,17,2,5,3,7,10,1,2014,Round 10
62,39,Dale Thomas,FWD,117,17.4,1,23,9,5,1,16,7,0,2014,Round 10
63,39,Scott Thompson,MID,102,15.1,1,30,2,5,4,13,17,1,2014,Round 10
64,39,Callan Ward,MID,63,20.6,0,19,1,5,7,7,12,1,2014,Round 10
65,39,Jack Ziebell,MID,111,26.3,1,27,4,5,4,20,7,1,2014,Round 10
66,67,Eddie Betts,FWD,82,20.4,4,13,2,4,1,8,5,0,2014,Round 10
67,67,Jed Bews,DEF,38,6.4,0,8,1,4,0,3,5,0,2014,Round 10
68,67,Luke Breust,FWD,79,17.9,3,14,2,4,3,10,4,0,2014,Round 10
69,67,Levi Casboult,KEYF,64,5.3,1,10,4,4,1,4,6,5,2014,Round 10
70,67,Jamie Cripps,FWD,76,0,3,11,4,4,1,10,1,0,2014,Round 10
71,67,Sam Day,KEYF,32,-0.8,0,5,0,4,0,3,2,2,2014,Round 10
72,67,Richard Douglas,MID,77,17.6,0,27,0,4,5,14,13,0,2014,Round 10
73,67,Shaun Grigg,MID,74,13,1,15,4,4,2,8,7,1,2014,Round 10
74,67,Brodie Grundy,RUC,63,0,1,12,2,4,2,7,5,9,2014,Round 10
75,67,David Hale,RUC,48,5.2,0,6,1,4,1,2,4,14,2014,Round 10
76,67,Lachie Henderson,KEYF,37,4.6,0,6,2,4,1,3,3,0,2014,Round 10
77,67,Bradley Hill,FWD,63,4.2,0,18,2,4,0,8,10,0,2014,Round 10
78,67,Will Langford,MID,55,0,0,14,2,4,2,5,9,0,2014,Round 10
79,67,Tom J. Lynch,KEYF,90,19.5,4,16,3,4,0,9,7,0,2014,Round 10
80,67,Chris Masten,MID,94,0,0,25,6,4,2,13,12,0,2014,Round 10
81,67,Brandon Matera,FWD,101,17,3,17,6,4,1,13,4,0,2014,Round 10
82,67,Brock McLean,FWD,94,11.3,0,26,6,4,5,15,11,0,2014,Round 10
83,67,Angus Monfries,FWD,71,9.1,4,10,2,4,1,6,4,0,2014,Round 10
84,67,Shane Mumford,RUC,50,3.6,0,8,0,4,3,3,5,20,2014,Round 10
85,67,Rhys Palmer,FWD,61,9,1,11,3,4,1,6,5,1,2014,Round 10
86,67,Tom Scully,MID,96,8,1,20,8,4,1,10,10,0,2014,Round 10
87,67,Matt Shaw,MID,101,13.5,1,23,7,4,3,11,12,0,2014,Round 10
88,67,Devon Smith,FWD,71,6.4,0,16,4,4,1,11,5,0,2014,Round 10
89,67,Jesse Stringer,FWD,61,13.9,1,11,3,4,0,8,3,0,2014,Round 10
90,67,Matthew Suckling,DEF,112,12.8,0,28,8,4,1,17,11,0,2014,Round 10
91,67,Jarrad Waite,KEYF,95,7.1,1,17,7,4,0,14,3,0,2014,Round 10
92,93,Gary Ablett,MID,78,11.1,0,24,1,3,7,9,15,0,2014,Round 10
93,93,Leigh Adams,FWD,77,7,0,21,5,3,1,10,11,0,2014,Round 10
94,93,Ryan Bastinac,MID,67,8,2,15,2,3,3,11,4,0,2014,Round 10
95,93,Luke Brown,DEF,68,12.1,0,15,5,3,1,9,6,0,2014,Round 10
96,93,Charles Cameron,FWD,37,7,1,7,0,3,0,4,3,0,2014,Round 10
97,93,Adam Cooney,MID,70,13.6,2,19,1,3,0,8,11,0,2014,Round 10
98,93,Aidan Corr,KEYD,61,6.9,0,12,5,3,1,10,2,0,2014,Round 10
99,93,Dean Cox,RUC,113,0,2,17,9,3,1,10,7,23,2014,Round 10
100,93,Nick Dal Santo,FWD,89,19.3,0,27,1,3,3,16,11,1,2014,Round 10
101,93,Majak Daw,KEYF,50,10,1,9,2,3,1,4,5,6,2014,Round 10
102,93,Charlie Dixon,KEYF,79,10.9,4,10,4,3,0,8,2,5,2014,Round 10
103,93,Mitch Duncan,MID,86,12.5,2,19,6,3,1,8,11,0,2014,Round 10
104,93,David Ellard,FWD,68,7.8,1,15,3,3,0,10,5,0,2014,Round 10
105,93,Brandon Ellis,MID,127,22.2,2,31,9,3,3,16,15,0,2014,Round 10
106,93,Xavier Ellis,DEF,89,0,0,24,4,3,2,17,7,1,2014,Round 10
107,93,Darren Glass,KEYD,91,0,0,22,7,3,0,13,9,0,2014,Round 10
108,93,Todd Goldstein,RUC,68,9.3,0,10,3,3,2,1,9,29,2014,Round 10
109,93,Robbie Gray,FWD,78,18,2,18,2,3,7,10,8,0,2014,Round 10
110,93,Dylan Grimes,KEYD,41,3.3,0,9,3,3,0,4,5,0,2014,Round 10
111,93,Brent Harvey,FWD,102,15.9,0,33,2,3,5,15,18,0,2014,Round 10
112,93,Tom Hawkins,KEYF,100,21.5,4,17,7,3,0,12,5,0,2014,Round 10
113,93,Jack Hombsch,KEYD,53,5.4,0,8,6,3,0,6,2,0,2014,Round 10
114,93,George Horlin-Smith,MID,86,12.5,1,21,5,3,4,12,9,0,2014,Round 10
115,93,Will Hoskin-Elliott,FWD,62,9.5,1,12,2,3,2,10,2,0,2014,Round 10
116,93,Bachar Houli,DEF,109,14.3,2,26,8,3,0,12,14,0,2014,Round 10
117,93,Adam Kennedy,DEF,68,5.6,0,17,5,3,1,7,10,0,2014,Round 10
118,93,Josh J. Kennedy,KEYF,51,0,1,8,4,3,1,6,2,0,2014,Round 10
119,93,Ben Lennon,FWD,83,5.6,0,16,8,3,0,13,3,0,2014,Round 10
120,93,Robin Nahas,FWD,73,7.4,2,15,4,3,0,9,6,0,2014,Round 10
121,93,Nic Naitanui,RUC,76,0,0,17,0,3,5,5,12,24,2014,Round 10
122,93,James Podsiadly,KEYF,50,5,0,12,5,3,0,7,5,0,2014,Round 10
123,93,Matt Rosa,MID,89,0,0,22,7,3,1,14,8,0,2014,Round 10
124,93,Ryan Schoenmakers,KEYD,71,10.9,0,19,5,3,0,12,7,0,2014,Round 10
125,93,Brad Sewell,MID,60,7.2,0,18,1,3,2,8,10,0,2014,Round 10
126,93,Dawson Simpson,RUC,43,3.7,0,7,0,3,1,1,6,21,2014,Round 10
127,93,Kade Simpson,DEF,143,18.1,1,37,11,3,6,21,16,0,2014,Round 10
128,93,Zac Smith,RUC,66,7.9,1,11,4,3,2,4,7,22,2014,Round 10
129,93,Mathew Stokes,MID,96,19.8,0,28,3,3,4,17,11,0,2014,Round 10
130,93,Jake Stringer,FWD,48,6.1,0,10,3,3,0,8,2,0,2014,Round 10
131,93,Adam Treloar,MID,118,14.4,0,34,8,3,9,16,18,0,2014,Round 10
132,93,Jason Tutt,FWD,69,14.2,2,14,2,3,0,8,6,0,2014,Round 10
133,93,Travis Varcoe,DEF,71,10.3,0,19,4,3,2,7,12,0,2014,Round 10
134,93,Simon White,DEF,51,10.4,0,11,3,3,0,8,3,0,2014,Round 10
135,136,Dylan Addison,FWD,67,6.3,0,16,7,2,0,10,6,0,2014,Round 10
136,136,Shaun Atley,DEF,71,11.8,0,19,5,2,0,10,9,0,2014,Round 10
137,136,Grant Birchall,DEF,83,11.9,1,22,4,2,0,13,9,0,2014,Round 10
138,136,Aaron Black,KEYF,41,7.4,1,6,3,2,0,4,2,0,2014,Round 10
139,136,Jarryd Blair,FWD,79,0,3,14,5,2,0,9,5,0,2014,Round 10
140,136,Mark Blicavs,RUC,41,14.9,1,9,1,2,0,6,3,0,2014,Round 10
141,136,Greg Broughton,DEF,43,12.6,0,14,1,2,1,3,11,0,2014,Round 10
142,136,Dylan Buckley,DEF,53,5.4,0,12,4,2,0,8,4,0,2014,Round 10
143,136,Jeremy Cameron,KEYF,21,0.1,1,4,1,2,0,3,1,0,2014,Round 10
144,136,Alipate Carlile,KEYD,54,12.5,0,12,6,2,0,7,5,0,2014,Round 10
145,136,Travis Cloke,KEYF,42,0,1,6,3,2,0,6,0,0,2014,Round 10
146,136,Kane Cornes,MID,86,9.4,0,25,5,2,3,15,10,0,2014,Round 10
147,136,Stewart Crameri,FWD,40,6.8,0,11,3,2,0,6,5,0,2014,Round 10
148,136,Ben Cunnington,MID,53,9.3,0,15,3,2,5,9,6,0,2014,Round 10
149,136,Taylor Duryea,DEF,67,5.6,0,16,6,2,1,12,4,0,2014,Round 10
150,136,Shane Edwards,FWD,60,13.5,1,15,3,2,2,6,9,0,2014,Round 10
151,136,Jamie Elliott,FWD,88,0,2,17,7,2,2,14,3,1,2014,Round 10
152,136,Alex Fasolo,FWD,70,0,1,16,4,2,1,11,5,0,2014,Round 10
153,136,Andrew Gaff,MID,105,0,0,26,9,2,2,17,9,0,2014,Round 10
154,136,Jonathan Giles,RUC,22,3.8,0,2,0,2,0,1,1,9,2014,Round 10
155,136,Ben Griffiths,KEYF,62,10.9,2,8,7,2,0,7,1,2,2014,Round 10
156,136,Curtly Hampton,DEF,66,3.5,0,18,5,2,1,9,9,1,2014,Round 10
157,136,Hamish Hartlett,FWD,62,10.4,2,14,3,2,2,7,7,0,2014,Round 10
158,136,Billy Hartung,FWD,69,9.2,1,17,3,2,1,11,6,0,2014,Round 10
159,136,Sam Jacobs,RUC,103,15.3,0,23,1,2,3,7,16,38,2014,Round 10
160,136,Kade Kolodjashnij,DEF,74,9.7,0,21,4,2,1,12,9,0,2014,Round 10
161,136,Sean Lemmens,DEF,9,-2.7,0,3,0,2,0,1,2,0,2014,Round 10
162,136,Jordan Lewis,MID,136,17.7,2,38,7,2,9,16,22,1,2014,Round 10
163,136,Dustin Martin,FWD,111,20,0,36,4,2,6,24,12,0,2014,Round 10
164,136,Steven May,KEYD,67,8.4,0,14,6,2,0,12,2,0,2014,Round 10
165,136,Matthew McDonough,DEF,69,9.2,1,17,3,2,1,10,7,0,2014,Round 10
166,136,Dale Morris,KEYD,52,4.8,0,11,5,2,0,7,4,0,2014,Round 10
167,136,Jordan Murdoch,FWD,71,13,2,14,4,2,0,9,5,0,2014,Round 10
168,136,Drew Petrie,KEYF,57,12,3,9,4,2,0,6,3,0,2014,Round 10
169,136,Alex Rance,KEYD,73,11.9,0,21,6,2,1,3,18,0,2014,Round 10
170,136,Michael Rischitelli,MID,57,8.6,0,18,1,2,1,10,8,0,2014,Round 10
171,136,Fletcher Roberts,KEYD,32,5.1,0,6,2,2,0,2,4,4,2014,Round 10
172,136,Jordan Roughead,KEYD,64,5.2,0,13,8,2,0,9,4,0,2014,Round 10
173,136,Ben Rutten,KEYD,51,7.7,0,14,5,2,0,3,11,0,2014,Round 10
174,136,Jay Schulz,KEYF,30,9,1,6,0,2,0,3,3,0,2014,Round 10
175,136,Joel Selwood,MID,96,16.1,1,26,6,2,1,17,9,0,2014,Round 10
