,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Liam Shiels,MID,100,5.3,0,17,4,11,3,12,5,0,2016,Finals Week 1
1,2,Dylan Shiel,MID,95,12.2,0,20,3,10,6,7,13,0,2016,Finals Week 1
2,2,Devon Smith,FWD,106,12.3,1,23,1,10,4,10,13,0,2016,Finals Week 1
3,4,Stephen Coniglio,MID,119,18.1,1,26,4,9,7,11,15,0,2016,Finals Week 1
4,4,Luke Dahlhaus,FWD,132,11.9,1,29,6,9,4,12,17,0,2016,Finals Week 1
5,4,Ryan Griffen,MID,100,6.8,0,19,4,9,1,10,9,2,2016,Finals Week 1
6,4,Jarryd Lyons,MID,111,19.4,1,23,2,9,6,14,9,0,2016,Finals Week 1
7,4,Clay Smith,FWD,84,14.1,1,19,2,9,3,3,16,0,2016,Finals Week 1
8,9,Matthew Priddis,MID,86,10.4,0,25,0,8,5,5,20,0,2016,Finals Week 1
9,9,Scott Selwood,MID,83,8.2,0,20,1,8,5,9,11,0,2016,Finals Week 1
10,9,Scott Thompson,MID,101,9.5,0,24,4,8,6,12,12,0,2016,Finals Week 1
11,12,Dan Hannebery,MID,110,16.5,0,31,2,7,2,12,19,0,2016,Finals Week 1
12,12,Kieren Jack,MID,102,11.4,2,22,5,7,2,10,12,0,2016,Finals Week 1
13,12,Nick Smith,DEF,92,6.1,0,19,3,7,0,14,5,0,2016,Finals Week 1
14,12,Andrew Swallow,MID,82,4.4,0,19,3,7,4,4,15,0,2016,Finals Week 1
15,12,Elliot Yeo,FWD,77,1.6,0,13,5,7,1,8,5,0,2016,Finals Week 1
16,17,Jimmy Bartel,MID,74,11.8,0,16,3,6,0,9,7,0,2016,Finals Week 1
17,17,Mark Blicavs,MID,88,14.9,1,20,1,6,4,8,12,12,2016,Finals Week 1
18,17,Josh Cowan,MID,63,4.2,0,13,1,6,1,9,4,0,2016,Finals Week 1
19,17,Jamie Cripps,FWD,37,1.8,0,6,0,6,0,4,2,0,2016,Finals Week 1
20,17,Ben Cunnington,MID,81,14.7,0,21,2,6,9,8,13,0,2016,Finals Week 1
21,17,Jason Johannisen,DEF,117,11.9,0,25,8,6,1,21,4,0,2016,Finals Week 1
22,17,Scott Lycett,RUC,70,8.4,0,9,2,6,4,4,5,16,2016,Finals Week 1
23,17,Luke Parker,MID,96,14.8,0,22,4,6,4,11,11,6,2016,Finals Week 1
24,17,Will Schofield,KEYD,62,6.2,0,10,4,6,0,5,5,0,2016,Finals Week 1
25,17,Luke Shuey,MID,91,21.7,0,28,1,6,8,6,22,1,2016,Finals Week 1
26,17,Lachie Whitfield,MID,116,20.3,1,27,6,6,2,14,13,0,2016,Finals Week 1
27,17,Zac Williams,DEF,66,9.2,0,14,2,6,1,9,5,0,2016,Finals Week 1
28,29,Tom Boyd,KEYF,80,11,0,14,5,5,2,6,8,8,2016,Finals Week 1
29,29,Brad Crouch,MID,69,10.1,0,22,0,5,6,7,15,0,2016,Finals Week 1
30,29,Phil Davis,KEYD,41,4.5,0,8,1,5,1,4,4,0,2016,Finals Week 1
31,29,Tory Dickson,FWD,104,11.9,2,18,7,5,0,13,5,0,2016,Finals Week 1
32,29,Josh Gibson,KEYD,69,4.8,0,17,3,5,0,6,11,0,2016,Finals Week 1
33,29,Daniel Howe,DEF,53,9.3,0,7,5,5,0,4,3,0,2016,Finals Week 1
34,29,Mark Hutchings,MID,96,6.8,0,25,5,5,2,10,15,0,2016,Finals Week 1
35,29,Sam Jacobs,RUC,106,16.8,0,13,3,5,1,10,3,40,2016,Finals Week 1
36,29,Josh Kelly,MID,84,9.3,0,24,2,5,1,12,12,0,2016,Finals Week 1
37,29,Jordan Lewis,MID,153,7.7,0,36,11,5,4,26,10,0,2016,Finals Week 1
38,29,Mitch McGovern,KEYF,52,2.3,0,9,3,5,0,6,3,0,2016,Finals Week 1
39,29,Shane Mumford,RUC,62,5.9,0,10,0,5,1,1,9,24,2016,Finals Week 1
40,29,Tom Scully,MID,86,19.4,2,19,2,5,2,9,10,0,2016,Finals Week 1
41,42,Marcus Bontempelli,MID,93,9.5,1,21,4,4,4,13,8,1,2016,Finals Week 1
42,42,Shaun Burgoyne,DEF,109,19.3,2,21,8,4,5,15,6,0,2016,Finals Week 1
43,42,Matt Crouch,MID,101,9.7,1,29,4,4,3,12,17,0,2016,Finals Week 1
44,42,Caleb Daniel,FWD,108,21.8,1,33,1,4,4,17,16,0,2016,Finals Week 1
45,42,Josh Dunkley,FWD,73,14,2,15,2,4,2,6,9,3,2016,Finals Week 1
46,42,Todd Goldstein,RUC,104,17.8,2,15,3,4,2,7,8,33,2016,Finals Week 1
47,42,Toby Greene,FWD,103,19.4,2,20,7,4,0,14,6,0,2016,Finals Week 1
48,42,Luke Hodge,DEF,104,15.2,0,29,5,4,6,16,13,2,2016,Finals Week 1
49,42,Jack Macrae,FWD,77,3.5,0,24,3,4,4,9,15,0,2016,Finals Week 1
50,42,Ben McGlynn,FWD,82,0.5,1,15,6,4,2,11,4,0,2016,Finals Week 1
51,42,Sam Menegola,MID,82,10,0,23,3,4,1,12,11,0,2016,Finals Week 1
52,42,Sam Mitchell,MID,97,10.3,0,30,2,4,3,16,14,0,2016,Finals Week 1
53,42,Gary Rohan,FWD,56,3.4,0,12,3,4,0,8,4,0,2016,Finals Week 1
54,42,Joel Selwood,MID,103,15.6,1,27,5,4,4,16,11,0,2016,Finals Week 1
55,42,Brad Sheppard,DEF,64,6.6,0,20,2,4,0,8,12,0,2016,Finals Week 1
56,42,Matthew Suckling,DEF,68,4.1,0,19,1,4,0,12,7,0,2016,Finals Week 1
57,42,Callan Ward,MID,66,11.7,1,15,2,4,4,8,7,3,2016,Finals Week 1
58,42,Sharrod Wellingham,DEF,67,5.5,0,15,4,4,0,11,4,0,2016,Finals Week 1
59,60,Aliir Aliir,KEYD,65,14,0,16,3,3,1,9,7,1,2016,Finals Week 1
60,60,Jed Anderson,FWD,58,7,0,12,4,3,1,9,3,0,2016,Finals Week 1
61,60,Luke Breust,FWD,86,15.4,3,16,4,3,4,11,5,0,2016,Finals Week 1
62,60,Luke Brown,DEF,75,8.2,0,16,6,3,0,13,3,0,2016,Finals Week 1
63,60,Mitchell Brown,KEYF,31,10,1,5,0,3,0,3,2,0,2016,Finals Week 1
64,60,Sam Butler,DEF,87,8,0,24,5,3,2,12,12,0,2016,Finals Week 1
65,60,Jeremy Cameron,KEYF,92,14.6,4,13,6,3,0,9,4,0,2016,Finals Week 1
66,60,Patrick Dangerfield,MID,113,18.2,0,35,5,3,7,17,18,0,2016,Finals Week 1
67,60,Jack Darling,KEYF,65,10,2,11,6,3,0,6,5,0,2016,Finals Week 1
68,60,Richard Douglas,FWD,67,11.9,0,20,1,3,4,12,8,0,2016,Finals Week 1
69,60,Corey Enright,DEF,70,4.5,0,16,5,3,1,13,3,0,2016,Finals Week 1
70,60,Jack Fitzpatrick,RUC,52,9.6,0,11,1,3,4,8,3,8,2016,Finals Week 1
71,60,Jonathan Giles,RUC,70,7.3,0,8,4,3,0,5,3,28,2016,Finals Week 1
72,60,Heath Grundy,KEYD,51,9.6,0,13,3,3,1,6,7,0,2016,Finals Week 1
73,60,Jack Gunston,KEYF,91,11,2,20,6,3,1,11,9,0,2016,Finals Week 1
