,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Lachie Neale,MID,108,22.1,1,26,0,10,8,14,12,0,2020,Round 1
1,2,Luke Dunstan,MID,100,9,0,21,3,9,2,13,8,0,2020,Round 1
2,3,Dan Butler,FWD,59,5.3,0,9,2,8,1,5,4,0,2020,Round 1
3,3,Andrew McGrath,MID,92,12,0,23,1,8,3,12,11,0,2020,Round 1
4,5,Hayden Crozier,DEF,82,10.2,0,17,4,7,1,12,5,0,2020,Round 1
5,5,Ben Cunnington,MID,117,18.2,2,25,4,7,6,12,13,1,2020,Round 1
6,5,Josh P. Kennedy,MID,102,20.7,1,25,2,7,10,13,12,0,2020,Round 1
7,5,Rory Sloane,MID,76,21.4,1,17,1,7,9,6,11,0,2020,Round 1
8,5,Bailey Smith,MID,95,5.7,0,23,5,7,2,9,14,0,2020,Round 1
9,5,Tarryn Thomas,FWD,55,13,0,9,2,7,0,3,6,0,2020,Round 1
10,11,Jack Billings,MID,87,17.6,2,18,2,6,1,9,9,0,2020,Round 1
11,11,Marcus Bontempelli,MID,51,9.3,0,15,0,6,2,5,10,0,2020,Round 1
12,11,Brad Ebert,FWD,109,5.2,1,20,8,6,0,11,9,0,2020,Round 1
13,11,Dan Houston,DEF,79,7.6,0,19,4,6,4,8,11,0,2020,Round 1
14,11,Tom Jonas,KEYD,50,1.6,0,8,3,6,0,4,4,0,2020,Round 1
15,11,Josh Kelly,MID,77,9.7,0,18,2,6,1,10,8,0,2020,Round 1
16,11,Lachlan Murphy,FWD,64,7.4,1,10,2,6,0,6,4,0,2020,Round 1
17,11,Luke Parker,MID,113,8,0,30,5,6,12,16,14,0,2020,Round 1
18,11,Ben Ronke,FWD,43,4.9,0,9,1,6,1,6,3,0,2020,Round 1
19,11,Liam Shiels,MID,97,11.9,0,24,4,6,1,15,9,0,2020,Round 1
20,11,Jack Viney,MID,132,19.9,1,34,5,6,7,14,20,0,2020,Round 1
21,22,Taylor Adams,MID,105,15.1,1,26,3,5,12,16,10,0,2020,Round 1
22,22,Rory Atkins,MID,63,8.8,1,14,1,5,0,6,8,0,2020,Round 1
23,22,Luke Breust,FWD,74,20.2,3,12,2,5,3,7,5,0,2020,Round 1
24,22,Josh Daicos,MID,70,9.4,2,14,3,5,1,7,7,0,2020,Round 1
25,22,Shaun Higgins,MID,73,7.4,0,21,2,5,4,11,10,0,2020,Round 1
26,22,Sam Jacobs,RUC,80,19.9,0,10,1,5,5,7,3,28,2020,Round 1
27,22,Zak Jones,MID,96,10.9,0,22,6,5,7,12,10,0,2020,Round 1
28,22,Dean Kent,FWD,76,0,0,14,5,5,0,8,6,0,2020,Round 1
29,22,Sam Lloyd,FWD,57,1.3,0,8,4,5,0,6,2,0,2020,Round 1
