,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Darren Jolly,RUC,43,1,4,5,13,55.1,30.2,78,2012,Round 14
1,2,Todd Goldstein,RUC,41,2,0,2,13,51.3,31.7,80,2012,Round 14
2,3,Ivan Maric,RUC,39,3,0,3,4,43.8,10.3,89,2012,Round 14
3,3,Trent West,RUC,39,1,0,1,8,43.8,20.5,89,2012,Round 14
4,5,Sam Jacobs,RUC,32,2,0,2,13,38.1,40.6,84,2012,Round 14
5,5,Matthew Lobbe,RUC,32,0,3,3,1,48.5,3.1,66,2012,Round 14
6,7,David Hale,RUC,29,1,0,1,5,50.9,17.2,57,2012,Round 14
7,8,Dean Brogan,RUC,28,1,0,1,11,58.3,39.3,48,2012,Round 14
8,9,Dean Cox,RUC,27,0,2,2,5,65.9,18.5,41,2012,Round 14
9,9,Robert Warnock,RUC,27,1,2,3,12,42.2,44.4,64,2012,Round 14
10,11,Ben Hudson,RUC,26,2,5,7,7,39.4,26.9,66,2012,Round 14
11,12,Ben McEvoy,RUC,25,3,1,4,5,38.5,20,65,2012,Round 14
12,12,Nic Naitanui,RUC,25,1,0,1,13,65.8,52,38,2012,Round 14
13,12,Brent Renouf,RUC,25,0,0,0,8,58.1,32,43,2012,Round 14
14,15,Jonathan Giles,RUC,21,1,2,3,6,39.6,28.6,53,2012,Round 14
15,15,Jonathon Griffin,RUC,21,1,2,3,5,26.3,23.8,80,2012,Round 14
16,17,Stefan Martin,RUC,20,2,2,4,7,47.6,35,42,2012,Round 14
17,18,Shane Mumford,RUC,19,0,3,3,5,33.3,26.3,57,2012,Round 14
18,19,David Hille,KEYF,18,1,0,1,3,34,16.7,53,2012,Round 14
19,19,Will Minson,RUC,18,1,1,2,2,45,11.1,40,2012,Round 14
20,21,Jake Spencer,RUC,17,0,0,0,3,51.5,17.6,33,2012,Round 14
21,22,Mike Pyke,RUC,16,0,2,2,5,36.4,31.3,44,2012,Round 14
22,23,Paddy Ryder,RUC,15,2,0,2,5,50,33.3,30,2012,Round 14
23,24,Matthew Kreuzer,RUC,12,0,1,1,3,54.5,25,22,2012,Round 14
24,24,Zac Smith,RUC,12,0,2,2,5,32.4,41.7,37,2012,Round 14
25,26,Tom Campbell,RUC,11,1,0,1,5,34.4,45.5,32,2012,Round 14
26,27,Zac Clarke,RUC,9,0,0,0,2,36,22.2,25,2012,Round 14
27,28,Chris Dawes,KEYF,8,1,1,2,5,29.6,62.5,27,2012,Round 14
28,28,Kurt Tippett,KEYF,8,0,0,0,1,36.4,12.5,22,2012,Round 14
29,30,Brad J. Miller,KEYF,6,0,0,0,2,37.5,33.3,16,2012,Round 14
30,30,Jarryd Roughead,KEYF,6,2,0,2,1,20.7,16.7,29,2012,Round 14
31,32,Tom Hickey,RUC,4,0,1,1,1,10.5,25,38,2012,Round 14
32,32,Jared Rivers,KEYD,4,0,0,0,0,66.7,0,6,2012,Round 14
33,32,Shane Tuck,MID,4,1,8,9,1,0,25,0,2012,Round 14
34,35,Michael Barlow,MID,3,1,6,7,0,0,0,0,2012,Round 14
35,35,Daniel Merrett,KEYF,3,0,3,3,1,21.4,33.3,14,2012,Round 14
36,37,Troy Chaplin,KEYD,2,0,0,0,0,0,0,0,2012,Round 14
37,37,Mitch Duncan,MID,2,0,1,1,1,0,50,0,2012,Round 14
38,37,Shaun Grigg,MID,2,0,1,1,0,0,0,0,2012,Round 14
39,37,Dyson Heppell,DEF,2,1,1,2,0,100,0,1,2012,Round 14
40,37,Jordan Roughead,KEYD,2,0,0,0,0,18.2,0,11,2012,Round 14
41,37,Alex Silvagni,KEYD,2,0,2,2,0,0,0,0,2012,Round 14
42,37,Rhys Stanley,KEYF,2,1,0,1,0,33.3,0,6,2012,Round 14
43,37,Harry Taylor,KEYD,2,0,0,0,0,18.2,0,11,2012,Round 14
44,45,Harley Bennell,MID,1,3,3,6,1,0,100,0,2012,Round 14
45,45,Matthew Boyd,MID,1,1,7,8,0,0,0,0,2012,Round 14
46,45,Simon Buckley,DEF,1,1,0,1,0,100,0,1,2012,Round 14
47,45,Chad Cornes,KEYD,1,0,0,0,0,0,0,0,2012,Round 14
48,45,Daniel Cross,MID,1,0,0,0,0,100,0,1,2012,Round 14
49,45,Nick Dal Santo,MID,1,2,1,3,0,0,0,0,2012,Round 14
50,45,Patrick Dangerfield,MID,1,4,4,8,0,0,0,0,2012,Round 14
51,45,Brett Deledio,MID,1,2,2,4,0,0,0,0,2012,Round 14
52,45,Shane Edwards,FWD,1,0,3,3,0,0,0,0,2012,Round 14
53,45,Brendon Goddard,DEF,1,1,2,3,1,0,100,0,2012,Round 14
54,45,Jeremy Howe,FWD,1,0,3,3,0,0,0,0,2012,Round 14
55,45,Garrick Ibbotson,DEF,1,0,3,3,0,0,0,0,2012,Round 14
56,45,Michael Johnson,KEYD,1,0,0,0,0,0,0,0,2012,Round 14
57,45,Jordan Lewis,FWD,1,1,0,1,0,0,0,0,2012,Round 14
58,45,Nathan Lovett-Murray,MID,1,2,2,4,1,0,100,0,2012,Round 14
59,45,Nick Maxwell,DEF,1,0,1,1,1,0,100,0,2012,Round 14
60,45,Sam Mitchell,MID,1,3,2,5,0,100,0,1,2012,Round 14
61,45,David Myers,DEF,1,0,2,2,0,0,0,0,2012,Round 14
62,45,Jonathon Patton,KEYF,1,0,0,0,0,0,0,0,2012,Round 14
63,45,Drew Petrie,KEYF,1,0,0,0,1,50,100,2,2012,Round 14
64,45,James Podsiadly,KEYF,1,0,1,1,1,50,100,2,2012,Round 14
65,45,Mitch Robinson,FWD,1,2,1,3,0,0,0,0,2012,Round 14
66,45,Sam Shaw,DEF,1,0,3,3,0,0,0,0,2012,Round 14
67,45,Danny Stanley,DEF,1,4,2,6,1,100,100,1,2012,Round 14
68,45,Scott Thompson,MID,1,1,2,3,0,0,0,0,2012,Round 14
69,45,Callan Ward,MID,1,3,4,7,0,0,0,0,2012,Round 14
70,45,Brendan Whitecross,FWD,1,0,2,2,0,0,0,0,2012,Round 14
71,72,Gary Ablett,MID,0,2,4,6,0,0,0,0,2012,Round 14
72,72,Leigh Adams,FWD,0,4,3,7,0,0,0,0,2012,Round 14
73,72,Jed Adcock,DEF,0,0,0,0,0,0,0,0,2012,Round 14
74,72,Dylan Addison,DEF,0,0,0,0,0,0,0,0,2012,Round 14
75,72,Liam Anthony,MID,0,2,0,2,0,0,0,0,2012,Round 14
76,72,Dennis Armfield,FWD,0,0,1,1,0,0,0,0,2012,Round 14
77,72,David Armitage,MID,0,0,1,1,0,0,0,0,2012,Round 14
78,72,Tony Armstrong,DEF,0,0,0,0,0,0,0,0,2012,Round 14
79,72,Shaun Atley,DEF,0,0,0,0,0,0,0,0,2012,Round 14
80,72,Rohan Bail,MID,0,1,1,2,0,0,0,0,2012,Round 14
81,72,Hayden Ballantyne,FWD,0,0,1,1,0,0,0,0,2012,Round 14
82,72,Jimmy Bartel,MID,0,0,4,4,0,0,0,0,2012,Round 14
83,72,Ryan Bastinac,MID,0,0,1,1,0,0,0,0,2012,Round 14
84,72,Matthew Bate,FWD,0,0,0,0,0,0,0,0,2012,Round 14
85,72,Dayne Beams,MID,0,2,2,4,0,0,0,0,2012,Round 14
86,72,Tom Bellchambers,RUC,0,0,0,0,0,0,0,0,2012,Round 14
87,72,Eddie Betts,FWD,0,0,2,2,0,0,0,0,2012,Round 14
88,72,Rohan Bewick,FWD,0,0,0,0,0,0,0,0,2012,Round 14
89,72,Grant Birchall,DEF,0,0,1,1,0,0,0,0,2012,Round 14
90,72,Craig Bird,FWD,0,0,1,1,0,0,0,0,2012,Round 14
91,72,Simon Black,MID,0,2,2,4,0,0,0,0,2012,Round 14
92,72,Jarryd Blair,FWD,0,6,3,9,0,0,0,0,2012,Round 14
93,72,Jason Blake,DEF,0,0,0,0,0,0,0,0,2012,Round 14
94,72,Sam Blease,FWD,0,0,0,0,0,0,0,0,2012,Round 14
95,72,Jude Bolton,FWD,0,1,4,5,0,0,0,0,2012,Round 14
96,72,Joshua Bootsma,DEF,0,0,0,0,0,0,0,0,2012,Round 14
97,72,Jacob Brennan,DEF,0,0,0,0,0,0,0,0,2012,Round 14
98,72,Jared Brennan,DEF,0,0,0,0,0,0,0,0,2012,Round 14
99,72,Luke Breust,FWD,0,0,1,1,0,0,0,0,2012,Round 14
100,72,Matthew Broadbent,MID,0,2,3,5,0,0,0,1,2012,Round 14
101,72,Greg Broughton,DEF,0,0,0,0,0,0,0,0,2012,Round 14
102,72,Nathan Brown,KEYD,0,0,0,0,0,0,0,0,2012,Round 14
103,72,Mitchell Brown,KEYD,0,0,0,0,0,0,0,0,2012,Round 14
104,72,Jonathan Brown,KEYF,0,0,0,0,0,0,0,0,2012,Round 14
105,72,Tomas Bugg,DEF,0,0,0,0,0,0,0,0,2012,Round 14
106,72,Shaun Burgoyne,DEF,0,0,0,0,0,0,0,0,2012,Round 14
107,72,John Butcher,KEYF,0,0,1,1,0,0,0,0,2012,Round 14
