,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
75,51,Jesse White,KEYF,1,0,0,0,0,0,0,0,2016,Round 10
76,51,Jack Ziebell,MID,1,4,2,6,1,0,100,0,2016,Round 10
77,78,Gary Ablett,MID,0,2,6,8,0,0,0,0,2016,Round 10
78,78,Marcus Adams,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
79,78,Taylor Adams,MID,0,0,0,0,0,0,0,0,2016,Round 10
80,78,Patrick Ambrose,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
81,78,Karl Amon,FWD,0,0,1,1,0,0,0,0,2016,Round 10
82,78,Dennis Armfield,FWD,0,0,1,1,0,0,0,0,2016,Round 10
83,78,David Armitage,MID,0,2,5,7,0,0,0,0,2016,Round 10
84,78,David Astbury,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
85,78,Shaun Atley,DEF,0,0,0,0,0,0,0,0,2016,Round 10
86,78,Mark Baguley,DEF,0,1,0,1,0,0,0,0,2016,Round 10
87,78,Hayden Ballantyne,FWD,0,1,0,1,0,0,0,0,2016,Round 10
88,78,Michael Barlow,MID,0,5,1,6,0,0,0,0,2016,Round 10
89,78,Jimmy Bartel,MID,0,1,2,3,0,0,0,0,2016,Round 10
90,78,Ryan Bastinac,MID,0,1,4,5,0,0,0,0,2016,Round 10
91,78,Jake Batchelor,DEF,0,1,0,1,0,0,0,0,2016,Round 10
92,78,Tom Bell,FWD,0,1,1,2,0,0,0,0,2016,Round 10
93,78,Eddie Betts,FWD,0,0,3,3,0,0,0,0,2016,Round 10
94,78,Shane Biggs,DEF,0,0,0,0,0,0,0,0,2016,Round 10
95,78,Grant Birchall,DEF,0,0,1,1,0,0,0,0,2016,Round 10
96,78,Craig Bird,MID,0,3,5,8,0,0,0,0,2016,Round 10
97,78,Jarryd Blair,FWD,0,0,2,2,0,0,0,0,2016,Round 10
98,78,Travis Boak,MID,0,2,3,5,0,0,0,0,2016,Round 10
99,78,Matthew Boyd,DEF,0,0,1,1,0,0,0,0,2016,Round 10
100,78,Luke Breust,FWD,0,0,3,3,0,0,0,0,2016,Round 10
101,78,Matthew Broadbent,DEF,0,0,0,0,0,0,0,0,2016,Round 10
102,78,Keegan Brooksby,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
103,78,Luke Brown,DEF,0,0,0,0,0,0,0,0,2016,Round 10
104,78,Mitch Brown,KEYF,0,0,0,0,0,0,0,0,2016,Round 10
105,78,Tomas Bugg,MID,0,0,0,0,0,0,0,0,2016,Round 10
106,78,Shaun Burgoyne,DEF,0,3,0,3,0,0,0,0,2016,Round 10
107,78,Sam Butler,DEF,0,0,0,0,0,0,0,0,2016,Round 10
108,78,Darcy Byrne-Jones,DEF,0,0,1,1,0,0,0,0,2016,Round 10
109,78,Josh Caddy,FWD,0,2,3,5,0,0,0,0,2016,Round 10
110,78,Charles Cameron,FWD,0,1,5,6,0,0,0,0,2016,Round 10
111,78,Jeremy Cameron,KEYF,0,0,0,0,0,0,0,0,2016,Round 10
112,78,Clay Cameron,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
113,78,Levi Casboult,KEYF,0,0,0,0,0,0,0,0,2016,Round 10
114,78,Kyle Cheney,DEF,0,0,1,1,0,0,0,0,2016,Round 10
115,78,Allen Christensen,FWD,0,0,1,1,0,0,0,0,2016,Round 10
116,78,Tom Cole,DEF,0,0,1,1,0,0,0,0,2016,Round 10
117,78,Sam Collins,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
118,78,Stephen Coniglio,MID,0,2,3,5,0,0,0,0,2016,Round 10
119,78,Adam Cooney,MID,0,0,2,2,0,0,0,0,2016,Round 10
120,78,Trent Cotchin,MID,0,2,3,5,0,0,0,0,2016,Round 10
121,78,Jamie Cripps,FWD,0,0,0,0,0,0,0,0,2016,Round 10
122,78,Jack Crisp,MID,0,0,1,1,0,0,0,0,2016,Round 10
123,78,Ben Crocker,FWD,0,0,0,0,0,0,0,0,2016,Round 10
124,78,Ryan Crowley,FWD,0,0,1,1,0,0,0,0,2016,Round 10
125,78,Hayden Crozier,DEF,0,0,1,1,0,0,0,0,2016,Round 10
126,78,Harry Cunningham,DEF,0,0,1,1,0,0,0,0,2016,Round 10
127,78,Ben Cunnington,MID,0,0,6,6,0,0,0,0,2016,Round 10
128,78,Ed Curnow,MID,0,2,2,4,0,0,0,0,2016,Round 10
129,78,Luke Dahlhaus,FWD,0,0,1,1,0,0,0,0,2016,Round 10
130,78,Caleb Daniel,FWD,0,0,1,1,0,0,0,0,2016,Round 10
131,78,Jack Darling,KEYF,0,0,0,0,0,0,0,0,2016,Round 10
132,78,Ryan Davis,FWD,0,0,1,1,0,0,0,0,2016,Round 10
133,78,Jordan De Goey,FWD,0,0,0,0,0,0,0,0,2016,Round 10
134,78,Matt Dea,DEF,0,0,0,0,0,0,0,0,2016,Round 10
135,78,Brett Deledio,FWD,0,0,0,0,0,0,0,0,2016,Round 10
136,78,Courtenay Dempsey,DEF,0,0,1,1,0,0,0,0,2016,Round 10
137,78,Sean Dempster,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
138,78,Tory Dickson,FWD,0,0,1,1,0,0,0,0,2016,Round 10
139,78,Sam Docherty,DEF,0,0,0,0,0,0,0,0,2016,Round 10
140,78,Richard Douglas,FWD,0,3,3,6,0,0,0,0,2016,Round 10
141,78,Liam Duggan,MID,0,2,1,3,0,0,0,0,2016,Round 10
142,78,Mitch Duncan,MID,0,2,1,3,0,0,0,0,2016,Round 10
143,78,Luke Dunstan,MID,0,1,0,1,0,0,0,0,2016,Round 10
144,78,Taylor Duryea,DEF,0,2,1,3,0,0,0,0,2016,Round 10
145,78,Brad Ebert,MID,0,2,1,3,0,0,0,0,2016,Round 10
146,78,Shaun Edwards,FWD,0,0,2,2,0,0,0,0,2016,Round 10
147,78,Shane Edwards,FWD,0,0,4,4,0,0,0,0,2016,Round 10
148,78,Corey Ellis,DEF,0,0,0,0,0,0,0,0,2016,Round 10
149,78,Brandon Ellis,MID,0,1,2,3,0,0,0,0,2016,Round 10
150,78,Corey Enright,DEF,0,0,1,1,0,0,0,0,2016,Round 10
151,78,Andrejs Everitt,FWD,0,0,4,4,0,0,0,0,2016,Round 10
152,78,Orazio Fantasia,FWD,0,0,1,1,0,0,0,0,2016,Round 10
