,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Oscar McInerney,RUC,39,2,6,8,16,46.4,41,84,2022,Preliminary Finals
1,2,Tom Hickey,RUC,27,3,2,5,8,32.9,29.6,82,2022,Preliminary Finals
2,3,Mark Blicavs,RUC,20,1,4,5,5,45.5,25,44,2022,Preliminary Finals
3,4,Mason Cox,RUC,18,1,0,1,6,42.9,33.3,42,2022,Preliminary Finals
4,4,Rhys Stanley,RUC,18,0,1,1,7,34,38.9,53,2022,Preliminary Finals
5,6,Darcy Cameron,RUC,16,3,2,5,4,33.3,25,48,2022,Preliminary Finals
6,7,Nathan Kreuger,KEYF,5,0,2,2,3,23.8,60,21,2022,Preliminary Finals
7,8,Sam Reid,KEYF,4,0,1,1,0,36.4,0,11,2022,Preliminary Finals
8,9,Tom Hawkins,KEYF,3,0,0,0,2,42.9,66.7,7,2022,Preliminary Finals
9,10,Joe Daniher,KEYF,1,0,0,0,0,16.7,0,6,2022,Preliminary Finals
10,10,Daniel McStay,KEYF,1,1,1,2,0,6.7,0,15,2022,Preliminary Finals
11,12,Callum Ah Chee,MID,0,0,0,0,0,0,0,0,2022,Preliminary Finals
12,12,Harris Andrews,KEYD,0,0,0,0,0,0,0,0,2022,Preliminary Finals
13,12,Noah Answerth,DEF,0,0,1,1,0,0,0,0,2022,Preliminary Finals
14,12,Tom Atkins,DEF,0,1,3,4,0,0,0,0,2022,Preliminary Finals
15,12,Zac Bailey,FWD,0,0,0,0,0,0,0,0,2022,Preliminary Finals
16,12,Jarrod Berry,MID,0,0,3,3,0,0,0,0,2022,Preliminary Finals
17,12,Jed Bews,DEF,0,0,0,0,0,0,0,0,2022,Preliminary Finals
18,12,Trent Bianco,FWD,0,0,1,1,0,0,0,0,2022,Preliminary Finals
19,12,Nick Blakey,DEF,0,0,0,0,0,0,0,0,2022,Preliminary Finals
20,12,Charlie Cameron,FWD,0,0,0,0,0,0,0,0,2022,Preliminary Finals
21,12,Jeremy Cameron,KEYF,0,0,1,1,0,0,0,0,2022,Preliminary Finals
22,12,Braeden Campbell,DEF,0,1,0,1,0,0,0,0,2022,Preliminary Finals
23,12,Ryan Clarke,FWD,0,0,0,0,0,0,0,0,2022,Preliminary Finals
24,12,Brad Close,FWD,0,0,4,4,0,0,0,0,2022,Preliminary Finals
25,12,Keidean Coleman,DEF,0,0,0,0,0,0,0,0,2022,Preliminary Finals
26,12,Jack Crisp,MID,0,5,6,11,0,0,0,0,2022,Preliminary Finals
27,12,Nick Daicos,DEF,0,0,0,0,0,0,0,0,2022,Preliminary Finals
28,12,Josh Daicos,MID,0,2,1,3,0,0,0,0,2022,Preliminary Finals
29,12,Patrick Dangerfield,MID,0,3,5,8,0,0,0,1,2022,Preliminary Finals
30,12,Jordan De Goey,MID,0,1,5,6,0,0,0,0,2022,Preliminary Finals
31,12,Sam De Koning,KEYD,0,0,0,0,0,0,0,0,2022,Preliminary Finals
32,12,Mitch Duncan,DEF,0,0,0,0,0,0,0,0,2022,Preliminary Finals
33,12,Jamie Elliott,FWD,0,0,0,0,0,0,0,0,2022,Preliminary Finals
34,12,Oliver Florent,DEF,0,0,2,2,0,0,0,0,2022,Preliminary Finals
