,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Sam Jacobs,RUC,39,2,2,4,13,59.1,33.3,66,2014,Round 20
1,2,Cameron Wood,RUC,38,0,2,2,8,53.5,21.1,71,2014,Round 20
2,3,Paddy Ryder,RUC,37,4,0,4,5,49.3,13.5,75,2014,Round 20
3,4,Matthew Lobbe,RUC,34,0,1,1,13,38.6,38.2,88,2014,Round 20
4,5,Aaron Sandilands,RUC,33,1,2,3,9,56.9,27.3,58,2014,Round 20
5,6,Dean Cox,RUC,31,0,6,6,7,56.4,22.6,55,2014,Round 20
6,7,Stefan Martin,RUC,30,0,1,1,11,37,36.7,81,2014,Round 20
7,8,Todd Goldstein,RUC,29,3,2,5,12,47.5,41.4,61,2014,Round 20
8,8,Mark Jamar,RUC,29,1,3,4,6,43.9,20.7,66,2014,Round 20
9,10,Mike Pyke,RUC,27,2,0,2,5,35.1,18.5,77,2014,Round 20
10,11,Will Minson,RUC,26,2,0,2,5,43.3,19.2,60,2014,Round 20
11,12,Billy Longer,RUC,23,1,3,4,7,34.3,30.4,67,2014,Round 20
12,13,Ivan Maric,RUC,22,0,3,3,4,31.9,18.2,69,2014,Round 20
13,13,Ben McEvoy,RUC,22,1,1,2,3,35.5,13.6,62,2014,Round 20
14,15,David Hale,RUC,20,0,4,4,4,40.8,20,49,2014,Round 20
15,15,Hamish McIntosh,RUC,20,1,0,1,7,29.9,35,67,2014,Round 20
16,15,Nic Naitanui,RUC,20,2,1,3,9,51.3,45,39,2014,Round 20
17,15,Jarrod Witts,RUC,20,2,0,2,4,31.7,20,63,2014,Round 20
18,19,Daniel Gorringe,RUC,19,1,2,3,4,22.4,21.1,85,2014,Round 20
19,19,Shane Mumford,RUC,19,1,4,5,4,29.2,21.1,65,2014,Round 20
20,21,Max Gawn,KEYF,18,0,1,1,8,41.9,44.4,43,2014,Round 20
21,22,Tom Campbell,KEYF,14,1,0,1,5,50,35.7,28,2014,Round 20
22,23,Levi Casboult,KEYF,11,0,1,1,0,39.3,0,28,2014,Round 20
23,23,Jesse White,KEYF,11,0,0,0,6,28.9,54.5,38,2014,Round 20
24,25,Mark Blicavs,RUC,9,1,0,1,2,42.9,22.2,21,2014,Round 20
25,26,Zac Clarke,RUC,8,1,1,2,6,26.7,75,30,2014,Round 20
26,27,Tom Boyd,KEYF,6,0,1,1,0,54.5,0,11,2014,Round 20
27,27,Ben Brown,KEYF,6,0,0,0,0,33.3,0,18,2014,Round 20
28,27,Josh Jenkins,KEYF,6,0,2,2,2,28.6,33.3,21,2014,Round 20
29,30,Sam Day,KEYF,5,0,0,0,1,35.7,20,14,2014,Round 20
