,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Sean Darcy,RUC,47,1,3,4,15,68.1,31.9,69,2022,Finals Week 1
1,2,Toby Nankervis,RUC,41,5,4,9,13,52.6,31.7,78,2022,Finals Week 1
2,3,Max Gawn,RUC,30,1,2,3,14,61.2,46.7,49,2022,Finals Week 1
3,4,Darcy Cameron,RUC,25,2,2,4,6,41,24,61,2022,Finals Week 1
4,5,Tom Hickey,RUC,24,2,3,5,7,33.8,29.2,71,2022,Finals Week 1
5,6,Mason Cox,RUC,23,0,0,0,6,60.5,26.1,38,2022,Finals Week 1
6,7,Rhys Stanley,RUC,22,1,1,2,8,37.9,36.4,58,2022,Finals Week 1
7,8,Tim English,RUC,20,0,2,2,11,28.6,55,70,2022,Finals Week 1
8,9,Rory Lobb,KEYF,14,0,0,0,3,53.8,21.4,26,2022,Finals Week 1
9,9,Ben Miller,KEYD,14,2,0,2,2,58.3,14.3,24,2022,Finals Week 1
10,11,Luke Jackson,RUC,13,0,1,1,2,38.2,15.4,34,2022,Finals Week 1
11,12,Daniel McStay,KEYF,10,0,2,2,5,14.1,50,71,2022,Finals Week 1
12,13,Mark Blicavs,RUC,8,0,3,3,3,30.8,37.5,26,2022,Finals Week 1
13,14,Tom Hawkins,KEYF,4,0,2,2,2,26.7,50,15,2022,Finals Week 1
14,14,Sam Reid,KEYF,4,0,2,2,0,23.5,0,17,2022,Finals Week 1
15,16,Zaine Cordy,KEYD,3,0,0,0,2,37.5,66.7,8,2022,Finals Week 1
16,16,Joe Daniher,KEYF,3,1,0,1,1,11.1,33.3,27,2022,Finals Week 1
17,18,Sam Darcy,KEYD,2,0,0,0,0,20,0,10,2022,Finals Week 1
18,18,Oscar McInerney,RUC,2,0,0,0,0,66.7,0,3,2022,Finals Week 1
19,20,Ben Brown,KEYF,1,0,0,0,0,25,0,4,2022,Finals Week 1
20,20,Eric Hipwood,KEYF,1,0,2,2,0,100,0,1,2022,Finals Week 1
21,22,Blake Acres,MID,0,0,0,0,0,0,0,0,2022,Finals Week 1
22,22,Taylor Adams,MID,0,1,5,6,0,0,0,0,2022,Finals Week 1
