,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Shane Mumford,RUC,51,1,4,5,12,45.5,23.5,112,2015,Round 10
1,2,Todd Goldstein,RUC,47,0,0,0,20,43.5,42.6,108,2015,Round 10
2,2,Aaron Sandilands,RUC,47,0,0,0,23,75.8,48.9,62,2015,Round 10
3,4,Matthew Lobbe,RUC,44,0,1,1,10,32.8,22.7,134,2015,Round 10
4,5,Will Minson,RUC,40,0,9,9,9,42.6,22.5,94,2015,Round 10
5,6,Sam Jacobs,RUC,39,2,1,3,16,52.7,41,74,2015,Round 10
6,7,Stefan Martin,RUC,38,1,3,4,8,38,21.1,100,2015,Round 10
7,8,Max Gawn,RUC,31,2,0,2,17,42.5,54.8,73,2015,Round 10
8,8,Mike Pyke,RUC,31,0,1,1,12,47.7,38.7,65,2015,Round 10
9,10,Nic Naitanui,RUC,30,2,2,4,6,42.9,20,70,2015,Round 10
10,11,Billy Longer,RUC,26,0,3,3,7,36.6,26.9,71,2015,Round 10
11,12,Jonathon Ceglar,RUC,22,0,0,0,8,45.8,36.4,48,2015,Round 10
12,12,Tom Nicholls,RUC,22,2,4,6,6,31.4,27.3,70,2015,Round 10
13,14,Brodie Grundy,RUC,21,3,1,4,9,30.9,42.9,68,2015,Round 10
14,15,Ivan Maric,RUC,20,2,2,4,2,23.3,10,86,2015,Round 10
15,16,Jordan Roughead,KEYD,19,0,2,2,4,35.2,21.1,54,2015,Round 10
16,17,Kurt Tippett,KEYF,17,1,0,1,6,77.3,35.3,22,2015,Round 10
17,17,Cameron Wood,RUC,17,0,3,3,5,29.8,29.4,57,2015,Round 10
18,19,Tom Bellchambers,RUC,16,0,0,0,6,59.3,37.5,27,2015,Round 10
19,20,Mark Blicavs,RUC,15,0,2,2,5,62.5,33.3,24,2015,Round 10
20,20,David Hale,RUC,15,1,2,3,4,42.9,26.7,35,2015,Round 10
21,20,Josh Walker,KEYF,15,1,2,3,4,22.1,26.7,68,2015,Round 10
22,23,Jake Carlisle,KEYF,14,2,0,2,9,43.8,64.3,32,2015,Round 10
23,23,Callum Sinclair,RUC,14,0,2,2,6,28,42.9,50,2015,Round 10
24,25,Zac Clarke,RUC,13,0,0,0,5,27.1,38.5,48,2015,Round 10
25,26,Matthew Kreuzer,RUC,11,1,1,2,3,37.9,27.3,29,2015,Round 10
26,27,Jesse White,KEYF,8,2,1,3,3,36.4,37.5,22,2015,Round 10
27,28,Jack Fitzpatrick,KEYD,7,0,0,0,3,41.2,42.9,17,2015,Round 10
28,28,David Mundy,MID,7,5,4,9,1,0,14.3,0,2015,Round 10
29,30,Keegan Brooksby,RUC,6,0,0,0,1,50,16.7,12,2015,Round 10
30,30,Jarrad Grant,MID,6,0,5,5,3,100,50,1,2015,Round 10
31,30,Matthew Leuenberger,RUC,6,0,0,0,1,31.6,16.7,19,2015,Round 10
32,33,Ben Brown,KEYF,5,0,0,0,0,41.7,0,12,2015,Round 10
33,33,Ollie Wines,MID,5,2,9,11,1,100,20,1,2015,Round 10
34,35,Ben Griffiths,KEYF,4,0,0,0,1,30.8,25,13,2015,Round 10
35,35,Josh Jenkins,KEYF,4,1,0,1,1,30.8,25,13,2015,Round 10
36,35,Ryan Lester,MID,4,1,2,3,2,0,50,0,2015,Round 10
37,35,Ty Vickery,KEYF,4,1,1,2,1,28.6,25,14,2015,Round 10
38,39,Blake Acres,MID,3,1,0,1,1,0,33.3,0,2015,Round 10
39,39,Patrick Ambrose,FWD,3,1,2,3,1,9.1,33.3,33,2015,Round 10
40,39,Brad Ebert,MID,3,0,0,0,2,0,66.7,0,2015,Round 10
41,39,Nat Fyfe,MID,3,4,5,9,1,0,33.3,0,2015,Round 10
42,39,Hamish Hartlett,MID,3,2,3,5,0,0,0,0,2015,Round 10
43,39,Dyson Heppell,MID,3,1,6,7,0,0,0,0,2015,Round 10
44,45,Michael Barlow,FWD,2,1,0,1,0,0,0,0,2015,Round 10
45,45,Josh Caddy,MID,2,0,2,2,0,0,0,0,2015,Round 10
46,45,Travis Cloke,KEYF,2,0,0,0,0,66.7,0,3,2015,Round 10
47,45,Patrick Cripps,MID,2,3,5,8,0,0,0,0,2015,Round 10
48,45,Ryan Griffen,MID,2,1,1,2,1,0,50,0,2015,Round 10
49,45,Tom Hickey,RUC,2,0,0,0,0,22.2,0,9,2015,Round 10
50,45,Jack Riewoldt,KEYF,2,0,2,2,1,0,50,0,2015,Round 10
51,45,Jake Stringer,FWD,2,0,0,0,2,0,100,0,2015,Round 10
52,45,Callan Ward,MID,2,3,7,10,2,0,100,0,2015,Round 10
53,54,Harris Andrews,KEYD,1,0,0,0,0,20,0,5,2015,Round 10
54,54,Travis Boak,MID,1,0,7,7,0,0,0,0,2015,Round 10
55,54,Tom Boyd,KEYF,1,0,1,1,0,100,0,1,2015,Round 10
56,54,Jack Crisp,MID,1,0,1,1,1,0,100,0,2015,Round 10
57,54,Daniel Cross,DEF,1,2,1,3,1,0,100,0,2015,Round 10
58,54,Ben Cunnington,MID,1,3,5,8,0,0,0,0,2015,Round 10
59,54,Patrick Dangerfield,MID,1,2,7,9,0,0,0,0,2015,Round 10
60,54,Joe Daniher,KEYF,1,0,0,0,1,0,100,0,2015,Round 10
61,54,Trent Dumont,MID,1,1,2,3,0,0,0,0,2015,Round 10
62,54,Orazio Fantasia,DEF,1,1,0,1,1,0,100,0,2015,Round 10
63,54,Brendon Goddard,MID,1,2,5,7,0,0,0,0,2015,Round 10
64,54,Ben Howlett,FWD,1,3,4,7,0,0,0,0,2015,Round 10
65,54,Lin Jong,MID,1,3,0,3,0,100,0,1,2015,Round 10
66,54,Jamie Macmillan,DEF,1,0,3,3,1,0,100,0,2015,Round 10
67,54,Luke Parker,MID,1,1,8,9,1,0,100,0,2015,Round 10
68,54,Cameron Pedersen,KEYF,1,0,1,1,0,33.3,0,3,2015,Round 10
69,54,Farren Ray,MID,1,0,4,4,1,0,100,0,2015,Round 10
70,54,Sam Reid,KEYF,1,0,0,0,0,100,0,1,2015,Round 10
71,54,Daniel Robinson,FWD,1,0,0,0,0,0,0,0,2015,Round 10
72,54,Luke Shuey,MID,1,6,2,8,1,0,100,0,2015,Round 10
73,54,Isaac Smith,MID,1,0,1,1,0,0,0,0,2015,Round 10
74,54,Brent Stanton,MID,1,1,2,3,0,0,0,0,2015,Round 10
75,54,Koby Stevens,MID,1,2,7,9,0,0,0,0,2015,Round 10
76,54,James Stewart,KEYF,1,0,0,0,0,9.1,0,11,2015,Round 10
77,54,Jack Watts,FWD,1,1,3,4,0,0,0,0,2015,Round 10
