,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Nic Naitanui,RUC,40,3,5,8,17,65.6,42.5,61,2021,Round 11
1,2,Ned Reeves,RUC,35,0,0,0,10,61.4,28.6,57,2021,Round 11
2,3,Reilly O'Brien,RUC,34,4,1,5,13,53.1,38.2,64,2021,Round 11
3,3,Paddy Ryder,RUC,34,2,4,6,11,45.9,32.4,74,2021,Round 11
4,5,Todd Goldstein,RUC,33,2,3,5,13,46.5,39.4,71,2021,Round 11
5,6,Marc Pittonet,RUC,31,0,3,3,8,53.4,25.8,58,2021,Round 11
6,7,Oscar McInerney,RUC,30,1,3,4,6,50,20,60,2021,Round 11
7,8,Max Gawn,RUC,27,3,2,5,8,65.9,29.6,41,2021,Round 11
8,9,Sean Darcy,RUC,24,3,3,6,8,45.3,33.3,53,2021,Round 11
9,9,Callum Sinclair,RUC,24,2,3,5,5,35.3,20.8,68,2021,Round 11
10,11,Zac Smith,RUC,23,2,2,4,6,35.9,26.1,64,2021,Round 11
11,12,Peter Ladhams,RUC,21,4,0,4,9,38.2,42.9,55,2021,Round 11
12,12,Shane Mumford,RUC,21,2,1,3,12,41.2,57.1,51,2021,Round 11
13,12,Toby Nankervis,RUC,21,1,1,2,5,44.7,23.8,47,2021,Round 11
14,15,Brodie Grundy,RUC,18,0,2,2,5,60,27.8,30,2021,Round 11
15,15,Ben McEvoy,RUC,18,0,1,1,8,69.2,44.4,26,2021,Round 11
16,17,Matt Flynn,RUC,17,0,1,1,4,53.1,23.5,32,2021,Round 11
17,17,Jordon Sweet,RUC,17,0,1,1,5,37.8,29.4,45,2021,Round 11
18,19,Rhys Stanley,RUC,15,0,2,2,5,39.5,33.3,38,2021,Round 11
19,20,Tom Campbell,RUC,13,0,2,2,4,65,30.8,20,2021,Round 11
20,20,Tom De Koning,RUC,13,0,3,3,6,46.4,46.2,28,2021,Round 11
21,22,Luke Jackson,RUC,11,1,0,1,3,36.7,27.3,30,2021,Round 11
22,22,Andrew Phillips,RUC,11,0,2,2,3,20,27.3,55,2021,Round 11
23,22,Bailey J. Williams,RUC,11,0,0,0,5,50,45.5,22,2021,Round 11
24,25,Darcy Cameron,KEYF,9,5,0,5,4,28.1,44.4,32,2021,Round 11
25,25,Mabior Chol,RUC,9,0,0,0,3,34.6,33.3,26,2021,Round 11
26,25,Tim English,RUC,9,0,1,1,3,32.1,33.3,28,2021,Round 11
27,28,Esava Ratugolea,RUC,8,0,0,0,3,33.3,37.5,24,2021,Round 11
28,29,Hayden McLean,KEYF,6,0,0,0,1,37.5,16.7,16,2021,Round 11
29,30,Chris Burgess,RUC,5,0,1,1,1,16.7,20,30,2021,Round 11
30,30,Charlie Dixon,KEYF,5,1,1,2,2,26.3,40,19,2021,Round 11
