,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Lachie Neale,MID,21,19,3,6,52.5,18,2,2022,Finals Week 1
1,2,Clayton Oliver,MID,19,10,5,1,65.5,9,2,2022,Finals Week 1
2,3,Toby Nankervis,RUC,18,7,1,4,72,6,0,2022,Finals Week 1
3,4,Luke Parker,MID,17,8,5,8,68,15,0,2022,Finals Week 1
4,5,Tom Atkins,DEF,16,4,5,3,80,14,2,2022,Finals Week 1
5,5,Caleb Serong,MID,16,17,2,5,48.5,6,1,2022,Finals Week 1
6,7,Josh Dunkley,FWD,15,7,4,2,68.2,7,0,2022,Finals Week 1
7,7,Scott Pendlebury,MID,15,16,7,8,48.4,13,1,2022,Finals Week 1
8,7,James Rowbottom,MID,15,9,7,10,62.5,11,2,2022,Finals Week 1
9,7,Jack Viney,MID,15,10,2,9,60,11,3,2022,Finals Week 1
10,11,Max Gawn,RUC,14,3,4,7,82.4,7,2,2022,Finals Week 1
11,11,Tom Hickey,RUC,14,5,7,6,73.7,8,1,2022,Finals Week 1
12,11,Christian Petracca,MID,14,10,3,5,58.3,9,1,2022,Finals Week 1
13,14,Jack Macrae,MID,13,23,6,6,36.1,8,2,2022,Finals Week 1
14,14,Steele Sidebottom,MID,13,11,10,5,54.2,11,0,2022,Finals Week 1
15,16,Marcus Bontempelli,MID,12,18,6,6,40,7,1,2022,Finals Week 1
16,16,Patrick Dangerfield,MID,12,9,1,9,57.1,8,1,2022,Finals Week 1
17,16,Jordan De Goey,MID,12,15,0,3,44.4,9,0,2022,Finals Week 1
18,16,Steven May,KEYD,12,6,16,5,66.7,5,0,2022,Finals Week 1
19,16,Joel Selwood,MID,12,15,3,6,44.4,10,2,2022,Finals Week 1
20,21,Zac Bailey,FWD,11,9,4,4,55,9,3,2022,Finals Week 1
21,21,Cameron Guthrie,MID,11,11,5,4,50,6,0,2022,Finals Week 1
22,21,Hugh McCluggage,MID,11,15,4,5,42.3,9,0,2022,Finals Week 1
23,21,Toby McLean,MID,11,11,2,4,50,8,2,2022,Finals Week 1
24,25,Jack Crisp,MID,10,14,2,6,41.7,8,1,2022,Finals Week 1
25,25,James Harmes,FWD,10,16,8,5,38.5,7,0,2022,Finals Week 1
26,25,Lachie Hunter,MID,10,15,8,5,40,7,1,2022,Finals Week 1
27,25,Callum Mills,MID,10,14,5,6,41.7,6,3,2022,Finals Week 1
28,25,Roarke Smith,MID,10,6,2,4,62.5,5,0,2022,Finals Week 1
29,30,Trent Cotchin,MID,9,5,0,3,64.3,5,1,2022,Finals Week 1
