,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Jack Viney,MID,17,12,1,5,58.6,14,2,2018,Semi Finals
1,2,Jeremy Howe,DEF,13,10,10,3,56.5,10,0,2018,Semi Finals
2,2,Tom Mitchell,MID,13,10,3,6,56.5,6,2,2018,Semi Finals
3,2,Liam Shiels,MID,13,11,3,4,54.2,10,3,2018,Semi Finals
4,5,Lachie Whitfield,DEF,12,18,4,7,40,6,1,2018,Semi Finals
5,6,Taylor Adams,MID,11,13,1,5,45.8,6,0,2018,Semi Finals
6,6,Clayton Oliver,MID,11,11,2,4,50,5,1,2018,Semi Finals
7,6,James Sicily,DEF,11,8,10,4,57.9,7,0,2018,Semi Finals
8,6,Adam Treloar,MID,11,16,4,4,40.7,9,3,2018,Semi Finals
9,6,Callan Ward,MID,11,9,2,4,55,7,0,2018,Semi Finals
10,11,Mason Cox,KEYF,10,5,3,4,66.7,2,1,2018,Semi Finals
11,11,Brodie Grundy,RUC,10,9,4,2,52.6,8,1,2018,Semi Finals
12,11,Will Hoskin-Elliott,FWD,10,12,1,5,45.5,7,2,2018,Semi Finals
13,11,Scott Pendlebury,MID,10,16,1,5,38.5,6,0,2018,Semi Finals
14,11,Steele Sidebottom,MID,10,20,3,3,33.3,6,2,2018,Semi Finals
15,16,Brett Deledio,MID,9,8,4,1,52.9,8,3,2018,Semi Finals
16,16,Jack Gunston,KEYF,9,7,1,1,56.3,4,4,2018,Semi Finals
17,16,Jacob Hopper,MID,9,7,0,5,56.3,6,1,2018,Semi Finals
18,16,Brayden Sier,MID,9,10,3,2,47.4,9,0,2018,Semi Finals
19,20,Angus Brayshaw,MID,8,5,1,2,61.5,2,0,2018,Semi Finals
20,20,Jeremy Cameron,KEYF,8,7,2,3,53.3,4,2,2018,Semi Finals
21,20,Phil Davis,KEYD,8,7,11,5,53.3,6,0,2018,Semi Finals
22,20,James Harmes,MID,8,12,1,2,40,2,0,2018,Semi Finals
23,20,Neville Jetta,DEF,8,10,7,4,44.4,7,0,2018,Semi Finals
24,20,Tom Langdon,DEF,8,13,12,2,38.1,7,0,2018,Semi Finals
25,20,Jordan Lewis,DEF,8,6,5,4,57.1,4,0,2018,Semi Finals
26,20,Rory Lobb,RUC,8,4,3,3,66.7,5,0,2018,Semi Finals
27,20,Christian Petracca,FWD,8,13,0,5,38.1,7,1,2018,Semi Finals
28,20,Tom Phillips,MID,8,21,3,6,27.6,4,0,2018,Semi Finals
29,20,Dylan Shiel,MID,8,10,3,6,44.4,5,1,2018,Semi Finals
30,20,Charlie Spargo,FWD,8,4,3,1,66.7,5,3,2018,Semi Finals
31,20,Josh Thomas,FWD,8,8,3,4,50,5,3,2018,Semi Finals
32,33,Luke Breust,FWD,7,6,0,2,53.8,4,0,2018,Semi Finals
33,33,Max Gawn,RUC,7,7,4,4,50,5,0,2018,Semi Finals
34,33,Zac Langdon,FWD,7,3,2,2,70,4,0,2018,Semi Finals
35,33,Adam Tomlinson,MID,7,3,3,1,70,7,1,2018,Semi Finals
36,37,Stephen Coniglio,MID,6,22,4,8,21.4,4,0,2018,Semi Finals
37,37,Sam Frost,KEYD,6,7,9,2,46.2,2,0,2018,Semi Finals
38,37,Levi Greenwood,DEF,6,12,6,6,33.3,4,0,2018,Semi Finals
39,37,Jarman Impey,DEF,6,10,2,4,37.5,4,1,2018,Semi Finals
40,37,Tom McDonald,KEYF,6,10,3,5,37.5,2,1,2018,Semi Finals
41,37,Ben McEvoy,RUC,6,12,3,1,33.3,3,0,2018,Semi Finals
42,37,Paul Puopolo,FWD,6,5,1,2,54.5,5,1,2018,Semi Finals
43,37,Jarryd Roughead,KEYF,6,7,0,2,46.2,4,1,2018,Semi Finals
44,37,Ryan Schoenmakers,KEYF,6,1,1,4,85.7,2,0,2018,Semi Finals
45,37,Tim Taranto,MID,6,9,4,3,40,5,1,2018,Semi Finals
46,37,Zac Williams,DEF,6,11,8,6,35.3,5,0,2018,Semi Finals
47,37,Aaron vandenBerg,FWD,6,9,3,1,40,5,1,2018,Semi Finals
48,49,James Frawley,KEYD,5,11,6,2,31.3,5,0,2018,Semi Finals
49,49,Bayley Fritsch,FWD,5,10,3,3,33.3,4,0,2018,Semi Finals
50,49,Ryan Griffen,FWD,5,3,0,2,62.5,4,0,2018,Semi Finals
51,49,Daniel Howe,MID,5,13,2,4,27.8,2,1,2018,Semi Finals
52,49,Chris Mayne,MID,5,13,4,5,27.8,5,0,2018,Semi Finals
53,49,Brody Mihocek,KEYF,5,4,1,2,55.6,4,1,2018,Semi Finals
54,49,Harry Morrison,FWD,5,9,2,1,35.7,2,0,2018,Semi Finals
55,49,Sam J. Reid,FWD,5,7,4,4,41.7,4,0,2018,Semi Finals
56,49,Dom Tyson,MID,5,6,2,3,45.5,3,0,2018,Semi Finals
57,49,James Worpel,FWD,5,7,2,5,41.7,4,2,2018,Semi Finals
58,59,James Aish,MID,4,14,6,6,22.2,2,0,2018,Semi Finals
59,59,Shaun Burgoyne,MID,4,10,2,0,28.6,2,0,2018,Semi Finals
60,59,Jack Crisp,DEF,4,9,5,1,30.8,3,0,2018,Semi Finals
61,59,Blake Hardwick,DEF,4,7,7,2,36.4,3,0,2018,Semi Finals
62,59,Ricky Henderson,MID,4,17,7,4,19,2,0,2018,Semi Finals
63,59,Michael Hibberd,DEF,4,15,5,4,21.1,4,0,2018,Semi Finals
