,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Lachie Neale,MID,26,12,5,4,68.4,20,4,2022,Round 7
1,2,Luke Parker,MID,21,12,4,3,63.6,13,2,2022,Round 7
2,3,Patrick Cripps,MID,18,16,1,4,52.9,8,3,2022,Round 7
3,4,Tom Green,MID,17,9,7,4,65.4,11,0,2022,Round 7
4,4,Josh Kelly,MID,17,24,2,2,41.5,11,0,2022,Round 7
5,4,Touk Miller,MID,17,20,2,9,45.9,6,0,2022,Round 7
6,7,Josh Dunkley,FWD,16,14,3,5,53.3,8,3,2022,Round 7
7,7,Mason Wood,MID,16,9,8,9,64,11,1,2022,Round 7
8,9,Isaac Cumming,DEF,15,15,15,7,50,11,0,2022,Round 7
9,9,Todd Goldstein,RUC,15,5,3,2,75,8,1,2022,Round 7
10,11,Noah Anderson,MID,14,22,3,5,38.9,8,0,2022,Round 7
11,11,Mark Blicavs,RUC,14,6,6,2,70,5,0,2022,Round 7
12,11,Marcus Bontempelli,MID,14,5,2,2,73.7,11,1,2022,Round 7
13,11,Max Gawn,RUC,14,14,4,6,50,4,1,2022,Round 7
14,11,Cameron Guthrie,MID,14,21,3,5,40,9,3,2022,Round 7
15,11,Matthew Kennedy,MID,14,10,0,2,58.3,10,2,2022,Round 7
16,11,Matt Rowell,MID,14,9,2,2,60.9,9,1,2022,Round 7
17,11,James Worpel,MID,14,12,4,10,53.8,13,5,2022,Round 7
18,19,Darcy Cameron,RUC,13,4,2,2,76.5,5,0,2022,Round 7
19,19,Ben Keays,MID,13,15,3,6,46.4,10,0,2022,Round 7
20,19,Tom Liberatore,MID,13,10,6,6,56.5,9,1,2022,Round 7
21,19,Tom J. Lynch,KEYF,13,7,2,4,65,2,0,2022,Round 7
22,19,Jaeger O'Meara,MID,13,11,2,4,54.2,9,5,2022,Round 7
23,19,Brandan Parfitt,MID,13,8,3,6,61.9,9,0,2022,Round 7
24,19,Darcy Parish,MID,13,20,4,4,39.4,8,0,2022,Round 7
25,19,Ollie Wines,MID,13,10,5,6,56.5,13,4,2022,Round 7
26,27,Jye Caldwell,MID,12,9,2,4,57.1,8,3,2022,Round 7
27,27,Tom Doedee,KEYD,12,6,11,2,66.7,12,0,2022,Round 7
28,27,Jade Gresham,FWD,12,7,4,6,63.2,9,2,2022,Round 7
29,27,Peter Ladhams,RUC,12,13,3,1,48,5,1,2022,Round 7
30,27,Jack Steele,MID,12,12,3,4,50,7,0,2022,Round 7
31,27,Jarrod Witts,RUC,12,9,4,3,57.1,3,0,2022,Round 7
32,33,Shai Bolton,FWD,11,16,2,5,40.7,6,3,2022,Round 7
33,33,Zak Butters,FWD,11,10,7,4,52.4,11,0,2022,Round 7
34,33,Callum Coleman-Jones,RUC,11,1,3,4,91.7,5,2,2022,Round 7
35,33,Sam Draper,RUC,11,6,3,3,64.7,3,2,2022,Round 7
36,33,Liam Duggan,DEF,11,17,10,4,39.3,10,0,2022,Round 7
37,33,Darcy Fort,RUC,11,5,0,10,68.8,3,0,2022,Round 7
38,33,Oscar McInerney,RUC,11,5,1,4,68.8,6,0,2022,Round 7
39,33,Callum Mills,MID,11,20,5,4,35.5,9,0,2022,Round 7
40,33,David Mundy,MID,11,13,3,3,45.8,8,0,2022,Round 7
41,33,Aaron Naughton,KEYF,11,1,2,1,91.7,7,5,2022,Round 7
42,43,Blake Acres,MID,10,16,6,9,38.5,7,0,2022,Round 7
43,43,Matt Crouch,MID,10,17,2,7,37,7,0,2022,Round 7
44,43,Caleb Daniel,DEF,10,18,7,3,35.7,9,0,2022,Round 7
45,43,Jason Horne-Francis,FWD,10,10,2,5,50,5,0,2022,Round 7
46,43,Josh P. Kennedy,MID,10,9,2,6,52.6,8,0,2022,Round 7
47,43,Rory Laird,MID,10,25,7,9,28.6,7,1,2022,Round 7
48,43,Rory Lobb,KEYF,10,6,2,1,62.5,6,1,2022,Round 7
49,43,Tom Mitchell,MID,10,13,1,3,43.5,6,2,2022,Round 7
50,43,Clayton Oliver,MID,10,23,4,6,30.3,5,2,2022,Round 7
51,43,Ben Paton,DEF,10,4,9,7,71.4,8,0,2022,Round 7
52,43,Joel Selwood,MID,10,8,6,5,55.6,8,0,2022,Round 7
53,43,Jy Simpkin,MID,10,10,1,6,50,4,0,2022,Round 7
54,43,Tom Stewart,DEF,10,29,11,8,25.6,6,0,2022,Round 7
55,43,Jack Viney,MID,10,15,1,6,40,5,0,2022,Round 7
56,57,Aliir Aliir,KEYD,9,7,14,1,56.3,6,0,2022,Round 7
57,57,Will Brodie,MID,9,11,4,4,45,5,2,2022,Round 7
58,57,Tom Campbell,RUC,9,3,3,2,75,5,0,2022,Round 7
59,57,Adam Cerra,MID,9,17,0,4,34.6,6,0,2022,Round 7
60,57,Greg Clark,MID,9,14,4,2,39.1,7,1,2022,Round 7
61,57,Stephen Coniglio,FWD,9,10,0,7,47.4,5,3,2022,Round 7
62,57,Errol Gulden,FWD,9,9,2,3,50,7,0,2022,Round 7
63,57,Dyson Heppell,DEF,9,18,7,3,33.3,6,0,2022,Round 7
64,57,Griffin Logue,KEYD,9,4,8,1,69.2,9,0,2022,Round 7
65,57,Stefan Martin,RUC,9,2,3,1,81.8,4,1,2022,Round 7
66,57,Nic Martin,FWD,9,16,5,1,36,8,0,2022,Round 7
67,57,Hugh McCluggage,MID,9,18,4,5,33.3,6,1,2022,Round 7
68,57,Luke McDonald,DEF,9,6,4,3,60,7,0,2022,Round 7
69,57,Andrew McGrath,MID,9,12,4,3,42.9,5,1,2022,Round 7
70,57,Harry McKay,KEYF,9,7,1,4,56.3,2,2,2022,Round 7
71,57,Lloyd Meek,RUC,9,4,2,3,69.2,3,0,2022,Round 7
72,57,Scott Pendlebury,MID,9,14,7,3,39.1,5,0,2022,Round 7
73,57,Sam Powell-Pepper,FWD,9,9,2,6,50,8,3,2022,Round 7
74,57,Sebastian Ross,MID,9,22,5,9,29,7,0,2022,Round 7
75,57,Connor Rozee,FWD,9,14,2,3,39.1,9,2,2022,Round 7
76,57,Caleb Serong,MID,9,16,3,8,36,4,0,2022,Round 7
77,57,Jayden Short,MID,9,23,4,5,28.1,5,0,2022,Round 7
78,57,Jack Sinclair,DEF,9,10,10,11,47.4,8,0,2022,Round 7
79,57,Rhys Stanley,RUC,9,2,2,2,81.8,4,0,2022,Round 7
80,57,Tim Taranto,FWD,9,13,2,3,40.9,6,0,2022,Round 7
81,57,Sam Taylor,KEYD,9,10,12,3,47.4,7,0,2022,Round 7
82,57,Nick Vlastuin,DEF,9,13,14,3,40.9,5,0,2022,Round 7
83,57,Sam Walsh,MID,9,21,3,2,30,6,0,2022,Round 7
84,85,Aiden Begg,RUC,8,7,2,2,53.3,3,0,2022,Round 7
85,85,Andrew Brayshaw,MID,8,21,2,6,27.6,5,0,2022,Round 7
86,85,Ryan Burton,DEF,8,13,11,5,38.1,7,0,2022,Round 7
87,85,Levi Casboult,KEYF,8,4,1,3,66.7,1,0,2022,Round 7
88,85,Brad Crouch,MID,8,11,3,9,42.1,5,1,2022,Round 7
89,85,Jack Darling,KEYF,8,7,1,5,53.3,6,4,2022,Round 7
90,85,Luke Davies-Uniacke,MID,8,10,1,3,44.4,5,0,2022,Round 7
91,85,Jordan De Goey,MID,8,4,1,0,66.7,4,1,2022,Round 7
92,85,Willem Drew,MID,8,6,2,2,57.1,5,3,2022,Round 7
93,85,Bayley Fritsch,FWD,8,1,0,1,88.9,5,3,2022,Round 7
94,85,Matt Guelfi,FWD,8,10,2,7,44.4,5,1,2022,Round 7
95,85,Connor Idun,DEF,8,11,9,5,42.1,7,0,2022,Round 7
96,85,Tim Kelly,MID,8,17,0,9,32,5,1,2022,Round 7
97,85,Jake Lever,KEYD,8,3,8,2,72.7,5,0,2022,Round 7
98,85,Jack Martin,FWD,8,5,2,2,61.5,5,3,2022,Round 7
99,85,Daniel McKenzie,MID,8,8,6,4,50,8,1,2022,Round 7
100,85,Reilly O'Brien,RUC,8,9,1,1,47.1,3,0,2022,Round 7
101,85,Christian Petracca,MID,8,24,1,4,25,3,0,2022,Round 7
102,85,Dion Prestia,MID,8,8,2,5,50,5,0,2022,Round 7
103,85,Isaac Quaynor,DEF,8,7,7,5,53.3,5,0,2022,Round 7
104,85,Maurice Rioli,FWD,8,7,6,1,53.3,7,4,2022,Round 7
105,85,Jack Scrimshaw,DEF,8,10,7,2,44.4,5,0,2022,Round 7
106,85,Tyson Stengle,FWD,8,6,1,2,57.1,3,1,2022,Round 7
107,85,Sam Switkowski,FWD,8,9,1,2,47.1,5,3,2022,Round 7
108,85,Adam Treloar,MID,8,15,0,6,34.8,5,1,2022,Round 7
109,85,Zach Tuohy,DEF,8,9,5,2,47.1,6,0,2022,Round 7
110,85,Taylor Walker,KEYF,8,8,1,4,50,5,2,2022,Round 7
111,85,Callan Ward,MID,8,15,0,2,34.8,4,0,2022,Round 7
112,85,Chad Warner,MID,8,19,2,7,29.6,7,2,2022,Round 7
113,114,James Aish,MID,7,12,8,3,36.8,5,0,2022,Round 7
114,114,Liam Baker,DEF,7,16,7,2,30.4,5,0,2022,Round 7
115,114,Sam Berry,MID,7,8,3,3,46.7,5,2,2022,Round 7
116,114,Jake Bowey,DEF,7,13,4,7,35,5,0,2022,Round 7
117,114,Jason Castagna,FWD,7,12,3,7,36.8,4,4,2022,Round 7
118,114,Jordan Clark,DEF,7,17,6,5,29.2,6,0,2022,Round 7
119,114,Brad Close,FWD,7,13,3,3,35,6,0,2022,Round 7
120,114,Tom Clurey,KEYD,7,2,8,0,77.8,5,0,2022,Round 7
121,114,Riley Collier-Dawkins,MID,7,9,1,3,43.8,4,0,2022,Round 7
122,114,Jack Crisp,MID,7,18,3,4,28,6,0,2022,Round 7
123,114,Charlie Curnow,KEYF,7,6,0,0,53.8,2,2,2022,Round 7
124,114,Paul Curtis,FWD,7,6,1,3,53.8,5,2,2022,Round 7
125,114,Will Day,DEF,7,15,7,4,31.8,3,0,2022,Round 7
126,114,Jack Gunston,KEYF,7,11,2,4,38.9,7,3,2022,Round 7
127,114,Tom Hawkins,KEYF,7,2,1,1,77.8,2,1,2022,Round 7
128,114,Isaac Heeney,FWD,7,11,2,2,38.9,5,1,2022,Round 7
129,114,Shannon Hurn,DEF,7,8,10,3,46.7,4,0,2022,Round 7
130,114,James Jordon,MID,7,12,1,2,36.8,5,0,2022,Round 7
131,114,Kane Lambert,FWD,7,12,2,4,36.8,5,1,2022,Round 7
132,114,Ed Langdon,MID,7,3,3,3,70,4,1,2022,Round 7
133,114,Patrick Lipinski,FWD,7,23,2,6,23.3,7,0,2022,Round 7
134,114,Jarryd Lyons,MID,7,11,0,1,38.9,6,3,2022,Round 7
135,114,Jack Macrae,MID,7,20,1,4,25.9,4,1,2022,Round 7
136,114,Robbie McComb,FWD,7,13,2,4,35,5,1,2022,Round 7
137,114,Tom McDonald,KEYF,7,7,2,3,50,5,1,2022,Round 7
138,114,Daniel McStay,KEYF,7,8,3,3,46.7,3,1,2022,Round 7
139,114,Zach Merrett,MID,7,30,1,5,18.9,6,0,2022,Round 7
140,114,Steven Motlop,FWD,7,8,2,12,46.7,6,2,2022,Round 7
141,114,Jack Newnes,MID,7,16,5,2,30.4,5,0,2022,Round 7
142,114,Braydon Preuss,RUC,7,2,4,3,77.8,1,0,2022,Round 7
143,114,Josh Rachele,FWD,7,6,2,3,53.8,6,0,2022,Round 7
144,114,Ben Ronke,FWD,7,2,1,2,77.8,5,1,2022,Round 7
145,114,James Sicily,KEYD,7,16,10,6,30.4,4,0,2022,Round 7
146,114,Bailey Smith,FWD,7,18,3,5,28,4,1,2022,Round 7
147,114,Kayne Turner,DEF,7,8,9,2,46.7,5,0,2022,Round 7
148,114,Peter Wright,KEYF,7,8,0,3,46.7,1,1,2022,Round 7
149,114,Jack Ziebell,FWD,7,6,0,4,53.8,4,2,2022,Round 7
150,151,Taylor Adams,MID,6,19,2,5,24,6,0,2022,Round 7
151,151,Callum Ah Chee,MID,6,10,6,3,37.5,3,0,2022,Round 7
152,151,Tom Atkins,DEF,6,11,6,4,35.3,4,0,2022,Round 7
153,151,Noah Balta,KEYD,6,10,5,2,37.5,2,0,2022,Round 7
154,151,Josh Battle,KEYD,6,9,9,5,40,4,0,2022,Round 7
155,151,Nick Blakey,DEF,6,11,6,3,35.3,4,0,2022,Round 7
156,151,Luke Brown,DEF,6,6,6,3,50,2,0,2022,Round 7
157,151,Tyler Brown,FWD,6,2,2,0,75,6,2,2022,Round 7
158,151,Charlie Cameron,FWD,6,1,2,1,85.7,4,1,2022,Round 7
159,151,Mabior Chol,KEYF,6,5,0,0,54.5,2,1,2022,Round 7
