,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Matthew Priddis,MID,16,11,2,5,59.3,12,0,2015,Grand Final
1,2,Sam Mitchell,MID,13,20,6,4,39.4,10,4,2015,Grand Final
2,2,Luke Shuey,MID,13,12,2,4,52,8,1,2015,Grand Final
3,4,Luke Breust,FWD,11,9,1,6,55,8,3,2015,Grand Final
4,4,Jarryd Roughead,KEYF,11,15,2,4,42.3,7,1,2015,Grand Final
5,6,Shaun Burgoyne,DEF,10,17,6,4,37,7,0,2015,Grand Final
6,6,Andrew Gaff,MID,10,24,8,6,29.4,8,1,2015,Grand Final
7,6,Luke Hodge,MID,10,20,5,2,33.3,8,1,2015,Grand Final
8,9,Mark LeCras,FWD,8,8,0,4,50,7,1,2015,Grand Final
9,9,Liam Shiels,MID,8,8,1,4,50,4,0,2015,Grand Final
10,11,Brian Lake,KEYD,7,10,7,4,41.2,2,0,2015,Grand Final
11,11,Jordan Lewis,MID,7,18,0,5,28,2,0,2015,Grand Final
12,11,Chris Masten,MID,7,13,2,5,35,5,1,2015,Grand Final
13,14,Jack Darling,KEYF,6,5,1,5,54.5,3,1,2015,Grand Final
14,14,Taylor Duryea,DEF,6,20,6,5,23.1,5,0,2015,Grand Final
15,14,James Frawley,KEYD,6,16,7,0,27.3,5,0,2015,Grand Final
16,14,Paul Puopolo,FWD,6,9,0,0,40,6,1,2015,Grand Final
17,14,Cyril Rioli,FWD,6,12,2,1,33.3,2,0,2015,Grand Final
18,14,Ryan Schoenmakers,KEYF,6,15,0,1,28.6,3,0,2015,Grand Final
19,14,Dom Sheed,MID,6,5,3,2,54.5,4,0,2015,Grand Final
20,21,Josh Hill,FWD,5,4,0,3,55.6,2,2,2015,Grand Final
21,21,Mark Hutchings,MID,5,16,1,5,23.8,4,0,2015,Grand Final
22,21,Ben McEvoy,RUC,5,4,1,0,55.6,4,0,2015,Grand Final
23,21,Jeremy McGovern,KEYD,5,7,7,3,41.7,3,0,2015,Grand Final
24,21,Isaac Smith,MID,5,18,6,2,21.7,3,0,2015,Grand Final
25,21,Ben Stratton,DEF,5,9,6,3,35.7,5,0,2015,Grand Final
26,27,Grant Birchall,DEF,4,18,4,2,18.2,4,0,2015,Grand Final
27,27,Josh Gibson,KEYD,4,25,6,2,13.8,3,0,2015,Grand Final
28,27,Shannon Hurn,DEF,4,11,7,8,26.7,3,0,2015,Grand Final
29,27,Nic Naitanui,RUC,4,0,0,1,100,1,0,2015,Grand Final
30,27,Callum Sinclair,RUC,4,1,1,0,80,3,2,2015,Grand Final
31,27,Sharrod Wellingham,DEF,4,11,3,2,26.7,4,0,2015,Grand Final
32,33,Sam Butler,DEF,3,18,5,2,14.3,3,0,2015,Grand Final
33,33,Jamie Cripps,FWD,3,12,1,1,20,2,1,2015,Grand Final
34,33,Xavier Ellis,DEF,3,6,3,0,33.3,2,1,2015,Grand Final
35,33,Matt Rosa,MID,3,8,0,1,27.3,2,0,2015,Grand Final
36,33,Will Schofield,KEYD,3,9,4,2,25,3,0,2015,Grand Final
37,33,Brad Sheppard,DEF,3,13,5,5,18.8,2,0,2015,Grand Final
38,33,Elliot Yeo,MID,3,2,1,2,60,1,0,2015,Grand Final
39,40,Jack Gunston,KEYF,2,16,0,3,11.1,0,0,2015,Grand Final
40,40,David Hale,RUC,2,4,0,1,33.3,0,0,2015,Grand Final
41,40,Bradley Hill,MID,2,10,1,1,16.7,2,1,2015,Grand Final
42,40,Josh J. Kennedy,KEYF,2,7,0,1,22.2,1,0,2015,Grand Final
43,44,Matthew Suckling,DEF,0,8,0,2,0,0,0,2015,Grand Final
