,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Jordan De Goey,MID,17,17,1,8,50,8,1,2023,Preliminary Finals
1,2,Josh Dunkley,MID,16,8,5,5,66.7,10,1,2023,Preliminary Finals
2,2,Josh Kelly,MID,16,17,11,10,48.5,15,0,2023,Preliminary Finals
3,4,Lachie Neale,MID,15,7,5,5,68.2,12,2,2023,Preliminary Finals
4,5,Tom Green,MID,14,18,3,9,43.8,12,1,2023,Preliminary Finals
5,5,Sam Walsh,MID,14,18,5,6,43.8,10,1,2023,Preliminary Finals
6,7,Tom Mitchell,MID,12,12,1,5,50,10,3,2023,Preliminary Finals
7,7,Sam Taylor,KEYD,12,3,13,3,80,7,0,2023,Preliminary Finals
8,9,Jarrod Berry,MID,11,15,2,5,42.3,9,2,2023,Preliminary Finals
9,10,Adam Cerra,MID,10,11,4,4,47.6,8,0,2023,Preliminary Finals
10,10,Oscar McInerney,RUC,10,3,2,2,76.9,3,1,2023,Preliminary Finals
11,10,Steele Sidebottom,MID,10,15,6,7,40,9,1,2023,Preliminary Finals
12,13,Zac Bailey,FWD,9,11,0,7,45,6,1,2023,Preliminary Finals
13,13,Jack Crisp,MID,9,11,3,7,45,6,1,2023,Preliminary Finals
14,13,Nick Daicos,MID,9,17,4,5,34.6,7,1,2023,Preliminary Finals
15,13,George Hewett,MID,9,12,3,4,42.9,7,0,2023,Preliminary Finals
16,13,Harry McKay,KEYF,9,2,0,4,81.8,1,1,2023,Preliminary Finals
17,13,Scott Pendlebury,MID,9,15,6,7,37.5,8,0,2023,Preliminary Finals
18,19,Kieren Briggs,RUC,8,2,3,3,80,2,0,2023,Preliminary Finals
19,19,Callum M. Brown,FWD,8,7,2,1,53.3,5,2,2023,Preliminary Finals
20,19,Darcy Cameron,RUC,8,7,6,2,53.3,3,1,2023,Preliminary Finals
21,19,Jesse Hogan,KEYF,8,5,3,1,61.5,3,0,2023,Preliminary Finals
22,19,Lincoln McCarthy,FWD,8,7,3,5,53.3,8,2,2023,Preliminary Finals
23,19,Mitch McGovern,DEF,8,10,9,5,44.4,6,0,2023,Preliminary Finals
24,25,Harris Andrews,KEYD,7,3,6,3,70,4,0,2023,Preliminary Finals
25,25,Finn Callaghan,MID,7,14,3,2,33.3,6,0,2023,Preliminary Finals
26,25,Stephen Coniglio,MID,7,18,2,7,28,7,1,2023,Preliminary Finals
27,25,Harry Himmelberg,KEYD,7,9,8,1,43.8,5,0,2023,Preliminary Finals
28,25,Caleb Marchbank,KEYD,7,13,10,4,35,5,0,2023,Preliminary Finals
29,25,Jack Martin,FWD,7,4,1,2,63.6,6,3,2023,Preliminary Finals
30,25,Nic Newman,DEF,7,16,8,5,30.4,7,0,2023,Preliminary Finals
31,25,Callan Ward,MID,7,5,1,3,58.3,7,0,2023,Preliminary Finals
32,25,Lachie Whitfield,DEF,7,13,7,6,35,7,0,2023,Preliminary Finals
33,34,Jack Buckley,KEYD,6,10,6,0,37.5,5,0,2023,Preliminary Finals
34,34,Isaac Cumming,DEF,6,7,5,3,46.2,4,1,2023,Preliminary Finals
35,34,Josh Daicos,MID,6,12,3,7,33.3,4,0,2023,Preliminary Finals
36,34,Brent Daniels,FWD,6,12,0,3,33.3,3,2,2023,Preliminary Finals
37,34,Joe Daniher,KEYF,6,8,0,6,42.9,4,1,2023,Preliminary Finals
38,34,Toby Greene,FWD,6,11,0,5,35.3,4,3,2023,Preliminary Finals
39,34,Eric Hipwood,KEYF,6,6,2,2,50,3,1,2023,Preliminary Finals
40,34,Oliver Hollands,MID,6,6,3,2,50,5,0,2023,Preliminary Finals
41,34,Connor Idun,DEF,6,10,8,1,37.5,6,0,2023,Preliminary Finals
42,34,Hugh McCluggage,MID,6,10,5,1,37.5,5,1,2023,Preliminary Finals
43,34,Conor McKenna,DEF,6,11,6,5,35.3,4,1,2023,Preliminary Finals
44,34,Nathan Murphy,KEYD,6,5,8,4,54.5,5,0,2023,Preliminary Finals
45,34,Marc Pittonet,RUC,6,2,2,2,75,3,0,2023,Preliminary Finals
