,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Joel Selwood,MID,19,17,5,8,52.8,10,1,2017,Preliminary Finals
1,2,Trent Cotchin,MID,17,9,6,8,65.4,11,5,2017,Preliminary Finals
2,2,Brad Crouch,MID,17,12,0,4,58.6,10,3,2017,Preliminary Finals
3,4,Matt Crouch,MID,16,15,6,2,51.6,13,2,2017,Preliminary Finals
4,5,Patrick Dangerfield,MID,14,12,1,3,53.8,8,1,2017,Preliminary Finals
5,6,Jacob Hopper,MID,13,15,3,6,46.4,12,2,2017,Preliminary Finals
6,6,Dustin Martin,MID,13,8,2,3,61.9,11,7,2017,Preliminary Finals
7,8,Rory Sloane,MID,12,10,1,3,54.5,6,1,2017,Preliminary Finals
8,9,Callan Ward,MID,11,12,1,6,47.8,7,1,2017,Preliminary Finals
9,10,Mitch Duncan,MID,10,15,2,6,40,5,0,2017,Preliminary Finals
10,10,Shane Edwards,FWD,10,10,2,4,50,10,5,2017,Preliminary Finals
11,10,Nick Haynes,DEF,10,10,11,4,50,8,0,2017,Preliminary Finals
12,10,Josh Kelly,MID,10,19,4,8,34.5,6,0,2017,Preliminary Finals
13,10,Rory Laird,DEF,10,22,7,3,31.3,8,0,2017,Preliminary Finals
14,10,Tom Scully,MID,10,15,2,2,40,6,3,2017,Preliminary Finals
15,10,Lachie Whitfield,MID,10,10,3,3,50,7,1,2017,Preliminary Finals
16,17,Charles Cameron,FWD,9,11,3,3,45,7,1,2017,Preliminary Finals
17,17,Jason Castagna,FWD,9,8,1,7,52.9,6,1,2017,Preliminary Finals
18,17,Stephen Coniglio,MID,9,15,4,4,37.5,5,1,2017,Preliminary Finals
19,17,Kane Lambert,FWD,9,13,4,4,40.9,8,0,2017,Preliminary Finals
20,17,Jonathon Patton,KEYF,9,12,2,3,42.9,6,3,2017,Preliminary Finals
21,17,Dion Prestia,MID,9,12,1,3,42.9,7,0,2017,Preliminary Finals
22,23,Richard Douglas,MID,8,11,1,2,42.1,4,2,2017,Preliminary Finals
23,23,Toby Greene,FWD,8,9,2,2,47.1,7,2,2017,Preliminary Finals
24,23,Jake Lever,KEYD,8,10,7,2,44.4,4,0,2017,Preliminary Finals
25,23,Sam Menegola,FWD,8,15,2,7,34.8,6,0,2017,Preliminary Finals
26,27,Shaun Grigg,MID,7,9,4,2,43.8,5,1,2017,Preliminary Finals
27,27,Sam Jacobs,RUC,7,9,0,0,43.8,5,0,2017,Preliminary Finals
28,27,Andrew Mackie,DEF,7,13,5,3,35,6,0,2017,Preliminary Finals
29,27,Kamdyn McIntosh,MID,7,8,5,4,46.7,7,1,2017,Preliminary Finals
30,27,Alex Rance,KEYD,7,10,11,4,41.2,1,0,2017,Preliminary Finals
31,27,Zac Smith,RUC,7,2,4,0,77.8,6,1,2017,Preliminary Finals
32,27,Adam Tomlinson,KEYD,7,19,9,7,26.9,4,0,2017,Preliminary Finals
33,27,Matt de Boer,FWD,7,10,2,3,41.2,7,1,2017,Preliminary Finals
34,35,Eddie Betts,FWD,6,8,1,4,42.9,6,4,2017,Preliminary Finals
35,35,Jed Bews,DEF,6,8,4,3,42.9,5,0,2017,Preliminary Finals
36,35,Dan Butler,FWD,6,1,3,2,85.7,5,3,2017,Preliminary Finals
37,35,Josh Caddy,FWD,6,9,3,3,40,5,1,2017,Preliminary Finals
38,35,Brett Deledio,FWD,6,6,4,3,50,3,0,2017,Preliminary Finals
39,35,Jack Graham,MID,6,8,4,2,42.9,3,0,2017,Preliminary Finals
40,35,Harry Himmelberg,KEYF,6,4,1,1,60,1,0,2017,Preliminary Finals
41,35,Jake Kolodjashnij,DEF,6,10,1,3,37.5,5,2,2017,Preliminary Finals
42,35,Darcy Lang,FWD,6,7,0,3,46.2,1,1,2017,Preliminary Finals
43,35,Rory Lobb,KEYF,6,5,3,3,54.5,1,0,2017,Preliminary Finals
44,35,David Mackay,MID,6,12,7,1,33.3,6,0,2017,Preliminary Finals
45,35,Daniel Menzel,FWD,6,3,2,2,66.7,3,2,2017,Preliminary Finals
46,35,Steven Motlop,FWD,6,20,2,1,23.1,5,0,2017,Preliminary Finals
47,35,Daniel Rioli,FWD,6,10,3,0,37.5,2,0,2017,Preliminary Finals
48,35,Tim Taranto,FWD,6,9,1,6,40,6,1,2017,Preliminary Finals
49,35,Harry Taylor,KEYF,6,5,4,2,54.5,4,2,2017,Preliminary Finals
50,35,Nick Vlastuin,DEF,6,6,7,7,50,4,0,2017,Preliminary Finals
51,52,Mark Blicavs,MID,5,8,3,1,38.5,2,0,2017,Preliminary Finals
52,52,Phil Davis,KEYD,5,8,7,2,38.5,3,1,2017,Preliminary Finals
53,52,Dylan Grimes,DEF,5,5,5,2,50,5,0,2017,Preliminary Finals
54,52,Lachie Henderson,KEYD,5,9,9,2,35.7,3,0,2017,Preliminary Finals
55,52,Steve Johnson,FWD,5,11,0,4,31.3,3,2,2017,Preliminary Finals
56,52,Riley Knight,FWD,5,10,0,4,33.3,2,0,2017,Preliminary Finals
57,52,Tom Lynch,FWD,5,16,2,6,23.8,5,3,2017,Preliminary Finals
58,52,Toby Nankervis,RUC,5,5,6,2,50,2,1,2017,Preliminary Finals
59,52,Andy Otten,KEYF,5,7,2,2,41.7,3,1,2017,Preliminary Finals
60,52,Paul Seedsman,MID,5,13,2,4,27.8,4,1,2017,Preliminary Finals
61,52,Scott Selwood,MID,5,8,3,2,38.5,2,0,2017,Preliminary Finals
62,52,Rhys Stanley,RUC,5,6,2,2,45.5,3,2,2017,Preliminary Finals
63,52,Daniel Talia,KEYD,5,6,6,2,45.5,3,0,2017,Preliminary Finals
64,52,Jacob Townsend,FWD,5,4,2,2,55.6,3,1,2017,Preliminary Finals
65,52,Zac Williams,DEF,5,15,4,6,25,4,0,2017,Preliminary Finals
66,67,David Astbury,KEYD,4,8,6,2,33.3,2,0,2017,Preliminary Finals
67,67,Nakia Cockatoo,FWD,4,5,0,1,44.4,2,0,2017,Preliminary Finals
68,67,Kyle Hartigan,KEYD,4,9,4,4,30.8,2,0,2017,Preliminary Finals
69,67,Tom Hawkins,KEYF,4,4,1,2,50,3,1,2017,Preliminary Finals
70,67,Bachar Houli,DEF,4,16,3,5,20,3,0,2017,Preliminary Finals
71,67,Brandan Parfitt,FWD,4,7,1,4,36.4,3,2,2017,Preliminary Finals
72,67,Heath Shaw,DEF,4,13,7,3,23.5,3,0,2017,Preliminary Finals
73,67,Taylor Walker,KEYF,4,10,2,0,28.6,2,2,2017,Preliminary Finals
74,67,Nathan Wilson,DEF,4,6,5,4,40,2,0,2017,Preliminary Finals
75,76,Luke Brown,DEF,3,8,3,3,27.3,3,0,2017,Preliminary Finals
76,76,Aidan Corr,KEYD,3,5,3,2,37.5,3,0,2017,Preliminary Finals
77,76,Brandon Ellis,DEF,3,10,4,4,23.1,3,0,2017,Preliminary Finals
78,76,Hugh Greenwood,MID,3,3,1,1,50,2,0,2017,Preliminary Finals
79,76,Jack Riewoldt,KEYF,3,6,0,6,33.3,2,1,2017,Preliminary Finals
80,76,Tom Stewart,DEF,3,10,3,2,23.1,2,0,2017,Preliminary Finals
81,82,Tom Lonergan,KEYD,2,8,4,1,20,2,0,2017,Preliminary Finals
82,82,Dylan Shiel,MID,2,5,1,1,28.6,1,0,2017,Preliminary Finals
83,84,Rory Atkins,MID,1,18,3,3,5.3,1,0,2017,Preliminary Finals
84,84,Josh Jenkins,KEYF,1,16,1,5,5.9,0,0,2017,Preliminary Finals
85,84,Zach Tuohy,DEF,1,19,3,2,5,1,0,2017,Preliminary Finals
86,87,Nathan Broad,DEF,0,6,1,3,0,0,0,2017,Preliminary Finals
87,87,Jake Kelly,DEF,0,12,1,2,0,0,0,2017,Preliminary Finals
