,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Taylor Adams,MID,19,12,2,3,0,0,0,2018,Grand Final
1,1,Luke Shuey,MID,19,18,5,6,0,0,0,2018,Grand Final
2,3,Dom Sheed,MID,15,18,4,5,0,0,0,2018,Grand Final
3,4,Brayden Sier,MID,14,6,4,6,0,0,0,2018,Grand Final
4,4,Adam Treloar,MID,14,13,3,7,0,0,0,2018,Grand Final
5,4,Elliot Yeo,MID,14,7,8,3,0,0,0,2018,Grand Final
6,7,Scott Pendlebury,MID,13,8,3,5,0,0,0,2018,Grand Final
7,8,Tom Langdon,DEF,11,11,9,4,0,0,0,2018,Grand Final
8,8,Jack Redden,MID,11,14,5,2,0,0,0,2018,Grand Final
9,10,Brodie Grundy,RUC,10,3,1,3,0,0,0,2018,Grand Final
10,11,Nathan Vardy,RUC,9,5,0,2,0,0,0,2018,Grand Final
11,12,Jack Crisp,DEF,8,18,7,7,0,0,0,2018,Grand Final
12,12,Jack Darling,KEYF,8,6,0,3,0,0,0,2018,Grand Final
13,14,Tom Barrass,KEYD,7,10,9,3,0,0,0,2018,Grand Final
14,14,Jordan De Goey,FWD,7,8,2,1,0,0,0,2018,Grand Final
15,14,Mark LeCras,FWD,7,4,2,0,0,0,0,2018,Grand Final
16,14,Scott Lycett,RUC,7,4,2,1,0,0,0,2018,Grand Final
17,14,Chris Mayne,MID,7,8,6,0,0,0,0,2018,Grand Final
18,14,Tom Phillips,MID,7,14,2,7,0,0,0,2018,Grand Final
19,14,Willie Rioli,FWD,7,6,2,2,0,0,0,2018,Grand Final
20,21,Mason Cox,KEYF,6,4,1,4,0,0,0,2018,Grand Final
21,21,Jamie Cripps,FWD,6,11,1,5,0,0,0,2018,Grand Final
22,21,Tyson Goldsack,KEYD,6,4,6,1,0,0,0,2018,Grand Final
23,21,Mark Hutchings,MID,6,9,4,4,0,0,0,2018,Grand Final
24,21,Jeremy McGovern,KEYD,6,8,8,2,0,0,0,2018,Grand Final
25,21,Travis Varcoe,FWD,6,5,4,4,0,0,0,2018,Grand Final
26,27,Jeremy Howe,DEF,5,7,7,5,0,0,0,2018,Grand Final
27,27,Josh J. Kennedy,KEYF,5,14,1,5,0,0,0,2018,Grand Final
28,27,Will Schofield,KEYD,5,4,5,0,0,0,0,2018,Grand Final
29,27,Steele Sidebottom,MID,5,9,1,2,0,0,0,2018,Grand Final
30,27,Josh Thomas,FWD,5,9,0,3,0,0,0,2018,Grand Final
31,27,Daniel Venables,FWD,5,1,1,2,0,0,0,2018,Grand Final
32,33,James Aish,MID,4,4,4,2,0,0,0,2018,Grand Final
33,33,Tom Cole,DEF,4,8,9,2,0,0,0,2018,Grand Final
34,33,Will Hoskin-Elliott,FWD,4,13,1,3,0,0,0,2018,Grand Final
35,33,Shannon Hurn,DEF,4,13,7,7,0,0,0,2018,Grand Final
36,33,Lewis Jetta,DEF,4,8,4,3,0,0,0,2018,Grand Final
37,33,Chris Masten,MID,4,10,1,4,0,0,0,2018,Grand Final
38,33,Brody Mihocek,KEYF,4,9,3,6,0,0,0,2018,Grand Final
39,33,Liam Ryan,FWD,4,6,1,1,0,0,0,2018,Grand Final
40,41,Levi Greenwood,DEF,3,7,1,3,0,0,0,2018,Grand Final
41,41,Jaidyn Stephenson,FWD,3,5,1,2,0,0,0,2018,Grand Final
42,43,Liam Duggan,DEF,2,14,3,4,0,0,0,2018,Grand Final
43,44,Brayden Maynard,DEF,1,7,1,4,0,0,0,2018,Grand Final
