,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Tim Taranto,MID,15,18,6,6,45.5,11,0,2019,Grand Final
1,2,Dustin Martin,FWD,12,11,0,5,52.2,6,3,2019,Grand Final
2,3,Shane Edwards,DEF,11,9,4,3,55,7,0,2019,Grand Final
3,4,Josh Caddy,FWD,9,10,5,6,47.4,6,0,2019,Grand Final
4,4,Bachar Houli,DEF,9,17,9,2,34.6,5,0,2019,Grand Final
5,4,Kane Lambert,FWD,9,11,5,5,45,7,1,2019,Grand Final
6,7,Jacob Hopper,MID,8,11,2,6,42.1,6,1,2019,Grand Final
7,7,Daniel Lloyd,FWD,8,7,2,5,53.3,8,4,2019,Grand Final
8,7,Shane Mumford,RUC,8,2,2,1,80,5,0,2019,Grand Final
9,7,Toby Nankervis,RUC,8,9,2,1,47.1,3,0,2019,Grand Final
10,7,Harry Perryman,MID,8,15,4,6,34.8,6,1,2019,Grand Final
11,7,Marlion Pickett,MID,8,14,3,5,36.4,8,0,2019,Grand Final
12,7,Heath Shaw,DEF,8,21,5,4,27.6,4,0,2019,Grand Final
13,14,Jason Castagna,FWD,7,12,1,6,36.8,5,0,2019,Grand Final
14,14,Dion Prestia,MID,7,14,1,6,33.3,4,3,2019,Grand Final
15,14,Zac Williams,DEF,7,13,2,2,35,6,1,2019,Grand Final
16,17,Toby Greene,FWD,6,16,3,8,27.3,5,0,2019,Grand Final
17,17,Jack Riewoldt,KEYF,6,5,0,1,54.5,2,2,2019,Grand Final
18,17,Jayden Short,DEF,6,14,5,3,30,6,0,2019,Grand Final
19,17,Sam Taylor,KEYD,6,8,6,2,42.9,4,0,2019,Grand Final
20,17,Adam Tomlinson,MID,6,11,5,3,35.3,6,0,2019,Grand Final
21,22,Liam Baker,DEF,5,6,5,1,45.5,5,0,2019,Grand Final
22,22,Trent Cotchin,MID,5,10,2,1,33.3,2,0,2019,Grand Final
23,22,Tom J. Lynch,KEYF,5,8,3,4,38.5,2,0,2019,Grand Final
24,22,Sam J. Reid,DEF,5,6,5,2,45.5,5,0,2019,Grand Final
25,22,Ivan Soldo,RUC,5,3,3,1,62.5,2,0,2019,Grand Final
26,27,Jeremy Cameron,KEYF,4,8,1,4,33.3,2,1,2019,Grand Final
27,27,Dylan Grimes,KEYD,4,12,5,1,25,2,0,2019,Grand Final
28,27,Nick Haynes,DEF,4,18,6,4,18.2,1,0,2019,Grand Final
29,27,Josh Kelly,MID,4,12,1,2,25,2,0,2019,Grand Final
30,27,Adam Kennedy,DEF,4,8,5,0,33.3,3,0,2019,Grand Final
31,27,Daniel Rioli,FWD,4,7,0,2,36.4,4,1,2019,Grand Final
32,27,Lachie Whitfield,FWD,4,9,1,5,30.8,4,2,2019,Grand Final
33,34,David Astbury,KEYD,3,8,6,1,27.3,1,0,2019,Grand Final
34,34,Shai Bolton,FWD,3,8,1,4,27.3,3,1,2019,Grand Final
35,34,Harry Himmelberg,KEYF,3,9,2,4,25,1,0,2019,Grand Final
36,34,Nick Vlastuin,DEF,3,18,5,2,14.3,2,0,2019,Grand Final
37,38,Nathan Broad,DEF,2,12,4,1,14.3,1,0,2019,Grand Final
38,38,Brent Daniels,FWD,2,12,0,4,14.3,0,0,2019,Grand Final
39,38,Phil Davis,KEYD,2,13,5,0,13.3,2,0,2019,Grand Final
40,38,Brandon Ellis,MID,2,8,3,3,20,1,0,2019,Grand Final
41,42,Aidan Corr,KEYD,1,10,2,3,9.1,1,0,2019,Grand Final
42,42,Jeremy Finlayson,KEYF,1,1,0,1,50,0,0,2019,Grand Final
43,42,Matt de Boer,MID,1,10,0,1,9.1,1,0,2019,Grand Final
