,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Josh P. Kennedy,MID,24,5,6,4,82.8,18,6,2013,Round 1
1,2,Gary Ablett,MID,19,15,3,8,55.9,16,1,2013,Round 1
2,3,Scott Pendlebury,MID,18,12,4,5,60,10,1,2013,Round 1
3,4,Matthew Priddis,MID,17,11,4,4,60.7,13,2,2013,Round 1
4,4,Dylan Shiel,MID,17,9,3,3,65.4,12,2,2013,Round 1
5,6,Trent Cotchin,MID,16,15,7,8,51.6,14,1,2013,Round 1
6,6,Bryce Gibbs,MID,16,18,3,5,47.1,11,0,2013,Round 1
7,6,Tom Liberatore,MID,16,11,2,7,59.3,11,1,2013,Round 1
8,6,Adam Treloar,MID,16,10,5,4,61.5,13,3,2013,Round 1
9,6,Jack Viney,MID,16,7,2,4,69.6,10,1,2013,Round 1
10,6,Ollie Wines,MID,16,11,5,4,59.3,9,0,2013,Round 1
11,12,Jack Grimes,MID,15,12,7,3,55.6,8,1,2013,Round 1
12,12,Danyle Pearce,MID,15,9,5,4,62.5,13,3,2013,Round 1
13,12,Paul Puopolo,FWD,15,13,6,5,53.6,6,2,2013,Round 1
14,12,Scott Thompson,MID,15,9,2,3,62.5,9,1,2013,Round 1
15,12,Shane Tuck,MID,15,13,2,5,53.6,8,1,2013,Round 1
16,17,Michael Barlow,MID,14,12,4,3,53.8,13,2,2013,Round 1
17,17,Travis Boak,MID,14,12,3,7,53.8,5,0,2013,Round 1
18,17,Clinton Jones,MID,14,9,5,3,60.9,11,2,2013,Round 1
19,17,Nathan Jones,MID,14,6,1,2,70,8,0,2013,Round 1
20,17,Josh J. Kennedy,KEYF,14,5,5,9,73.7,8,3,2013,Round 1
21,17,Will Minson,RUC,14,5,1,6,73.7,5,0,2013,Round 1
22,17,David Mundy,MID,14,13,3,7,51.9,9,0,2013,Round 1
23,17,Ryan O'Keefe,MID,14,13,6,4,51.9,9,1,2013,Round 1
24,17,Brad Sewell,MID,14,19,9,11,42.4,14,2,2013,Round 1
25,17,David Swallow,DEF,14,6,3,4,70,9,1,2013,Round 1
26,27,Stephen Coniglio,MID,13,9,2,3,59.1,10,4,2013,Round 1
27,27,Ben Cunnington,MID,13,12,1,3,52,7,1,2013,Round 1
28,27,Nat Fyfe,MID,13,11,6,6,54.2,8,0,2013,Round 1
29,27,Sam Mitchell,MID,13,24,7,6,35.1,10,0,2013,Round 1
30,27,Brent Moloney,MID,13,10,3,7,56.5,8,0,2013,Round 1
31,27,Shane Mumford,RUC,13,3,1,5,81.3,4,1,2013,Round 1
32,27,Cyril Rioli,FWD,13,10,1,3,56.5,6,3,2013,Round 1
33,27,Andrew Swallow,MID,13,19,6,5,40.6,9,1,2013,Round 1
34,27,Dane Swan,MID,13,19,6,5,40.6,9,1,2013,Round 1
35,27,Jack Ziebell,MID,13,6,1,5,68.4,9,1,2013,Round 1
36,37,Eddie Betts,FWD,12,7,7,5,63.2,10,3,2013,Round 1
37,37,Jared Brennan,MID,12,5,1,3,70.6,10,0,2013,Round 1
