,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Josh P. Kennedy,MID,21,14,6,4,60,12,1,2012,Finals Week 1
1,2,Ryan O'Keefe,MID,18,20,8,9,47.4,10,3,2012,Finals Week 1
2,2,Andrew Swallow,MID,18,14,2,5,56.3,11,1,2012,Finals Week 1
3,2,Jack Ziebell,MID,18,14,3,5,56.3,12,1,2012,Finals Week 1
4,5,Jimmy Bartel,MID,17,12,6,8,58.6,10,1,2012,Finals Week 1
5,5,Sam Mitchell,MID,17,13,4,4,56.7,9,0,2012,Finals Week 1
6,5,Brad Sewell,MID,17,17,6,7,50,13,1,2012,Finals Week 1
7,5,Dane Swan,MID,17,10,5,6,63,11,2,2012,Finals Week 1
8,5,Scott Thompson,MID,17,11,6,6,60.7,11,3,2012,Finals Week 1
9,10,Ben Cunnington,MID,16,7,5,3,69.6,13,1,2012,Finals Week 1
10,10,Scott Pendlebury,MID,16,13,3,6,55.2,9,1,2012,Finals Week 1
11,12,Corey Enright,DEF,15,11,12,5,57.7,14,0,2012,Finals Week 1
12,12,Daniel Kerr,MID,15,12,4,6,55.6,8,2,2012,Finals Week 1
13,12,Rory Sloane,MID,15,11,7,6,57.7,11,1,2012,Finals Week 1
14,15,Travis Cloke,KEYF,14,4,2,4,77.8,5,3,2012,Finals Week 1
15,15,Liam Shiels,MID,14,6,3,3,70,12,4,2012,Finals Week 1
16,17,Nat Fyfe,MID,13,7,3,1,65,10,0,2012,Finals Week 1
17,17,Joel Selwood,MID,13,13,3,5,50,8,0,2012,Finals Week 1
18,17,Steele Sidebottom,MID,13,17,2,3,43.3,11,0,2012,Finals Week 1
19,20,Joel Corey,MID,12,9,4,3,57.1,8,0,2012,Finals Week 1
20,20,Shannon Hurn,DEF,12,6,13,3,66.7,7,0,2012,Finals Week 1
21,20,James Kelly,MID,12,5,3,2,70.6,11,2,2012,Finals Week 1
22,23,Michael Barlow,MID,11,16,3,6,40.7,9,0,2012,Finals Week 1
23,23,Dayne Beams,MID,11,18,2,7,37.9,9,0,2012,Finals Week 1
24,23,Xavier Ellis,MID,11,9,3,4,55,7,2,2012,Finals Week 1
25,23,Lance Franklin,KEYF,11,8,2,4,57.9,5,4,2012,Finals Week 1
26,23,Matthew Priddis,MID,11,18,1,4,37.9,3,0,2012,Finals Week 1
27,28,Jarryd Blair,FWD,10,6,3,4,62.5,9,1,2012,Finals Week 1
28,28,Sam Butler,DEF,10,13,10,2,43.5,7,0,2012,Finals Week 1
29,28,Paul Chapman,FWD,10,7,1,7,58.8,6,1,2012,Finals Week 1
30,28,Patrick Dangerfield,MID,10,10,3,7,50,6,0,2012,Finals Week 1
31,28,Stephen Hill,MID,10,11,4,7,47.6,6,1,2012,Finals Week 1
32,28,Kieren Jack,MID,10,11,2,5,47.6,7,1,2012,Finals Week 1
33,28,David Mackay,MID,10,13,9,6,43.5,8,1,2012,Finals Week 1
34,28,David Mundy,MID,10,12,1,3,45.5,6,2,2012,Finals Week 1
35,28,Nic Naitanui,RUC,10,3,2,2,76.9,6,0,2012,Finals Week 1
36,28,James Podsiadly,KEYF,10,3,7,5,76.9,7,1,2012,Finals Week 1
37,28,Luke Shuey,MID,10,11,3,1,47.6,5,1,2012,Finals Week 1
38,28,Scott D. Thompson,KEYD,10,9,8,5,52.6,8,0,2012,Finals Week 1
39,28,Matthew Wright,FWD,10,9,3,4,52.6,6,0,2012,Finals Week 1
40,41,Luke Breust,FWD,9,10,1,4,47.4,9,2,2012,Finals Week 1
41,41,Josh Gibson,KEYD,9,10,14,3,47.4,9,0,2012,Finals Week 1
42,41,Ben Reid,KEYD,9,11,9,4,45,4,0,2012,Finals Week 1
43,41,Ben Rutten,KEYD,9,7,11,4,56.3,6,0,2012,Finals Week 1
44,41,Aaron Sandilands,RUC,9,2,4,1,81.8,7,0,2012,Finals Week 1
45,41,Mathew Stokes,FWD,9,7,2,2,56.3,8,4,2012,Finals Week 1
46,41,Harry Taylor,KEYD,9,4,6,1,69.2,7,0,2012,Finals Week 1
47,41,Bernie Vince,MID,9,14,3,3,39.1,5,1,2012,Finals Week 1
48,49,Hayden Ballantyne,FWD,8,6,1,1,57.1,6,3,2012,Finals Week 1
49,49,Chris Dawes,KEYF,8,13,4,4,38.1,7,2,2012,Finals Week 1
50,49,Paul Duffield,DEF,8,11,8,6,42.1,7,0,2012,Finals Week 1
51,49,Andrew Gaff,MID,8,18,3,7,30.8,6,1,2012,Finals Week 1
52,49,Darren Glass,KEYD,8,9,9,3,47.1,4,0,2012,Finals Week 1
53,49,Adam Goodes,FWD,8,15,1,4,34.8,6,2,2012,Finals Week 1
54,49,Jack Gunston,FWD,8,9,1,4,47.1,6,3,2012,Finals Week 1
55,49,Taylor Hunt,MID,8,10,4,4,44.4,7,1,2012,Finals Week 1
56,49,Drew Petrie,KEYF,8,5,3,3,61.5,5,0,2012,Finals Week 1
57,49,Ted Richards,KEYD,8,13,9,3,38.1,4,0,2012,Finals Week 1
58,49,Scott Selwood,MID,8,21,0,2,27.6,4,0,2012,Finals Week 1
59,49,Dale Thomas,FWD,8,11,2,1,42.1,6,1,2012,Finals Week 1
60,49,Daniel Wells,MID,8,7,0,4,53.3,6,1,2012,Finals Week 1
61,49,Trent West,RUC,8,4,4,1,66.7,3,0,2012,Finals Week 1
62,49,Matt de Boer,FWD,8,9,3,2,47.1,8,2,2012,Finals Week 1
63,64,Craig Bird,FWD,7,10,2,2,41.2,6,1,2012,Finals Week 1
64,64,Jude Bolton,FWD,7,8,1,3,46.7,6,3,2012,Finals Week 1
65,64,Ryan Crowley,MID,7,8,3,3,46.7,5,0,2012,Finals Week 1
66,64,Michael Doughty,DEF,7,18,10,4,28,6,1,2012,Finals Week 1
67,64,Mitch Duncan,MID,7,11,3,5,38.9,5,1,2012,Finals Week 1
68,64,Dan Hannebery,MID,7,20,3,8,25.9,6,0,2012,Finals Week 1
69,64,Garrick Ibbotson,DEF,7,7,4,3,50,7,0,2012,Finals Week 1
70,64,Chris Masten,MID,7,18,2,3,28,5,1,2012,Finals Week 1
71,64,Nick Maxwell,DEF,7,4,6,7,63.6,5,0,2012,Finals Week 1
72,64,Chris Mayne,FWD,7,8,3,4,46.7,6,4,2012,Finals Week 1
73,64,Jarrad McVeigh,MID,7,17,4,5,29.2,4,0,2012,Finals Week 1
74,64,Mitch Morton,FWD,7,7,0,3,50,5,2,2012,Finals Week 1
75,64,Sam Reid,KEYF,7,4,4,3,63.6,6,1,2012,Finals Week 1
76,64,Brent Reilly,DEF,7,16,12,5,30.4,3,0,2012,Finals Week 1
77,64,Isaac Smith,MID,7,9,2,3,43.8,4,1,2012,Finals Week 1
