,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Ben Cunnington,MID,20,14,4,5,58.8,14,3,2013,Round 18
1,1,Matthew Priddis,MID,20,9,5,5,69,12,0,2013,Round 18
2,3,Dayne Beams,MID,17,21,2,3,44.7,14,1,2013,Round 18
3,3,Toby Greene,MID,17,9,4,8,65.4,11,0,2013,Round 18
4,3,Rory Sloane,MID,17,13,4,1,56.7,12,0,2013,Round 18
5,6,Luke Dahlhaus,FWD,16,13,2,6,55.2,15,3,2013,Round 18
6,7,Taylor Adams,MID,15,9,5,4,62.5,12,1,2013,Round 18
7,7,Mark Hutchings,MID,15,12,7,7,55.6,11,1,2013,Round 18
8,7,Steve Johnson,MID,15,15,5,7,50,11,4,2013,Round 18
9,7,Chris Judd,MID,15,4,2,2,78.9,8,2,2013,Round 18
10,7,Jaeger O'Meara,MID,15,10,2,2,60,11,2,2013,Round 18
11,12,Sam Gibson,MID,14,14,4,4,50,11,3,2013,Round 18
12,12,Leigh Montagna,MID,14,24,1,5,36.8,10,0,2013,Round 18
13,12,Ryan O'Keefe,MID,14,15,5,4,48.3,10,2,2013,Round 18
14,15,James Kelly,MID,13,9,2,2,59.1,10,1,2013,Round 18
15,15,Shane Mumford,RUC,13,5,6,1,72.2,10,2,2013,Round 18
16,15,David Mundy,MID,13,12,3,4,52,9,1,2013,Round 18
17,15,Dane Swan,MID,13,25,9,4,34.2,9,2,2013,Round 18
18,19,Gary Ablett,MID,12,19,0,8,38.7,10,0,2013,Round 18
19,19,Michael Barlow,MID,12,15,4,4,44.4,9,1,2013,Round 18
20,19,Craig Bird,FWD,12,9,3,6,57.1,8,3,2013,Round 18
21,19,Trent Cotchin,MID,12,18,0,3,40,9,1,2013,Round 18
22,19,Charlie Dixon,KEYF,12,6,1,4,66.7,5,1,2013,Round 18
23,19,Ryan Griffen,MID,12,19,4,6,38.7,7,0,2013,Round 18
24,19,Dan Hannebery,MID,12,13,4,4,48,11,1,2013,Round 18
25,19,Lenny Hayes,MID,12,10,8,2,54.5,10,1,2013,Round 18
26,19,Brent Moloney,MID,12,9,2,8,57.1,8,1,2013,Round 18
27,19,Tom Rockliff,MID,12,16,1,6,42.9,9,0,2013,Round 18
28,19,Brad Sewell,MID,12,13,3,4,48,10,0,2013,Round 18
29,19,Jack Steven,MID,12,22,2,12,35.3,8,1,2013,Round 18
30,19,Jarrod Witts,RUC,12,6,1,3,66.7,10,2,2013,Round 18
31,32,Ryan Bastinac,MID,11,8,2,0,57.9,7,4,2013,Round 18
32,32,Jarryd Blair,FWD,11,8,1,1,57.9,7,2,2013,Round 18
33,32,Nathan Foley,MID,11,10,3,1,52.4,8,3,2013,Round 18
34,32,Max Gawn,RUC,11,6,7,1,64.7,4,0,2013,Round 18
35,32,Jake Melksham,MID,11,13,2,5,45.8,8,1,2013,Round 18
36,32,Will Minson,RUC,11,12,3,6,47.8,7,0,2013,Round 18
37,32,Kane Mitchell,MID,11,11,1,2,50,4,0,2013,Round 18
38,32,Lachie Neale,MID,11,16,1,1,40.7,7,1,2013,Round 18
39,32,Paul Puopolo,FWD,11,12,1,6,47.8,10,4,2013,Round 18
40,32,Jay Schulz,KEYF,11,9,2,4,55,7,4,2013,Round 18
41,32,Nick Smith,DEF,11,9,8,4,55,7,0,2013,Round 18
42,32,Scott Thompson,MID,11,10,1,5,52.4,9,1,2013,Round 18
43,32,Nathan Van Berlo,MID,11,9,3,6,55,8,1,2013,Round 18
44,32,Mitch Wallis,MID,11,14,5,0,44,9,1,2013,Round 18
45,32,Sharrod Wellingham,FWD,11,10,7,4,52.4,7,1,2013,Round 18
46,32,Chad Wingard,FWD,11,11,3,4,50,8,5,2013,Round 18
47,48,Leigh Adams,FWD,10,13,2,1,43.5,6,2,2013,Round 18
48,48,Tom Bellchambers,RUC,10,2,0,0,83.3,3,2,2013,Round 18
49,48,Travis Boak,MID,10,18,3,7,35.7,7,0,2013,Round 18
50,48,John Butcher,KEYF,10,3,1,2,76.9,7,2,2013,Round 18
51,48,Ed Curnow,MID,10,11,4,4,47.6,6,1,2013,Round 18
52,48,Bradd Dalziell,FWD,10,15,5,3,40,10,1,2013,Round 18
53,48,Josh Gibson,KEYD,10,14,8,0,41.7,8,0,2013,Round 18
54,48,Todd Goldstein,RUC,10,10,0,0,50,10,2,2013,Round 18
55,48,Luke Hodge,DEF,10,20,10,3,33.3,7,0,2013,Round 18
56,48,Ben Howlett,MID,10,5,3,5,66.7,7,0,2013,Round 18
57,48,Michael Hurley,KEYF,10,4,2,1,71.4,6,5,2013,Round 18
58,48,Nathan Jones,MID,10,14,2,3,41.7,9,0,2013,Round 18
59,48,Matthew Kreuzer,RUC,10,5,1,2,66.7,4,1,2013,Round 18
60,48,Brock McLean,MID,10,17,0,1,37,5,2,2013,Round 18
61,48,Scott Pendlebury,MID,10,15,4,2,40,8,1,2013,Round 18
62,48,Jack Redden,MID,10,13,7,0,43.5,8,0,2013,Round 18
63,48,Mitch Robinson,FWD,10,8,2,2,55.6,7,1,2013,Round 18
64,48,Joel Selwood,MID,10,22,2,2,31.3,5,2,2013,Round 18
65,48,Dylan Shiel,MID,10,15,1,5,40,10,0,2013,Round 18
66,48,Colin Sylvia,FWD,10,12,2,5,45.5,7,0,2013,Round 18
67,48,Shane Tuck,MID,10,10,3,5,50,6,1,2013,Round 18
68,48,Callan Ward,MID,10,22,7,1,31.3,8,0,2013,Round 18
69,48,Jesse White,KEYF,10,5,3,1,66.7,5,1,2013,Round 18
70,48,Ollie Wines,MID,10,10,4,6,50,7,0,2013,Round 18
