,Team1,Team2,Points1,Points2,Venue,Season,Round,Day,Date,Attendance,Winner1,Home/Away1,Home/Away2
0,Greater Western Sydney,Sydney,37.0,100.0,Stadium Australia,2012,Round 1,Sat,24-Mar-2012,38203.0,0,A,H
1,Richmond,Carlton,81.0,125.0,M.C.G.,2012,Round 1,Thu,29-Mar-2012,78285.0,0,H,H
2,Hawthorn,Collingwood,137.0,115.0,M.C.G.,2012,Round 1,Fri,30-Mar-2012,78466.0,1,H,H
3,Melbourne,Brisbane Lions,78.0,119.0,M.C.G.,2012,Round 1,Sat,31-Mar-2012,33473.0,0,H,A
4,Gold Coast,Adelaide,68.0,137.0,Carrara,2012,Round 1,Sat,31-Mar-2012,12790.0,0,H,A
5,Fremantle,Geelong,105.0,101.0,Subiaco,2012,Round 1,Sat,31-Mar-2012,34601.0,1,H,A
6,North Melbourne,Essendon,102.0,104.0,Docklands,2012,Round 1,Sat,31-Mar-2012,45818.0,0,H,H
7,Western Bulldogs,West Coast,87.0,136.0,Docklands,2012,Round 1,Sun,01-Apr-2012,24977.0,0,H,A
8,Port Adelaide,St Kilda,89.0,85.0,Football Park,2012,Round 1,Sun,01-Apr-2012,21179.0,1,H,A
9,Brisbane Lions,Carlton,63.0,154.0,Gabba,2012,Round 2,Thu,05-Apr-2012,25913.0,0,H,A
10,Essendon,Port Adelaide,111.0,86.0,Docklands,2012,Round 2,Sat,07-Apr-2012,34118.0,1,H,A
11,Sydney,Fremantle,94.0,81.0,S.C.G.,2012,Round 2,Sat,07-Apr-2012,22242.0,1,H,A
12,West Coast,Melbourne,166.0,58.0,Subiaco,2012,Round 2,Sat,07-Apr-2012,35674.0,1,H,A
13,Adelaide,Western Bulldogs,82.0,64.0,Football Park,2012,Round 2,Sat,07-Apr-2012,34021.0,1,H,A
14,Collingwood,Richmond,85.0,64.0,M.C.G.,2012,Round 2,Sat,07-Apr-2012,57268.0,1,H,H
15,North Melbourne,Greater Western Sydney,183.0,54.0,Bellerive Oval,2012,Round 2,Sun,08-Apr-2012,11127.0,1,H,A
16,St Kilda,Gold Coast,139.0,47.0,Docklands,2012,Round 2,Sun,08-Apr-2012,21078.0,1,H,A
17,Geelong,Hawthorn,92.0,90.0,M.C.G.,2012,Round 2,Mon,09-Apr-2012,69231.0,1,A,H
18,Carlton,Collingwood,122.0,62.0,M.C.G.,2012,Round 3,Fri,13-Apr-2012,84259.0,1,H,H
19,Richmond,Melbourne,133.0,74.0,M.C.G.,2012,Round 3,Sat,14-Apr-2012,49826.0,1,H,H
20,Port Adelaide,Sydney,83.0,105.0,Football Park,2012,Round 3,Sat,14-Apr-2012,19032.0,0,H,A
21,Fremantle,Brisbane Lions,64.0,35.0,Subiaco,2012,Round 3,Sat,14-Apr-2012,33473.0,1,H,A
22,Gold Coast,Essendon,88.0,105.0,Carrara,2012,Round 3,Sat,14-Apr-2012,17069.0,0,H,A
23,Western Bulldogs,St Kilda,40.0,103.0,Docklands,2012,Round 3,Sat,14-Apr-2012,28971.0,0,H,H
24,Greater Western Sydney,West Coast,69.0,150.0,Blacktown,2012,Round 3,Sun,15-Apr-2012,6875.0,0,A,A
25,Hawthorn,Adelaide,140.0,84.0,M.C.G.,2012,Round 3,Sun,15-Apr-2012,33524.0,1,H,A
26,North Melbourne,Geelong,131.0,114.0,Docklands,2012,Round 3,Sun,15-Apr-2012,29630.0,1,H,A
27,St Kilda,Fremantle,79.0,92.0,Docklands,2012,Round 4,Fri,20-Apr-2012,30172.0,0,H,A
28,Carlton,Essendon,79.0,109.0,M.C.G.,2012,Round 4,Sat,21-Apr-2012,73172.0,0,H,H
29,Collingwood,Port Adelaide,97.0,73.0,Docklands,2012,Round 4,Sat,21-Apr-2012,30741.0,1,A,A
30,Adelaide,Greater Western Sydney,96.0,50.0,Football Park,2012,Round 4,Sat,21-Apr-2012,28261.0,1,H,A
31,West Coast,Hawthorn,51.0,46.0,Subiaco,2012,Round 4,Sat,21-Apr-2012,40080.0,1,H,A
32,Brisbane Lions,Gold Coast,111.0,46.0,Gabba,2012,Round 4,Sat,21-Apr-2012,21980.0,1,H,A
33,Geelong,Richmond,75.0,65.0,Kardinia Park,2012,Round 4,Sun,22-Apr-2012,21952.0,1,H,A
34,Sydney,North Melbourne,113.0,77.0,S.C.G.,2012,Round 4,Sun,22-Apr-2012,21049.0,1,H,A
35,Melbourne,Western Bulldogs,67.0,88.0,M.C.G.,2012,Round 4,Sun,22-Apr-2012,33565.0,0,H,A
36,Collingwood,Essendon,80.0,79.0,M.C.G.,2012,Round 5,Wed,25-Apr-2012,86932.0,1,H,H
37,Fremantle,Carlton,57.0,65.0,Subiaco,2012,Round 5,Fri,27-Apr-2012,38847.0,0,H,A
38,Greater Western Sydney,Western Bulldogs,62.0,104.0,Manuka Oval,2012,Round 5,Sat,28-Apr-2012,9128.0,0,H,A
39,North Melbourne,Gold Coast,127.0,93.0,Docklands,2012,Round 5,Sat,28-Apr-2012,17680.0,1,H,A
40,Melbourne,St Kilda,66.0,84.0,M.C.G.,2012,Round 5,Sat,28-Apr-2012,24877.0,0,H,A
41,Brisbane Lions,Geelong,41.0,79.0,Gabba,2012,Round 5,Sat,28-Apr-2012,15534.0,0,H,A
42,Hawthorn,Sydney,69.0,106.0,York Park,2012,Round 5,Sun,29-Apr-2012,19217.0,0,H,A
43,Richmond,West Coast,97.0,107.0,Docklands,2012,Round 5,Sun,29-Apr-2012,28464.0,0,A,A
44,Adelaide,Port Adelaide,110.0,91.0,Football Park,2012,Round 5,Sun,29-Apr-2012,41649.0,1,H,H
45,Western Bulldogs,Collingwood,77.0,98.0,Docklands,2012,Round 6,Fri,04-May-2012,38155.0,0,H,A
46,Essendon,Brisbane Lions,129.0,62.0,Docklands,2012,Round 6,Sat,05-May-2012,36361.0,1,H,A
47,Geelong,Melbourne,119.0,76.0,Kardinia Park,2012,Round 6,Sat,05-May-2012,18010.0,1,H,A
48,Gold Coast,Fremantle,87.0,94.0,Carrara,2012,Round 6,Sat,05-May-2012,11670.0,0,H,A
49,Sydney,Adelaide,94.0,99.0,S.C.G.,2012,Round 6,Sat,05-May-2012,23969.0,0,H,A
50,St Kilda,Hawthorn,88.0,123.0,M.C.G.,2012,Round 6,Sat,05-May-2012,42290.0,0,A,H
51,Carlton,Greater Western Sydney,110.0,43.0,Docklands,2012,Round 6,Sun,06-May-2012,28213.0,1,H,A
52,Port Adelaide,Richmond,54.0,91.0,Football Park,2012,Round 6,Sun,06-May-2012,18522.0,0,H,A
53,West Coast,North Melbourne,120.0,95.0,Subiaco,2012,Round 6,Sun,06-May-2012,37202.0,1,H,A
54,Melbourne,Hawthorn,49.0,115.0,M.C.G.,2012,Round 7,Fri,11-May-2012,36430.0,0,H,H
55,Adelaide,Geelong,122.0,72.0,Football Park,2012,Round 7,Sat,12-May-2012,35535.0,1,H,A
56,Greater Western Sydney,Gold Coast,94.0,67.0,Manuka Oval,2012,Round 7,Sat,12-May-2012,8603.0,1,H,A
57,Richmond,Sydney,91.0,62.0,M.C.G.,2012,Round 7,Sat,12-May-2012,40352.0,1,H,A
58,Brisbane Lions,Collingwood,58.0,116.0,Gabba,2012,Round 7,Sat,12-May-2012,27926.0,0,H,A
59,Essendon,West Coast,113.0,52.0,Docklands,2012,Round 7,Sat,12-May-2012,43260.0,1,H,A
60,North Melbourne,Western Bulldogs,83.0,101.0,Docklands,2012,Round 7,Sun,13-May-2012,20885.0,0,H,H
61,Fremantle,Port Adelaide,87.0,47.0,Subiaco,2012,Round 7,Sun,13-May-2012,30079.0,1,H,A
62,St Kilda,Carlton,122.0,98.0,Docklands,2012,Round 7,Mon,14-May-2012,38823.0,1,H,H
63,Collingwood,Geelong,96.0,84.0,M.C.G.,2012,Round 8,Fri,18-May-2012,75650.0,1,H,A
64,Port Adelaide,North Melbourne,95.0,93.0,Football Park,2012,Round 8,Sat,19-May-2012,14508.0,1,H,A
65,Hawthorn,Fremantle,119.0,63.0,York Park,2012,Round 8,Sat,19-May-2012,12959.0,1,H,A
66,Sydney,Melbourne,138.0,37.0,S.C.G.,2012,Round 8,Sat,19-May-2012,20818.0,1,H,A
67,Western Bulldogs,Gold Coast,72.0,34.0,Marrara Oval,2012,Round 8,Sat,19-May-2012,8724.0,1,A,H
68,Essendon,Richmond,128.0,109.0,M.C.G.,2012,Round 8,Sat,19-May-2012,80900.0,1,H,H
69,Brisbane Lions,Greater Western Sydney,132.0,40.0,Gabba,2012,Round 8,Sun,20-May-2012,16049.0,1,H,A
70,Carlton,Adelaide,55.0,124.0,Docklands,2012,Round 8,Sun,20-May-2012,35917.0,0,H,A
71,West Coast,St Kilda,121.0,91.0,Subiaco,2012,Round 8,Sun,20-May-2012,38174.0,1,H,A
72,Western Bulldogs,Geelong,75.0,95.0,Docklands,2012,Round 9,Fri,25-May-2012,29118.0,0,H,A
73,Richmond,Hawthorn,137.0,75.0,M.C.G.,2012,Round 9,Sat,26-May-2012,51617.0,1,H,H
74,Gold Coast,Port Adelaide,70.0,118.0,Carrara,2012,Round 9,Sat,26-May-2012,12416.0,0,H,A
75,St Kilda,Sydney,111.0,83.0,Docklands,2012,Round 9,Sat,26-May-2012,34737.0,1,H,A
76,Adelaide,Collingwood,49.0,75.0,Football Park,2012,Round 9,Sat,26-May-2012,44238.0,0,H,A
77,Greater Western Sydney,Essendon,53.0,119.0,Sydney Showground,2012,Round 9,Sat,26-May-2012,11887.0,0,H,A
78,North Melbourne,Brisbane Lions,112.0,96.0,Docklands,2012,Round 9,Sun,27-May-2012,19988.0,1,H,A
79,Carlton,Melbourne,107.0,49.0,M.C.G.,2012,Round 9,Sun,27-May-2012,28371.0,1,H,H
80,West Coast,Fremantle,84.0,36.0,Subiaco,2012,Round 9,Sun,27-May-2012,40905.0,1,H,H
81,St Kilda,Richmond,113.0,121.0,Docklands,2012,Round 10,Fri,01-Jun-2012,49337.0,0,H,A
82,Geelong,Greater Western Sydney,126.0,61.0,Kardinia Park,2012,Round 10,Sat,02-Jun-2012,17243.0,1,H,A
83,Hawthorn,North Melbourne,174.0,59.0,York Park,2012,Round 10,Sat,02-Jun-2012,16143.0,1,H,A
84,Fremantle,Adelaide,82.0,111.0,Subiaco,2012,Round 10,Sat,02-Jun-2012,31392.0,0,H,A
85,Port Adelaide,Carlton,99.0,45.0,Football Park,2012,Round 10,Sat,02-Jun-2012,24746.0,1,H,A
86,Essendon,Melbourne,52.0,58.0,M.C.G.,2012,Round 10,Sat,02-Jun-2012,42987.0,0,H,H
87,Brisbane Lions,West Coast,102.0,100.0,Gabba,2012,Round 10,Sun,03-Jun-2012,15546.0,1,H,A
88,Sydney,Western Bulldogs,132.0,40.0,S.C.G.,2012,Round 10,Sun,03-Jun-2012,13505.0,1,H,A
89,Collingwood,Gold Coast,149.0,52.0,M.C.G.,2012,Round 10,Sun,03-Jun-2012,36913.0,1,H,A
90,Carlton,Geelong,85.0,97.0,Docklands,2012,Round 11,Fri,08-Jun-2012,47632.0,0,H,A
91,Richmond,Fremantle,66.0,78.0,M.C.G.,2012,Round 11,Sat,09-Jun-2012,43801.0,0,H,A
92,Gold Coast,St Kilda,49.0,144.0,Carrara,2012,Round 11,Sat,09-Jun-2012,12534.0,0,H,A
93,Essendon,Sydney,82.0,86.0,Docklands,2012,Round 11,Sat,09-Jun-2012,42785.0,0,H,A
94,Port Adelaide,Hawthorn,62.0,108.0,Football Park,2012,Round 11,Sun,10-Jun-2012,26638.0,0,H,A
95,Melbourne,Collingwood,87.0,129.0,M.C.G.,2012,Round 11,Mon,11-Jun-2012,64250.0,0,H,H
96,West Coast,Carlton,79.0,69.0,Subiaco,2012,Round 12,Thu,14-Jun-2012,34224.0,1,H,A
97,Adelaide,St Kilda,115.0,111.0,Football Park,2012,Round 12,Fri,15-Jun-2012,36394.0,1,H,A
98,Greater Western Sydney,Richmond,74.0,86.0,Sydney Showground,2012,Round 12,Sat,16-Jun-2012,7538.0,0,H,A
99,Gold Coast,North Melbourne,80.0,87.0,Carrara,2012,Round 12,Sat,16-Jun-2012,10170.0,0,H,A
100,Hawthorn,Brisbane Lions,135.0,70.0,M.C.G.,2012,Round 12,Sun,17-Jun-2012,35492.0,1,H,A
101,Western Bulldogs,Port Adelaide,95.0,57.0,Docklands,2012,Round 12,Sun,17-Jun-2012,16036.0,1,H,A
102,Sydney,Geelong,80.0,74.0,S.C.G.,2012,Round 13,Fri,22-Jun-2012,27400.0,1,H,A
103,Western Bulldogs,Brisbane Lions,56.0,114.0,Docklands,2012,Round 13,Sat,23-Jun-2012,20146.0,0,H,A
104,Collingwood,West Coast,85.0,82.0,M.C.G.,2012,Round 13,Sat,23-Jun-2012,62957.0,1,H,A
105,Fremantle,Essendon,89.0,113.0,Subiaco,2012,Round 13,Sat,23-Jun-2012,34567.0,0,H,A
106,Melbourne,Greater Western Sydney,135.0,57.0,M.C.G.,2012,Round 13,Sun,24-Jun-2012,20070.0,1,H,A
107,North Melbourne,Adelaide,121.0,89.0,Docklands,2012,Round 13,Sun,24-Jun-2012,18866.0,1,H,A
108,Carlton,Hawthorn,70.0,120.0,M.C.G.,2012,Round 14,Fri,29-Jun-2012,65047.0,0,H,H
109,Collingwood,Fremantle,107.0,78.0,M.C.G.,2012,Round 14,Sat,30-Jun-2012,44891.0,1,H,A
110,Adelaide,Richmond,106.0,87.0,Football Park,2012,Round 14,Sat,30-Jun-2012,33780.0,1,H,A
111,West Coast,Gold Coast,166.0,40.0,Subiaco,2012,Round 14,Sat,30-Jun-2012,34592.0,1,H,A
112,Essendon,Western Bulldogs,140.0,56.0,Docklands,2012,Round 14,Sat,30-Jun-2012,40824.0,1,H,H
113,Sydney,Greater Western Sydney,132.0,38.0,Stadium Australia,2012,Round 14,Sat,30-Jun-2012,22565.0,1,H,A
114,Geelong,Port Adelaide,99.0,61.0,Kardinia Park,2012,Round 14,Sun,01-Jul-2012,13736.0,1,H,A
115,Brisbane Lions,Melbourne,122.0,61.0,Gabba,2012,Round 14,Sun,01-Jul-2012,22144.0,1,H,A
116,St Kilda,North Melbourne,103.0,136.0,Docklands,2012,Round 14,Sun,01-Jul-2012,33106.0,0,H,H
117,Collingwood,Carlton,62.0,85.0,M.C.G.,2012,Round 15,Fri,06-Jul-2012,75890.0,0,H,H
118,North Melbourne,West Coast,84.0,86.0,Bellerive Oval,2012,Round 15,Sat,07-Jul-2012,14113.0,0,H,A
119,Melbourne,Richmond,78.0,101.0,M.C.G.,2012,Round 15,Sat,07-Jul-2012,46773.0,0,H,H
120,Sydney,Brisbane Lions,110.0,63.0,S.C.G.,2012,Round 15,Sat,07-Jul-2012,19419.0,1,H,A
121,Port Adelaide,Adelaide,58.0,116.0,Football Park,2012,Round 15,Sat,07-Jul-2012,34829.0,0,H,H
122,St Kilda,Essendon,133.0,62.0,Docklands,2012,Round 15,Sat,07-Jul-2012,45838.0,1,H,H
123,Hawthorn,Greater Western Sydney,193.0,31.0,M.C.G.,2012,Round 15,Sun,08-Jul-2012,26518.0,1,H,A
124,Gold Coast,Geelong,96.0,110.0,Carrara,2012,Round 15,Sun,08-Jul-2012,15824.0,0,H,A
125,Fremantle,Western Bulldogs,95.0,57.0,Subiaco,2012,Round 15,Sun,08-Jul-2012,30420.0,1,H,A
126,North Melbourne,Carlton,149.0,96.0,Docklands,2012,Round 16,Fri,13-Jul-2012,46423.0,1,H,H
127,Melbourne,Fremantle,83.0,117.0,Docklands,2012,Round 16,Sat,14-Jul-2012,13284.0,0,A,A
128,Port Adelaide,Essendon,77.0,127.0,Football Park,2012,Round 16,Sat,14-Jul-2012,17344.0,0,H,A
129,Richmond,Gold Coast,88.0,90.0,Cazaly's Stadium,2012,Round 16,Sat,14-Jul-2012,10961.0,0,A,A
130,Geelong,Collingwood,79.0,110.0,M.C.G.,2012,Round 16,Sat,14-Jul-2012,61717.0,0,A,H
131,Brisbane Lions,St Kilda,92.0,105.0,Gabba,2012,Round 16,Sat,14-Jul-2012,19228.0,0,H,A
132,Greater Western Sydney,Adelaide,59.0,178.0,Sydney Showground,2012,Round 16,Sun,15-Jul-2012,7669.0,0,H,A
133,Western Bulldogs,Hawthorn,44.0,116.0,Docklands,2012,Round 16,Sun,15-Jul-2012,24754.0,0,H,A
134,West Coast,Sydney,69.0,121.0,Subiaco,2012,Round 16,Sun,15-Jul-2012,39152.0,0,H,A
135,Geelong,Essendon,134.0,67.0,Docklands,2012,Round 17,Fri,20-Jul-2012,50066.0,1,A,H
136,Collingwood,Hawthorn,91.0,138.0,M.C.G.,2012,Round 17,Sat,21-Jul-2012,83714.0,0,H,H
137,Adelaide,West Coast,124.0,75.0,Football Park,2012,Round 17,Sat,21-Jul-2012,40724.0,1,H,A
138,Gold Coast,Brisbane Lions,48.0,59.0,Carrara,2012,Round 17,Sat,21-Jul-2012,16550.0,0,H,A
139,Melbourne,Port Adelaide,56.0,84.0,Marrara Oval,2012,Round 17,Sat,21-Jul-2012,6714.0,0,A,A
140,Western Bulldogs,Carlton,84.0,102.0,Docklands,2012,Round 17,Sat,21-Jul-2012,24615.0,0,H,H
141,Sydney,St Kilda,105.0,76.0,S.C.G.,2012,Round 17,Sun,22-Jul-2012,26834.0,1,H,A
142,Richmond,North Melbourne,99.0,103.0,M.C.G.,2012,Round 17,Sun,22-Jul-2012,47432.0,0,H,A
143,Fremantle,Greater Western Sydney,132.0,37.0,Subiaco,2012,Round 17,Sun,22-Jul-2012,28767.0,1,H,A
144,Essendon,Hawthorn,86.0,180.0,Docklands,2012,Round 18,Fri,27-Jul-2012,44899.0,0,H,A
145,Geelong,Adelaide,102.0,75.0,Kardinia Park,2012,Round 18,Sat,28-Jul-2012,18377.0,1,H,A
146,North Melbourne,Melbourne,127.0,73.0,Docklands,2012,Round 18,Sat,28-Jul-2012,20816.0,1,H,A
147,Greater Western Sydney,Collingwood,54.0,174.0,Sydney Showground,2012,Round 18,Sat,28-Jul-2012,8102.0,0,H,A
148,Carlton,Richmond,95.0,91.0,M.C.G.,2012,Round 18,Sat,28-Jul-2012,46013.0,1,H,H
149,Gold Coast,Sydney,54.0,126.0,Carrara,2012,Round 18,Sat,28-Jul-2012,11169.0,0,H,A
150,Port Adelaide,Fremantle,48.0,75.0,Football Park,2012,Round 18,Sun,29-Jul-2012,14583.0,0,H,A
151,St Kilda,Western Bulldogs,118.0,42.0,Docklands,2012,Round 18,Sun,29-Jul-2012,23498.0,1,H,H
152,West Coast,Brisbane Lions,175.0,77.0,Subiaco,2012,Round 18,Sun,29-Jul-2012,35767.0,1,H,A
153,Hawthorn,Geelong,116.0,118.0,M.C.G.,2012,Round 19,Fri,03-Aug-2012,65287.0,0,H,A
154,Western Bulldogs,North Melbourne,61.0,115.0,Docklands,2012,Round 19,Sat,04-Aug-2012,21599.0,0,H,H
155,Greater Western Sydney,Port Adelaide,107.0,73.0,Sydney Showground,2012,Round 19,Sat,04-Aug-2012,6811.0,1,H,A
156,Fremantle,West Coast,113.0,48.0,Subiaco,2012,Round 19,Sat,04-Aug-2012,39694.0,1,H,H
157,Collingwood,St Kilda,91.0,85.0,M.C.G.,2012,Round 19,Sat,04-Aug-2012,57873.0,1,H,A
158,Brisbane Lions,Richmond,84.0,132.0,Gabba,2012,Round 19,Sat,04-Aug-2012,22193.0,0,H,A
159,Melbourne,Gold Coast,108.0,66.0,M.C.G.,2012,Round 19,Sun,05-Aug-2012,18097.0,1,H,A
160,Carlton,Sydney,71.0,93.0,Docklands,2012,Round 19,Sun,05-Aug-2012,36942.0,0,H,A
161,Adelaide,Essendon,104.0,100.0,Football Park,2012,Round 19,Sun,05-Aug-2012,40030.0,1,H,A
162,West Coast,Geelong,102.0,97.0,Subiaco,2012,Round 20,Fri,10-Aug-2012,37812.0,1,H,A
163,St Kilda,Melbourne,107.0,82.0,M.C.G.,2012,Round 20,Sat,11-Aug-2012,23464.0,1,A,H
164,Adelaide,Fremantle,119.0,91.0,Football Park,2012,Round 20,Sat,11-Aug-2012,35027.0,1,H,A
165,Gold Coast,Greater Western Sydney,109.0,79.0,Carrara,2012,Round 20,Sat,11-Aug-2012,14657.0,1,H,A
166,Carlton,Brisbane Lions,113.0,77.0,Docklands,2012,Round 20,Sat,11-Aug-2012,25977.0,1,H,A
167,Sydney,Collingwood,70.0,78.0,Stadium Australia,2012,Round 20,Sat,11-Aug-2012,45827.0,0,H,A
168,Hawthorn,Port Adelaide,159.0,87.0,York Park,2012,Round 20,Sun,12-Aug-2012,14431.0,1,H,A
169,Richmond,Western Bulldogs,150.0,80.0,M.C.G.,2012,Round 20,Sun,12-Aug-2012,28286.0,1,H,A
170,Essendon,North Melbourne,76.0,100.0,Docklands,2012,Round 20,Sun,12-Aug-2012,42674.0,0,H,H
171,Geelong,St Kilda,123.0,81.0,Docklands,2012,Round 21,Fri,17-Aug-2012,38169.0,1,A,H
172,Essendon,Carlton,60.0,156.0,M.C.G.,2012,Round 21,Sat,18-Aug-2012,59381.0,0,H,H
173,Greater Western Sydney,Melbourne,59.0,84.0,Manuka Oval,2012,Round 21,Sat,18-Aug-2012,7561.0,0,H,A
174,Fremantle,Richmond,94.0,72.0,Subiaco,2012,Round 21,Sat,18-Aug-2012,32721.0,1,H,A
175,Brisbane Lions,Adelaide,95.0,85.0,Gabba,2012,Round 21,Sat,18-Aug-2012,18979.0,1,H,A
176,Collingwood,North Melbourne,61.0,91.0,Docklands,2012,Round 21,Sat,18-Aug-2012,44956.0,0,A,H
177,Port Adelaide,West Coast,50.0,98.0,Football Park,2012,Round 21,Sun,19-Aug-2012,13683.0,0,H,A
178,Western Bulldogs,Sydney,85.0,167.0,Docklands,2012,Round 21,Sun,19-Aug-2012,19396.0,0,H,A
179,Hawthorn,Gold Coast,129.0,65.0,M.C.G.,2012,Round 21,Sun,19-Aug-2012,23098.0,1,H,A
180,Richmond,Essendon,102.0,57.0,M.C.G.,2012,Round 22,Fri,24-Aug-2012,47590.0,1,H,H
181,St Kilda,Greater Western Sydney,163.0,35.0,Docklands,2012,Round 22,Sat,25-Aug-2012,17327.0,1,H,A
182,Port Adelaide,Brisbane Lions,93.0,104.0,Football Park,2012,Round 22,Sat,25-Aug-2012,13953.0,0,H,A
183,Sydney,Hawthorn,95.0,102.0,S.C.G.,2012,Round 22,Sat,25-Aug-2012,31167.0,0,H,A
184,West Coast,Collingwood,107.0,58.0,Subiaco,2012,Round 22,Sat,25-Aug-2012,40527.0,1,H,A
185,Gold Coast,Carlton,98.0,86.0,Carrara,2012,Round 22,Sat,25-Aug-2012,15251.0,1,H,A
186,Geelong,Western Bulldogs,107.0,73.0,Kardinia Park,2012,Round 22,Sun,26-Aug-2012,18047.0,1,H,A
187,North Melbourne,Fremantle,79.0,132.0,Docklands,2012,Round 22,Sun,26-Aug-2012,26482.0,0,H,A
188,Melbourne,Adelaide,81.0,150.0,M.C.G.,2012,Round 22,Sun,26-Aug-2012,18450.0,0,H,A
189,Hawthorn,West Coast,95.0,70.0,M.C.G.,2012,Round 23,Fri,31-Aug-2012,50023.0,1,H,A
190,Geelong,Sydney,112.0,78.0,Kardinia Park,2012,Round 23,Sat,01-Sep-2012,20045.0,1,H,A
191,Adelaide,Gold Coast,153.0,62.0,Football Park,2012,Round 23,Sat,01-Sep-2012,35463.0,1,H,A
192,Greater Western Sydney,North Melbourne,77.0,105.0,Sydney Showground,2012,Round 23,Sat,01-Sep-2012,6696.0,0,H,A
193,Fremantle,Melbourne,101.0,40.0,Subiaco,2012,Round 23,Sat,01-Sep-2012,32687.0,1,H,A
194,Essendon,Collingwood,72.0,104.0,M.C.G.,2012,Round 23,Sat,01-Sep-2012,56491.0,0,H,H
195,Carlton,St Kilda,91.0,106.0,Docklands,2012,Round 23,Sun,02-Sep-2012,31393.0,0,H,H
196,Richmond,Port Adelaide,106.0,106.0,M.C.G.,2012,Round 23,Sun,02-Sep-2012,27893.0,0,H,A
197,Brisbane Lions,Western Bulldogs,128.0,61.0,Gabba,2012,Round 23,Sun,02-Sep-2012,18289.0,1,H,A
198,Hawthorn,Collingwood,135.0,97.0,M.C.G.,2012,Qualifying Final,Fri,07-Sep-2012,85639.0,1,H,H
199,Adelaide,Sydney,42.0,71.0,Football Park,2012,Qualifying Final,Sat,08-Sep-2012,44849.0,0,H,A
200,Geelong,Fremantle,80.0,96.0,M.C.G.,2012,Elimination Final,Sat,08-Sep-2012,44460.0,0,A,A
201,West Coast,North Melbourne,162.0,66.0,Subiaco,2012,Elimination Final,Sun,09-Sep-2012,41790.0,1,H,A
202,Adelaide,Fremantle,81.0,71.0,Football Park,2012,Semi Final,Fri,14-Sep-2012,31742.0,1,H,A
203,Collingwood,West Coast,73.0,60.0,M.C.G.,2012,Semi Final,Sat,15-Sep-2012,65483.0,1,H,A
204,Sydney,Collingwood,96.0,70.0,Stadium Australia,2012,Preliminary Final,Fri,21-Sep-2012,57156.0,1,H,A
205,Hawthorn,Adelaide,97.0,92.0,M.C.G.,2012,Preliminary Final,Sat,22-Sep-2012,69146.0,1,H,A
206,Hawthorn,Sydney,81.0,91.0,M.C.G.,2012,Grand Final,Sat,29-Sep-2012,99683.0,0,H,A
207,Adelaide,Essendon,82.0,117.0,Football Park,2013,Round 1,Fri,22-Mar-2013,42218.0,0,H,A
208,Fremantle,West Coast,108.0,80.0,Subiaco,2013,Round 1,Sat,23-Mar-2013,39629.0,1,H,H
209,Carlton,Richmond,101.0,106.0,M.C.G.,2013,Round 1,Thu,28-Mar-2013,80971.0,0,H,H
210,Western Bulldogs,Brisbane Lions,127.0,59.0,Docklands,2013,Round 1,Sat,30-Mar-2013,25263.0,1,H,A
211,Greater Western Sydney,Sydney,76.0,106.0,Stadium Australia,2013,Round 1,Sat,30-Mar-2013,23690.0,0,A,H
212,Gold Coast,St Kilda,90.0,77.0,Carrara,2013,Round 1,Sat,30-Mar-2013,13832.0,1,H,A
213,Melbourne,Port Adelaide,54.0,133.0,M.C.G.,2013,Round 1,Sun,31-Mar-2013,22924.0,0,H,A
214,North Melbourne,Collingwood,87.0,103.0,Docklands,2013,Round 1,Sun,31-Mar-2013,41040.0,0,H,A
215,Hawthorn,Geelong,86.0,93.0,M.C.G.,2013,Round 1,Mon,01-Apr-2013,76300.0,0,H,A
216,St Kilda,Richmond,82.0,99.0,M.C.G.,2013,Round 2,Fri,05-Apr-2013,56783.0,0,A,H
217,Sydney,Gold Coast,114.0,73.0,S.C.G.,2013,Round 2,Sat,06-Apr-2013,20372.0,1,H,A
218,Western Bulldogs,Fremantle,78.0,106.0,Docklands,2013,Round 2,Sat,06-Apr-2013,19210.0,0,H,A
219,Brisbane Lions,Adelaide,77.0,96.0,Gabba,2013,Round 2,Sat,06-Apr-2013,21308.0,0,H,A
220,Port Adelaide,Greater Western Sydney,134.0,78.0,Football Park,2013,Round 2,Sat,06-Apr-2013,25122.0,1,H,A
221,Essendon,Melbourne,184.0,36.0,M.C.G.,2013,Round 2,Sat,06-Apr-2013,51153.0,1,H,H
222,Geelong,North Melbourne,112.0,108.0,Docklands,2013,Round 2,Sun,07-Apr-2013,34152.0,1,A,H
223,Collingwood,Carlton,117.0,100.0,M.C.G.,2013,Round 2,Sun,07-Apr-2013,84247.0,1,H,H
224,West Coast,Hawthorn,98.0,148.0,Subiaco,2013,Round 2,Sun,07-Apr-2013,38389.0,0,H,A
225,Fremantle,Essendon,68.0,72.0,Subiaco,2013,Round 3,Fri,12-Apr-2013,35963.0,0,H,A
226,North Melbourne,Sydney,92.0,131.0,Bellerive Oval,2013,Round 3,Sat,13-Apr-2013,13223.0,0,H,A
227,Melbourne,West Coast,83.0,177.0,M.C.G.,2013,Round 3,Sat,13-Apr-2013,18571.0,0,H,A
228,Greater Western Sydney,St Kilda,68.0,140.0,Manuka Oval,2013,Round 3,Sat,13-Apr-2013,11092.0,0,H,A
