,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Will Hoskin-Elliott,FWD,10,1,2,2,0,2018,Semi Finals
1,1,Tom Langdon,DEF,10,0,1,0,5,2018,Semi Finals
2,1,Tom McDonald,KEYF,10,3,3,1,2,2018,Semi Finals
3,1,David Mirra,DEF,10,0,1,0,3,2018,Semi Finals
4,5,Jeremy Cameron,KEYF,9,1,4,0,2,2018,Semi Finals
5,5,Ricky Henderson,MID,9,1,0,2,3,2018,Semi Finals
6,7,Jordan De Goey,FWD,8,5,0,7,0,2018,Semi Finals
7,7,Isaac Smith,MID,8,0,0,0,2,2018,Semi Finals
8,7,Lachie Whitfield,DEF,8,0,1,0,2,2018,Semi Finals
9,10,James Aish,MID,7,1,1,0,2,2018,Semi Finals
10,10,Stephen Coniglio,MID,7,2,0,0,1,2018,Semi Finals
11,10,Jack Gunston,KEYF,7,4,3,1,0,2018,Semi Finals
12,10,Michael Hibberd,DEF,7,0,0,0,2,2018,Semi Finals
13,10,Chris Mayne,MID,7,0,0,2,1,2018,Semi Finals
14,10,Ben McEvoy,RUC,7,0,1,0,2,2018,Semi Finals
15,16,James Frawley,KEYD,6,0,0,0,2,2018,Semi Finals
16,16,Blake Hardwick,DEF,6,0,1,0,4,2018,Semi Finals
17,16,Daniel Howe,MID,6,0,0,0,0,2018,Semi Finals
18,16,Nathan Jones,MID,6,0,0,0,1,2018,Semi Finals
19,16,Steele Sidebottom,MID,6,0,0,0,1,2018,Semi Finals
20,21,Sam Frost,KEYD,5,0,1,0,3,2018,Semi Finals
21,21,Max Gawn,RUC,5,1,2,0,1,2018,Semi Finals
22,21,James Harmes,MID,5,0,0,0,0,2018,Semi Finals
23,21,Adam Kennedy,DEF,5,0,0,0,1,2018,Semi Finals
24,21,Brayden Maynard,DEF,5,0,0,0,4,2018,Semi Finals
25,21,Oscar McDonald,KEYD,5,0,0,0,2,2018,Semi Finals
26,21,Tom Mitchell,MID,5,0,0,1,0,2018,Semi Finals
27,21,Harry Morrison,FWD,5,1,0,0,1,2018,Semi Finals
28,21,Tom Phillips,MID,5,0,0,0,0,2018,Semi Finals
29,21,Tim Taranto,MID,5,0,1,0,1,2018,Semi Finals
30,21,Sam Weideman,KEYF,5,2,2,0,0,2018,Semi Finals
31,32,Jack Crisp,DEF,4,0,1,0,3,2018,Semi Finals
32,32,Phil Davis,KEYD,4,0,1,0,3,2018,Semi Finals
33,32,Bayley Fritsch,FWD,4,0,1,0,1,2018,Semi Finals
34,32,Harry Himmelberg,KEYF,4,2,0,1,0,2018,Semi Finals
35,32,Jeremy Howe,DEF,4,0,2,0,2,2018,Semi Finals
36,32,Rory Lobb,RUC,4,1,2,0,1,2018,Semi Finals
37,32,Christian Petracca,FWD,4,0,1,1,0,2018,Semi Finals
38,32,Sam J. Reid,FWD,4,0,0,0,1,2018,Semi Finals
39,32,Christian Salem,DEF,4,0,0,1,1,2018,Semi Finals
40,32,Liam Shiels,MID,4,0,0,0,0,2018,Semi Finals
41,32,James Sicily,DEF,4,0,1,0,1,2018,Semi Finals
42,32,Josh Thomas,FWD,4,2,0,1,1,2018,Semi Finals
43,32,Adam Treloar,MID,4,2,0,0,0,2018,Semi Finals
