,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Sam Collins,KEYD,13,0,2,0,5,2021,Round 22
1,2,Blake Hardwick,DEF,11,0,0,0,0,2021,Round 22
2,2,Will Hayward,FWD,11,5,0,6,1,2021,Round 22
3,2,Hayden Young,DEF,11,0,0,0,4,2021,Round 22
4,5,Oscar Allen,KEYF,10,1,2,0,2,2021,Round 22
5,5,Harry Cunningham,DEF,10,0,0,0,2,2021,Round 22
6,5,Aaron Hall,DEF,10,0,1,0,2,2021,Round 22
7,5,Mitch Lewis,KEYF,10,2,3,3,1,2021,Round 22
8,5,Tim O'Brien,KEYF,10,0,3,0,6,2021,Round 22
9,5,Trent Rivers,DEF,10,0,0,0,2,2021,Round 22
10,5,Luke Ryan,KEYD,10,0,1,0,2,2021,Round 22
11,12,Isaac Cumming,DEF,9,0,1,0,6,2021,Round 22
12,12,Andrew Gaff,MID,9,0,0,0,0,2021,Round 22
13,12,Cameron Guthrie,MID,9,0,0,0,0,2021,Round 22
14,12,Lachie Henderson,KEYD,9,2,0,0,0,2021,Round 22
15,12,Shaun Higgins,FWD,9,0,0,1,0,2021,Round 22
16,12,Daniel Howe,MID,9,1,1,0,1,2021,Round 22
17,12,Hayden McLean,KEYF,9,3,4,0,0,2021,Round 22
18,12,Sam Menegola,MID,9,2,0,0,3,2021,Round 22
19,12,Robbie Tarrant,KEYD,9,0,0,0,3,2021,Round 22
20,21,Aliir Aliir,KEYD,8,0,3,0,8,2021,Round 22
21,21,Joe Daniher,KEYF,8,4,2,1,0,2021,Round 22
22,21,Sam Frost,KEYD,8,0,3,0,5,2021,Round 22
23,21,Dylan Grimes,KEYD,8,0,0,0,1,2021,Round 22
24,21,Jack Henry,KEYD,8,0,0,0,1,2021,Round 22
25,21,Nick Hind,DEF,8,0,2,0,4,2021,Round 22
26,21,Matthew Kennedy,MID,8,0,1,0,3,2021,Round 22
27,21,Jeremy McGovern,KEYD,8,0,3,0,4,2021,Round 22
28,21,Ned McHenry,FWD,8,1,1,1,0,2021,Round 22
