,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Luke Hodge,MID,12,3,0,0,1,2014,Grand Final
1,2,Sam Mitchell,MID,9,1,0,1,0,2014,Grand Final
2,3,Jordan Lewis,MID,8,0,1,0,0,2014,Grand Final
3,4,Grant Birchall,DEF,7,0,1,0,1,2014,Grand Final
4,4,Adam Goodes,FWD,7,3,2,3,0,2014,Grand Final
5,4,Brian Lake,KEYD,7,0,2,0,4,2014,Grand Final
6,7,Josh Gibson,KEYD,6,0,0,1,0,2014,Grand Final
7,7,Bradley Hill,FWD,6,0,0,1,0,2014,Grand Final
8,9,Lance Franklin,KEYF,5,5,5,0,0,2014,Grand Final
9,9,Heath Grundy,KEYD,5,0,3,0,3,2014,Grand Final
10,9,Jack Gunston,FWD,5,2,2,1,0,2014,Grand Final
11,9,Josh P. Kennedy,MID,5,0,1,0,0,2014,Grand Final
12,9,Nick Malceski,DEF,5,0,2,0,3,2014,Grand Final
13,9,Ben McEvoy,RUC,5,1,0,0,3,2014,Grand Final
14,9,Jarrad McVeigh,MID,5,0,0,0,2,2014,Grand Final
15,9,Jarryd Roughead,KEYF,5,4,0,2,0,2014,Grand Final
16,9,Isaac Smith,FWD,5,0,0,1,0,2014,Grand Final
17,9,Ben Stratton,KEYD,5,0,0,1,3,2014,Grand Final
18,9,Kurt Tippett,KEYF,5,1,4,1,0,2014,Grand Final
19,20,Luke Breust,FWD,4,3,0,1,0,2014,Grand Final
20,20,Shaun Burgoyne,DEF,4,1,0,0,0,2014,Grand Final
21,20,Dan Hannebery,MID,4,0,0,0,1,2014,Grand Final
22,20,Ted Richards,KEYD,4,0,1,0,3,2014,Grand Final
23,24,Taylor Duryea,DEF,3,0,0,0,0,2014,Grand Final
24,24,David Hale,RUC,3,1,0,0,0,2014,Grand Final
25,24,Will Langford,MID,3,0,1,0,1,2014,Grand Final
26,24,Gary Rohan,DEF,3,0,1,0,2,2014,Grand Final
27,24,Matthew Suckling,DEF,3,0,0,0,0,2014,Grand Final
28,29,Harry Cunningham,FWD,2,0,0,0,0,2014,Grand Final
29,29,Kieren Jack,MID,2,0,0,0,0,2014,Grand Final
30,29,Jake Lloyd,FWD,2,0,0,1,0,2014,Grand Final
31,29,Mike Pyke,RUC,2,0,1,0,1,2014,Grand Final
32,29,Sam Reid,KEYF,2,0,1,0,0,2014,Grand Final
33,29,Rhyce Shaw,DEF,2,0,0,0,0,2014,Grand Final
34,29,Liam Shiels,MID,2,0,0,0,0,2014,Grand Final
35,29,Nick Smith,DEF,2,0,0,0,1,2014,Grand Final
36,29,Matt Spangher,KEYD,2,0,0,0,1,2014,Grand Final
37,38,Craig Bird,MID,1,0,0,0,0,2014,Grand Final
38,38,Lewis Jetta,FWD,1,0,0,0,0,2014,Grand Final
39,38,Ben McGlynn,MID,1,0,0,0,0,2014,Grand Final
40,38,Luke Parker,FWD,1,0,0,0,0,2014,Grand Final
41,38,Paul Puopolo,FWD,1,1,0,1,0,2014,Grand Final
42,38,Dane Rampe,DEF,1,0,0,0,0,2014,Grand Final
43,44,Cyril Rioli,FWD,0,0,0,0,0,2014,Grand Final
