,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Mitch Duncan,MID,7,1,0,0,1,2020,Grand Final
1,2,Tom Stewart,DEF,6,0,0,0,4,2020,Grand Final
2,3,Sam Menegola,MID,5,2,1,0,1,2020,Grand Final
3,3,Gryan Miers,FWD,5,1,0,0,1,2020,Grand Final
4,5,Cameron Guthrie,MID,4,1,1,0,0,2020,Grand Final
5,5,Jake Kolodjashnij,DEF,4,0,0,0,1,2020,Grand Final
6,5,Kane Lambert,FWD,4,1,0,0,1,2020,Grand Final
7,8,Liam Baker,DEF,3,0,0,0,0,2020,Grand Final
8,8,Shai Bolton,MID,3,2,1,0,2,2020,Grand Final
9,8,Tom Hawkins,KEYF,3,3,0,1,0,2020,Grand Final
10,8,Jack Henry,DEF,3,0,1,0,1,2020,Grand Final
11,8,Tom J. Lynch,KEYF,3,1,0,1,0,2020,Grand Final
12,8,Kamdyn McIntosh,MID,3,0,0,0,0,2020,Grand Final
13,8,Jack Riewoldt,KEYF,3,3,1,1,0,2020,Grand Final
14,8,Joel Selwood,MID,3,0,0,1,1,2020,Grand Final
15,8,Jayden Short,DEF,3,0,0,0,1,2020,Grand Final
16,8,Rhys Stanley,RUC,3,0,0,0,2,2020,Grand Final
17,18,Noah Balta,KEYD,2,0,1,0,2,2020,Grand Final
18,18,Nathan Broad,DEF,2,0,0,0,1,2020,Grand Final
19,18,Jason Castagna,FWD,2,1,1,0,0,2020,Grand Final
20,18,Trent Cotchin,MID,2,0,0,0,1,2020,Grand Final
21,18,Dylan Grimes,KEYD,2,0,1,0,1,2020,Grand Final
22,18,Zach Tuohy,MID,2,0,0,0,0,2020,Grand Final
23,24,Gary Ablett,FWD,1,0,0,1,0,2020,Grand Final
24,24,David Astbury,KEYD,1,0,0,0,0,2020,Grand Final
25,24,Luke Dahlhaus,FWD,1,0,0,1,0,2020,Grand Final
26,24,Patrick Dangerfield,MID,1,1,0,0,0,2020,Grand Final
27,24,Lachie Henderson,KEYD,1,0,0,0,1,2020,Grand Final
28,24,Bachar Houli,DEF,1,0,0,0,0,2020,Grand Final
29,24,Dustin Martin,FWD,1,0,0,1,0,2020,Grand Final
30,24,Brandan Parfitt,MID,1,0,0,0,0,2020,Grand Final
31,24,Daniel Rioli,FWD,1,0,0,0,0,2020,Grand Final
32,24,Gary Rohan,FWD,1,0,1,0,0,2020,Grand Final
33,34,Jed Bews,DEF,0,0,0,0,0,2020,Grand Final
34,34,Mark Blicavs,KEYD,0,0,0,0,0,2020,Grand Final
35,34,Shane Edwards,MID,0,0,0,0,0,2020,Grand Final
36,34,Jack Graham,MID,0,0,0,0,0,2020,Grand Final
37,34,Toby Nankervis,RUC,0,0,0,0,0,2020,Grand Final
38,34,Mark O'Connor,DEF,0,0,0,0,0,2020,Grand Final
39,34,Marlion Pickett,MID,0,0,0,0,0,2020,Grand Final
40,34,Dion Prestia,MID,0,0,0,0,0,2020,Grand Final
41,34,Sam Simpson,FWD,0,0,0,0,0,2020,Grand Final
42,34,Harry Taylor,KEYD,0,0,0,0,0,2020,Grand Final
43,34,Nick Vlastuin,DEF,0,0,0,0,0,2020,Grand Final
