,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Brad Sheppard,DEF,13,0,0,0,1,2020,Round 5
1,2,Josh Kelly,MID,12,1,0,0,0,2020,Round 5
2,3,Nick Haynes,DEF,11,1,1,0,5,2020,Round 5
3,3,Liam Jones,KEYD,11,0,5,0,7,2020,Round 5
4,3,Harry Perryman,MID,11,0,0,0,1,2020,Round 5
5,6,James Aish,MID,10,0,0,0,3,2020,Round 5
6,6,Dom Sheed,MID,10,0,0,0,0,2020,Round 5
7,6,Robbie Tarrant,KEYD,10,0,1,0,6,2020,Round 5
8,6,Lachie Whitfield,DEF,10,0,0,1,1,2020,Round 5
9,10,Nick Coffield,DEF,9,0,0,0,4,2020,Round 5
10,10,Bayley Fritsch,FWD,9,3,2,1,0,2020,Round 5
11,10,Jack Martin,FWD,9,3,1,1,0,2020,Round 5
12,10,Easton Wood,DEF,9,0,4,0,6,2020,Round 5
13,14,Noah Balta,KEYD,8,0,3,0,6,2020,Round 5
14,14,Andrew Brayshaw,MID,8,1,1,1,2,2020,Round 5
15,14,Josh Caddy,MID,8,0,2,0,2,2020,Round 5
16,14,Ben Crocker,FWD,8,1,2,1,0,2020,Round 5
17,14,Sam Docherty,DEF,8,0,0,1,0,2020,Round 5
18,14,Liam Duggan,DEF,8,0,0,0,1,2020,Round 5
19,14,Tim English,RUC,8,1,3,0,3,2020,Round 5
20,14,Tom Hawkins,KEYF,8,4,1,2,0,2020,Round 5
21,14,Ethan Hughes,DEF,8,0,0,0,1,2020,Round 5
22,14,Dean Kent,FWD,8,4,1,1,1,2020,Round 5
23,14,Daniel Lloyd,FWD,8,1,0,3,0,2020,Round 5
24,14,Steven May,KEYD,8,0,1,0,3,2020,Round 5
25,14,Daniel McStay,KEYF,8,3,5,1,0,2020,Round 5
26,14,Tom Papley,FWD,8,2,1,4,0,2020,Round 5
27,28,Jeremy Cameron,KEYF,7,2,1,3,0,2020,Round 5
28,28,Eric Hipwood,KEYF,7,5,0,4,0,2020,Round 5
29,28,Michael Hurley,KEYD,7,0,0,0,1,2020,Round 5
30,28,Lachlan Keeffe,KEYD,7,0,1,0,2,2020,Round 5
31,28,Ben Paton,DEF,7,0,1,0,4,2020,Round 5
32,28,Jordan Ridley,DEF,7,0,1,0,2,2020,Round 5
33,28,Gary Rohan,FWD,7,1,1,1,2,2020,Round 5
34,28,Luke Ryan,KEYD,7,0,0,0,3,2020,Round 5
35,28,Brodie Smith,DEF,7,0,0,0,1,2020,Round 5
36,28,David Swallow,MID,7,0,1,0,0,2020,Round 5
37,38,Oscar Allen,KEYF,6,3,3,2,0,2020,Round 5
38,38,Tom Barrass,KEYD,6,0,2,0,3,2020,Round 5
39,38,Jack Billings,MID,6,1,0,0,0,2020,Round 5
40,38,Ben Brown,KEYF,6,2,3,1,0,2020,Round 5
41,38,Josh Bruce,KEYF,6,4,3,3,0,2020,Round 5
42,38,Adam Cerra,MID,6,1,1,3,1,2020,Round 5
43,38,Aidan Corr,KEYD,6,0,1,0,3,2020,Round 5
44,38,Brandon Ellis,MID,6,0,0,0,0,2020,Round 5
45,38,Jackson Hately,MID,6,0,0,0,0,2020,Round 5
46,38,Jesse Hogan,KEYF,6,1,0,2,0,2020,Round 5
47,38,Cale Hooker,KEYD,6,0,1,0,4,2020,Round 5
48,38,Josh P. Kennedy,MID,6,2,0,0,1,2020,Round 5
49,38,Rory Laird,MID,6,0,0,0,0,2020,Round 5
50,38,Kane Lambert,FWD,6,0,0,1,0,2020,Round 5
51,38,Kyle Langford,FWD,6,1,1,0,1,2020,Round 5
52,38,Tom J. Lynch,KEYF,6,3,1,0,0,2020,Round 5
53,38,Sam Menegola,MID,6,2,1,0,1,2020,Round 5
54,38,Steven Motlop,FWD,6,0,0,0,0,2020,Round 5
55,38,Jordan Roughead,KEYD,6,0,1,0,1,2020,Round 5
56,38,Heath Shaw,DEF,6,0,0,0,0,2020,Round 5
57,38,Jack Steele,MID,6,0,0,0,0,2020,Round 5
58,38,Jaidyn Stephenson,FWD,6,3,1,1,0,2020,Round 5
59,38,Daniel Talia,KEYD,6,0,0,0,3,2020,Round 5
60,38,Darcy Tucker,MID,6,2,0,0,0,2020,Round 5
61,38,Nick Vlastuin,DEF,6,0,0,0,2,2020,Round 5
62,38,Josh Walker,KEYD,6,0,2,0,3,2020,Round 5
63,38,Mitch Wallis,FWD,6,3,0,1,0,2020,Round 5
64,38,Hayden Young,DEF,6,0,0,0,0,2020,Round 5
65,66,Charlie Ballard,KEYD,5,0,2,0,3,2020,Round 5
66,66,Nick Blakey,FWD,5,2,1,1,1,2020,Round 5
67,66,Mark Blicavs,KEYD,5,0,1,0,1,2020,Round 5
68,66,Zak Butters,FWD,5,1,0,2,0,2020,Round 5
69,66,Sam Collins,KEYD,5,0,2,0,3,2020,Round 5
70,66,Reece Conca,DEF,5,0,0,0,0,2020,Round 5
71,66,Luke Dahlhaus,FWD,5,1,0,0,0,2020,Round 5
72,66,Phil Davis,KEYD,5,0,4,0,4,2020,Round 5
73,66,Tom Doedee,KEYD,5,0,3,0,3,2020,Round 5
74,66,Mitch Duncan,MID,5,1,0,1,2,2020,Round 5
75,66,Brad Ebert,FWD,5,0,1,1,1,2020,Round 5
