,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Nick Haynes,DEF,9,1,0,1,4,2021,Semi Finals
1,2,Mitch Duncan,FWD,8,0,0,1,1,2021,Semi Finals
2,2,Tom Hawkins,KEYF,8,5,4,2,0,2021,Semi Finals
3,2,Sam Menegola,MID,8,2,0,1,0,2021,Semi Finals
4,5,Harris Andrews,KEYD,7,1,3,0,4,2021,Semi Finals
5,5,Marcus Bontempelli,MID,7,2,1,0,0,2021,Semi Finals
6,5,Hugh McCluggage,MID,7,2,1,0,0,2021,Semi Finals
7,5,Rhys Stanley,RUC,7,1,1,1,2,2021,Semi Finals
8,9,Jack Henry,KEYD,6,0,2,0,5,2021,Semi Finals
9,9,Gryan Miers,FWD,6,0,0,2,0,2021,Semi Finals
10,9,Lachie Neale,MID,6,0,0,0,0,2021,Semi Finals
11,9,Bailey Smith,MID,6,0,0,0,0,2021,Semi Finals
12,9,Dayne Zorko,MID,6,0,0,0,1,2021,Semi Finals
13,14,Isaac Cumming,DEF,5,0,1,0,1,2021,Semi Finals
14,14,Josh Dunkley,FWD,5,0,0,0,1,2021,Semi Finals
15,14,Jake Kolodjashnij,KEYD,5,0,1,0,1,2021,Semi Finals
16,14,Lincoln McCarthy,FWD,5,1,0,3,0,2021,Semi Finals
17,14,Isaac Smith,MID,5,1,0,1,0,2021,Semi Finals
18,14,Brandon Starcevich,DEF,5,0,0,0,1,2021,Semi Finals
19,14,Zach Tuohy,DEF,5,0,0,0,0,2021,Semi Finals
20,14,Lachie Whitfield,MID,5,0,0,1,1,2021,Semi Finals
21,14,Easton Wood,DEF,5,0,1,0,3,2021,Semi Finals
22,14,Matt de Boer,FWD,5,0,2,0,1,2021,Semi Finals
23,24,Marcus Adams,KEYD,4,0,0,0,0,2021,Semi Finals
24,24,Zac Bailey,FWD,4,2,0,0,0,2021,Semi Finals
25,24,Grant Birchall,DEF,4,0,0,0,0,2021,Semi Finals
26,24,Mark Blicavs,KEYD,4,0,0,0,2,2021,Semi Finals
27,24,Charlie Cameron,FWD,4,3,0,3,0,2021,Semi Finals
28,24,Jeremy Cameron,KEYF,4,2,1,2,0,2021,Semi Finals
29,24,Bailey Dale,DEF,4,0,0,0,1,2021,Semi Finals
30,24,Phil Davis,KEYD,4,0,2,0,4,2021,Semi Finals
31,24,Lachie Henderson,KEYD,4,0,1,0,2,2021,Semi Finals
32,24,Jacob Hopper,MID,4,0,0,0,0,2021,Semi Finals
33,24,Lachie Hunter,MID,4,0,0,0,0,2021,Semi Finals
