,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Jake Waterman,FWD,10,0,0,0,3,2020,Finals Week 1
1,2,Tim Membrey,KEYF,9,3,0,4,1,2020,Finals Week 1
2,2,Daniel Rich,DEF,9,0,0,0,4,2020,Finals Week 1
3,4,Nick Coffield,DEF,8,0,1,0,5,2020,Finals Week 1
4,4,Lachie Henderson,KEYD,8,0,2,0,3,2020,Finals Week 1
5,6,Harris Andrews,KEYD,7,0,0,0,4,2020,Finals Week 1
6,6,David Astbury,KEYD,7,0,0,0,2,2020,Finals Week 1
7,6,Ryan Burton,DEF,7,0,1,1,0,2020,Finals Week 1
8,6,Mitch Duncan,MID,7,0,2,1,1,2020,Finals Week 1
9,6,Jarryn Geary,DEF,7,3,4,1,0,2020,Finals Week 1
10,6,Hamish Hartlett,DEF,7,0,1,0,5,2020,Finals Week 1
11,6,Tom Hawkins,KEYF,7,6,2,5,0,2020,Finals Week 1
12,6,Will Hoskin-Elliott,FWD,7,1,0,1,0,2020,Finals Week 1
13,14,Jarrod Berry,MID,6,2,1,0,0,2020,Finals Week 1
14,14,Jake Carlisle,KEYD,6,0,3,0,3,2020,Finals Week 1
15,14,Hunter Clark,DEF,6,0,0,0,0,2020,Finals Week 1
16,14,Jack Darling,KEYF,6,3,3,1,0,2020,Finals Week 1
17,14,Andrew Gaff,MID,6,0,1,0,0,2020,Finals Week 1
18,14,Ryan Gardner,KEYD,6,0,0,0,0,2020,Finals Week 1
19,14,Dougal Howard,KEYD,6,0,2,0,3,2020,Finals Week 1
20,14,Shannon Hurn,DEF,6,0,2,0,3,2020,Finals Week 1
21,14,Josh J. Kennedy,KEYF,6,4,1,3,0,2020,Finals Week 1
22,14,Ryan Lester,DEF,6,0,1,0,2,2020,Finals Week 1
23,14,Jarryd Lyons,MID,6,1,0,0,1,2020,Finals Week 1
24,14,Rowan Marshall,RUC,6,0,2,0,1,2020,Finals Week 1
25,14,Chris Mayne,MID,6,0,0,0,0,2020,Finals Week 1
26,14,Jeremy McGovern,KEYD,6,0,2,0,3,2020,Finals Week 1
27,14,Liam Ryan,FWD,6,1,2,1,1,2020,Finals Week 1
28,14,Jaidyn Stephenson,FWD,6,0,0,2,1,2020,Finals Week 1
29,14,Tom Stewart,DEF,6,0,1,0,2,2020,Finals Week 1
30,14,Bailey Williams,DEF,6,0,2,0,2,2020,Finals Week 1
31,32,Jason Castagna,FWD,5,1,1,0,0,2020,Finals Week 1
32,32,Mason Cox,KEYF,5,3,4,1,0,2020,Finals Week 1
33,32,Liam Duggan,DEF,5,0,0,0,1,2020,Finals Week 1
34,32,Taylor Duryea,DEF,5,0,1,0,1,2020,Finals Week 1
35,32,Tim English,RUC,5,1,0,2,2,2020,Finals Week 1
36,32,Eric Hipwood,KEYF,5,2,2,0,0,2020,Finals Week 1
37,32,Lachie Hunter,MID,5,1,0,0,1,2020,Finals Week 1
38,32,Jason Johannisen,DEF,5,1,1,1,1,2020,Finals Week 1
39,32,Tom Jonas,KEYD,5,0,1,0,3,2020,Finals Week 1
40,32,Alex Keath,KEYD,5,0,2,0,2,2020,Finals Week 1
41,32,Max King,KEYF,5,2,4,0,0,2020,Finals Week 1
42,32,Jack Macrae,MID,5,0,0,0,0,2020,Finals Week 1
43,32,Trent McKenzie,KEYD,5,0,0,0,1,2020,Finals Week 1
44,32,Jack Redden,MID,5,0,0,0,0,2020,Finals Week 1
45,32,Brad Sheppard,DEF,5,0,0,0,1,2020,Finals Week 1
46,47,Jake Aarts,FWD,4,0,0,2,0,2020,Finals Week 1
47,47,Jed Bews,DEF,4,0,1,0,2,2020,Finals Week 1
48,47,Darcy Cameron,KEYF,4,0,3,0,3,2020,Finals Week 1
49,47,Hayden Crozier,DEF,4,0,0,0,0,2020,Finals Week 1
50,47,Luke Dahlhaus,FWD,4,0,0,0,0,2020,Finals Week 1
51,47,Jack Henry,DEF,4,0,0,0,2,2020,Finals Week 1
52,47,Jake Kolodjashnij,DEF,4,1,1,0,0,2020,Finals Week 1
53,47,Jack Lonie,FWD,4,2,0,1,0,2020,Finals Week 1
54,47,Brayden Maynard,DEF,4,0,0,0,1,2020,Finals Week 1
55,47,Oscar McInerney,RUC,4,0,0,0,1,2020,Finals Week 1
56,47,Brody Mihocek,KEYF,4,2,2,0,1,2020,Finals Week 1
57,47,Darcy Moore,KEYD,4,0,0,0,1,2020,Finals Week 1
58,47,Toby Nankervis,RUC,4,0,1,0,2,2020,Finals Week 1
59,47,Aaron Naughton,KEYF,4,2,4,0,0,2020,Finals Week 1
60,47,Daniel Rioli,FWD,4,1,0,3,0,2020,Finals Week 1
61,47,Mitch Robinson,MID,4,0,0,0,1,2020,Finals Week 1
62,47,Paddy Ryder,RUC,4,2,3,0,1,2020,Finals Week 1
63,47,Jayden Short,DEF,4,0,1,0,1,2020,Finals Week 1
64,47,Luke Shuey,MID,4,0,0,0,0,2020,Finals Week 1
65,47,Brandon Starcevich,DEF,4,0,2,0,3,2020,Finals Week 1
66,47,Zach Tuohy,MID,4,1,0,0,0,2020,Finals Week 1
67,47,Callum Wilkie,DEF,4,0,1,0,1,2020,Finals Week 1
68,47,Dayne Zorko,MID,4,0,0,0,0,2020,Finals Week 1
69,70,Oscar Allen,KEYF,3,1,1,0,0,2020,Finals Week 1
70,70,Noah Balta,KEYD,3,0,0,0,0,2020,Finals Week 1
71,70,Tom Barrass,KEYD,3,0,0,0,1,2020,Finals Week 1
72,70,Jack Billings,MID,3,0,1,0,1,2020,Finals Week 1
73,70,Marcus Bontempelli,MID,3,0,0,0,0,2020,Finals Week 1
74,70,Charlie Cameron,FWD,3,0,0,1,0,2020,Finals Week 1
75,70,Zaine Cordy,KEYD,3,0,0,0,0,2020,Finals Week 1
76,70,Jack Crisp,DEF,3,0,0,0,2,2020,Finals Week 1
77,70,Josh Daicos,MID,3,1,0,0,0,2020,Finals Week 1
78,70,Josh Dunkley,FWD,3,2,1,0,0,2020,Finals Week 1
79,70,Xavier Duursma,MID,3,0,0,1,0,2020,Finals Week 1
80,70,Brad Ebert,FWD,3,1,1,1,0,2020,Finals Week 1
81,70,Brodie Grundy,RUC,3,0,2,0,0,2020,Finals Week 1
82,70,Cameron Guthrie,MID,3,0,0,0,0,2020,Finals Week 1
83,70,Dan Hannebery,MID,3,0,0,1,0,2020,Finals Week 1
84,70,Bradley Hill,MID,3,0,0,0,0,2020,Finals Week 1
85,70,Kane Lambert,FWD,3,0,0,0,0,2020,Finals Week 1
86,70,Ben Long,DEF,3,0,0,0,1,2020,Finals Week 1
87,70,Jack Madgen,KEYD,3,0,0,0,1,2020,Finals Week 1
88,70,Jackson Nelson,DEF,3,0,0,0,0,2020,Finals Week 1
89,70,John Noble,DEF,3,0,0,0,0,2020,Finals Week 1
90,70,Brandan Parfitt,MID,3,1,0,0,1,2020,Finals Week 1
91,70,Ben Paton,DEF,3,0,0,0,1,2020,Finals Week 1
92,70,Gary Rohan,FWD,3,0,0,0,0,2020,Finals Week 1
93,70,Dom Sheed,MID,3,0,0,0,1,2020,Finals Week 1
94,70,Rhys Stanley,RUC,3,1,2,0,0,2020,Finals Week 1
95,70,Jack Steele,MID,3,0,0,0,0,2020,Finals Week 1
96,70,Easton Wood,DEF,3,0,0,0,2,2020,Finals Week 1
97,98,Callum Ah Chee,DEF,2,0,0,0,0,2020,Finals Week 1
98,98,Liam Baker,DEF,2,0,0,0,0,2020,Finals Week 1
99,98,Grant Birchall,DEF,2,0,0,0,0,2020,Finals Week 1
100,98,Mark Blicavs,KEYD,2,0,1,0,1,2020,Finals Week 1
101,98,Zak Butters,FWD,2,0,0,0,0,2020,Finals Week 1
