,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Cameron O'Shea,DEF,14,0,0,1,3,2013,Finals Week 1
1,2,Dane Swan,MID,11,8,3,3,0,2013,Finals Week 1
2,3,Brent Guerra,DEF,10,0,0,0,0,2013,Finals Week 1
3,3,Jack Gunston,FWD,10,4,0,3,1,2013,Finals Week 1
4,3,Tom Logan,DEF,10,1,2,0,4,2013,Finals Week 1
5,3,Lee Spurr,DEF,10,0,1,0,4,2013,Finals Week 1
6,7,Mitch Duncan,MID,9,1,1,1,1,2013,Finals Week 1
7,7,Josh Gibson,KEYD,9,0,1,0,3,2013,Finals Week 1
8,7,Bachar Houli,DEF,9,0,0,0,1,2013,Finals Week 1
9,7,Brendan Whitecross,DEF,9,0,0,1,0,2013,Finals Week 1
10,11,Jimmy Bartel,DEF,8,0,0,0,4,2013,Finals Week 1
11,11,Cameron Guthrie,DEF,8,0,2,0,2,2013,Finals Week 1
12,11,Luke Hodge,DEF,8,1,0,0,1,2013,Finals Week 1
13,11,Tom Jonas,DEF,8,0,0,0,4,2013,Finals Week 1
14,11,Marc Murphy,MID,8,1,0,0,1,2013,Finals Week 1
15,11,Jay Schulz,KEYF,8,5,3,4,0,2013,Finals Week 1
16,11,Harry Taylor,KEYD,8,0,2,0,3,2013,Finals Week 1
17,18,Eddie Betts,FWD,7,3,1,2,0,2013,Finals Week 1
18,18,Travis Cloke,KEYF,7,2,3,2,0,2013,Finals Week 1
19,18,Nick Duigan,DEF,7,4,1,0,0,2013,Finals Week 1
20,18,Aaron Edwards,FWD,7,3,2,1,1,2013,Finals Week 1
21,18,Jamie Elliott,FWD,7,4,1,3,2,2013,Finals Week 1
22,18,Bradley Hill,MID,7,1,0,0,0,2013,Finals Week 1
23,18,Brian Lake,KEYD,7,1,1,1,2,2013,Finals Week 1
24,18,Andrew Mackie,DEF,7,0,1,0,1,2013,Finals Week 1
25,18,Luke McPharlin,KEYD,7,0,1,0,2,2013,Finals Week 1
26,18,Ben Stratton,KEYD,7,0,0,1,0,2013,Finals Week 1
27,18,Cam Sutcliffe,DEF,7,0,0,0,0,2013,Finals Week 1
28,18,Chad Wingard,FWD,7,4,2,0,1,2013,Finals Week 1
29,30,Michael Barlow,MID,6,1,0,0,0,2013,Finals Week 1
