,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Lachie Hunter,MID,13,3,0,1,1,2018,Round 3
1,2,Jared Polec,MID,12,0,0,0,1,2018,Round 3
2,2,Bailey Williams,DEF,12,0,0,0,5,2018,Round 3
3,4,Josh Dunkley,FWD,11,3,2,2,0,2018,Round 3
4,4,Bachar Houli,DEF,11,0,0,0,0,2018,Round 3
5,6,Riley Bonner,DEF,10,0,0,0,1,2018,Round 3
6,6,Lance Franklin,KEYF,10,1,3,3,0,2018,Round 3
7,6,Alex Rance,KEYD,10,0,1,0,5,2018,Round 3
8,6,Nick Vlastuin,DEF,10,0,2,0,4,2018,Round 3
9,10,Connor Blakely,DEF,9,0,1,0,1,2018,Round 3
10,10,Jake Carlisle,KEYD,9,0,3,2,4,2018,Round 3
11,10,Zaine Cordy,KEYD,9,0,1,0,2,2018,Round 3
12,10,Jack Crisp,DEF,9,0,1,0,5,2018,Round 3
13,10,Charlie Curnow,KEYF,9,2,1,0,1,2018,Round 3
14,10,Sam Gray,FWD,9,3,0,2,0,2018,Round 3
15,10,Hamish Hartlett,DEF,9,0,0,0,1,2018,Round 3
16,10,Will Hayward,FWD,9,2,1,2,0,2018,Round 3
17,10,Ricky Henderson,MID,9,0,0,1,0,2018,Round 3
18,10,Jake Kolodjashnij,KEYD,9,0,3,0,4,2018,Round 3
19,10,David Mundy,FWD,9,1,1,3,1,2018,Round 3
20,10,Marc Murphy,MID,9,0,0,1,1,2018,Round 3
21,10,Jake Waterman,KEYF,9,1,1,0,0,2018,Round 3
22,23,David Astbury,KEYD,8,0,1,0,4,2018,Round 3
23,23,Rory Atkins,MID,8,1,0,0,1,2018,Round 3
24,23,Jed Bews,DEF,8,1,1,1,2,2018,Round 3
25,23,Caleb Daniel,FWD,8,1,0,0,2,2018,Round 3
26,23,Taylor Duryea,DEF,8,0,1,0,2,2018,Round 3
27,23,Andrew Gaff,MID,8,0,0,0,1,2018,Round 3
28,23,Darcy Gardiner,KEYD,8,0,1,0,2,2018,Round 3
29,23,Nick Haynes,DEF,8,0,1,1,3,2018,Round 3
30,23,Shannon Hurn,DEF,8,0,0,0,3,2018,Round 3
31,23,Jason Johannisen,DEF,8,0,0,0,1,2018,Round 3
32,23,Luke McDonald,DEF,8,0,2,0,4,2018,Round 3
33,23,Mitch McGovern,KEYF,8,2,1,0,0,2018,Round 3
34,23,Jack Newnes,FWD,8,1,0,1,0,2018,Round 3
35,23,Esava Ratugolea,KEYF,8,2,3,1,2,2018,Round 3
36,23,Dylan Roberton,DEF,8,0,0,0,3,2018,Round 3
37,23,Sebastian Ross,MID,8,0,0,0,0,2018,Round 3
38,23,Paul Seedsman,MID,8,1,0,0,0,2018,Round 3
39,23,Isaac Smith,MID,8,0,0,0,0,2018,Round 3
40,23,Tom Stewart,DEF,8,0,0,0,1,2018,Round 3
41,23,Matthew Suckling,DEF,8,0,0,0,0,2018,Round 3
42,23,Dom Tyson,MID,8,1,0,0,0,2018,Round 3
43,44,James Aish,MID,7,1,1,2,1,2018,Round 3
44,44,Patrick Cripps,MID,7,1,1,0,0,2018,Round 3
45,44,Harry Cunningham,MID,7,0,0,0,1,2018,Round 3
46,44,Tom Cutler,MID,7,1,0,1,0,2018,Round 3
47,44,Bailey Dale,FWD,7,3,1,1,0,2018,Round 3
48,44,Phil Davis,KEYD,7,0,1,0,3,2018,Round 3
49,44,Brendon Goddard,DEF,7,0,0,0,2,2018,Round 3
50,44,Tom Hawkins,KEYF,7,6,2,4,0,2018,Round 3
51,44,Jesse Hogan,KEYF,7,2,2,1,1,2018,Round 3
52,44,Cale Hooker,KEYD,7,1,1,0,2,2018,Round 3
53,44,Will Hoskin-Elliott,FWD,7,3,0,3,0,2018,Round 3
54,44,Jeremy Howe,DEF,7,0,0,0,2,2018,Round 3
55,44,Tom Jonas,KEYD,7,0,0,0,2,2018,Round 3
56,44,Jesse Joyce,DEF,7,0,0,0,2,2018,Round 3
